date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,3200.0,3200.0,0.0,-284.0,0.0,0.139,0.1137,21.0,15.0,-4.0,-284.0,-284.0,-284.0,0.0,1.0
2023-01-24,2057.0,2057.0,0.0,-472.0,0.0,0.1867,0.1552,21.0,13.0,-2.0,-756.0,-756.0,-756.0,0.0,1.0
2023-01-25,1334.0,1334.0,0.0,-129.0,0.0,0.1081,0.0644,14.0,16.0,-105.0,-885.0,-885.0,-885.0,0.0,1.0
2023-01-26,1278.0,1278.0,0.0,-154.0,0.0,0.2019,0.1263,11.0,22.0,175.0,-1039.0,-1039.0,-1039.0,0.0,1.0
2023-01-29,947.0,947.0,0.0,387.0,1.0,0.1701,0.1167,16.0,15.0,-66.0,-652.0,-652.0,-652.0,0.0,1.0
2023-01-30,1497.0,1497.0,0.0,-857.0,0.0,0.2471,0.179,17.0,16.0,-207.0,-1225.0,-1509.0,-1509.0,0.0,1.0
2023-01-31,7927.0,7927.0,0.0,3399.0,1.0,0.1082,0.1159,34.0,6.0,57.0,2646.0,1890.0,1890.0,0.0,0.0
2023-02-01,3722.0,3722.0,0.0,1489.0,1.0,0.4677,0.2603,10.0,28.0,-72.0,4264.0,3379.0,3379.0,0.0,0.0
2023-02-02,2338.0,2338.0,0.0,9.0,1.0,0.1889,0.1389,22.0,18.0,-667.0,4427.0,3388.0,3388.0,0.0,0.0
2023-02-05,6263.0,6229.0,0.0023,1854.0,1.0,0.3454,0.239,18.0,21.0,-21.0,5894.0,5242.0,5242.0,0.00023,0.0
2023-02-06,2612.0,2612.0,0.0,1535.0,1.0,0.4364,0.2626,13.0,20.0,100.0,8286.0,6777.0,6777.0,0.0002090909090909091,0.0
2023-02-07,3736.0,3736.0,0.0,290.0,1.0,0.1949,0.1155,15.0,23.0,-658.0,5177.0,7067.0,7067.0,0.00019166666666666667,0.0
2023-02-08,3651.0,3651.0,0.0,-1195.0,0.0,0.1333,0.1174,20.0,12.0,500.0,2493.0,5872.0,5872.0,0.00017692307692307693,0.0
2023-02-09,2467.0,2467.0,0.0,-27.0,0.0,0.1315,0.1035,18.0,12.0,320.0,2457.0,5845.0,5845.0,0.00016428571428571428,0.0
2023-02-12,2630.0,2630.0,0.0,970.0,1.0,0.1436,0.0997,20.0,18.0,36.0,1573.0,6815.0,6815.0,0.00015333333333333334,0.0
2023-02-14,3623.0,3623.0,0.0,1333.0,1.0,0.2187,0.1571,18.0,19.0,-700.0,1371.0,8148.0,8148.0,0.00014375,0.0
2023-02-15,3184.0,3184.0,0.0,497.0,1.0,0.2047,0.1632,18.0,19.0,81.0,1578.0,8645.0,8645.0,0.0001352941176470588,0.0
2023-02-16,943.0,943.0,0.0,-47.0,0.0,0.0703,0.0419,19.0,10.0,-123.0,2726.0,8598.0,8598.0,0.00012777777777777776,0.0
