date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-06,0.7664,0.6538,0.1126,-0.013,0.0,0.1956,0.2316,10.0,30.0,-0.1223,-0.013,-0.013,-0.013,0.1126,1.0
2023-08-07,0.4242,0.4225,0.0017,0.1124,1.0,0.3262,0.2344,20.0,20.0,-0.042,0.0994,0.0994,0.0994,0.05715,0.0
2023-08-08,0.3139,0.3234,-0.0095,-0.0823,0.0,0.0743,0.0513,20.0,20.0,-0.1052,0.017100000000000004,0.017100000000000004,0.017100000000000004,0.03493333333333334,0.0
2023-08-09,0.3877,0.4179,-0.0302,-0.097,0.0,0.0995,0.0858,20.0,20.0,-0.0786,-0.0799,-0.0799,-0.0799,0.01865,1.0
2023-08-10,0.3865,0.3748,0.0118,-0.0505,0.0,0.145,0.1122,20.0,20.0,-0.0425,-0.13040000000000002,-0.13040000000000002,-0.13040000000000002,0.01728,1.0
2023-08-13,0.374,0.3725,0.0015,-0.1101,0.0,0.1103,0.0925,20.0,20.0,-0.0304,-0.2275,-0.2405,-0.2405,0.014650000000000002,1.0
2023-08-14,0.3968,0.4,-0.0033,-0.2105,0.0,0.0836,0.076,20.0,20.0,0.0142,-0.5504,-0.451,-0.451,0.012085714285714286,1.0
2023-08-15,0.37,0.3818,-0.0117,-0.1742,0.0,0.0856,0.0641,20.0,20.0,-0.0675,-0.6423,-0.6252,-0.6252,0.0091125,1.0
2023-08-16,0.4485,0.4613,-0.0129,-0.1124,0.0,0.0716,0.0644,20.0,20.0,0.0056,-0.6577,-0.7376,-0.7376,0.006666666666666667,1.0
2023-08-17,0.5603,0.4847,0.0756,0.2559,1.0,0.4078,0.3505,19.0,21.0,-0.0525,-0.3513,-0.4817,-0.4817,0.01356,1.0
2023-08-20,0.6326,0.5852,0.0474,-0.0583,0.0,0.2268,0.2702,20.0,20.0,-0.077,-0.2995,-0.54,-0.54,0.016636363636363637,1.0
2023-08-21,0.7197,0.6764,0.0433,-0.1232,0.0,0.3069,0.3702,19.0,21.0,-0.0443,-0.21219999999999997,-0.6632,-0.6632,0.018858333333333335,1.0
2023-08-22,0.5282,0.5533,-0.0251,-0.1922,0.0,0.0827,0.0967,20.0,20.0,-0.1256,-0.2302,-0.8554,-0.8554,0.015476923076923076,1.0
2023-08-23,0.5367,0.5608,-0.0241,-0.0026,0.0,0.0889,0.1069,20.0,20.0,-0.0921,-0.1204,-0.858,-0.858,0.012649999999999998,1.0
2023-08-24,0.586,0.583,0.0031,0.0085,1.0,0.1967,0.2387,20.0,20.0,-0.0493,-0.3678,-0.8495,-0.8495,0.012013333333333332,1.0
2023-08-27,0.4947,0.4922,0.0025,-0.1768,0.0,0.1362,0.1165,20.0,20.0,-0.0696,-0.4863,-1.0263,-1.0263,0.01141875,1.0
2023-08-28,0.4989,0.5063,-0.0075,-0.2443,0.0,0.0933,0.1105,20.0,20.0,-0.1428,-0.6074,-1.2706,-1.2706,0.010305882352941177,1.0
2023-08-29,0.4607,0.4832,-0.0224,-0.2708,0.0,0.0668,0.0596,20.0,20.0,-0.0781,-0.6859999999999999,-1.5413999999999999,-1.5413999999999999,0.008488888888888888,1.0
2023-08-30,0.5828,0.5163,0.0664,-0.1675,0.0,0.0936,0.1053,20.0,20.0,0.0186,-0.8509,-1.7089,-1.7089,0.011536842105263158,1.0
2023-09-03,0.4274,0.4269,0.0005,-0.1783,0.0,0.0871,0.0811,20.0,20.0,-0.059,-1.0377,-1.8872,-1.8872,0.010984999999999998,1.0
2023-09-04,0.6371,0.5686,0.0685,-0.1628,0.0,0.4676,0.4298,20.0,20.0,-0.0447,-1.0236999999999998,-2.037,-2.05,0.00878,1.0
2023-09-05,0.5504,0.5235,0.0269,-0.1633,0.0,0.1174,0.1434,20.0,20.0,-0.0959,-0.9426999999999999,-2.3127,-2.2133,0.010039999999999999,1.0
2023-09-07,0.5708,0.5396,0.0311,-0.0315,0.0,0.1312,0.173,20.0,20.0,-0.0506,-0.7034,-2.2619000000000002,-2.2448,0.01207,1.0
2023-09-10,0.4978,0.523,-0.0252,-0.1736,0.0,0.0789,0.0856,20.0,20.0,-0.0353,-0.7095,-2.3385000000000002,-2.4184,0.012320000000000001,1.0
2023-09-11,0.5218,0.5371,-0.0154,0.0245,1.0,0.0705,0.072,20.0,20.0,-0.0227,-0.5067,-2.2635,-2.3939,0.010960000000000001,1.0
2023-09-12,0.5777,0.5688,0.0089,-0.0087,0.0,0.1317,0.1839,20.0,20.0,0.0217,-0.3526,-2.1621,-2.4026,0.01133,1.0
2023-09-13,0.5178,0.4948,0.023,-0.0702,0.0,0.0901,0.0817,20.0,20.0,-0.0436,-0.2595,-2.0218,-2.4728,0.012645,1.0
2023-09-17,0.5593,0.595,-0.0358,-0.0664,0.0,0.0907,0.1169,20.0,20.0,-0.0455,-0.2944,-1.914,-2.5392,0.011439999999999999,1.0
2023-09-18,0.5422,0.5273,0.0148,-0.124,0.0,0.0682,0.0599,20.0,20.0,-0.0612,-0.24480000000000002,-1.9256,-2.6632,0.012825,1.0
2023-09-19,0.5488,0.5402,0.0086,0.1198,1.0,0.1198,0.1464,20.0,20.0,-0.0239,-0.14950000000000002,-2.0616999999999996,-2.5434,0.009475,1.0
2023-09-21,0.4692,0.4825,-0.0133,0.1355,1.0,0.0652,0.0665,20.0,20.0,-0.0826,-0.005299999999999999,-1.8679000000000001,-2.4079,0.0064399999999999995,1.0
2023-09-24,0.5807,0.5459,0.0348,0.0912,1.0,0.0893,0.1219,20.0,20.0,0.0,0.15610000000000002,-1.6535,-2.3167,0.0060149999999999995,0.0
2023-09-25,0.4728,0.424,0.0489,0.0858,1.0,0.1833,0.1533,20.0,20.0,-0.0373,0.3083,-1.3755,-2.2309,0.009714999999999998,0.0
2023-09-26,0.6035,0.5582,0.0453,0.0573,1.0,0.1332,0.1472,20.0,20.0,-0.0392,0.48960000000000004,-1.3155999999999999,-2.1736,0.013184999999999999,0.0
2023-09-27,0.5921,0.5711,0.021,0.1384,1.0,0.1042,0.1455,20.0,20.0,-0.0544,0.5082,-1.1857,-2.0352,0.01408,0.0
2023-10-01,0.6237,0.6053,0.0184,0.1154,1.0,0.081,0.0972,20.0,20.0,0.0,0.4881,-0.8935,-1.9198,0.014875,0.0
2023-10-02,0.4856,0.477,0.0085,-0.0901,0.0,0.0859,0.0801,20.0,20.0,-0.0491,0.3068,-0.7393,-2.0099,0.015675,0.0
2023-10-03,0.5274,0.495,0.0324,0.0816,1.0,0.0689,0.0682,20.0,20.0,0.031,0.30260000000000004,-0.38689999999999997,-1.9283,0.018414999999999997,0.0
2023-10-04,0.5304,0.5129,0.0175,0.1946,1.0,0.1897,0.2112,20.0,20.0,0.0261,0.4399,-0.02479999999999996,-1.7337,0.015969999999999998,0.0
2023-10-05,0.5821,0.5658,0.0163,-0.087,0.0,0.098,0.1051,20.0,20.0,-0.0642,0.2145,0.06650000000000003,-1.8207,0.01676,0.0
2023-10-08,0.5505,0.6142,-0.0637,0.1599,1.0,0.1314,0.1661,20.0,20.0,0.0087,0.259,0.3892,-1.6608,0.010149999999999998,0.0
2023-10-09,0.5775,0.5567,0.0209,-0.0697,0.0,0.0976,0.1187,20.0,20.0,-0.0841,0.27940000000000004,0.4828,-1.7305,0.009849999999999998,0.0
2023-10-10,0.589,0.6189,-0.0299,-0.1183,0.0,0.087,0.0838,20.0,20.0,-0.0603,0.07950000000000002,0.396,-1.8488,0.006799999999999999,0.0
2023-10-11,0.6246,0.5564,0.0682,-0.0005,0.0,0.2242,0.257,19.0,20.0,0.257,-0.11559999999999998,0.5691,-1.8493,0.011469999999999998,1.0
2023-10-12,0.6367,0.5494,0.0873,0.0781,1.0,0.2542,0.3002,19.0,21.0,0.3002,0.049500000000000016,0.6227,-1.7711999999999999,0.016604999999999998,0.0
2023-10-16,0.6572,0.6424,0.0147,0.3348,1.0,0.3584,0.3819,20.0,20.0,0.3819,0.22440000000000002,0.9662000000000001,-1.4364,0.016894999999999997,0.0
2023-10-17,0.7184,0.6723,0.0462,0.2531,1.0,0.3191,0.3739,12.0,26.0,0.3739,0.5472,1.2894999999999999,-1.1833,0.018054999999999998,0.0
2023-10-18,0.7481,0.752,-0.0038,-0.5291,0.0,0.5077,0.5289,20.0,20.0,-0.4731,0.13639999999999997,0.8268,-1.7124000000000001,0.019655,0.0
2023-10-19,0.8304,0.8173,0.0131,-0.5897,0.0,0.5106,0.5864,20.0,20.0,-0.536,-0.4528,0.3611,-2.3021000000000003,0.019569999999999997,1.0
2023-10-29,0.5987,0.5892,0.0096,-0.2786,0.0,0.1131,0.1341,20.0,20.0,-0.126,-0.8094999999999999,-0.0373,-2.5807,0.01962,1.0
2023-10-30,0.5708,0.5292,0.0416,-0.2265,0.0,0.0897,0.1241,20.0,20.0,-0.1607,-1.3708,-0.3993,-2.8072,0.022365,1.0
2023-10-31,0.6234,0.6297,-0.0063,-0.1151,0.0,0.2304,0.2808,20.0,20.0,-0.0745,-1.739,-0.6056,-2.9223,0.02031,1.0
2023-11-01,0.5865,0.5536,0.033,0.063,1.0,0.1499,0.1845,20.0,20.0,-0.0702,-1.1468999999999998,-0.6284,-2.8593,0.019514999999999998,1.0
2023-11-02,0.5955,0.5794,0.0161,-0.0396,0.0,0.085,0.0925,20.0,20.0,-0.1117,-0.5967999999999999,-0.7253000000000001,-2.8989000000000003,0.018054999999999998,1.0
2023-11-05,0.7533,0.6763,0.0769,0.1048,1.0,0.344,0.4227,14.0,26.0,0.4227,-0.2133999999999999,-0.7589,-2.7941000000000003,0.020849999999999997,1.0
2023-11-06,0.6462,0.6238,0.0224,-0.2793,0.0,0.1325,0.1663,20.0,20.0,-0.4261,-0.2661999999999999,-1.1536,-3.0734,0.02105,1.0
2023-11-07,0.7803,0.785,-0.0047,-0.1256,0.0,0.1982,0.3181,20.0,20.0,-0.5314,-0.2766999999999999,-1.1891,-3.199,0.02039,1.0
2023-11-08,0.7099,0.696,0.014,-0.2986,0.0,0.1079,0.15,20.0,20.0,-0.4116,-0.6382999999999999,-1.5693000000000001,-3.4976,0.019469999999999994,1.0
2023-11-09,0.6833,0.6565,0.0268,-0.0035,0.0,0.2943,0.3286,20.0,20.0,-0.0732,-0.6021999999999998,-1.7673999999999999,-3.5011,0.019935,1.0
2023-11-20,0.4984,0.4756,0.0229,-0.0885,0.0,0.0981,0.0769,20.0,20.0,-0.0397,-0.7954999999999999,-1.7689,-3.5896,0.020265,1.0
2023-11-21,0.7981,0.759,0.0391,-0.138,0.0,0.284,0.4087,19.0,20.0,-0.0489,-0.6541999999999998,-2.0667999999999997,-3.7146,0.025405,1.0
2023-11-22,0.6556,0.6056,0.05,-0.0357,0.0,0.0985,0.1324,20.0,20.0,-0.1643,-0.5642999999999999,-2.0328,-3.8627000000000002,0.026860000000000002,1.0
