date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-11-16,60.0,60.0,0.0,-10.0,0.0,0.3889,0.25,3.0,6.0,30.0,-10.0,-10.0,-10.0,0.0,1.0
2025-11-17,130.0,130.0,0.0,-80.0,0.0,0.4438,0.3077,4.0,10.0,-10.0,-90.0,-90.0,-90.0,0.0,1.0
2025-11-18,110.0,110.0,0.0,-50.0,0.0,0.4545,0.3182,4.0,10.0,0.0,-140.0,-140.0,-140.0,0.0,1.0
2025-11-19,120.0,120.0,0.0,-70.0,0.0,0.7083,0.4167,3.0,7.0,-30.0,-210.0,-210.0,-210.0,0.0,1.0
2025-11-20,200.0,200.0,0.0,-140.0,0.0,0.655,0.4,4.0,13.0,-30.0,-350.0,-350.0,-350.0,0.0,1.0
2025-11-23,240.0,240.0,0.0,-140.0,0.0,1.0,0.48,1.0,17.0,-50.0,-480.0,-490.0,-490.0,0.0,1.0
2025-11-24,390.0,390.0,0.0,-200.0,0.0,1.0,0.4875,1.0,20.0,-60.0,-600.0,-690.0,-690.0,0.0,1.0
2025-11-25,500.0,500.0,0.0,160.0,1.0,0.3544,0.2182,5.0,30.0,-40.0,-390.0,-530.0,-530.0,0.0,1.0
2025-11-26,670.0,670.0,0.0,-370.0,0.0,0.6017,0.3676,4.0,30.0,-60.0,-690.0,-900.0,-900.0,0.0,1.0
2025-11-27,910.0,910.0,0.0,-590.0,0.0,0.4861,0.266,3.0,31.0,-200.0,-1140.0,-1490.0,-1490.0,0.0,1.0
2025-11-30,1210.0,1090.0,0.0496,-600.0,0.0,0.5084,0.2934,3.0,36.0,-190.0,-1600.0,-2090.0,-2090.0,0.004509090909090909,1.0
2025-12-01,840.0,830.0,0.0058,-500.0,0.0,0.9765,0.4798,2.0,37.0,-110.0,-1900.0,-2590.0,-2590.0,0.0046166666666666665,1.0
2025-12-02,1240.0,1140.0,0.0417,-650.0,0.0,0.6677,0.4167,5.0,35.0,-110.0,-2710.0,-3240.0,-3240.0,0.007469230769230769,1.0
2025-12-03,1330.0,1200.0,0.0514,-610.0,0.0,0.9557,0.5138,3.0,37.0,-120.0,-2950.0,-3850.0,-3850.0,0.010607142857142857,1.0
2025-12-07,3630.0,2730.0,0.1203,1860.0,1.0,0.9945,0.484,2.0,36.0,3620.0,-500.0,-1990.0,-1990.0,0.017920000000000002,1.0
2025-12-08,33900.0,30860.0,0.0267,-10419.0,0.0,0.0841,0.0474,20.0,20.0,-5190.0,-10319.0,-12409.0,-12409.0,0.01846875,1.0
2025-12-09,8210.0,6610.0,0.0467,-1520.0,0.0,0.0894,0.0417,20.0,20.0,-620.0,-11339.0,-13929.0,-13929.0,0.020129411764705882,1.0
2025-12-10,22000.0,19280.0,0.0381,-5730.0,0.0,0.1781,0.0956,20.0,20.0,-8143.0,-16419.0,-19659.0,-19659.0,0.02112777777777778,1.0
2025-12-11,17926.0,14027.0,0.06,1389.0,1.0,0.099,0.0433,20.0,20.0,-736.0,-14420.0,-18270.0,-18270.0,0.02317368421052632,1.0
2025-12-14,16884.0,14064.0,0.0604,-2700.0,0.0,0.1347,0.096,20.0,20.0,-4734.0,-18980.0,-20970.0,-20970.0,0.025035,1.0
2025-12-15,12561.0,10441.0,0.0557,1343.0,1.0,0.1234,0.0796,20.0,20.0,-223.0,-7218.0,-19617.0,-19627.0,0.02782,1.0
2025-12-16,6483.0,6153.0,0.0175,-631.0,0.0,0.0861,0.0529,20.0,20.0,-250.0,-6329.0,-20168.0,-20258.0,0.028695,1.0
2025-12-17,13223.0,11842.0,0.0445,1649.0,1.0,0.1427,0.1117,20.0,20.0,0.0,1050.0,-18469.0,-18609.0,0.030920000000000003,0.0
2025-12-18,8786.0,7906.0,0.0345,-2126.0,0.0,0.14,0.1058,20.0,20.0,-587.0,-2465.0,-20525.0,-20735.0,0.032645,1.0
2025-12-21,13460.0,12600.0,0.0253,-1799.0,0.0,0.1575,0.1292,18.0,20.0,-4500.0,-1564.0,-22184.0,-22534.0,0.03391,1.0
2025-12-22,7026.0,5886.0,0.065,689.0,1.0,0.2444,0.1843,16.0,24.0,-1216.0,-2218.0,-21355.0,-21845.0,0.03716,1.0
2025-12-23,8293.0,7750.0,0.0234,-312.0,0.0,0.1246,0.0907,20.0,20.0,-832.0,-1899.0,-21467.0,-22157.0,0.03833,1.0
2025-12-24,3341.0,2801.0,0.0632,-520.0,0.0,0.1283,0.0913,15.0,25.0,-580.0,-4068.0,-22147.0,-22677.0,0.04149,1.0
2025-12-28,9106.0,8341.0,0.0321,1936.0,1.0,0.241,0.1774,20.0,20.0,-1109.0,-6.0,-19841.0,-20741.0,0.043095,1.0
2025-12-29,14495.0,13700.0,0.0222,-1627.0,0.0,0.1529,0.0981,20.0,20.0,-350.0,166.0,-20878.0,-22368.0,0.044205,0.0
2025-12-31,13985.0,12639.0,0.0374,-404.0,0.0,0.1346,0.105,20.0,20.0,-907.0,-927.0,-20682.0,-22772.0,0.043595,1.0
2026-01-01,18090.0,17087.0,0.02,-6172.0,0.0,0.1167,0.0757,20.0,20.0,1236.0,-6787.0,-26354.0,-28944.0,0.044305,1.0
2026-01-04,19980.0,20059.0,-0.0013,3437.0,1.0,0.0847,0.0537,20.0,20.0,0.0,-2830.0,-22267.0,-25507.0,0.042155000000000005,1.0
2026-01-05,24004.0,25817.0,-0.0307,2293.0,1.0,0.0961,0.0854,20.0,20.0,-2500.0,-2473.0,-19364.0,-23214.0,0.03805,1.0
2026-01-06,18032.0,17741.0,0.0054,3295.0,1.0,0.0872,0.0668,20.0,20.0,-184.0,2449.0,-17929.0,-19919.0,0.032305,0.0
2026-01-07,15761.0,14229.0,0.0384,-5300.0,0.0,0.1772,0.1239,20.0,20.0,-579.0,-2447.0,-12810.0,-25219.0,0.03289,1.0
2026-01-08,8946.0,8355.0,0.0234,3291.0,1.0,0.1446,0.1146,20.0,20.0,-562.0,7016.0,-7999.0,-21928.0,0.031724999999999996,0.0
2026-01-12,16790.0,16886.0,-0.0018,-4346.0,0.0,0.0679,0.0378,20.0,20.0,0.0,-767.0,-6615.0,-26274.0,0.02973,1.0
2026-01-13,22294.0,25409.0,-0.0402,-10216.0,0.0,0.0877,0.0501,20.0,20.0,-440.0,-13276.0,-18220.0,-36490.0,0.02472,1.0
2026-01-14,12546.0,11896.0,0.0225,7213.0,1.0,0.5735,0.3263,14.0,25.0,-580.0,-9358.0,-8307.0,-29277.0,0.022825,1.0
2026-01-18,15434.0,14935.0,0.0116,2169.0,1.0,0.0893,0.0643,20.0,20.0,0.0,-1889.0,-7481.0,-27108.0,0.02062,1.0
2026-01-20,23892.0,22392.0,0.0235,-10039.0,0.0,0.1955,0.1431,20.0,20.0,-1890.0,-15219.0,-16889.0,-37147.0,0.02092,1.0
2026-01-21,10422.0,10557.0,-0.0044,-4037.0,0.0,0.0792,0.0605,20.0,20.0,-542.0,-14910.0,-22575.0,-41184.0,0.018475,1.0
2026-01-22,31763.0,29054.0,0.0303,8108.0,1.0,0.2036,0.1373,20.0,20.0,5464.0,3414.0,-12341.0,-33076.0,0.018264999999999997,0.0
2026-01-25,12322.0,12884.0,-0.0114,-3757.0,0.0,0.0892,0.0532,20.0,20.0,-480.0,-7556.0,-14299.0,-36833.0,0.01643,1.0
2026-01-26,20989.0,21579.0,-0.0094,3174.0,1.0,0.0778,0.042,20.0,20.0,-5851.0,-6551.0,-11814.0,-33659.0,0.012709999999999999,1.0
2026-01-27,13637.0,14392.0,-0.0141,-119.0,0.0,0.0728,0.0336,20.0,20.0,957.0,3369.0,-11621.0,-33778.0,0.010835000000000001,0.0
2026-01-28,6651.0,6516.0,0.0062,-1957.0,0.0,0.0663,0.0326,20.0,20.0,-101.0,5449.0,-13058.0,-35735.0,0.007984999999999999,0.0
2026-01-29,9807.0,9720.0,0.0027,-420.0,0.0,0.0778,0.0421,20.0,20.0,928.0,-3079.0,-15414.0,-36155.0,0.006515,1.0
2026-02-01,5691.0,5919.0,-0.0109,-832.0,0.0,0.0618,0.0286,20.0,20.0,-390.0,-154.0,-14619.0,-36987.0,0.00486,1.0
2026-02-02,7782.0,7777.0,0.0002,2441.0,1.0,0.0978,0.0649,20.0,20.0,1650.0,-887.0,-11774.0,-34546.0,0.0029999999999999996,1.0
2026-02-03,6068.0,6003.0,0.0038,-2210.0,0.0,0.0969,0.0508,20.0,20.0,848.0,-2978.0,-7812.0,-36756.0,0.00219,1.0
