date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.79,0.79,0.0,0.11,1.0,0.1225,0.2106,20.0,20.0,-0.0383,0.11,0.11,0.11,0.0,0.0
2023-01-24,0.6933,0.704,-0.0107,-0.1428,0.0,0.0954,0.1054,20.0,20.0,0.0852,-0.03280000000000001,-0.03280000000000001,-0.03280000000000001,-0.00535,1.0
2023-01-25,0.5637,0.5637,0.0,-0.1492,0.0,0.1233,0.1052,13.0,23.0,-0.0372,-0.182,-0.182,-0.182,-0.0035666666666666663,1.0
2023-01-26,0.5101,0.5101,0.0,0.2304,1.0,0.0848,0.0708,20.0,20.0,0.0082,0.0484,0.0484,0.0484,-0.002675,0.0
2023-01-29,0.6328,0.5892,0.0435,-0.1556,0.0,0.1558,0.1403,18.0,22.0,-0.0496,-0.10719999999999999,-0.10719999999999999,-0.10719999999999999,0.006559999999999999,1.0
2023-01-30,0.5071,0.5253,-0.0182,0.123,1.0,0.0727,0.0668,20.0,20.0,0.0181,-0.0942,0.01580000000000001,0.01580000000000001,0.0024333333333333325,1.0
2023-01-31,0.7337,0.7444,-0.0107,0.16,1.0,0.0769,0.1256,20.0,20.0,-0.0272,0.20860000000000004,0.1758,0.1758,0.0005571428571428565,0.0
2023-02-01,0.4787,0.4892,-0.0104,-0.1455,0.0,0.0747,0.0601,20.0,20.0,0.0146,0.21230000000000002,0.03030000000000002,0.03030000000000002,-0.0008125000000000005,0.0
2023-02-02,0.6547,0.6567,-0.002,-0.25,0.0,0.1094,0.1656,20.0,20.0,0.0182,-0.26809999999999995,-0.21969999999999998,-0.21969999999999998,-0.0009444444444444449,1.0
2023-02-05,0.7579,0.7503,0.0076,-0.3457,0.0,0.316,0.4037,15.0,24.0,-0.0474,-0.45819999999999994,-0.5654,-0.5654,-9.000000000000041e-05,1.0
2023-02-06,0.6977,0.6777,0.02,-0.2462,0.0,0.6432,0.5552,10.0,30.0,-0.0635,-0.8273999999999999,-0.8116,-0.8116,0.001736363636363636,1.0
2023-02-07,0.4683,0.4777,-0.0094,0.0131,1.0,0.0845,0.0892,20.0,20.0,0.0163,-0.9742999999999999,-0.7985,-0.7985,0.0008083333333333329,1.0
2023-02-08,0.4422,0.4312,0.011,0.2549,1.0,0.101,0.0874,20.0,20.0,-0.0308,-0.5739,-0.5436,-0.5436,0.001592307692307692,1.0
2023-02-09,0.5772,0.5551,0.0221,0.1758,1.0,0.2199,0.2365,17.0,23.0,-0.0215,-0.1480999999999999,-0.36779999999999996,-0.36779999999999996,0.003057142857142857,1.0
2023-02-12,0.5879,0.6281,-0.0403,0.1374,1.0,0.0728,0.0845,21.0,19.0,-0.0168,0.3350000000000001,-0.23039999999999997,-0.23039999999999997,0.00016666666666666636,0.0
2023-02-14,0.5811,0.5715,0.0097,-0.0208,0.0,0.2592,0.2622,20.0,20.0,-0.0411,0.5604000000000001,-0.2512,-0.2512,0.0007624999999999997,0.0
2023-02-15,0.6415,0.6436,-0.0021,-0.0187,0.0,0.0885,0.1169,20.0,20.0,-0.0239,0.5286000000000001,-0.2699,-0.2699,0.0005941176470588233,0.0
2023-02-16,0.6158,0.6309,-0.0151,0.0493,1.0,0.0831,0.0839,20.0,19.0,-0.04,0.32300000000000006,-0.22059999999999996,-0.22059999999999996,-0.00027777777777777805,0.0
2023-02-20,0.5982,0.5928,0.0054,0.3261,1.0,0.1002,0.1036,20.0,20.0,0.1036,0.47330000000000005,0.10550000000000004,0.10550000000000004,2.105263157894715e-05,0.0
2023-02-22,0.664,0.6664,-0.0025,-0.3317,0.0,0.0954,0.1406,20.0,20.0,0.04,0.0042000000000000925,-0.22619999999999996,-0.22619999999999996,-0.00010500000000000021,0.0
2023-02-23,0.6528,0.6683,-0.0155,-0.1272,0.0,0.0608,0.074,20.0,20.0,0.0247,-0.10219999999999994,-0.4633999999999999,-0.35339999999999994,-0.0008800000000000002,1.0
2023-02-26,0.7998,0.8067,-0.0069,-0.3898,0.0,0.1084,0.1956,27.0,12.0,0.063,-0.47329999999999994,-0.7103999999999999,-0.7432,-0.0006900000000000003,1.0
2023-02-27,0.5923,0.5923,0.0,-0.349,0.0,0.1257,0.1237,20.0,20.0,0.0081,-0.8715999999999999,-0.9101999999999999,-1.0922,-0.0006900000000000003,1.0
2023-02-28,0.6396,0.6396,0.0,0.2308,1.0,0.115,0.1602,20.0,19.0,0.1602,-0.9668999999999999,-0.9097999999999999,-0.8613999999999999,-0.0006900000000000003,1.0
2023-03-01,0.6499,0.6499,0.0,0.0527,1.0,0.1176,0.1404,17.0,18.0,-0.0228,-0.5824999999999998,-0.7014999999999999,-0.8087,-0.0028650000000000004,1.0
2023-03-02,0.7992,0.8158,-0.0167,-0.3119,0.0,0.0713,0.1066,26.0,14.0,-0.0819,-0.7671999999999999,-1.1364,-1.1206,-0.00279,1.0
2023-03-05,0.5737,0.5881,-0.0144,-0.0653,0.0,0.0928,0.1188,21.0,18.0,-0.1171,-0.4427,-1.3617000000000001,-1.1859,-0.0029749999999999998,1.0
2023-03-07,0.8062,0.7851,0.0211,0.131,1.0,0.2613,0.3764,16.0,24.0,-0.0202,0.03730000000000003,-1.0852,-1.0549,-0.0014,0.0
2023-03-09,0.7463,0.7292,0.0171,0.0453,1.0,0.1843,0.2845,18.0,22.0,-0.1494,-0.14819999999999997,-0.7899,-1.0095999999999998,-0.0004450000000000001,1.0
2023-03-12,0.4867,0.4845,0.0021,0.0589,1.0,0.0889,0.0834,20.0,20.0,0.0834,-0.14199999999999996,-0.38530000000000003,-0.9506999999999999,-0.00072,1.0
2023-03-13,0.766,0.766,0.0,0.0678,1.0,0.1596,0.2494,17.0,23.0,-0.1102,0.23770000000000002,-0.07130000000000002,-0.8828999999999999,-0.00172,0.0
2023-03-14,0.6834,0.6834,0.0,-0.4745,0.0,0.1355,0.2034,23.0,15.0,0.0138,-0.17149999999999993,-0.5589,-1.3574,-0.00125,1.0
2023-03-15,0.7447,0.7447,0.0,-0.1804,0.0,0.2177,0.3179,20.0,15.0,0.0581,-0.4829,-0.9942,-1.5377999999999998,-0.0018000000000000002,1.0
2023-03-16,0.8451,0.8451,0.0,-0.4808,0.0,0.1011,0.1514,27.0,13.0,0.0761,-1.009,-1.6508,-2.0185999999999997,-0.0029050000000000005,1.0
2023-03-19,0.5057,0.5051,0.0006,-0.066,0.0,0.1791,0.1749,20.0,20.0,0.0048,-1.1339,-1.8542,-2.0846,-0.0008600000000000002,1.0
2023-03-20,0.7179,0.7179,0.0,-0.2239,0.0,0.1168,0.1636,24.0,16.0,0.017,-1.4256,-2.0573,-2.3085,-0.0013450000000000003,1.0
2023-03-22,0.6737,0.6737,0.0,0.2327,1.0,0.1733,0.233,20.0,19.0,0.0168,-0.7184,-1.8059,-2.0758,-0.0012400000000000002,1.0
2023-03-23,0.8338,0.8338,0.0,-0.1823,0.0,0.1368,0.2236,17.0,21.0,0.0167,-0.7202999999999999,-2.0375,-2.2580999999999998,-0.0004850000000000002,1.0
2023-03-26,0.7889,0.7889,0.0,0.3165,1.0,0.1419,0.2381,22.0,14.0,0.2381,0.07700000000000001,-2.0471,-1.9415999999999998,-0.0007550000000000002,0.0
2023-03-27,0.5681,0.5681,0.0,0.1506,1.0,0.1369,0.1395,17.0,20.0,-0.0165,0.2936,-1.5648000000000002,-1.791,-0.0006300000000000001,0.0
2023-03-28,0.6693,0.6742,-0.0049,-0.0059,0.0,0.1044,0.1296,21.0,18.0,0.0246,0.5116,-1.4435,-1.7969,-0.00010000000000000013,0.0
2023-03-29,0.8459,0.8459,0.0,0.0884,1.0,0.1274,0.2019,16.0,20.0,-0.1097,0.36730000000000007,-0.9653,-1.7085,0.0002449999999999999,0.0
2023-03-30,0.7897,0.7897,0.0,-0.4214,0.0,0.1637,0.2201,13.0,19.0,0.0376,0.1282000000000001,-1.0377,-2.1298999999999997,0.0002449999999999999,0.0
2023-04-02,0.6615,0.6615,0.0,-0.0843,0.0,0.111,0.1587,19.0,21.0,0.0563,-0.27259999999999995,-1.3528,-2.2142,0.0002449999999999999,1.0
2023-04-03,0.7333,0.7333,0.0,-0.087,0.0,0.0935,0.1141,21.0,11.0,0.037,-0.5102,-1.4925000000000002,-2.3011999999999997,0.0002449999999999999,1.0
2023-04-04,0.8546,0.8546,0.0,0.098,1.0,0.0816,0.1029,18.0,10.0,-0.0809,-0.40629999999999994,-1.0826,-2.2032,0.0010799999999999998,1.0
2023-04-05,0.814,0.814,0.0,-0.051,0.0,0.1328,0.1789,18.0,20.0,0.061,-0.5457,-1.0683,-2.2542,0.0018,1.0
2023-04-06,0.9379,0.9379,0.0,0.1793,1.0,0.118,0.2171,19.0,18.0,-0.0072,0.05499999999999999,-1.02,-2.0749,0.0007449999999999998,0.0
2023-04-09,0.7429,0.7429,0.0,-0.2102,0.0,0.2588,0.3379,15.0,22.0,0.0121,-0.07090000000000002,-1.2755,-2.2851,-0.00011000000000000021,1.0
2023-04-10,0.7438,0.7438,0.0,0.0812,1.0,0.1636,0.2217,18.0,17.0,0.0562,0.09729999999999998,-1.2532,-2.2039,-0.00021500000000000018,0.0
