date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,533448.0,548436.0,-0.0063,-13868.0,0.0,0.1482,0.0769,20.0,20.0,-131051.0,-13868.0,-13868.0,-13868.0,-0.0063,1.0
2023-01-24,104793.0,99826.0,0.011,18344.0,1.0,0.1063,0.0538,20.0,20.0,0.0,4476.0,4476.0,4476.0,0.0023499999999999997,0.0
2023-01-25,147119.0,163445.0,-0.0362,-58267.0,0.0,0.0596,0.0356,28.0,12.0,7484.0,-53791.0,-53791.0,-53791.0,-0.0105,1.0
2023-01-26,166987.0,169092.0,-0.0041,-78384.0,0.0,0.1467,0.1069,20.0,20.0,-48313.0,-132175.0,-132175.0,-132175.0,-0.008900000000000002,1.0
2023-01-29,86024.0,90567.0,-0.0139,-8330.0,0.0,0.082,0.0412,20.0,20.0,-4717.0,-140505.0,-140505.0,-140505.0,-0.0099,1.0
2023-01-30,93459.0,90646.0,0.0089,-41875.0,0.0,0.357,0.1733,20.0,20.0,-2860.0,-168512.0,-182380.0,-182380.0,-0.006766666666666667,1.0
2023-01-31,51534.0,53716.0,-0.0088,-4437.0,0.0,0.0692,0.0294,20.0,20.0,-8293.0,-191293.0,-186817.0,-186817.0,-0.007057142857142858,1.0
2023-02-01,59382.0,59969.0,-0.0029,-20503.0,0.0,0.1176,0.0728,20.0,20.0,-1659.0,-153529.0,-207320.0,-207320.0,-0.006537500000000001,1.0
2023-02-02,59241.0,57835.0,0.0061,7934.0,1.0,0.1055,0.0477,20.0,20.0,10956.0,-67211.0,-199386.0,-199386.0,-0.0051333333333333335,1.0
2023-02-05,93688.0,86789.0,0.0252,9533.0,1.0,0.4393,0.1978,12.0,27.0,-4809.0,-49348.0,-189853.0,-189853.0,-0.0021000000000000003,1.0
2023-02-06,66875.0,67718.0,-0.0049,-16669.0,0.0,0.1404,0.102,20.0,20.0,-11508.0,-24142.0,-206522.0,-206522.0,-0.002354545454545455,1.0
2023-02-07,68636.0,66929.0,0.0064,-13231.0,0.0,0.1314,0.0638,20.0,20.0,-2222.0,-32936.0,-219753.0,-219753.0,-0.0016250000000000004,1.0
2023-02-08,65815.0,66497.0,-0.0026,7230.0,1.0,0.071,0.0317,20.0,20.0,1184.0,-5203.0,-212523.0,-212523.0,-0.0017000000000000003,1.0
2023-02-09,36918.0,36277.0,0.0043,18611.0,1.0,0.1944,0.0979,20.0,20.0,2068.0,5474.0,-193912.0,-193912.0,-0.0012714285714285716,0.0
2023-02-12,77398.0,84002.0,-0.0216,8172.0,1.0,0.0654,0.03,22.0,18.0,-12321.0,4113.0,-185740.0,-185740.0,-0.002626666666666667,0.0
2023-02-14,81078.0,84960.0,-0.0163,-29749.0,0.0,0.0764,0.0467,20.0,20.0,2026.0,-8967.0,-215489.0,-215489.0,-0.00348125,1.0
2023-02-15,43140.0,47186.0,-0.0276,5894.0,1.0,0.0691,0.0441,24.0,16.0,-11.0,10158.0,-209595.0,-209595.0,-0.0049,0.0
2023-02-16,68216.0,67539.0,0.003,155.0,1.0,0.2185,0.1027,20.0,20.0,-606.0,3083.0,-209440.0,-209440.0,-0.004461111111111111,0.0
2023-02-20,33894.0,34588.0,-0.005,6097.0,1.0,0.0838,0.0427,20.0,20.0,-2912.0,-9431.0,-203343.0,-203343.0,-0.004489473684210527,1.0
2023-02-22,78870.0,79601.0,-0.0032,16164.0,1.0,0.1382,0.0849,20.0,20.0,6335.0,-1439.0,-187179.0,-187179.0,-0.004425,1.0
2023-02-23,80516.0,90359.0,-0.0363,52555.0,1.0,0.0779,0.0477,23.0,17.0,4086.0,80865.0,-120756.0,-134624.0,-0.005925,0.0
2023-02-26,56236.0,60679.0,-0.0217,11604.0,1.0,0.0859,0.0546,24.0,16.0,3240.0,86575.0,-127496.0,-123020.0,-0.00756,0.0
2023-02-27,39709.0,42293.0,-0.0174,3297.0,1.0,0.0727,0.0346,20.0,20.0,4441.0,89717.0,-65932.0,-119723.0,-0.006619999999999999,0.0
2023-02-28,28818.0,28527.0,0.0035,11352.0,1.0,0.413,0.2103,19.0,21.0,5895.0,94972.0,23804.0,-108371.0,-0.006240000000000001,0.0
2023-03-01,32173.0,33109.0,-0.0087,3673.0,1.0,0.1048,0.0694,21.0,19.0,-486.0,82481.0,35807.0,-104698.0,-0.00598,0.0
2023-03-02,23860.0,23995.0,-0.0018,-1297.0,0.0,0.1248,0.0846,20.0,20.0,2554.0,28629.0,76385.0,-105995.0,-0.006515,0.0
2023-03-05,30378.0,30944.0,-0.0048,3542.0,1.0,0.1,0.0526,21.0,18.0,-154.0,20567.0,84364.0,-102453.0,-0.006314999999999999,0.0
2023-03-07,34050.0,34089.0,-0.0004,12347.0,1.0,0.2012,0.1288,20.0,20.0,8340.0,29617.0,117214.0,-90106.0,-0.00619,0.0
2023-03-09,54211.0,54687.0,-0.0026,501.0,1.0,0.1201,0.0725,20.0,20.0,560.0,18766.0,109781.0,-89605.0,-0.006625000000000001,0.0
2023-03-12,47450.0,50454.0,-0.0232,21126.0,1.0,0.0947,0.0787,26.0,14.0,1271.0,36219.0,121374.0,-68479.0,-0.009045000000000001,0.0
2023-03-13,33862.0,36090.0,-0.0221,14477.0,1.0,0.0703,0.0533,26.0,14.0,2573.0,51993.0,152520.0,-54002.0,-0.009905,0.0
2023-03-14,36753.0,36918.0,-0.0017,2267.0,1.0,0.1013,0.0736,20.0,20.0,1519.0,50718.0,168018.0,-51735.0,-0.010310000000000001,0.0
2023-03-15,61474.0,63822.0,-0.0136,40880.0,1.0,0.1076,0.071,21.0,19.0,9096.0,79251.0,201668.0,-10855.0,-0.01086,0.0
