date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-21,1022.0,1022.0,0.0,-420.0,0.0,0.7359,0.3911,2.0,34.0,-150.0,-420.0,-420.0,-420.0,0.0,1.0
2023-08-22,930.0,930.0,0.0,-440.0,0.0,1.0,0.4794,1.0,36.0,-130.0,-860.0,-860.0,-860.0,0.0,1.0
2023-08-23,580.0,580.0,0.0,110.0,1.0,0.6813,0.3672,4.0,27.0,-110.0,-750.0,-750.0,-750.0,0.0,1.0
2023-08-24,2428.0,2248.0,0.0362,426.0,1.0,0.3303,0.1873,5.0,35.0,932.0,-324.0,-324.0,-324.0,0.00905,1.0
2023-08-27,2449.0,2429.0,0.004,-1908.0,0.0,0.9545,0.4805,2.0,38.0,-220.0,-2232.0,-2232.0,-2232.0,0.00804,1.0
2023-08-28,1931.0,1761.0,0.0446,-860.0,0.0,0.7025,0.4145,2.0,37.0,-230.0,-2672.0,-3092.0,-3092.0,0.014133333333333333,1.0
2023-08-29,10463.0,10026.0,0.0145,697.0,1.0,0.1585,0.0972,20.0,20.0,-1900.0,-1535.0,-2395.0,-2395.0,0.014185714285714286,1.0
2023-08-30,8861.0,8216.0,0.0243,2801.0,1.0,0.1233,0.0692,16.0,24.0,-1460.0,1156.0,406.0,406.0,0.01545,0.0
2023-09-03,5538.0,5263.0,0.0179,286.0,1.0,0.1215,0.075,19.0,20.0,0.0,1016.0,692.0,692.0,0.015722222222222224,0.0
2023-09-04,2990.0,2900.0,0.0106,-980.0,0.0,0.0876,0.0611,20.0,20.0,-320.0,1944.0,-288.0,-288.0,0.015210000000000001,0.0
2023-09-05,1116.0,1116.0,0.0,216.0,1.0,0.1562,0.117,13.0,20.0,204.0,3020.0,-72.0,-72.0,0.013827272727272728,0.0
