date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9118,0.9118,0.0,-0.1176,0.0,0.2393,0.3971,10.0,14.0,-0.5147,-0.1176,-0.1176,-0.1176,0.0,1.0
2023-01-24,0.8144,0.8144,0.0,0.0515,1.0,0.2305,0.3196,10.0,14.0,-0.0928,-0.06609999999999999,-0.06609999999999999,-0.06609999999999999,0.0,1.0
2023-01-25,1.0,1.0,0.0,-0.7333,0.0,0.362,0.5333,5.0,11.0,-0.2667,-0.7993999999999999,-0.7993999999999999,-0.7993999999999999,0.0,1.0
2023-01-26,0.9011,0.9011,0.0,0.2175,1.0,0.2479,0.3194,6.0,23.0,0.3194,-0.5819,-0.5819,-0.5819,0.0,1.0
2023-01-29,0.807,0.807,0.0,0.3333,1.0,0.3885,0.386,3.0,16.0,-0.0526,-0.24860000000000004,-0.24860000000000004,-0.24860000000000004,0.0,1.0
2023-01-30,0.7389,0.7389,0.0,-0.0222,0.0,0.4991,0.5111,6.0,15.0,-0.1333,-0.15320000000000006,-0.27080000000000004,-0.27080000000000004,0.0,1.0
2023-01-31,0.877,0.877,0.0,0.123,1.0,0.7458,0.7541,4.0,10.0,-0.2049,-0.08170000000000005,-0.14780000000000004,-0.14780000000000004,0.0,1.0
2023-02-01,0.8701,0.8701,0.0,0.0649,1.0,0.3085,0.3896,6.0,17.0,-0.1299,0.7164999999999999,-0.08290000000000004,-0.08290000000000004,0.0,0.0
2023-02-02,0.8462,0.8462,0.0,-0.0385,0.0,0.5207,0.5769,4.0,10.0,-0.1538,0.4604999999999998,-0.12140000000000004,-0.12140000000000004,0.0,0.0
2023-02-05,0.8611,0.8611,0.0,-0.0278,0.0,0.2482,0.3333,6.0,15.0,-0.1667,0.09939999999999989,-0.14920000000000005,-0.14920000000000005,0.0,0.0
2023-02-06,0.8642,0.8642,0.0,0.0494,1.0,0.3588,0.4938,7.0,15.0,0.0617,0.17099999999999987,-0.09980000000000004,-0.09980000000000004,0.0,0.0
2023-02-07,0.9062,0.9062,0.0,0.3125,1.0,0.3555,0.4688,4.0,16.0,-0.0625,0.3604999999999999,0.21269999999999994,0.21269999999999994,0.0,0.0
2023-02-08,1.0,1.0,0.0,-0.1875,0.0,0.1816,0.25,9.0,17.0,-0.125,0.10809999999999986,0.025199999999999945,0.025199999999999945,0.0,0.0
2023-02-09,0.9479,0.9479,0.0,0.0521,1.0,0.4928,0.625,3.0,7.0,-0.5312,0.19869999999999988,0.07729999999999995,0.07729999999999995,0.0,0.0
2023-02-12,0.9522,0.9522,0.0,-0.055,0.0,0.3676,0.4612,3.0,14.0,-0.0789,0.17149999999999987,0.022299999999999945,0.022299999999999945,0.0,0.0
2023-02-14,0.9726,0.9726,0.0,-0.3151,0.0,0.2529,0.3288,7.0,9.0,0.0548,-0.19300000000000012,-0.29280000000000006,-0.29280000000000006,0.0,1.0
2023-02-15,0.9277,0.9277,0.0,-0.0362,0.0,0.3584,0.4936,5.0,11.0,-0.0362,-0.5417000000000001,-0.32900000000000007,-0.32900000000000007,0.0,1.0
2023-02-16,0.7391,0.7391,0.0,0.058,1.0,0.6632,0.5942,4.0,9.0,0.029,-0.29620000000000013,-0.2710000000000001,-0.2710000000000001,0.0,1.0
2023-02-20,0.9312,0.9312,0.0,-0.327,0.0,0.3373,0.4492,5.0,12.0,-0.1222,-0.6753000000000001,-0.5980000000000001,-0.5980000000000001,0.0,1.0
2023-02-22,0.9,0.9,0.0,0.1,1.0,0.2824,0.4143,9.0,17.0,-0.1571,-0.5203000000000002,-0.4980000000000001,-0.4980000000000001,0.0,1.0
2023-02-23,0.9683,0.9683,0.0,-0.127,0.0,0.3625,0.4127,3.0,15.0,-0.0952,-0.33220000000000016,-0.5074000000000001,-0.6250000000000001,0.0,1.0
2023-02-26,0.8,0.8,0.0,-0.05,0.0,0.1719,0.2,7.0,10.0,-0.05,-0.34600000000000014,-0.6089000000000001,-0.675,0.0,1.0
2023-02-27,0.8684,0.8684,0.0,-0.1053,0.0,0.1772,0.2632,7.0,14.0,0.2632,-0.5093000000000001,0.019099999999999853,-0.7803000000000001,0.0,1.0
2023-02-28,0.6111,0.6111,0.0,-0.3889,0.0,0.1736,0.1667,7.0,6.0,0.0556,-0.5712000000000002,-0.5873000000000002,-1.1692,0.0,1.0
2023-03-01,0.9545,0.9545,0.0,-0.6818,0.0,0.5011,0.6364,3.0,8.0,-0.5,-1.3530000000000002,-1.6024000000000003,-1.851,0.0,1.0
2023-03-02,0.9444,0.9444,0.0,-0.2778,0.0,0.3841,0.5,4.0,11.0,-0.2222,-1.5038,-1.858,-2.1288,0.0,1.0
2023-03-05,1.0,1.0,0.0,-0.0451,0.0,0.2947,0.3648,4.0,10.0,-0.2869,-1.4989000000000001,-2.0261,-2.1739,0.0,1.0
2023-03-07,1.0,1.0,0.0,0.9797,1.0,0.988,0.994,6.0,7.0,-0.0006,-0.41390000000000005,-1.1113000000000004,-1.1942,0.0,1.0
2023-03-09,0.8947,0.8947,0.0,-0.1053,0.0,0.4287,0.5474,5.0,14.0,-0.0632,-0.13030000000000003,-1.1781000000000001,-1.2995,0.0,1.0
2023-03-12,0.7834,0.7834,0.0,-0.1805,0.0,0.2941,0.3249,5.0,8.0,-0.296,0.3709999999999999,-1.3308,-1.48,0.0,0.0
2023-03-13,0.9615,0.9615,0.0,0.1154,1.0,0.7216,0.8077,3.0,10.0,-0.3077,0.7641999999999998,-1.2648000000000001,-1.3646,0.0,0.0
2023-03-14,0.7668,0.7668,0.0,-0.061,0.0,0.2183,0.2297,7.0,13.0,0.053,0.7482999999999999,-1.6383,-1.4256,0.0,0.0
2023-03-15,0.8947,0.8947,0.0,-0.5263,0.0,0.301,0.3158,4.0,12.0,-0.2105,-0.7577000000000002,-1.9771,-1.9519,0.0,1.0
2023-03-16,0.8333,0.8333,0.0,-0.3333,0.0,0.3333,0.3333,5.0,9.0,-0.1111,-0.9857,-2.3625,-2.2852,0.0,1.0
2023-03-19,0.9652,0.9652,0.0,-0.5043,0.0,0.1793,0.2609,7.0,19.0,-0.1565,-1.3095,-2.8118,-2.7895,0.0,1.0
2023-03-20,1.0,1.0,0.0,-0.3222,0.0,0.5062,0.6667,3.0,6.0,-0.2111,-1.7471,-2.8188999999999997,-3.1117,0.0,1.0
2023-03-22,0.9111,0.9111,0.0,0.1556,1.0,0.5788,0.6667,3.0,18.0,-0.3333,-1.5305000000000002,-2.6271,-2.9560999999999997,0.0,1.0
2023-03-23,0.85,0.85,0.0,0.2,1.0,0.7862,0.75,3.0,14.0,-0.3167,-0.8042000000000001,-2.4850999999999996,-2.7561,0.0,1.0
2023-03-26,1.0,1.0,0.0,0.3704,1.0,0.797,0.8889,3.0,13.0,-0.2963,-0.10050000000000009,-1.7876999999999996,-2.3857,0.0,1.0
2023-03-27,0.9143,0.9143,0.0,-0.0857,0.0,0.6855,0.7429,3.0,8.0,-0.2,0.3180999999999999,-1.9733999999999998,-2.4714,0.0,0.0
2023-03-28,0.9269,0.9269,0.0,-0.1219,0.0,0.8342,0.8457,6.0,18.0,-0.0244,0.5183999999999999,-1.9682999999999997,-2.5932999999999997,0.0,0.0
2023-03-29,0.8261,0.8261,0.0,-0.1304,0.0,0.4294,0.4783,3.0,9.0,-0.2609,0.23239999999999994,-2.0486999999999997,-2.7237,0.0,0.0
2023-03-30,1.0,1.0,0.0,-0.3953,0.0,0.2104,0.2791,6.0,10.0,-0.2791,-0.3629000000000001,-2.3387,-3.1189999999999998,0.0,1.0
2023-04-02,0.9724,0.9724,0.0,-0.8207,0.0,0.4985,0.669,6.0,15.0,-0.669,-1.554,-2.7704999999999997,-3.9396999999999998,0.0,1.0
2023-04-03,0.8571,0.8571,0.0,0.0,0.0,0.4062,0.4643,3.0,12.0,0.4643,-1.4683000000000002,-2.0887,-3.9396999999999998,0.0,1.0
2023-04-04,1.0,1.0,0.0,-0.3529,0.0,0.301,0.4118,4.0,12.0,-0.1176,-1.6993,-2.1637999999999997,-4.2926,0.0,1.0
2023-04-05,0.9072,0.9072,0.0,0.1508,1.0,0.2996,0.4176,8.0,15.0,-0.116,-1.4181000000000001,-1.9678999999999995,-4.1418,0.0,1.0
2023-04-06,1.0,1.0,0.0,-0.1395,0.0,0.3164,0.3721,4.0,8.0,-0.2326,-1.1623,-3.0870999999999995,-4.2813,0.0,1.0
2023-04-09,0.8692,0.8692,0.0,0.7196,1.0,0.6749,0.6916,2.0,9.0,-0.0935,0.3779999999999998,-2.2622,-3.5616999999999996,0.0,0.0
2023-04-10,0.9153,0.9153,0.0,0.0,0.0,0.3214,0.4068,5.0,17.0,-0.1808,0.3779999999999998,-2.0817,-3.5616999999999996,0.0,0.0
2023-04-11,0.919,0.919,0.0,-0.6434,0.0,0.608,0.7083,6.0,15.0,-0.1053,0.0874999999999998,-2.8404999999999996,-4.2051,0.0,0.0
2023-04-12,0.912,0.912,0.0,-0.7325,0.0,0.3079,0.4632,7.0,11.0,-0.4129,-0.7958000000000003,-3.5119999999999996,-4.9376,0.0,1.0
2023-04-13,0.9753,0.9753,0.0,-0.679,0.0,0.3578,0.4938,4.0,11.0,-0.0494,-1.3353000000000002,-3.6647,-5.6166,0.0,1.0
2023-04-16,0.9814,0.9814,0.0,-0.3575,0.0,0.4109,0.5214,5.0,13.0,-0.2235,-2.4124,-3.6889,-5.9741,0.0,1.0
2023-04-17,0.898,0.898,0.0,-0.6327,0.0,0.6477,0.7143,4.0,13.0,-0.0816,-3.0451,-3.8172999999999995,-6.6068,0.0,1.0
2023-04-18,0.8754,0.8754,0.0,-0.4393,0.0,0.5038,0.595,4.0,15.0,-0.1558,-2.841,-3.9344,-7.0461,0.0,1.0
2023-04-19,0.913,0.913,0.0,-0.6957,0.0,0.2608,0.3043,4.0,7.0,-0.2174,-2.8042000000000007,-4.7857,-7.7418,0.0,1.0
2023-04-20,0.8636,0.8636,0.0,-0.2727,0.0,0.2964,0.4091,5.0,8.0,-0.3182,-2.3979000000000004,-5.2584,-8.0145,0.0,1.0
