date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-03-23,0.3865,0.3865,0.0,-0.029,0.0,0.1412,0.0966,10.0,6.0,0.0242,-0.029,-0.029,-0.029,0.0,1.0
2023-03-26,0.4472,0.4472,0.0,0.0,0.0,0.1597,0.0813,7.0,6.0,-0.0407,-0.029,-0.029,-0.029,0.0,1.0
2023-03-27,0.8511,0.8511,0.0,-0.3191,0.0,0.2188,0.2128,5.0,3.0,-0.5319,-0.3481,-0.3481,-0.3481,0.0,1.0
2023-03-28,0.5,0.5,0.0,-0.5,0.0,1.0,0.5,1.0,1.0,0.0,-0.8481000000000001,-0.8481000000000001,-0.8481000000000001,0.0,1.0
2023-03-29,0.8333,0.8333,0.0,0.3333,1.0,0.28,0.3333,4.0,4.0,-0.3333,-0.5148000000000001,-0.5148000000000001,-0.5148000000000001,0.0,1.0
2023-03-30,0.5769,0.5769,0.0,0.1923,1.0,0.3333,0.1923,3.0,4.0,0.0,-0.2935000000000001,-0.3225000000000001,-0.3225000000000001,0.0,1.0
2023-04-02,0.6273,0.6273,0.0,-0.1242,0.0,0.3138,0.3106,6.0,8.0,-0.1242,-0.41770000000000007,-0.4467000000000001,-0.4467000000000001,0.0,1.0
2023-04-03,0.715,0.715,0.0,0.155,1.0,0.3832,0.42,6.0,10.0,-0.12,0.05639999999999992,-0.29170000000000007,-0.29170000000000007,0.0,0.0
2023-04-04,0.8182,0.8182,0.0,-0.3636,0.0,0.358,0.4545,5.0,6.0,0.0,0.19279999999999992,-0.6553000000000001,-0.6553000000000001,0.0,0.0
2023-04-05,0.8889,0.8889,0.0,0.0556,1.0,0.2969,0.3333,6.0,10.0,-0.3333,-0.08490000000000007,-0.5997000000000001,-0.5997000000000001,0.0,1.0
2023-04-06,0.8966,0.8966,0.0,-0.5862,0.0,0.926,0.8621,2.0,16.0,-0.1379,-0.8634000000000002,-1.1859000000000002,-1.1859000000000002,0.0,1.0
2023-04-09,0.7571,0.7571,0.0,0.2222,1.0,0.9418,0.7345,3.0,18.0,-0.1337,-0.5170000000000001,-0.9637000000000002,-0.9637000000000002,0.0,1.0
