date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9856,0.9856,0.0,0.8325,1.0,0.4337,0.6055,7.0,15.0,-0.045,0.8325,0.8325,0.8325,0.0,0.0
2023-01-24,0.9157,0.9157,0.0,0.424,1.0,0.8041,0.8183,4.0,12.0,-0.0285,1.2565,1.2565,1.2565,0.0,0.0
2023-01-25,0.935,0.935,0.0,-0.3033,0.0,0.4089,0.5713,7.0,18.0,-0.0372,0.9532,0.9532,0.9532,0.0,0.0
2023-01-26,0.9796,0.9796,0.0,-0.5102,0.0,0.2791,0.3673,5.0,15.0,0.0,0.44300000000000006,0.44300000000000006,0.44300000000000006,0.0,0.0
2023-01-29,0.6971,0.6971,0.0,-0.1943,0.0,0.3179,0.28,4.0,15.0,-0.0114,0.24870000000000006,0.24870000000000006,0.24870000000000006,0.0,0.0
2023-01-30,0.9532,0.9532,0.0,0.5775,1.0,0.1781,0.2127,8.0,8.0,0.1521,-0.006299999999999972,0.8262,0.8262,0.0,1.0
2023-01-31,0.9664,0.9664,0.0,-0.1265,0.0,0.3077,0.3897,7.0,11.0,-0.0504,-0.5568,0.6997,0.6997,0.0,1.0
2023-02-01,0.9701,0.9701,0.0,0.2836,1.0,0.4044,0.5323,5.0,8.0,-0.1891,0.03010000000000007,0.9833000000000001,0.9833000000000001,0.0,0.0
2023-02-02,1.0,1.0,0.0,0.2581,1.0,0.2836,0.3387,4.0,17.0,-0.0806,0.7984,1.2414,1.2414,0.0,0.0
2023-02-05,0.907,0.907,0.0,-0.2713,0.0,0.3098,0.3876,6.0,12.0,-0.2171,0.7214,0.9701000000000001,0.9701000000000001,0.0,0.0
2023-02-06,0.8865,0.8865,0.0,-0.2482,0.0,0.2006,0.2482,6.0,10.0,-0.1986,-0.10429999999999998,0.7219000000000001,0.7219000000000001,0.0,1.0
2023-02-07,0.9692,0.9692,0.0,0.2769,1.0,0.8216,0.8769,4.0,12.0,-0.2308,0.29910000000000003,0.9988,0.9988,0.0,0.0
2023-02-08,0.9329,0.9329,0.0,0.2081,1.0,0.2949,0.3221,6.0,10.0,-0.2819,0.22359999999999997,1.2069,1.2069,0.0,0.0
2023-02-09,0.9236,0.9236,0.0,-0.6944,0.0,0.3935,0.5441,7.0,7.0,-0.0148,-0.7289000000000001,0.5125,0.5125,0.0,1.0
2023-02-12,0.9572,0.9572,0.0,0.0526,1.0,0.2459,0.379,8.0,10.0,0.0,-0.405,0.5650999999999999,0.5650999999999999,0.0,1.0
2023-02-14,0.95,0.95,0.0,0.025,1.0,0.4224,0.55,4.0,11.0,-0.025,-0.1318,0.5901,0.5901,0.0,1.0
2023-02-15,0.9545,0.9545,0.0,0.1364,1.0,0.2619,0.3636,5.0,8.0,0.0909,-0.2723,0.7264999999999999,0.7264999999999999,0.0,1.0
2023-02-16,0.9545,0.9545,0.0,-0.1948,0.0,0.5,0.6558,6.0,10.0,-0.1364,-0.6752,0.5317,0.5317,0.0,1.0
2023-02-20,0.8641,0.8641,0.0,0.0291,1.0,0.2516,0.2913,6.0,11.0,-0.1068,0.048299999999999996,0.5608,0.5608,0.0,0.0
2023-02-22,0.9111,0.9111,0.0,-0.1667,0.0,0.3531,0.4,5.0,12.0,0.0111,-0.17099999999999999,0.39409999999999995,0.39409999999999995,0.0,1.0
2023-02-23,0.8722,0.8722,0.0,0.0708,1.0,0.4609,0.5343,5.0,7.0,-0.6736,-0.12519999999999998,-0.36760000000000004,0.4649,0.0,1.0
