date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,13069.0,13069.0,0.0,701.0,1.0,0.087,0.0483,23.0,17.0,1206.0,701.0,701.0,701.0,0.0,0.0
2023-01-24,26122.0,26981.0,-0.0101,-2438.0,0.0,0.0741,0.0474,24.0,15.0,2912.0,-1737.0,-1737.0,-1737.0,-0.00505,1.0
2023-01-25,14492.0,14492.0,0.0,1253.0,1.0,0.0821,0.0528,21.0,18.0,970.0,-484.0,-484.0,-484.0,-0.0033666666666666667,1.0
2023-01-26,5197.0,5197.0,0.0,572.0,1.0,0.1724,0.0951,12.0,24.0,913.0,88.0,88.0,88.0,-0.002525,0.0
2023-01-29,9950.0,9950.0,0.0,-3818.0,0.0,0.1063,0.0608,17.0,17.0,-860.0,-3730.0,-3730.0,-3730.0,-0.00202,1.0
2023-01-30,7493.0,7493.0,0.0,-3053.0,0.0,0.1021,0.0667,19.0,18.0,-1032.0,-7484.0,-6783.0,-6783.0,-0.0016833333333333333,1.0
2023-01-31,10214.0,10214.0,0.0,97.0,1.0,0.2822,0.1489,10.0,27.0,-691.0,-4949.0,-6686.0,-6686.0,-0.0014428571428571429,1.0
2023-02-01,5148.0,5148.0,0.0,-1667.0,0.0,0.1816,0.1002,10.0,20.0,-634.0,-7869.0,-8353.0,-8353.0,-0.0012625,1.0
2023-02-02,12928.0,12928.0,0.0,-3658.0,0.0,0.1345,0.1049,21.0,17.0,-4769.0,-12099.0,-12011.0,-12011.0,-0.0011222222222222222,1.0
2023-02-05,6261.0,6261.0,0.0,-158.0,0.0,0.1977,0.1329,10.0,22.0,-774.0,-8439.0,-12169.0,-12169.0,-0.00101,1.0
2023-02-06,5013.0,5013.0,0.0,1769.0,1.0,0.0807,0.0482,21.0,12.0,-5.0,-3617.0,-10400.0,-10400.0,-0.0009181818181818181,1.0
2023-02-07,14686.0,14291.0,0.0057,2672.0,1.0,0.108,0.0341,17.0,23.0,1715.0,-1042.0,-7728.0,-7728.0,-0.0003666666666666666,1.0
2023-02-08,17225.0,16524.0,0.0115,3045.0,1.0,0.0856,0.0456,18.0,22.0,-674.0,3670.0,-4683.0,-4683.0,0.0005461538461538462,0.0
2023-02-09,14063.0,14048.0,0.0004,3559.0,1.0,0.1464,0.0867,18.0,21.0,-1244.0,10887.0,-1124.0,-1124.0,0.0005357142857142857,0.0
2023-02-12,21543.0,21718.0,-0.0028,721.0,1.0,0.0938,0.0592,20.0,20.0,-774.0,11766.0,-403.0,-403.0,0.0003133333333333334,0.0
2023-02-14,7791.0,7791.0,0.0,-4400.0,0.0,0.1117,0.0858,19.0,14.0,-49.0,5597.0,-4803.0,-4803.0,0.00029375000000000007,0.0
2023-02-15,11471.0,11471.0,0.0,581.0,1.0,0.0773,0.0531,26.0,12.0,1424.0,3506.0,-4222.0,-4222.0,0.0002764705882352942,0.0
2023-02-16,14014.0,14014.0,0.0,879.0,1.0,0.1809,0.137,20.0,17.0,-1570.0,1340.0,-3343.0,-3343.0,0.00026111111111111116,0.0
2023-02-20,7647.0,7647.0,0.0,878.0,1.0,0.1896,0.1051,16.0,19.0,-1146.0,-1341.0,-2465.0,-2465.0,0.00024736842105263165,1.0
2023-02-22,10755.0,10755.0,0.0,-996.0,0.0,0.1451,0.1062,20.0,19.0,1947.0,-3058.0,-3461.0,-3461.0,0.00023500000000000005,1.0
2023-02-23,12285.0,12285.0,0.0,-2474.0,0.0,0.1175,0.0756,16.0,17.0,-293.0,-1132.0,-6636.0,-5935.0,0.00023500000000000005,1.0
2023-02-26,7543.0,7543.0,0.0,863.0,1.0,0.1167,0.0593,15.0,19.0,-721.0,-850.0,-3335.0,-5072.0,0.00074,1.0
2023-02-27,5754.0,5754.0,0.0,4612.0,1.0,0.2782,0.1116,11.0,20.0,-61.0,2883.0,24.0,-460.0,0.00074,0.0
2023-02-28,4741.0,4741.0,0.0,1560.0,1.0,0.209,0.1387,12.0,19.0,-3.0,3565.0,1012.0,1100.0,0.00074,0.0
2023-03-01,4514.0,4514.0,0.0,-699.0,0.0,0.3298,0.2437,6.0,9.0,2343.0,3862.0,4131.0,401.0,0.00074,0.0
2023-03-02,5576.0,5576.0,0.0,1900.0,1.0,0.1127,0.0703,14.0,15.0,366.0,8236.0,9084.0,2301.0,0.00074,0.0
2023-03-05,6309.0,6309.0,0.0,153.0,1.0,0.1494,0.1045,13.0,16.0,-922.0,7526.0,9140.0,2454.0,0.00074,0.0
2023-03-07,5236.0,5236.0,0.0,2374.0,1.0,0.1575,0.0968,12.0,17.0,1115.0,5288.0,13181.0,4828.0,0.00074,0.0
2023-03-09,9605.0,9605.0,0.0,-1009.0,0.0,0.1501,0.0956,14.0,21.0,-753.0,2719.0,15830.0,3819.0,0.00074,0.0
2023-03-12,6575.0,6575.0,0.0,-1510.0,0.0,0.1317,0.0593,14.0,18.0,579.0,1908.0,14478.0,2309.0,0.00074,0.0
2023-03-13,2320.0,2320.0,0.0,-664.0,0.0,0.2033,0.1601,10.0,15.0,-50.0,-656.0,12045.0,1645.0,0.00074,1.0
2023-03-14,4882.0,4882.0,0.0,-2052.0,0.0,0.1323,0.0928,11.0,14.0,-1253.0,-2861.0,7321.0,-407.0,0.000455,1.0
2023-03-15,6670.0,6670.0,0.0,435.0,1.0,0.1776,0.1669,19.0,13.0,-35.0,-4800.0,4711.0,28.0,-0.00011999999999999999,1.0
2023-03-16,4084.0,4084.0,0.0,-1521.0,0.0,0.2839,0.156,7.0,14.0,-271.0,-5312.0,-369.0,-1493.0,-0.00014,1.0
2023-03-19,2907.0,2907.0,0.0,-1178.0,0.0,0.202,0.1563,8.0,15.0,267.0,-4980.0,-2268.0,-2671.0,0.0,1.0
2023-03-20,6816.0,6816.0,0.0,-82.0,0.0,0.181,0.1318,13.0,15.0,100.0,-4398.0,2050.0,-2753.0,0.0,1.0
2023-03-22,4641.0,4641.0,0.0,-1005.0,0.0,0.2647,0.2049,10.0,14.0,-206.0,-3351.0,464.0,-3758.0,0.0,1.0
2023-03-23,2763.0,2763.0,0.0,219.0,1.0,0.1578,0.093,13.0,17.0,219.0,-3567.0,-196.0,-3539.0,0.0,1.0
2023-03-26,5910.0,5910.0,0.0,928.0,1.0,0.1391,0.0815,14.0,15.0,1125.0,-1118.0,-146.0,-2611.0,0.0,1.0
2023-03-27,5227.0,5227.0,0.0,813.0,1.0,0.1775,0.1303,13.0,15.0,647.0,873.0,1663.0,-1798.0,0.0,0.0
2023-03-28,11407.0,11407.0,0.0,-617.0,0.0,0.2169,0.1522,16.0,19.0,-2656.0,338.0,3520.0,-2415.0,0.0,0.0
2023-03-29,785.0,785.0,0.0,488.0,1.0,0.2161,0.1311,8.0,6.0,18.0,1831.0,3145.0,-1927.0,0.0,0.0
2023-03-30,4799.0,4799.0,0.0,-1954.0,0.0,0.1661,0.0711,11.0,8.0,-859.0,-342.0,-3421.0,-3881.0,0.0,1.0
2023-04-02,7290.0,7290.0,0.0,-3653.0,0.0,0.2153,0.1251,13.0,10.0,54.0,-4923.0,-8634.0,-7534.0,0.0,1.0
2023-04-03,5391.0,5391.0,0.0,-328.0,0.0,0.1504,0.1098,17.0,15.0,-664.0,-6064.0,-8263.0,-7862.0,0.0,1.0
2023-04-04,4936.0,4936.0,0.0,-267.0,0.0,0.3936,0.2746,12.0,16.0,26.0,-5714.0,-10430.0,-8129.0,0.0,1.0
2023-04-05,3818.0,3818.0,0.0,67.0,1.0,0.1142,0.0857,16.0,11.0,206.0,-6135.0,-10516.0,-8062.0,0.0,1.0
2023-04-06,5172.0,5172.0,0.0,-1875.0,0.0,0.0796,0.0496,19.0,9.0,-215.0,-6056.0,-14765.0,-9937.0,0.0,1.0
2023-04-09,5899.0,5899.0,0.0,1806.0,1.0,0.1521,0.0664,16.0,11.0,115.0,-597.0,-11950.0,-8131.0,0.0,1.0
2023-04-10,3530.0,3530.0,0.0,-824.0,0.0,0.2135,0.152,12.0,12.0,370.0,-1093.0,-11264.0,-8955.0,0.0,1.0
2023-04-11,3778.0,3778.0,0.0,238.0,1.0,0.1798,0.1146,9.0,14.0,-594.0,-588.0,-10362.0,-8717.0,0.0,1.0
2023-04-12,16842.0,16842.0,0.0,-4263.0,0.0,0.1176,0.0765,16.0,22.0,658.0,-4918.0,-12573.0,-12980.0,0.0,1.0
2023-04-13,5693.0,5693.0,0.0,-109.0,0.0,0.1073,0.0438,16.0,17.0,-409.0,-3152.0,-13117.0,-13089.0,0.0,1.0
2023-04-16,3904.0,3904.0,0.0,1021.0,1.0,0.1616,0.1184,12.0,12.0,562.0,-3937.0,-10575.0,-12068.0,0.0,1.0
2023-04-17,3172.0,3172.0,0.0,1407.0,1.0,0.1138,0.0587,16.0,8.0,155.0,-1706.0,-7990.0,-10661.0,0.0,1.0
2023-04-18,1860.0,1860.0,0.0,85.0,1.0,0.1877,0.1124,10.0,9.0,40.0,-1859.0,-7823.0,-10576.0,0.0,1.0
2023-04-19,5094.0,5094.0,0.0,-1660.0,0.0,0.201,0.1446,9.0,11.0,-234.0,744.0,-8478.0,-12236.0,0.0,0.0
2023-04-20,5813.0,5813.0,0.0,642.0,1.0,0.2393,0.1323,11.0,8.0,1789.0,1495.0,-8055.0,-11594.0,0.0,0.0
2023-04-23,2095.0,2095.0,0.0,-855.0,0.0,0.3529,0.1955,6.0,10.0,-194.0,-381.0,-9838.0,-12449.0,0.0,1.0
2023-04-24,1704.0,1704.0,0.0,1055.0,1.0,0.251,0.162,8.0,11.0,156.0,-733.0,-9596.0,-11394.0,0.0,1.0
2023-04-25,2043.0,2043.0,0.0,1012.0,1.0,0.2982,0.2149,9.0,14.0,972.0,194.0,-7967.0,-11083.0,0.0,0.0
2023-04-26,9898.0,9898.0,0.0,6526.0,1.0,0.1754,0.1457,18.0,7.0,2024.0,8380.0,-1929.0,-2119.0,0.0,0.0
2023-04-27,2200.0,2200.0,0.0,1393.0,1.0,0.1394,0.1143,15.0,7.0,369.0,9131.0,1418.0,-1979.0,0.0,0.0
2023-04-30,3114.0,3114.0,0.0,-1316.0,0.0,0.1688,0.1299,12.0,10.0,-683.0,8670.0,3755.0,-3867.0,0.0,0.0
2023-05-02,2770.0,2770.0,0.0,279.0,1.0,0.1425,0.0791,12.0,9.0,475.0,7894.0,4362.0,230.0,0.0,0.0
2023-05-03,1787.0,1787.0,0.0,373.0,1.0,0.2472,0.1761,9.0,13.0,0.0,7255.0,5002.0,3656.0,0.0,0.0
