date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7118,0.7118,0.0,-0.1273,0.0,0.1068,0.138,20.0,18.0,-0.1488,-0.1273,-0.1273,-0.1273,0.0,1.0
2023-01-24,0.6768,0.6768,0.0,0.3121,1.0,0.2019,0.2457,12.0,13.0,0.0069,0.1848,0.1848,0.1848,0.0,0.0
2023-01-25,0.8688,0.8688,0.0,0.2049,1.0,0.1495,0.2401,13.0,13.0,0.0181,0.3897,0.3897,0.3897,0.0,0.0
2023-01-26,0.927,0.927,0.0,0.3412,1.0,0.3551,0.4804,6.0,10.0,0.0,0.7309,0.7309,0.7309,0.0,0.0
2023-01-29,0.8348,0.8348,0.0,-0.454,0.0,0.122,0.2015,17.0,8.0,-0.6367,0.2769,0.2769,0.2769,0.0,0.0
2023-01-30,0.811,0.811,0.0,-0.3638,0.0,0.1251,0.1933,14.0,11.0,-0.0492,0.04039999999999999,-0.08690000000000003,-0.08690000000000003,0.0,0.0
2023-01-31,0.9432,0.9432,0.0,0.0702,1.0,0.1201,0.1614,14.0,13.0,-0.0274,-0.20150000000000007,-0.016700000000000034,-0.016700000000000034,0.0,1.0
2023-02-01,0.7468,0.7468,0.0,0.3259,1.0,0.1333,0.1677,10.0,6.0,-0.106,-0.08050000000000007,0.3092,0.3092,0.0,1.0
2023-02-02,0.7545,0.7545,0.0,-0.6501,0.0,0.239,0.3386,22.0,8.0,-0.0563,-1.0718,-0.34090000000000004,-0.34090000000000004,0.0,1.0
2023-02-05,0.8688,0.8688,0.0,0.2178,1.0,0.3969,0.5236,9.0,13.0,0.0,-0.4,-0.12310000000000004,-0.12310000000000004,0.0,1.0
2023-02-06,0.8205,0.8205,0.0,-0.0606,0.0,0.2152,0.2995,12.0,14.0,0.0,-0.09679999999999996,-0.18370000000000003,-0.18370000000000003,0.0,1.0
2023-02-07,0.8301,0.8301,0.0,-0.0721,0.0,0.2869,0.3897,10.0,16.0,0.3897,-0.23909999999999995,-0.2558,-0.2558,0.0,1.0
2023-02-08,0.8969,0.8969,0.0,0.2703,1.0,0.1882,0.2405,8.0,14.0,-0.0344,-0.29469999999999996,0.014499999999999957,0.014499999999999957,0.0,1.0
2023-02-09,0.9365,0.9365,0.0,0.5884,1.0,0.3069,0.471,9.0,10.0,0.471,0.9438,0.6029,0.6029,0.0,0.0
2023-02-12,0.8904,0.8904,0.0,-0.1809,0.0,0.1693,0.2796,12.0,10.0,-0.034,0.5450999999999999,0.422,0.422,0.0,0.0
2023-02-14,0.7666,0.7666,0.0,-0.2149,0.0,0.219,0.2854,14.0,12.0,0.0616,0.3907999999999999,0.20709999999999998,0.20709999999999998,0.0,0.0
2023-02-15,0.8089,0.8089,0.0,-0.0591,0.0,0.1497,0.2133,11.0,13.0,-0.0486,0.40379999999999994,0.14799999999999996,0.14799999999999996,0.0,0.0
2023-02-16,0.8552,0.8552,0.0,0.0965,1.0,0.2031,0.2896,9.0,13.0,0.2896,0.22999999999999998,0.2445,0.2445,0.0,0.0
2023-02-20,0.8096,0.8096,0.0,-0.4216,0.0,0.1906,0.2886,16.0,12.0,-0.282,-0.78,-0.17709999999999998,-0.17709999999999998,0.0,1.0
2023-02-22,0.793,0.793,0.0,0.2085,1.0,0.2154,0.3127,12.0,12.0,0.1117,-0.39059999999999995,0.03140000000000001,0.03140000000000001,0.0,1.0
2023-02-23,0.718,0.7142,0.0038,0.0105,1.0,0.185,0.2383,14.0,25.0,0.0145,-0.1652,0.16920000000000002,0.041900000000000014,0.00019,1.0
2023-02-26,0.5973,0.5973,0.0,-0.2008,0.0,0.1498,0.1376,14.0,18.0,-0.0443,-0.3069,-0.3437,-0.15889999999999999,0.00019,1.0
2023-02-27,0.8389,0.8389,0.0,-0.0363,0.0,0.2879,0.3387,8.0,24.0,0.1197,-0.4397,-0.5849,-0.19519999999999998,0.00019,1.0
2023-02-28,0.9746,0.9746,0.0,-0.1168,0.0,0.1771,0.2766,13.0,8.0,-0.4162,-0.13490000000000002,-1.0429,-0.312,0.00019,1.0
2023-03-01,0.9434,0.9434,0.0,0.6687,1.0,0.2306,0.404,10.0,7.0,-0.0242,0.3252999999999999,0.07979999999999987,0.35669999999999996,0.00019,0.0
2023-03-02,0.8946,0.8946,0.0,-0.3195,0.0,0.1598,0.2204,10.0,6.0,-0.0703,-0.0047000000000000375,0.12409999999999993,0.037199999999999955,0.00019,1.0
2023-03-05,1.0,1.0,0.0,0.0685,1.0,0.1972,0.3425,12.0,8.0,0.0274,0.26459999999999995,0.12239999999999994,0.10569999999999996,0.00019,0.0
2023-03-07,1.0,1.0,0.0,0.5926,1.0,0.4353,0.6085,6.0,7.0,0.6085,0.8935,0.38909999999999995,0.6982999999999999,0.00019,0.0
2023-03-09,0.6992,0.6992,0.0,-0.2375,0.0,0.4223,0.3905,6.0,13.0,-0.1319,0.7727999999999999,0.8016999999999999,0.46079999999999993,0.00019,0.0
2023-03-12,0.9965,0.9965,0.0,0.1152,1.0,0.293,0.3682,4.0,12.0,0.3682,0.21930000000000002,0.6991,0.576,0.00019,0.0
2023-03-13,0.942,0.942,0.0,-0.4525,0.0,0.3361,0.5277,16.0,7.0,0.0528,0.08630000000000004,0.30720000000000003,0.12349999999999994,0.00019,0.0
2023-03-14,0.7168,0.7168,0.0,-0.1329,0.0,0.2466,0.289,6.0,6.0,0.0,-0.11509999999999995,0.24640000000000004,-0.009400000000000047,0.00019,1.0
2023-03-15,0.9202,0.9202,0.0,0.2606,1.0,0.2294,0.3777,11.0,9.0,0.3777,-0.4471,0.23670000000000005,0.2512,0.00019,1.0
2023-03-16,0.7411,0.7411,0.0,0.0857,1.0,0.216,0.3018,11.0,7.0,0.3018,-0.12390000000000001,-0.266,0.3368999999999999,0.00019,1.0
2023-03-19,0.9966,0.9966,0.0,0.5,1.0,0.2313,0.3197,8.0,9.0,0.0,0.2609,0.4149,0.8369,0.00019,0.0
2023-03-20,0.8678,0.8678,0.0,-0.4536,0.0,0.1256,0.239,23.0,10.0,-0.4398,0.25980000000000003,0.17620000000000002,0.3833,0.00019,0.0
2023-03-22,0.9694,0.9694,0.0,0.2533,1.0,0.2831,0.3712,9.0,6.0,-0.2009,0.6460000000000001,0.48860000000000003,0.6366,0.00019,0.0
2023-03-23,0.8814,0.8814,0.0,-0.0484,0.0,0.2406,0.3512,12.0,10.0,-0.6183,0.337,0.3437,0.5882000000000001,0.00019,0.0
2023-03-26,0.7906,0.7906,0.0,-0.2514,0.0,0.1537,0.2213,17.0,11.0,-0.2072,-9.999999999998899e-05,0.5139,0.3368,0.00019,1.0
2023-03-27,0.8237,0.8237,0.0,-0.2778,0.0,0.2088,0.281,10.0,8.0,-0.2051,-0.7779,0.027599999999999958,0.059,0.00019,1.0
2023-03-28,0.9356,0.9356,0.0,-0.2402,0.0,0.1283,0.1789,15.0,15.0,-0.2279,-0.5645,-0.22310000000000002,-0.1812,0.0,1.0
2023-03-29,0.8007,0.8007,0.0,0.015,1.0,0.1733,0.2965,23.0,13.0,-0.5504,-0.8028000000000001,-0.007300000000000015,-0.16620000000000001,0.0,1.0
2023-03-30,0.9178,0.9178,0.0,0.3495,1.0,0.2893,0.4531,10.0,12.0,0.0263,-0.4049,0.37849999999999995,0.18329999999999996,0.0,1.0
2023-04-02,0.8422,0.8422,0.0,-0.3878,0.0,0.0831,0.1391,22.0,6.0,-0.5846,-0.5413,0.10749999999999998,-0.20450000000000002,0.0,1.0
2023-04-03,0.9536,0.9536,0.0,-0.3698,0.0,0.1764,0.3372,16.0,8.0,0.0276,-0.6333,-0.9309999999999999,-0.5743,0.0,1.0
2023-04-04,0.8653,0.8653,0.0,0.0,0.0,0.2168,0.2857,7.0,8.0,0.0,-0.39310000000000006,-0.6115,-0.5743,0.0,1.0
2023-04-05,0.5156,0.5156,0.0,0.2996,1.0,0.3258,0.2747,7.0,2.0,0.0,-0.10850000000000004,-0.38040000000000007,-0.27470000000000006,0.0,1.0
2023-04-06,0.9897,0.9897,0.0,-0.1701,0.0,0.376,0.5128,9.0,13.0,0.0,-0.6281,-1.1431,-0.4448000000000001,0.0,1.0
2023-04-09,0.8765,0.8765,0.0,-0.3462,0.0,0.1541,0.1964,10.0,8.0,-0.0243,-0.5865,-1.2518,-0.791,0.0,1.0
2023-04-10,0.7992,0.7992,0.0,-0.5355,0.0,0.1666,0.2286,12.0,6.0,0.0,-0.7522000000000001,-1.9024999999999999,-1.3265,0.0,1.0
2023-04-11,0.5498,0.5498,0.0,0.1684,1.0,0.1519,0.1409,11.0,6.0,0.0,-0.5838000000000001,-1.2816,-1.1581000000000001,0.0,1.0
2023-04-12,0.8695,0.8695,0.0,-0.3094,0.0,0.1219,0.2265,23.0,12.0,0.0219,-1.1928,-1.4581,-1.4675,0.0,1.0
2023-04-13,0.9319,0.9319,0.0,0.1187,1.0,0.2411,0.4219,16.0,12.0,0.0,-0.9040000000000001,-1.6000000000000003,-1.3488,0.0,1.0
2023-04-16,1.0,1.0,0.0,0.0497,1.0,0.2354,0.3591,9.0,8.0,-0.0552,-0.5081000000000001,-1.6360000000000001,-1.2991,0.0,1.0
2023-04-17,0.8751,0.8751,0.0,-0.3651,0.0,0.2074,0.2968,10.0,6.0,0.0,-0.3377000000000001,-2.5011,-1.6642000000000001,0.0,1.0
2023-04-18,0.9039,0.9039,0.0,-0.3821,0.0,0.1622,0.2424,11.0,5.0,0.0,-0.8882000000000001,-2.4296,-2.0463,0.0,1.0
2023-04-19,0.8552,0.8552,0.0,0.1532,1.0,0.1813,0.2786,10.0,5.0,0.0501,-0.4256000000000001,-2.5297,-1.8931,0.0,1.0
2023-04-20,0.98,0.98,0.0,0.2874,1.0,0.3321,0.494,9.0,9.0,-0.01,-0.25690000000000013,-2.1939,-1.6057000000000001,0.0,1.0
2023-04-23,0.999,0.999,0.0,0.6653,1.0,0.4933,0.6815,6.0,9.0,0.0,0.3586999999999999,-1.2772000000000001,-0.9404,0.0,0.0
2023-04-24,0.8649,0.8649,0.0,-0.8108,0.0,0.2355,0.2457,7.0,5.0,-0.0491,-0.08700000000000008,-1.8102,-1.7511999999999999,0.0,1.0
2023-04-25,0.9548,0.9548,0.0,0.7434,1.0,0.1298,0.2038,15.0,5.0,0.0085,1.0385,-0.8266000000000001,-0.8805000000000001,0.0,0.0
2023-04-26,0.9727,0.9727,0.0,0.4886,1.0,0.2333,0.3398,10.0,10.0,0.0114,1.3739,-0.35300000000000015,-0.7040000000000002,0.0,0.0
2023-04-27,0.9242,0.9242,0.0,-0.2879,0.0,0.2819,0.303,4.0,6.0,0.0909,0.7986,-0.9904000000000002,-1.1968,0.0,0.0
2023-04-30,0.9868,0.9868,0.0,0.4474,1.0,0.4867,0.6579,4.0,7.0,0.0,0.5806999999999999,-0.15520000000000017,-1.0906000000000002,0.0,0.0
2023-05-02,0.8957,0.8957,0.0,-0.0762,0.0,0.2335,0.3517,9.0,8.0,-0.0117,1.3152999999999997,0.1383999999999999,-0.7128,0.0,0.0
2023-05-03,1.0,1.0,0.0,0.5641,1.0,0.3504,0.4359,3.0,1.0,0.0,1.136,0.7024999999999999,0.2151,0.0,0.0
2023-05-04,0.9283,0.9283,0.0,0.5265,1.0,0.5382,0.6636,5.0,10.0,0.0,1.1739,0.9293999999999999,0.6714,0.0,0.0
2023-05-07,0.9114,0.9114,0.0,0.0571,1.0,0.4501,0.5771,5.0,6.0,-0.0057,1.5188999999999997,1.1565999999999999,0.40259999999999996,0.0,0.0
2023-05-08,0.8687,0.8687,0.0,0.1857,1.0,0.2442,0.2833,6.0,5.0,0.0,1.2572,1.6885,1.2384,0.0,0.0
2023-05-09,0.9942,0.9942,0.0,0.9942,1.0,0.7688,0.8671,3.0,5.0,0.0,2.3276,3.2182,2.0148,0.0,0.0
2023-05-10,1.0,1.0,0.0,-0.0164,0.0,0.699,0.8197,3.0,3.0,0.0,1.7470999999999999,3.0334,2.0589999999999997,0.0,0.0
2023-05-11,1.0,1.0,0.0,-0.1923,0.0,0.4231,0.5769,3.0,3.0,0.0,1.0282999999999998,3.1504999999999996,1.9387999999999996,0.0,0.0
2023-05-14,0.9722,0.9722,0.0,-0.0139,0.0,0.3061,0.4167,4.0,4.0,0.0,0.9572999999999998,3.0179,1.6546,0.0,0.0
2023-05-15,1.0,1.0,0.0,0.8901,1.0,1.0,1.0,1.0,6.0,0.0,1.6616999999999997,3.8583,1.9563,0.0,0.0
2023-05-16,0.918,0.918,0.0,0.7377,1.0,0.768,0.7951,2.0,6.0,0.0,1.4051999999999998,4.9611,2.8749000000000002,0.0,0.0
2023-05-17,0.722,0.722,0.0,0.1158,1.0,0.2557,0.2896,8.0,8.0,0.0,1.5373999999999999,5.459,3.2056,0.0,0.0
2023-05-18,0.6934,0.6934,0.0,0.3882,1.0,0.2156,0.1974,8.0,10.0,-0.0263,2.1178999999999997,5.693999999999999,3.6529,0.0,0.0
2023-05-21,0.9269,0.9269,0.0,-0.0251,0.0,0.219,0.3226,9.0,14.0,0.0,2.1067,5.3815,3.5313,0.0,0.0
2023-05-22,0.7857,0.7857,0.0,0.2857,1.0,1.0,0.7857,1.0,3.0,0.0,1.5023,5.0019,4.2386,0.0,0.0
2023-05-23,0.8232,0.8232,0.0,-0.0264,0.0,0.458,0.527,6.0,23.0,-0.0445,0.7381999999999999,5.7863,4.0037,0.0,0.0
2023-05-24,0.7121,0.7121,0.0,0.1164,1.0,0.1101,0.1333,14.0,13.0,-0.0511,0.7387999999999999,5.159299999999999,4.1096,0.0,0.0
2023-05-28,0.7311,0.7311,0.0,0.3512,1.0,0.4776,0.4854,8.0,14.0,-0.0054,0.7017999999999999,5.0219,4.6616,0.0,0.0
2023-05-30,0.8983,0.8983,0.0,0.2898,1.0,0.2195,0.2559,7.0,7.0,0.2373,1.0167,5.5996,4.9877,0.0,0.0
2023-05-31,0.939,0.939,0.0,-0.2534,0.0,0.2071,0.2329,7.0,9.0,-0.4378,0.4775999999999998,4.8988,4.8511,0.0,0.0
2023-06-01,0.8589,0.8589,0.0,-0.0982,0.0,0.1965,0.274,8.0,8.0,-0.0102,0.4057999999999999,4.8768,4.0842,0.0,0.0
2023-06-04,0.7543,0.7543,0.0,-0.2214,0.0,0.9376,0.7299,2.0,5.0,0.0,0.0679999999999999,4.0913,4.1823,0.0,0.0
2023-06-05,0.9461,0.9461,0.0,0.3183,1.0,0.2502,0.3322,8.0,10.0,0.1565,0.035099999999999854,3.8830999999999998,4.432099999999999,0.0,0.0
2023-06-06,0.8879,0.8879,0.0,-0.2984,0.0,0.2875,0.3617,8.0,11.0,0.0181,-0.5531000000000001,3.5276,3.5411,0.0,1.0
2023-06-07,0.9888,0.9888,0.0,-0.1426,0.0,0.2443,0.4073,9.0,9.0,0.0,-0.44230000000000014,3.1993,3.6359999999999997,0.0,1.0
2023-06-08,0.9478,0.9478,0.0,0.1545,1.0,0.6167,0.7249,7.0,14.0,-0.0013,-0.18960000000000013,2.3595999999999995,3.6753,0.0,1.0
2023-06-11,0.6977,0.6977,0.0,-0.004,0.0,0.2007,0.2548,12.0,13.0,-0.1206,0.027799999999999856,2.372,4.1238,0.0,0.0
2023-06-12,0.9167,0.9167,0.0,-0.0919,0.0,0.3009,0.4274,7.0,6.0,0.0,-0.38240000000000013,2.4724,4.1648,0.0,1.0
2023-06-13,0.6503,0.6503,0.0,0.3168,1.0,0.2701,0.2787,13.0,20.0,-0.0716,0.2327999999999999,2.8031,4.221,0.0,0.0
2023-06-14,0.6618,0.6618,0.0,-0.0669,0.0,0.2082,0.2557,16.0,21.0,0.0026,0.3084999999999999,1.8460999999999999,4.0684,0.0,0.0
2023-06-15,0.9344,0.9344,0.0,-0.5795,0.0,0.7435,0.8028,8.0,22.0,-0.0208,-0.4255000000000001,0.5288999999999999,2.9888999999999997,0.0,1.0
2023-06-18,0.7706,0.7706,0.0,-0.0763,0.0,0.2406,0.3352,14.0,18.0,0.3352,-0.49780000000000013,0.3367999999999999,3.3662,0.0,1.0
2023-06-19,0.5954,0.5954,0.0,0.2299,1.0,0.1427,0.1552,14.0,13.0,0.0546,-0.17600000000000013,0.1784999999999999,3.3427999999999995,0.0,1.0
2023-06-20,0.9436,0.9436,0.0,0.0492,1.0,0.1094,0.2049,19.0,11.0,-0.0051,-0.4436000000000001,0.2527999999999999,3.4404,0.0,1.0
2023-06-21,0.9351,0.9351,0.0,-0.3956,0.0,0.4244,0.546,6.0,8.0,0.0,-0.7723000000000002,-0.4285000000000001,3.2962,0.0,1.0
2023-06-22,0.8415,0.8415,0.0,-0.0657,0.0,0.1297,0.2148,13.0,12.0,0.0125,-0.2585000000000001,-0.4678000000000001,3.5083,0.0,1.0
2023-06-25,0.8985,0.8985,0.0,-0.1766,0.0,0.1672,0.2831,14.0,17.0,0.0561,-0.3588000000000001,-0.7608000000000001,3.5719,0.0,1.0
