date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,73982.0,75971.0,-0.0085,12841.0,1.0,0.0913,0.0577,20.0,20.0,-10725.0,12841.0,12841.0,12841.0,-0.0085,0.0
2023-01-24,33350.0,33894.0,-0.0056,5796.0,1.0,0.1854,0.1343,20.0,20.0,4213.0,18637.0,18637.0,18637.0,-0.007050000000000001,0.0
2023-01-25,42622.0,43288.0,-0.0051,4933.0,1.0,0.078,0.0455,20.0,20.0,-16920.0,23570.0,23570.0,23570.0,-0.0064,0.0
2023-01-26,18877.0,19027.0,-0.0021,5067.0,1.0,0.0733,0.0388,27.0,12.0,-906.0,28637.0,28637.0,28637.0,-0.005325,0.0
2023-01-29,23646.0,24075.0,-0.0056,-5955.0,0.0,0.3182,0.1709,20.0,20.0,-846.0,22682.0,22682.0,22682.0,-0.00538,0.0
2023-01-30,30228.0,31768.0,-0.0167,2043.0,1.0,0.0805,0.0543,21.0,18.0,2092.0,11884.0,24725.0,24725.0,-0.007266666666666667,0.0
2023-01-31,29956.0,30828.0,-0.0098,5860.0,1.0,0.185,0.1349,22.0,18.0,-12683.0,11948.0,30585.0,30585.0,-0.007628571428571429,0.0
2023-02-01,16378.0,16345.0,0.0007,6189.0,1.0,0.1035,0.063,20.0,20.0,2005.0,13204.0,36774.0,36774.0,-0.0065875,0.0
2023-02-02,17384.0,18002.0,-0.0101,7169.0,1.0,0.0693,0.0443,24.0,16.0,794.0,15306.0,43943.0,43943.0,-0.006977777777777777,0.0
2023-02-05,23464.0,23552.0,-0.0012,280.0,1.0,0.106,0.0753,20.0,19.0,1875.0,21541.0,44223.0,44223.0,-0.0064,0.0
2023-02-06,12080.0,12080.0,0.0,4416.0,1.0,0.1243,0.07,17.0,20.0,105.0,23914.0,48639.0,48639.0,-0.005818181818181819,0.0
2023-02-07,27539.0,27066.0,0.0053,10513.0,1.0,0.1222,0.0586,19.0,21.0,1161.0,28567.0,59152.0,59152.0,-0.0048916666666666666,0.0
2023-02-08,27408.0,26748.0,0.0074,-10024.0,0.0,0.1405,0.0901,19.0,21.0,-3049.0,12354.0,49128.0,49128.0,-0.003946153846153846,0.0
2023-02-09,18373.0,18180.0,0.0037,2590.0,1.0,0.0976,0.0612,18.0,22.0,975.0,7775.0,51718.0,51718.0,-0.0034,0.0
2023-02-12,28046.0,29353.0,-0.0142,5781.0,1.0,0.0893,0.0606,25.0,15.0,2068.0,13276.0,57499.0,57499.0,-0.00412,0.0
2023-02-14,10341.0,10341.0,0.0,-641.0,0.0,0.1102,0.0835,17.0,20.0,441.0,8219.0,56858.0,56858.0,-0.0038625,0.0
2023-02-15,9827.0,9827.0,0.0,-2148.0,0.0,0.0899,0.047,22.0,17.0,270.0,-4442.0,54710.0,54710.0,-0.003635294117647059,1.0
2023-02-16,17606.0,17831.0,-0.0042,5136.0,1.0,0.081,0.0526,21.0,19.0,-398.0,10718.0,59846.0,59846.0,-0.003666666666666667,0.0
2023-02-20,10023.0,10185.0,-0.0055,1358.0,1.0,0.0895,0.0683,21.0,18.0,1248.0,9486.0,61204.0,61204.0,-0.003763157894736842,0.0
2023-02-22,9546.0,9546.0,0.0,1285.0,1.0,0.0998,0.0496,16.0,24.0,282.0,4990.0,62489.0,62489.0,-0.0035749999999999996,0.0
2023-02-23,12583.0,12542.0,0.001,1227.0,1.0,0.1771,0.1093,20.0,20.0,-120.0,6858.0,50875.0,63716.0,-0.0031000000000000003,0.0
2023-02-26,18404.0,18329.0,0.0011,-954.0,0.0,0.1597,0.0879,20.0,20.0,-5502.0,8052.0,44125.0,62762.0,-0.002765,0.0
2023-02-27,14678.0,14858.0,-0.0045,-3151.0,0.0,0.1073,0.0913,22.0,18.0,-2869.0,-235.0,36041.0,59611.0,-0.002735,1.0
2023-02-28,4262.0,4262.0,0.0,-138.0,0.0,0.1388,0.0964,16.0,16.0,175.0,-1731.0,30836.0,59473.0,-0.00263,1.0
2023-03-01,4944.0,4944.0,0.0,-134.0,0.0,0.0928,0.0731,21.0,15.0,-30.0,-3150.0,36657.0,59339.0,-0.00235,1.0
2023-03-02,11427.0,11427.0,0.0,-1831.0,0.0,0.1023,0.0646,21.0,14.0,462.0,-6208.0,32783.0,57508.0,-0.001515,1.0
2023-03-05,15168.0,15102.0,0.0017,1354.0,1.0,0.162,0.1256,18.0,21.0,-329.0,-3900.0,28277.0,58862.0,-0.0009400000000000001,1.0
2023-03-07,9849.0,9849.0,0.0,1181.0,1.0,0.2095,0.1519,19.0,17.0,190.0,432.0,23269.0,60043.0,-0.000975,0.0
2023-03-09,14708.0,14916.0,-0.0047,-266.0,0.0,0.0818,0.049,20.0,20.0,164.0,304.0,15834.0,59777.0,-0.000705,0.0
2023-03-12,14885.0,15147.0,-0.0062,-809.0,0.0,0.072,0.0481,21.0,19.0,585.0,-371.0,14745.0,58968.0,-0.0009549999999999999,1.0
2023-03-13,1818.0,1818.0,0.0,-204.0,0.0,0.0933,0.0744,23.0,11.0,110.0,1256.0,10125.0,58764.0,-0.0009549999999999999,0.0
2023-03-14,5934.0,5934.0,0.0,479.0,1.0,0.1007,0.0735,20.0,18.0,1078.0,381.0,91.0,59243.0,-0.00122,0.0
2023-03-15,5708.0,5708.0,0.0,844.0,1.0,0.1155,0.0711,22.0,11.0,614.0,44.0,10959.0,60087.0,-0.00159,0.0
2023-03-16,8533.0,8533.0,0.0,-2286.0,0.0,0.0959,0.0574,20.0,18.0,305.0,-1976.0,6083.0,57801.0,-0.0017749999999999999,1.0
2023-03-19,4595.0,4595.0,0.0,-215.0,0.0,0.1702,0.094,15.0,21.0,573.0,-1382.0,87.0,57586.0,-0.001065,1.0
2023-03-20,5629.0,5629.0,0.0,440.0,1.0,0.113,0.0826,20.0,17.0,-231.0,-738.0,1168.0,58026.0,-0.001065,1.0
2023-03-22,7836.0,7836.0,0.0,1815.0,1.0,0.1189,0.0946,19.0,19.0,-271.0,598.0,5131.0,59841.0,-0.001065,0.0
