date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6616,0.6525,0.0091,0.2941,1.0,0.0721,0.0769,20.0,20.0,-0.0099,0.2941,0.2941,0.2941,0.0091,0.0
2023-01-24,0.7355,0.729,0.0064,-0.1251,0.0,0.1439,0.1785,19.0,21.0,-0.1496,0.16899999999999998,0.16899999999999998,0.16899999999999998,0.00775,0.0
2023-01-25,0.6213,0.6139,0.0075,0.2921,1.0,0.1628,0.2158,18.0,22.0,0.2158,0.4611,0.4611,0.4611,0.007666666666666666,0.0
2023-01-26,0.7703,0.7904,-0.0201,-0.5451,0.0,0.1111,0.1583,24.0,16.0,0.0269,-0.08400000000000002,-0.08400000000000002,-0.08400000000000002,0.000725,1.0
2023-01-29,0.6462,0.6456,0.0006,-0.2117,0.0,0.1115,0.1498,20.0,20.0,-0.1264,-0.2957,-0.2957,-0.2957,0.0006999999999999999,1.0
2023-01-30,0.7374,0.7369,0.0004,-0.4015,0.0,0.2028,0.2971,20.0,20.0,-0.1498,-0.9913000000000001,-0.6972,-0.6972,0.00065,1.0
2023-01-31,0.52,0.5176,0.0024,-0.0954,0.0,0.1741,0.1826,20.0,20.0,0.0,-0.9616,-0.7926000000000001,-0.7926000000000001,0.0009,1.0
2023-02-01,0.8449,0.844,0.0008,-0.3926,0.0,0.1334,0.2048,20.0,20.0,-0.176,-1.6463,-1.1852,-1.1852,0.0008874999999999999,1.0
2023-02-02,0.7909,0.7909,0.0,0.0783,1.0,0.1956,0.2651,18.0,22.0,0.1955,-1.0229,-1.1069,-1.1069,0.0007888888888888889,1.0
2023-02-05,0.7286,0.7286,0.0,0.1405,1.0,0.1368,0.1845,12.0,26.0,-0.08,-0.6707000000000001,-0.9664,-0.9664,0.0007099999999999999,1.0
2023-02-06,0.8277,0.8277,0.0,0.3584,1.0,0.2319,0.355,16.0,16.0,-0.0062,0.0892,-0.6080000000000001,-0.6080000000000001,0.0006454545454545454,0.0
2023-02-07,0.6548,0.6486,0.0062,-0.0449,0.0,0.118,0.1496,19.0,21.0,-0.0133,0.1397,-0.6529,-0.6529,0.0011083333333333333,0.0
2023-02-08,0.694,0.6686,0.0254,0.1163,1.0,0.1735,0.2547,18.0,21.0,-0.2234,0.6486,-0.5366000000000001,-0.5366000000000001,0.0029769230769230767,0.0
2023-02-09,0.6641,0.6513,0.0129,-0.1994,0.0,0.4236,0.4195,12.0,28.0,-0.1581,0.37089999999999995,-0.736,-0.736,0.0036857142857142857,0.0
2023-02-12,0.693,0.6728,0.0202,0.0866,1.0,0.157,0.1938,20.0,20.0,-0.0405,0.317,-0.6494000000000001,-0.6494000000000001,0.0047866666666666665,0.0
2023-02-14,0.801,0.801,0.0,0.3192,1.0,0.1525,0.2024,23.0,17.0,0.0078,0.2778,-0.33020000000000005,-0.33020000000000005,0.0044875,0.0
2023-02-15,0.7866,0.793,-0.0064,0.0119,1.0,0.1411,0.2125,23.0,17.0,0.0,0.3346,-0.3183,-0.3183,0.0038470588235294118,0.0
2023-02-16,0.8317,0.8315,0.0002,-0.0747,0.0,0.1478,0.2078,20.0,20.0,0.2078,0.1436,-0.393,-0.393,0.003644444444444444,0.0
2023-02-20,0.7717,0.7509,0.0208,-0.1501,0.0,0.1345,0.1755,17.0,23.0,0.1755,0.19289999999999996,-0.5431,-0.5431,0.004547368421052631,0.0
2023-02-22,0.5849,0.5855,-0.0006,0.2453,1.0,0.1556,0.1714,21.0,19.0,-0.0326,0.35159999999999997,-0.29780000000000006,-0.29780000000000006,0.0042899999999999995,0.0
2023-02-23,0.6328,0.6328,0.0,-0.2054,0.0,0.386,0.3819,17.0,22.0,0.0391,-0.173,-0.7973000000000001,-0.5032000000000001,0.0038349999999999994,1.0
2023-02-26,0.726,0.7378,-0.0117,-0.2772,0.0,0.1035,0.1554,21.0,19.0,-0.0073,-0.46209999999999996,-0.9494000000000001,-0.7804000000000001,0.0029299999999999994,1.0
2023-02-27,0.7038,0.7038,0.0,0.1503,1.0,0.163,0.1838,17.0,21.0,-0.0741,-0.23709999999999998,-1.0912000000000002,-0.6301000000000001,0.0025549999999999995,1.0
2023-02-28,0.8967,0.8967,0.0,-0.0448,0.0,0.1954,0.3481,15.0,15.0,-0.2321,-0.13179999999999997,-0.5909000000000001,-0.6749,0.0035599999999999994,1.0
2023-03-01,0.8756,0.8756,0.0,-0.2805,0.0,0.1719,0.2691,15.0,18.0,0.1753,-0.6576,-0.6597000000000002,-0.9554000000000001,0.0035299999999999997,1.0
2023-03-02,0.741,0.741,0.0,0.0387,1.0,0.1013,0.1415,21.0,18.0,0.0509,-0.4135,-0.21950000000000014,-0.9167000000000002,0.00351,1.0
2023-03-05,0.7373,0.7373,0.0,-0.0663,0.0,0.1982,0.2434,19.0,17.0,-0.0078,-0.2026,-0.19040000000000015,-0.9830000000000001,0.00339,1.0
2023-03-07,0.7706,0.7706,0.0,-0.444,0.0,0.1328,0.1915,19.0,19.0,0.0412,-0.7968999999999999,-0.24180000000000015,-1.427,0.0033499999999999997,1.0
2023-03-09,0.701,0.701,0.0,-0.2978,0.0,0.1379,0.1804,14.0,24.0,-0.0129,-1.0499,-0.6179000000000001,-1.7248,0.0033499999999999997,1.0
2023-03-12,0.7288,0.7288,0.0,0.0828,1.0,0.104,0.1649,25.0,15.0,0.0008,-0.6866,-0.6756000000000002,-1.6420000000000001,0.0033499999999999997,1.0
2023-03-13,0.8888,0.8888,0.0,0.4086,1.0,0.1537,0.2428,16.0,12.0,0.0049,-0.3166999999999999,-0.6254000000000003,-1.2334,0.0033499999999999997,1.0
2023-03-14,0.8201,0.8201,0.0,0.1304,1.0,0.1422,0.2478,21.0,11.0,-0.3222,-0.11999999999999997,-0.45010000000000017,-1.1030000000000002,0.0030399999999999997,1.0
2023-03-15,0.6132,0.6132,0.0,0.2526,1.0,0.1115,0.1315,18.0,18.0,-0.0039,0.5766,-0.3138000000000002,-0.8504000000000002,0.0017699999999999997,0.0
2023-03-16,0.8278,0.8398,-0.012,-0.28,0.0,0.0643,0.0976,30.0,10.0,-0.0129,0.5944,-0.3944000000000002,-1.1304000000000003,0.0005249999999999996,0.0
2023-03-19,0.5574,0.5587,-0.0013,-0.0764,0.0,0.0864,0.1052,22.0,18.0,0.021,0.43520000000000003,-0.5574000000000002,-1.2068,-0.0005500000000000001,0.0
2023-03-20,0.8439,0.8439,0.0,0.1573,1.0,0.1505,0.2183,19.0,16.0,0.0012,0.18389999999999998,-0.7193000000000003,-1.0495,-0.0005500000000000001,0.0
2023-03-22,0.7423,0.7423,0.0,-0.2475,0.0,0.2194,0.2987,15.0,16.0,0.0235,-0.194,-0.9787000000000001,-1.2970000000000002,-0.0002300000000000001,1.0
2023-03-23,0.7567,0.7567,0.0,-0.4694,0.0,0.2015,0.3002,24.0,16.0,-0.0191,-0.9159999999999999,-1.3734000000000002,-1.7664000000000002,-0.00024000000000000006,1.0
2023-03-26,0.7907,0.7897,0.0011,0.1571,1.0,0.1035,0.1767,19.0,21.0,-0.0432,-0.4789,-1.0662000000000003,-1.6093000000000002,-0.001225,1.0
2023-03-27,0.6285,0.6109,0.0176,0.103,1.0,0.2197,0.2191,17.0,23.0,0.1045,-0.29949999999999993,-1.2085000000000001,-1.5063000000000002,-0.000315,1.0
2023-03-28,0.689,0.7025,-0.0135,0.1374,1.0,0.0744,0.0894,22.0,17.0,0.0219,-0.3194,-0.8657000000000001,-1.3689000000000002,-0.00099,1.0
2023-03-29,0.7783,0.7783,0.0,-0.4012,0.0,0.2042,0.2933,13.0,14.0,-0.0117,-0.47309999999999997,-0.9897000000000002,-1.7701000000000002,-0.000405,1.0
