date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8814,0.8814,0.0,0.4216,1.0,0.3686,0.4333,10.0,13.0,0.0032,0.4216,0.4216,0.4216,0.0,0.0
2023-01-24,0.2051,0.2051,0.0,0.0493,1.0,0.1809,0.0556,7.0,6.0,0.0556,0.4709,0.4709,0.4709,0.0,0.0
2023-01-25,1.0,1.0,0.0,0.3155,1.0,0.3998,0.5952,6.0,6.0,0.0,0.7864,0.7864,0.7864,0.0,0.0
2023-01-26,0.9646,0.9646,0.0,0.4028,1.0,0.2201,0.3649,11.0,7.0,0.0697,1.1892,1.1892,1.1892,0.0,0.0
2023-01-29,0.9903,0.9903,0.0,0.9709,1.0,0.9423,0.9612,4.0,9.0,0.0,2.1601,2.1601,2.1601,0.0,0.0
2023-01-30,0.8473,0.8473,0.0,-0.0712,0.0,0.4372,0.4886,9.0,9.0,0.0,1.6673,2.0888999999999998,2.0888999999999998,0.0,0.0
2023-01-31,1.0,1.0,0.0,0.2375,1.0,0.4592,0.593,5.0,8.0,0.0,1.8555000000000001,2.3264,2.3264,0.0,0.0
2023-02-01,1.0,1.0,0.0,0.6825,1.0,0.1776,0.2381,7.0,6.0,0.1376,2.2225,3.0088999999999997,3.0088999999999997,0.0,0.0
2023-02-02,1.0,1.0,0.0,-0.729,0.0,0.3261,0.5421,9.0,4.0,-0.7259,1.0907,2.2799,2.2799,0.0,0.0
2023-02-05,0.9893,0.9893,0.0,0.0214,1.0,0.2476,0.3262,9.0,5.0,0.0,0.14120000000000002,2.3013,2.3013,0.0,0.0
2023-02-06,0.9254,0.9254,0.0,0.3593,1.0,0.2008,0.2644,9.0,4.0,0.2034,0.5717000000000001,2.6606,2.6606,0.0,0.0
2023-02-07,0.9577,0.9577,0.0,-0.0178,0.0,0.465,0.6214,5.0,11.0,0.0,0.31640000000000007,2.6428,2.6428,0.0,0.0
2023-02-08,0.9625,0.9625,0.0,-0.241,0.0,0.1987,0.3347,11.0,8.0,0.0669,-0.6071,2.4017999999999997,2.4017999999999997,0.0,1.0
2023-02-09,0.9218,0.9218,0.0,-0.1695,0.0,0.3749,0.5437,8.0,5.0,0.0,-0.047599999999999976,2.2323,2.2323,0.0,1.0
