date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-28,252131.0,237529.0,0.0198,-3076.0,0.0,0.0955,0.051,20.0,20.0,12447.0,-3076.0,-3076.0,-3076.0,0.0198,1.0
2023-08-29,43600.0,42759.0,0.0064,20335.0,1.0,0.3469,0.1872,20.0,20.0,3106.0,17259.0,17259.0,17259.0,0.0131,0.0
2023-08-30,127935.0,115567.0,0.0413,96351.0,1.0,0.4582,0.2494,10.0,30.0,0.0,113610.0,113610.0,113610.0,0.022500000000000003,0.0
2023-09-03,93521.0,86701.0,0.0326,54417.0,1.0,0.2916,0.2061,15.0,25.0,0.0,168027.0,168027.0,168027.0,0.025025,0.0
2023-09-04,54325.0,51455.0,0.0138,31810.0,1.0,0.3179,0.1393,18.0,22.0,2284.0,199837.0,199837.0,199837.0,0.02278,0.0
2023-09-05,78155.0,74874.0,0.0153,37611.0,1.0,0.2732,0.1489,12.0,28.0,-3757.0,240524.0,237448.0,237448.0,0.021533333333333335,0.0
2023-09-07,38474.0,38269.0,0.002,-2971.0,0.0,0.1199,0.0726,20.0,20.0,550.0,217218.0,234477.0,234477.0,0.018742857142857144,0.0
2023-09-10,62824.0,60103.0,0.0181,28587.0,1.0,0.2204,0.1624,15.0,24.0,9360.0,149454.0,263064.0,263064.0,0.0186625,0.0
2023-09-11,92609.0,84623.0,0.0352,41188.0,1.0,0.4614,0.2734,17.0,23.0,1950.0,136225.0,304252.0,304252.0,0.0205,0.0
2023-09-12,71583.0,65515.0,0.0381,28555.0,1.0,0.6556,0.3604,7.0,33.0,-2766.0,132970.0,332807.0,332807.0,0.022260000000000002,0.0
2023-09-13,131580.0,132790.0,-0.0033,-32119.0,0.0,0.1223,0.0985,20.0,20.0,2310.0,63240.0,300688.0,300688.0,0.019936363636363637,0.0
2023-09-17,82746.0,83314.0,-0.0024,15985.0,1.0,0.387,0.2107,20.0,20.0,-1479.0,82196.0,316673.0,316673.0,0.018075,0.0
2023-09-18,12621.0,12621.0,0.0,-4618.0,0.0,0.1133,0.0643,21.0,19.0,208.0,48991.0,312055.0,312055.0,0.016684615384615385,0.0
2023-09-19,38754.0,37518.0,0.0129,9333.0,1.0,0.2897,0.1578,14.0,26.0,320.0,17136.0,321388.0,321388.0,0.016414285714285715,0.0
2023-09-21,124890.0,123958.0,0.0025,-86907.0,0.0,0.1539,0.1022,20.0,20.0,3706.0,-98326.0,234481.0,234481.0,0.015486666666666668,1.0
2023-09-24,95325.0,90798.0,0.0202,-25781.0,0.0,0.1919,0.1215,18.0,22.0,-1582.0,-91988.0,208700.0,208700.0,0.01578125,1.0
2023-09-25,53811.0,53982.0,-0.0013,-16702.0,0.0,0.2397,0.1647,20.0,20.0,0.0,-124675.0,191998.0,191998.0,0.014776470588235294,1.0
2023-09-26,67825.0,69018.0,-0.0069,12871.0,1.0,0.1615,0.121,20.0,20.0,8501.0,-107186.0,204869.0,204869.0,0.013572222222222223,1.0
2023-09-27,64410.0,64501.0,-0.0006,9115.0,1.0,0.209,0.1591,20.0,20.0,-112.0,-107404.0,213984.0,213984.0,0.012826315789473684,1.0
2023-10-01,45088.0,45685.0,-0.0048,-10444.0,0.0,0.1122,0.0808,20.0,20.0,2845.0,-30941.0,203540.0,203540.0,0.011945,1.0
2023-10-02,39624.0,38149.0,0.0118,-9990.0,0.0,0.1207,0.0668,18.0,22.0,-3603.0,-15150.0,196626.0,193550.0,0.011545,1.0
2023-10-03,24486.0,24435.0,0.0008,-8354.0,0.0,0.1941,0.1418,19.0,21.0,231.0,-6802.0,167937.0,185196.0,0.011265,1.0
2023-10-04,39522.0,39475.0,0.0006,-15046.0,0.0,0.1766,0.1377,20.0,20.0,43.0,-34719.0,56540.0,170150.0,0.00923,1.0
2023-10-05,62359.0,62202.0,0.001,1754.0,1.0,0.1896,0.1486,20.0,20.0,0.0,-42080.0,3877.0,171904.0,0.007650000000000001,1.0
2023-10-08,57020.0,57086.0,-0.0005,6548.0,1.0,0.109,0.0823,20.0,20.0,-1605.0,-25088.0,-21385.0,178452.0,0.006935000000000001,1.0
2023-10-09,29607.0,29938.0,-0.0038,18401.0,1.0,0.1301,0.0807,20.0,20.0,510.0,3303.0,-40595.0,196853.0,0.005980000000000001,0.0
2023-10-10,25715.0,25725.0,-0.0001,3729.0,1.0,0.1008,0.0472,21.0,19.0,-550.0,15386.0,-33895.0,200582.0,0.005875,0.0
2023-10-11,31849.0,30931.0,0.011,-1760.0,0.0,0.1802,0.1318,13.0,27.0,-935.0,28672.0,-64242.0,198822.0,0.00552,0.0
2023-10-12,45239.0,45188.0,0.0004,21265.0,1.0,0.11,0.0591,20.0,20.0,2851.0,48183.0,-84165.0,220087.0,0.00378,0.0
2023-10-16,26255.0,25877.0,0.0054,9142.0,1.0,0.1219,0.0888,19.0,21.0,143.0,50777.0,-103578.0,229229.0,0.002145,0.0
2023-10-17,13846.0,13846.0,0.0,8029.0,1.0,0.1918,0.1224,20.0,20.0,-310.0,40405.0,-63430.0,237258.0,0.00231,0.0
2023-10-18,13211.0,13211.0,0.0,1776.0,1.0,0.2235,0.1555,12.0,23.0,440.0,38452.0,-77639.0,239034.0,0.00243,0.0
2023-10-19,11096.0,11096.0,0.0,7004.0,1.0,0.2778,0.2037,16.0,18.0,10.0,47216.0,-66017.0,246038.0,0.00243,0.0
2023-10-29,21978.0,21978.0,0.0,7032.0,1.0,0.1612,0.1405,19.0,18.0,850.0,32983.0,-68318.0,253070.0,0.0017850000000000001,0.0
2023-10-30,15637.0,15637.0,0.0,1926.0,1.0,0.1753,0.1675,18.0,17.0,-126.0,25767.0,20515.0,254996.0,0.00166,0.0
2023-10-31,9544.0,9544.0,0.0,4439.0,1.0,0.2232,0.1628,12.0,20.0,70.0,22177.0,50735.0,259435.0,0.0006500000000000001,0.0
2023-11-01,29098.0,29218.0,-0.0019,-8468.0,0.0,0.1847,0.1592,23.0,17.0,-196.0,11933.0,58969.0,250967.0,0.00062,0.0
2023-11-02,18210.0,18210.0,0.0,-7322.0,0.0,0.2075,0.1422,13.0,20.0,-362.0,-2393.0,38776.0,243645.0,0.000965,1.0
2023-11-05,78490.0,77340.0,0.0065,37007.0,1.0,0.7736,0.389,15.0,25.0,-4943.0,27582.0,66668.0,280652.0,0.00132,0.0
2023-11-06,49375.0,49395.0,-0.0002,22903.0,1.0,0.39,0.2801,20.0,20.0,2333.0,48559.0,100015.0,303555.0,0.00155,0.0
2023-11-07,15135.0,15135.0,0.0,-253.0,0.0,0.1224,0.0932,20.0,19.0,2009.0,43867.0,109752.0,303302.0,0.0009600000000000001,0.0
2023-11-08,12942.0,12942.0,0.0,-2069.0,0.0,0.2037,0.1381,18.0,18.0,578.0,50266.0,116037.0,301233.0,0.00092,0.0
2023-11-09,13910.0,13910.0,0.0,3134.0,1.0,0.336,0.1698,18.0,21.0,1816.0,60722.0,134217.0,304367.0,0.00089,0.0
2023-11-20,16134.0,16134.0,0.0,10835.0,1.0,0.2135,0.127,11.0,22.0,2304.0,34550.0,143298.0,315202.0,0.0008399999999999999,0.0
2023-11-21,23800.0,23800.0,0.0,5976.0,1.0,0.229,0.1893,22.0,18.0,-874.0,17623.0,142726.0,321178.0,0.000865,0.0
2023-11-22,20593.0,20593.0,0.0,5314.0,1.0,0.2021,0.1144,12.0,18.0,718.0,23190.0,129639.0,326492.0,0.001055,0.0
