date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-09-21,0.8,0.8,0.0,-0.4,0.0,0.625,0.6,2.0,3.0,0.0,-0.4,-0.4,-0.4,0.0,1.0
2023-09-26,1.0,1.0,0.0,-0.5,0.0,1.0,1.0,1.0,2.0,-0.5,-0.9,-0.9,-0.9,0.0,1.0
2023-09-27,0.9091,0.9091,0.0,0.0,0.0,0.4438,0.5758,5.0,13.0,-0.3593,-0.9,-0.9,-0.9,0.0,1.0
2023-10-01,0.833,0.833,0.0,-0.1991,0.0,0.189,0.2179,7.0,24.0,-0.3296,-1.0991,-1.0991,-1.0991,0.0,1.0
2023-10-02,0.7857,0.7857,0.0,-0.1714,0.0,0.399,0.4286,4.0,19.0,-0.2714,-1.2705,-1.2705,-1.2705,0.0,1.0
2023-10-03,0.875,0.875,0.0,-0.0179,0.0,0.3011,0.3571,5.0,19.0,-0.2143,-0.8884,-1.2884,-1.2884,0.0,1.0
2023-10-04,0.8462,0.8462,0.0,-0.4911,0.0,0.1491,0.1893,8.0,16.0,-0.0888,-0.8795,-1.7795,-1.7795,0.0,1.0
2023-10-05,0.8845,0.8845,0.0,-0.5405,0.0,0.7143,0.742,4.0,12.0,-0.1229,-1.42,-2.32,-2.32,0.0,1.0
2023-10-08,0.9627,0.9627,0.0,-0.4944,0.0,0.2649,0.3638,5.0,18.0,-0.056,-1.7152999999999998,-2.8144,-2.8144,0.0,1.0
2023-10-09,1.0,1.0,0.0,-0.7222,0.0,0.321,0.5,6.0,10.0,-0.1667,-2.2661,-3.5366,-3.5366,0.0,1.0
2023-10-10,1.0,1.0,0.0,-0.8537,0.0,0.4789,0.5854,3.0,8.0,-0.3902,-3.1018999999999997,-4.3903,-4.3903,0.0,1.0
2023-10-11,1.0,1.0,0.0,-0.5562,0.0,0.4922,0.6573,4.0,11.0,-0.1124,-3.167,-4.9465,-4.9465,0.0,1.0
2023-10-12,0.96,0.96,0.0,-0.36,0.0,0.7812,0.84,2.0,14.0,-0.2,-2.9865000000000004,-5.3065,-5.3065,0.0,1.0
2023-10-16,0.875,0.875,0.0,-0.4062,0.0,0.3339,0.4156,4.0,16.0,-0.25,-2.8983,-5.7127,-5.7127,0.0,1.0
2023-10-17,1.0,1.0,0.0,-0.1967,0.0,0.485,0.6557,4.0,8.0,-0.1093,-2.3728000000000002,-5.9094,-5.9094,0.0,1.0
2023-10-18,1.0,1.0,0.0,-0.6234,0.0,0.8138,0.8961,2.0,8.0,-0.0519,-2.1425,-6.5328,-6.5328,0.0,1.0
2023-10-19,1.0,1.0,0.0,-0.8235,0.0,0.4533,0.6471,5.0,8.0,-0.5294,-2.4098,-7.3563,-7.3563,0.0,1.0
2023-10-29,0.6818,0.6818,0.0,-0.1818,0.0,0.2356,0.1818,5.0,10.0,-0.1818,-2.2316000000000003,-7.5381,-7.5381,0.0,1.0
2023-10-30,0.8696,0.8696,0.0,-0.3587,0.0,0.2909,0.3261,4.0,8.0,-0.2174,-2.1841,-7.8968,-7.8968,0.0,1.0
2023-10-31,0.9048,0.9048,0.0,-0.1905,0.0,0.4072,0.4286,4.0,11.0,-0.2381,-2.1779,-8.087299999999999,-8.087299999999999,0.0,1.0
2023-11-01,1.0,1.0,0.0,0.0,0.0,0.6488,0.7727,2.0,10.0,-0.5909,-1.5545,-7.6873,-8.087299999999999,0.0,1.0
2023-11-02,0.8,0.8,0.0,-0.6,0.0,1.0,0.8,1.0,4.0,-0.2,-1.331,-7.787299999999999,-8.6873,0.0,1.0
2023-11-05,1.0,1.0,0.0,0.375,1.0,0.3672,0.4375,3.0,10.0,-0.0625,-0.7742,-7.412299999999999,-8.3123,0.0,1.0
2023-11-06,0.9314,0.9314,0.0,-0.6226,0.0,0.3216,0.4803,6.0,8.0,-0.1492,-1.0381,-7.8358,-8.9349,0.0,1.0
2023-11-07,0.9138,0.9138,0.0,-0.1207,0.0,0.4197,0.431,3.0,5.0,-0.431,-0.9683,-7.7851,-9.0556,0.0,1.0
2023-11-08,0.8571,0.8571,0.0,0.1429,1.0,0.5,0.5714,3.0,7.0,-0.2143,-0.8254,-7.6243,-8.9127,0.0,1.0
2023-11-09,0.8,0.8,0.0,-0.2,0.0,0.5,0.4,2.0,3.0,-0.4,-0.42540000000000006,-7.333200000000001,-9.1127,0.0,1.0
2023-11-20,1.0,1.0,0.0,-0.5714,0.0,0.551,0.7143,3.0,5.0,-0.1429,-1.3718,-7.3641,-9.6841,0.0,1.0
2023-11-21,1.0,1.0,0.0,-0.5714,0.0,0.2744,0.381,4.0,5.0,0.0,-1.3206,-7.4411,-10.2555,0.0,1.0
2023-11-22,0.8684,0.8684,0.0,0.4737,1.0,0.427,0.5263,4.0,7.0,-0.0263,-0.7262,-6.2452,-9.7818,0.0,1.0
2023-11-23,0.9535,0.9535,0.0,-0.2093,0.0,0.4503,0.6047,4.0,8.0,-0.0465,-1.0784,-5.6008000000000004,-9.9911,0.0,1.0
2023-11-26,0.9167,0.9167,0.0,-0.0833,0.0,0.5702,0.6667,3.0,7.0,0.6667,-0.9617,-5.1278999999999995,-10.0744,0.0,1.0
2023-11-27,0.9487,0.9487,0.0,-0.4103,0.0,0.3484,0.4103,3.0,9.0,-0.1795,-0.8006,-5.1782,-10.4847,0.0,1.0
2023-11-28,1.0,1.0,0.0,0.1,1.0,0.345,0.5,4.0,5.0,-0.45,-0.1291999999999999,-4.672,-10.3847,0.0,1.0
2023-11-29,0.661,0.661,0.0,0.322,1.0,0.4916,0.435,3.0,5.0,0.435,-0.28089999999999987,-4.1533,-10.0627,0.0,1.0
2023-11-30,0.8772,0.8772,0.0,0.3333,1.0,0.296,0.3333,6.0,10.0,0.0877,0.26170000000000015,-3.1966,-9.7294,0.0,0.0
2023-12-03,0.9904,0.9904,0.0,0.1731,1.0,0.6418,0.7692,3.0,4.0,0.0,0.5181000000000001,-2.1999999999999997,-9.5563,0.0,0.0
2023-12-04,1.0,1.0,0.0,-0.0741,0.0,0.5665,0.7407,5.0,8.0,-0.037,0.8543000000000001,-2.0923,-9.6304,0.0,0.0
2023-12-05,1.0,1.0,0.0,-0.4706,0.0,0.8893,0.9412,2.0,11.0,-0.0588,0.28370000000000006,-2.2042,-10.100999999999999,0.0,0.0
2023-12-06,0.9756,0.9756,0.0,-0.5122,0.0,0.515,0.6341,3.0,7.0,-0.5122,-0.5505,-2.5259,-10.613199999999999,0.0,1.0
2023-12-07,0.8824,0.8824,0.0,0.1765,1.0,0.2622,0.2941,4.0,7.0,0.1765,-0.7072999999999999,-2.3494,-10.4367,0.0,1.0
2023-12-11,0.9541,0.9541,0.0,-0.2294,0.0,0.3833,0.5046,4.0,10.0,-0.1835,-1.1098,-1.9788,-10.6661,0.0,1.0
2023-12-12,0.7619,0.7619,0.0,0.0,0.0,0.2969,0.3333,5.0,10.0,0.3333,-1.0356999999999998,-2.3538,-10.6661,0.0,1.0
2023-12-13,0.6596,0.6596,0.0,0.2979,1.0,0.5005,0.3404,2.0,13.0,0.3191,-0.2672,-1.4333,-10.3682,0.0,1.0
2023-12-14,0.8966,0.8966,0.0,0.2414,1.0,0.7959,0.7931,2.0,9.0,0.7931,0.4864,-1.0712000000000002,-10.1268,0.0,0.0
2023-12-17,0.8485,0.8485,0.0,0.2424,1.0,0.271,0.2879,4.0,12.0,0.2879,0.5523,-0.9717000000000001,-9.8844,0.0,0.0
2023-12-18,0.939,0.939,0.0,0.395,1.0,0.3719,0.5221,6.0,15.0,0.061,1.1767,-0.37670000000000003,-9.4894,0.0,0.0
2023-12-19,1.0,1.0,0.0,0.25,1.0,1.0,1.0,1.0,6.0,1.0,1.4267,0.4447000000000001,-9.2394,0.0,0.0
2023-12-20,0.8382,0.8382,0.0,0.6933,1.0,0.4417,0.5021,5.0,13.0,0.5021,1.8221,1.7094000000000003,-8.5461,0.0,0.0
2023-12-21,0.8983,0.8983,0.0,0.8305,1.0,0.5358,0.6271,3.0,7.0,0.6271,2.4112,2.0662000000000003,-7.7156,0.0,0.0
2023-12-24,0.5872,0.5872,0.0,0.0712,1.0,0.8347,0.5338,2.0,11.0,-0.3701,2.24,2.3467000000000002,-7.6444,0.0,0.0
2023-12-27,0.6744,0.6744,0.0,-0.186,0.0,0.2224,0.186,5.0,9.0,-0.1395,1.659,2.244,-7.8304,0.0,0.0
