date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-11-04,90.0,90.0,0.0,40.0,1.0,0.3827,0.2273,4.0,8.0,10.0,40.0,40.0,40.0,0.0,0.0
2025-11-05,160.0,160.0,0.0,-90.0,0.0,0.8828,0.3947,2.0,11.0,-40.0,-50.0,-50.0,-50.0,0.0,1.0
2025-11-06,330.0,330.0,0.0,-180.0,0.0,0.7815,0.4394,3.0,21.0,-70.0,-230.0,-230.0,-230.0,0.0,1.0
2025-11-09,580.0,580.0,0.0,-350.0,0.0,0.7842,0.418,3.0,28.0,-100.0,-580.0,-580.0,-580.0,0.0,1.0
2025-11-10,1160.0,1160.0,0.0,-760.0,0.0,0.9661,0.4831,2.0,33.0,-90.0,-1340.0,-1340.0,-1340.0,0.0,1.0
2025-11-11,5030.0,3890.0,0.1088,2370.0,1.0,0.7341,0.4084,4.0,36.0,4280.0,990.0,1030.0,1030.0,0.01813333333333333,0.0
2025-11-12,48670.0,53860.0,-0.0252,-29190.0,0.0,0.0583,0.024,20.0,20.0,-17520.0,-28110.0,-28160.0,-28160.0,0.011942857142857142,1.0
2025-11-13,18050.0,17160.0,0.0144,-9070.0,0.0,0.1061,0.0738,20.0,20.0,-5260.0,-37000.0,-37230.0,-37230.0,0.012249999999999999,1.0
2025-11-16,50405.0,40736.0,0.0734,-10181.0,0.0,0.1562,0.1015,20.0,20.0,-10334.0,-46831.0,-47411.0,-47411.0,0.019044444444444444,1.0
2025-11-17,39582.0,30590.0,0.0832,-10435.0,0.0,0.2304,0.1611,20.0,20.0,-3418.0,-56506.0,-57846.0,-57846.0,0.02546,1.0
2025-11-18,30711.0,25118.0,0.078,-4738.0,0.0,0.3233,0.2312,20.0,20.0,-3798.0,-63614.0,-62584.0,-62584.0,0.030236363636363638,1.0
2025-11-19,31508.0,33326.0,-0.0179,204.0,1.0,0.0684,0.0418,20.0,20.0,719.0,-34220.0,-62380.0,-62380.0,0.026225,1.0
2025-11-20,31671.0,30115.0,0.0133,-12705.0,0.0,0.119,0.0671,20.0,20.0,-3185.0,-37855.0,-75085.0,-75085.0,0.02523076923076923,1.0
2025-11-23,32078.0,26861.0,0.0471,-8412.0,0.0,0.1451,0.0827,20.0,20.0,-3815.0,-36086.0,-83497.0,-83497.0,0.026792857142857143,1.0
2025-11-24,34277.0,42207.0,-0.0588,-1077.0,0.0,0.0746,0.0395,20.0,20.0,0.0,-26728.0,-84574.0,-84574.0,0.021086666666666667,1.0
2025-11-25,32240.0,32402.0,-0.0017,-10068.0,0.0,0.0667,0.0377,20.0,20.0,-5473.0,-32058.0,-94642.0,-94642.0,0.0196625,1.0
2025-11-26,18785.0,19180.0,-0.0044,-3851.0,0.0,0.0888,0.0463,20.0,20.0,-1328.0,-36113.0,-98493.0,-98493.0,0.01824705882352941,1.0
2025-11-27,28052.0,30093.0,-0.0256,9766.0,1.0,0.1767,0.1366,20.0,20.0,-1280.0,-13642.0,-88727.0,-88727.0,0.015811111111111113,1.0
2025-11-30,32624.0,28198.0,0.0562,-3765.0,0.0,0.2989,0.2153,20.0,20.0,-1910.0,-8995.0,-92492.0,-92492.0,0.017936842105263157,1.0
2025-12-01,40359.0,41219.0,-0.0068,-12205.0,0.0,0.081,0.0531,20.0,20.0,1068.0,-20123.0,-104697.0,-104697.0,0.0167,1.0
2025-12-02,47024.0,36768.0,0.0692,-34.0,0.0,0.0813,0.0523,20.0,20.0,0.0,-10089.0,-104771.0,-104731.0,0.02016,1.0
2025-12-03,52169.0,60324.0,-0.0484,22212.0,1.0,0.0673,0.0422,20.0,20.0,2542.0,15974.0,-82469.0,-82519.0,0.01774,0.0
2025-12-07,40751.0,40333.0,0.0027,14744.0,1.0,0.0832,0.0476,20.0,20.0,-3230.0,20952.0,-67545.0,-67775.0,0.017875,0.0
2025-12-08,22438.0,19447.0,0.0504,-6032.0,0.0,0.1447,0.0964,20.0,20.0,-2650.0,18685.0,-73227.0,-73807.0,0.020395,0.0
2025-12-09,15311.0,16321.0,-0.0196,-2752.0,0.0,0.1121,0.0792,20.0,20.0,-1984.0,28138.0,-75219.0,-76559.0,0.019414999999999998,0.0
2025-12-10,25399.0,26776.0,-0.0159,-13714.0,0.0,0.0714,0.0371,20.0,20.0,-2248.0,14458.0,-91303.0,-90273.0,0.01318,0.0
2025-12-11,20258.0,21159.0,-0.0167,-5791.0,0.0,0.1002,0.0724,20.0,20.0,-1143.0,-13545.0,-67904.0,-96064.0,0.013605,1.0
2025-12-14,10854.0,10939.0,-0.002,-720.0,0.0,0.1005,0.0521,20.0,20.0,-1424.0,-29009.0,-59554.0,-96784.0,0.012785000000000001,1.0
2025-12-15,23764.0,20382.0,0.0432,-5438.0,0.0,0.2018,0.0994,20.0,20.0,-854.0,-28415.0,-54811.0,-102222.0,0.011275,1.0
2025-12-16,23990.0,22098.0,0.0289,4657.0,1.0,0.1185,0.0817,20.0,20.0,707.0,-21006.0,-39719.0,-97565.0,0.00856,1.0
2025-12-17,16194.0,16312.0,-0.0027,-941.0,0.0,0.0831,0.0488,20.0,20.0,104.0,-8233.0,-35922.0,-98506.0,0.0045249999999999995,1.0
2025-12-18,21272.0,19909.0,0.0248,-9472.0,0.0,0.107,0.0832,20.0,20.0,-1634.0,-11914.0,-45598.0,-107978.0,0.006659999999999999,1.0
2025-12-21,10209.0,10711.0,-0.0163,570.0,1.0,0.0749,0.0408,20.0,20.0,-850.0,-10624.0,-32323.0,-107408.0,0.00518,1.0
2025-12-22,19423.0,16594.0,0.048,-7631.0,0.0,0.2775,0.1625,17.0,20.0,-3135.0,-12817.0,-31542.0,-115039.0,0.0052250000000000005,1.0
2025-12-23,15918.0,16414.0,-0.0114,-3534.0,0.0,0.0626,0.0449,20.0,20.0,-1775.0,-21008.0,-33999.0,-118573.0,0.007594999999999999,1.0
2025-12-24,8541.0,7632.0,0.0337,629.0,1.0,0.1876,0.1111,16.0,23.0,225.0,-19438.0,-23302.0,-117944.0,0.009365,1.0
2025-12-28,15818.0,14398.0,0.0316,-2200.0,0.0,0.1674,0.092,19.0,21.0,-1320.0,-12166.0,-21651.0,-120144.0,0.011165,1.0
2025-12-29,8090.0,7760.0,0.014,-683.0,0.0,0.0967,0.0598,20.0,20.0,-1246.0,-13419.0,-32100.0,-120827.0,0.013145,1.0
2025-12-31,19301.0,19379.0,-0.0013,-5243.0,0.0,0.1054,0.0613,20.0,20.0,332.0,-11031.0,-33578.0,-126070.0,0.01027,1.0
2026-01-01,49661.0,47874.0,0.0112,29929.0,1.0,0.173,0.1159,20.0,20.0,18501.0,22432.0,8556.0,-96141.0,0.011170000000000001,0.0
2026-01-04,33619.0,35240.0,-0.0145,15815.0,1.0,0.0621,0.0292,20.0,20.0,1674.0,37618.0,24405.0,-80326.0,0.006985,0.0
2026-01-05,38534.0,43621.0,-0.0377,-2686.0,0.0,0.1175,0.0775,20.0,20.0,-16486.0,37132.0,-493.0,-83012.0,0.007519999999999999,0.0
2026-01-06,28401.0,30987.0,-0.0222,2303.0,1.0,0.08,0.0465,20.0,20.0,1108.0,40118.0,-12934.0,-80709.0,0.006275,0.0
2026-01-07,11650.0,12256.0,-0.0151,3387.0,1.0,0.0722,0.0481,20.0,20.0,913.0,48748.0,-3515.0,-77322.0,0.0030000000000000005,0.0
2026-01-08,20803.0,18974.0,0.0283,1795.0,1.0,0.1056,0.0647,20.0,20.0,4177.0,20614.0,1032.0,-75527.0,0.005395,0.0
2026-01-12,26608.0,23780.0,0.0372,274.0,1.0,0.0992,0.069,20.0,20.0,-427.0,5073.0,15020.0,-75253.0,0.00805,0.0
2026-01-13,16172.0,16038.0,0.0023,-3165.0,0.0,0.0694,0.0304,20.0,20.0,-810.0,4594.0,17646.0,-78418.0,0.009,0.0
2026-01-14,18933.0,19200.0,-0.0051,-3049.0,0.0,0.0699,0.0417,20.0,20.0,185.0,-758.0,15317.0,-81467.0,0.008845,1.0
2026-01-18,21509.0,21993.0,-0.0068,-1290.0,0.0,0.0826,0.0475,20.0,20.0,-2778.0,-5435.0,19465.0,-82757.0,0.006345000000000001,1.0
2026-01-20,25696.0,27883.0,-0.0286,-2079.0,0.0,0.0699,0.0403,20.0,20.0,-3691.0,-9309.0,12729.0,-84836.0,0.0034699999999999996,1.0
2026-01-21,15280.0,17330.0,-0.0372,-6467.0,0.0,0.0688,0.04,20.0,20.0,548.0,-16050.0,7203.0,-91303.0,0.001745,1.0
2026-01-22,22302.0,21662.0,0.0087,3324.0,1.0,0.0806,0.0571,20.0,20.0,0.0,-9561.0,19999.0,-87979.0,0.0009399999999999999,1.0
2026-01-25,42589.0,41791.0,0.005,-4861.0,0.0,0.0846,0.0452,20.0,20.0,-1255.0,-11373.0,14568.0,-92840.0,0.0020049999999999994,1.0
2026-01-26,44678.0,37343.0,0.0447,9360.0,1.0,0.1492,0.0845,20.0,20.0,731.0,-723.0,31559.0,-83480.0,0.0018399999999999992,1.0
2026-01-27,35853.0,36091.0,-0.0019,2279.0,1.0,0.086,0.04,20.0,20.0,867.0,3635.0,37372.0,-81201.0,0.0023149999999999993,0.0
2026-01-28,40313.0,37742.0,0.0175,9410.0,1.0,0.0898,0.0485,20.0,20.0,2879.0,19512.0,46153.0,-71791.0,0.0015049999999999994,0.0
2026-01-29,38463.0,41371.0,-0.0221,2492.0,1.0,0.061,0.0388,20.0,20.0,3046.0,18680.0,50845.0,-69299.0,-0.001180000000000001,0.0
2026-02-01,19094.0,17927.0,0.0168,5751.0,1.0,0.1241,0.0654,20.0,20.0,-1884.0,29292.0,57279.0,-63548.0,-0.0010400000000000008,0.0
2026-02-02,17967.0,19420.0,-0.0219,-2608.0,0.0,0.0757,0.0418,20.0,20.0,912.0,17324.0,59914.0,-66156.0,-0.002070000000000001,0.0
2026-02-03,13311.0,13888.0,-0.0115,1451.0,1.0,0.0781,0.0508,20.0,20.0,-745.0,16496.0,31436.0,-64705.0,-0.003205000000000001,0.0
2026-02-04,14654.0,16182.0,-0.0288,2248.0,1.0,0.0739,0.0424,20.0,20.0,-89.0,9334.0,17869.0,-62497.0,-0.003920000000000002,0.0
2026-02-05,17142.0,17127.0,0.0003,-5511.0,0.0,0.1061,0.0693,20.0,20.0,0.0,1331.0,15044.0,-67918.0,-0.002020000000000001,0.0
2026-02-08,14742.0,13740.0,0.0225,2863.0,1.0,0.1324,0.0931,20.0,20.0,2231.0,-1557.0,15604.0,-64875.0,0.00021499999999999905,1.0
2026-02-09,10559.0,10828.0,-0.0076,2124.0,1.0,0.1074,0.0689,20.0,20.0,-577.0,3175.0,14341.0,-62401.0,0.000589999999999999,0.0
2026-02-10,17395.0,17295.0,0.0017,5515.0,1.0,0.0732,0.0373,20.0,20.0,-467.0,7239.0,18061.0,-56126.0,-0.000740000000000001,0.0
2026-02-11,11483.0,11739.0,-0.0083,-1193.0,0.0,0.1147,0.1012,20.0,20.0,-2175.0,3798.0,16594.0,-59689.0,-0.003015000000000001,0.0
2026-02-12,10032.0,9946.0,0.0018,-926.0,0.0,0.0825,0.0348,20.0,20.0,-1328.0,8383.0,18833.0,-31425.0,-0.0030400000000000006,0.0
2026-02-16,5403.0,4978.0,0.0246,268.0,1.0,0.1112,0.0612,20.0,20.0,992.0,5788.0,22150.0,-22087.0,-0.0015550000000000006,0.0
2026-02-17,10423.0,9559.0,0.0283,-2873.0,0.0,0.1395,0.0846,17.0,22.0,21.0,791.0,20567.0,-14779.0,0.00019999999999999914,0.0
2026-02-22,13398.0,14228.0,-0.0192,6453.0,1.0,0.0799,0.0454,20.0,20.0,1816.0,1729.0,29099.0,2109.0,0.0006699999999999993,0.0
2026-02-23,8809.0,8499.0,0.0103,-838.0,0.0,0.1188,0.0587,20.0,20.0,587.0,2084.0,34728.0,6009.0,0.003044999999999999,0.0
2026-02-24,8038.0,7728.0,0.0107,947.0,1.0,0.1298,0.0689,15.0,23.0,506.0,3957.0,32351.0,6752.0,0.0031449999999999994,0.0
2026-02-25,4600.0,4430.0,0.0094,436.0,1.0,0.1392,0.0677,17.0,22.0,-24.0,4125.0,37648.0,19893.0,0.003364999999999999,0.0
2026-02-26,5084.0,5146.0,-0.0042,-3384.0,0.0,0.0892,0.066,20.0,20.0,82.0,3614.0,24904.0,24921.0,0.0009199999999999993,0.0
2026-03-01,4847.0,5359.0,-0.023,981.0,1.0,0.0745,0.031,20.0,19.0,-85.0,-1858.0,23606.0,26979.0,-0.00013500000000000073,1.0
2026-03-03,13201.0,12925.0,0.0073,2970.0,1.0,0.1045,0.0559,20.0,20.0,1424.0,1950.0,17166.0,40017.0,-0.0006450000000000008,0.0
2026-03-09,1842.0,1842.0,0.0,-418.0,0.0,0.2011,0.1629,8.0,4.0,232.0,585.0,14256.0,43450.0,0.0004599999999999993,0.0
2026-03-10,16893.0,17573.0,-0.0101,-2506.0,0.0,0.0794,0.0363,20.0,20.0,-1426.0,-2357.0,5999.0,31178.0,-0.0008850000000000007,1.0
2026-03-11,13383.0,14330.0,-0.0218,-4842.0,0.0,0.0718,0.0401,20.0,20.0,-3779.0,-3815.0,3765.0,30101.0,-0.0008800000000000008,1.0
2026-03-12,11945.0,12078.0,-0.0034,1539.0,1.0,0.0791,0.0487,20.0,20.0,1890.0,-3257.0,3853.0,43845.0,-0.00047500000000000076,1.0
2026-03-15,7655.0,7620.0,0.0012,685.0,1.0,0.0973,0.06,20.0,20.0,-331.0,-5542.0,2290.0,44564.0,0.0010249999999999992,1.0
2026-03-16,4321.0,4231.0,0.0072,-444.0,0.0,0.0904,0.053,20.0,20.0,-31.0,-5568.0,7357.0,21908.0,0.0013699999999999993,1.0
2026-03-17,10666.0,10877.0,-0.0056,-1315.0,0.0,0.0773,0.0348,20.0,20.0,0.0,-4377.0,3179.0,5849.0,-3.500000000000083e-05,1.0
2026-03-19,13972.0,14456.0,-0.0103,-2668.0,0.0,0.0908,0.0666,20.0,20.0,-352.0,-2203.0,-1613.0,9213.0,-0.00017000000000000083,1.0
