date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-05-07,36949.0,35232.0,0.0125,8120.0,1.0,0.2534,0.1209,19.0,21.0,-3889.0,8120.0,8120.0,8120.0,0.0125,0.0
2023-05-08,11256.0,10156.0,0.0244,4459.0,1.0,0.4539,0.1666,19.0,20.0,-2140.0,12579.0,12579.0,12579.0,0.01845,0.0
2023-05-09,6060.0,5400.0,0.0316,-1720.0,0.0,0.1392,0.0742,14.0,25.0,-1220.0,10859.0,10859.0,10859.0,0.022833333333333334,0.0
2023-05-10,5840.0,5580.0,0.015,-1005.0,0.0,0.1217,0.0801,20.0,20.0,-845.0,9854.0,9854.0,9854.0,0.020875,0.0
2023-05-11,4178.0,3948.0,0.0154,-1540.0,0.0,0.1111,0.0514,16.0,24.0,-830.0,8314.0,8314.0,8314.0,0.01978,0.0
2023-05-14,9385.0,9410.0,-0.0009,-3595.0,0.0,0.1362,0.0921,20.0,20.0,-985.0,-3401.0,4719.0,4719.0,0.016333333333333335,1.0
2023-05-15,9245.0,8605.0,0.023,470.0,1.0,0.2144,0.1168,10.0,30.0,-968.0,-7390.0,5189.0,5189.0,0.017285714285714286,1.0
2023-05-16,6018.0,5638.0,0.0224,-681.0,0.0,0.2276,0.1479,14.0,26.0,-840.0,-6351.0,4508.0,4508.0,0.017925,1.0
2023-05-17,6447.0,5827.0,0.0322,-980.0,0.0,0.15,0.077,10.0,30.0,-860.0,-6326.0,3528.0,3528.0,0.01951111111111111,1.0
2023-05-18,7992.0,7642.0,0.0128,-3922.0,0.0,0.1182,0.0728,15.0,25.0,-1235.0,-8708.0,-394.0,-394.0,0.018840000000000003,1.0
2023-05-21,8755.0,8520.0,0.0077,-296.0,0.0,0.1591,0.0894,16.0,22.0,790.0,-5409.0,-690.0,-690.0,0.017827272727272726,1.0
2023-05-22,4430.0,4170.0,0.0202,-245.0,0.0,0.1905,0.095,8.0,32.0,-455.0,-6124.0,-935.0,-935.0,0.018025,1.0
2023-05-23,7057.0,6557.0,0.0245,-1997.0,0.0,0.1806,0.0951,12.0,28.0,-170.0,-7440.0,-2932.0,-2932.0,0.018523076923076923,1.0
2023-05-24,7286.0,7036.0,0.012,1452.0,1.0,0.2362,0.1331,15.0,25.0,-394.0,-5008.0,-1480.0,-1480.0,0.01805714285714286,1.0
2023-05-28,12260.0,11940.0,0.01,-1290.0,0.0,0.2423,0.1183,13.0,27.0,0.0,-2376.0,-2770.0,-2770.0,0.01752,1.0
2023-05-30,3852.0,3674.0,0.0153,725.0,1.0,0.2198,0.1367,13.0,26.0,0.0,-1355.0,-2045.0,-2045.0,0.01738125,1.0
2023-05-31,4200.0,4140.0,0.005,1730.0,1.0,0.117,0.0633,13.0,24.0,548.0,620.0,-315.0,-315.0,0.01665294117647059,0.0
2023-06-01,5905.0,5815.0,0.0057,3110.0,1.0,0.1489,0.0757,12.0,26.0,-395.0,5727.0,2795.0,2795.0,0.016044444444444445,0.0
2023-06-04,4718.0,4488.0,0.0167,-561.0,0.0,0.1682,0.1031,11.0,29.0,-620.0,3714.0,2234.0,2234.0,0.016078947368421054,0.0
2023-06-05,14669.0,13794.0,0.0253,-7811.0,0.0,0.4141,0.2428,6.0,33.0,0.0,-2807.0,-5577.0,-5577.0,0.01654,1.0
2023-06-06,8879.0,8449.0,0.016,-4170.0,0.0,0.542,0.2407,10.0,27.0,-1095.0,-7702.0,-17867.0,-9747.0,0.016715,1.0
2023-06-07,16829.0,16399.0,0.0078,-8789.0,0.0,0.126,0.07,19.0,21.0,-1845.0,-18221.0,-31115.0,-18536.0,0.015885000000000003,1.0
2023-06-08,22691.0,22271.0,0.0073,-3967.0,0.0,0.2141,0.1135,14.0,26.0,-1990.0,-25298.0,-33362.0,-22503.0,0.014669999999999999,1.0
2023-06-11,17240.0,16653.0,0.0122,-5949.0,0.0,0.0787,0.0519,19.0,21.0,-4494.0,-30686.0,-38306.0,-28452.0,0.014529999999999998,1.0
2023-06-12,20155.0,18795.0,0.022,1590.0,1.0,0.1691,0.1046,12.0,28.0,2480.0,-21285.0,-35176.0,-26862.0,0.014860000000000002,1.0
2023-06-13,14625.0,14085.0,0.013,-3972.0,0.0,0.2037,0.122,15.0,24.0,-685.0,-21087.0,-35553.0,-30834.0,0.015555,1.0
2023-06-14,14124.0,13516.0,0.0119,2115.0,1.0,0.1492,0.0649,14.0,26.0,-281.0,-10183.0,-33908.0,-28719.0,0.015,1.0
2023-06-15,17038.0,16440.0,0.0118,-6507.0,0.0,0.1256,0.0629,15.0,25.0,-950.0,-12723.0,-39734.0,-35226.0,0.01447,1.0
2023-06-18,8989.0,8699.0,0.011,-3160.0,0.0,0.1811,0.0925,13.0,26.0,-254.0,-9934.0,-41914.0,-38386.0,0.01341,1.0
2023-06-19,26092.0,25522.0,0.0075,-2.0,0.0,0.1538,0.1113,17.0,23.0,8439.0,-11526.0,-37994.0,-38388.0,0.013145,1.0
2023-06-20,9052.0,8932.0,0.0052,3645.0,1.0,0.1526,0.1196,18.0,22.0,-841.0,-3909.0,-34053.0,-34743.0,0.01302,1.0
2023-06-21,12080.0,11620.0,0.0143,3438.0,1.0,0.19,0.122,11.0,28.0,3930.0,-2586.0,-30370.0,-31305.0,0.012725,1.0
2023-06-22,8127.0,7807.0,0.0107,-3707.0,0.0,0.1153,0.0521,14.0,25.0,-3397.0,214.0,-32080.0,-35012.0,0.012035,0.0
2023-06-25,14520.0,14570.0,-0.001,3641.0,1.0,0.101,0.0577,20.0,20.0,410.0,7015.0,-29891.0,-31371.0,0.011385000000000001,0.0
2023-06-26,5801.0,5581.0,0.014,695.0,1.0,0.1116,0.067,17.0,23.0,-530.0,7712.0,-27906.0,-30676.0,0.011585,0.0
2023-06-27,13779.0,13319.0,0.0115,1722.0,1.0,0.1375,0.0713,17.0,23.0,-530.0,5789.0,-26909.0,-28954.0,0.011394999999999999,0.0
2023-06-28,10345.0,10195.0,0.0051,470.0,1.0,0.1109,0.0625,18.0,21.0,560.0,2821.0,-28169.0,-28484.0,0.011399999999999999,0.0
2023-07-02,6635.0,6365.0,0.0165,-1785.0,0.0,0.1934,0.1193,12.0,27.0,-310.0,4743.0,-33064.0,-30269.0,0.011940000000000001,0.0
2023-07-03,5923.0,5755.0,0.0096,-210.0,0.0,0.1895,0.0989,13.0,27.0,-240.0,892.0,-32713.0,-30479.0,0.011585000000000002,0.0
2023-07-04,7205.0,6975.0,0.0121,10.0,1.0,0.2135,0.132,9.0,30.0,2510.0,207.0,-24892.0,-30469.0,0.010925,0.0
2023-07-05,7160.0,7030.0,0.0074,-3400.0,0.0,0.1426,0.0853,15.0,25.0,-325.0,-4915.0,-24122.0,-33869.0,0.010495,1.0
2023-07-06,10025.0,9795.0,0.0099,-4845.0,0.0,0.1657,0.0948,12.0,27.0,2185.0,-10230.0,-20178.0,-38714.0,0.010600000000000002,1.0
2023-07-09,3890.0,3620.0,0.0264,-2060.0,0.0,0.1189,0.0919,14.0,24.0,-740.0,-10505.0,-18271.0,-40774.0,0.011555,1.0
2023-07-10,13365.0,13165.0,0.0062,-4955.0,0.0,0.1307,0.0852,16.0,24.0,-460.0,-15250.0,-17277.0,-45729.0,0.011255,1.0
2023-07-11,14766.0,14566.0,0.0058,3008.0,1.0,0.2383,0.1507,7.0,33.0,3150.0,-12252.0,-15859.0,-42721.0,0.010445,1.0
2023-07-12,6550.0,6210.0,0.0226,1215.0,1.0,0.1943,0.1212,9.0,30.0,-410.0,-7637.0,-10672.0,-41506.0,0.010924999999999999,1.0
2023-07-13,3420.0,3180.0,0.0233,320.0,1.0,0.2226,0.1347,13.0,27.0,-270.0,-2472.0,-12467.0,-41186.0,0.011495,1.0
2023-07-16,4595.0,4505.0,0.0074,1270.0,1.0,0.1132,0.0908,18.0,20.0,225.0,858.0,-4690.0,-39916.0,0.011274999999999999,0.0
2023-07-17,3702.0,3492.0,0.0215,247.0,1.0,0.1424,0.0798,14.0,24.0,-120.0,6060.0,-1283.0,-39669.0,0.011800000000000001,0.0
2023-07-18,7905.0,7810.0,0.0045,-1245.0,0.0,0.2314,0.1207,16.0,24.0,682.0,1807.0,-2526.0,-40914.0,0.011649999999999999,0.0
2023-07-19,4419.0,4339.0,0.0078,-1948.0,0.0,0.2268,0.1778,13.0,25.0,-1480.0,-1356.0,-8119.0,-42862.0,0.011779999999999999,1.0
2023-07-20,6967.0,6952.0,0.0007,-3010.0,0.0,0.1022,0.0526,20.0,20.0,-3442.0,-4686.0,-14567.0,-45872.0,0.0111,1.0
2023-07-23,4570.0,4440.0,0.0089,-370.0,0.0,0.1361,0.0718,17.0,23.0,-630.0,-6326.0,-11230.0,-46242.0,0.01101,1.0
2023-07-24,11374.0,10954.0,0.0136,-769.0,0.0,0.1177,0.0695,16.0,23.0,-543.0,-7342.0,-15640.0,-47011.0,0.011739999999999999,1.0
2023-07-25,6684.0,6554.0,0.0083,-3490.0,0.0,0.0963,0.0723,20.0,20.0,0.0,-9587.0,-19825.0,-50501.0,0.011455,1.0
2023-07-26,5576.0,5556.0,0.0013,1278.0,1.0,0.2006,0.1282,12.0,27.0,-1670.0,-6361.0,-20269.0,-49223.0,0.010945,1.0
2023-07-27,5488.0,5448.0,0.0032,-1705.0,0.0,0.1018,0.0872,20.0,20.0,20.0,-5056.0,-22444.0,-50928.0,0.01085,1.0
2023-07-30,6334.0,6284.0,0.0034,2690.0,1.0,0.2125,0.1658,14.0,26.0,295.0,-1996.0,-17969.0,-48238.0,0.010195,1.0
2023-07-31,2240.0,2220.0,0.0035,130.0,1.0,0.2239,0.1307,7.0,32.0,-110.0,-1097.0,-17629.0,-48108.0,0.00989,1.0
2023-08-01,4040.0,3960.0,0.0092,-1950.0,0.0,0.6368,0.3684,8.0,32.0,-420.0,443.0,-19589.0,-50058.0,0.009745,0.0
2023-08-02,2654.0,2594.0,0.0069,-270.0,0.0,0.1887,0.1058,9.0,30.0,-227.0,-1105.0,-16459.0,-58448.0,0.009720000000000001,1.0
