date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-10-11,53561.0,53666.0,-0.0005,-25976.0,0.0,0.0891,0.0409,20.0,20.0,-8594.0,-25976.0,-25976.0,-25976.0,-0.0005,1.0
2023-10-12,31796.0,26826.0,0.0524,-5692.0,0.0,0.2136,0.1258,18.0,22.0,-2940.0,-31668.0,-31668.0,-31668.0,0.02595,1.0
2023-10-16,43439.0,38119.0,0.041,-233.0,0.0,0.1742,0.1127,16.0,24.0,-4407.0,-31901.0,-31901.0,-31901.0,0.03096666666666667,1.0
2023-10-17,24214.0,21428.0,0.0379,-3430.0,0.0,0.1593,0.0853,15.0,25.0,-1970.0,-35331.0,-35331.0,-35331.0,0.0327,1.0
2023-10-18,20810.0,19130.0,0.036,-5152.0,0.0,0.139,0.1225,16.0,24.0,-3770.0,-40483.0,-40483.0,-40483.0,0.03336,1.0
2023-10-19,28029.0,26539.0,0.0239,-1062.0,0.0,0.1742,0.1335,19.0,21.0,-3211.0,-15569.0,-41545.0,-41545.0,0.03178333333333334,1.0
2023-10-29,15708.0,15185.0,0.0121,-4130.0,0.0,0.1212,0.0756,18.0,20.0,-1490.0,-14007.0,-45675.0,-45675.0,0.02897142857142857,1.0
2023-10-30,13865.0,12375.0,0.0387,-4821.0,0.0,0.1609,0.112,16.0,24.0,-1810.0,-18595.0,-50496.0,-50496.0,0.0301875,1.0
2023-10-31,6690.0,6400.0,0.0144,-1200.0,0.0,0.1061,0.0731,18.0,22.0,120.0,-16365.0,-51696.0,-51696.0,0.028433333333333335,1.0
2023-11-01,9273.0,8713.0,0.024,1000.0,1.0,0.1174,0.0979,17.0,23.0,560.0,-10213.0,-50696.0,-50696.0,0.027989999999999998,1.0
2023-11-02,7790.0,7370.0,0.0222,-670.0,0.0,0.1413,0.1006,15.0,24.0,-1130.0,-9821.0,-51366.0,-51366.0,0.027463636363636367,1.0
2023-11-05,13570.0,13510.0,0.0019,719.0,1.0,0.1039,0.0805,20.0,20.0,-70.0,-4972.0,-50647.0,-50647.0,0.025333333333333333,1.0
2023-11-06,9844.0,9234.0,0.0259,-1751.0,0.0,0.2595,0.1942,14.0,26.0,-1265.0,-1902.0,-52398.0,-52398.0,0.025376923076923078,1.0
2023-11-07,10360.0,9400.0,0.0359,20.0,1.0,0.1086,0.0715,17.0,23.0,-235.0,-682.0,-52378.0,-52378.0,0.026128571428571428,1.0
2023-11-08,21014.0,21124.0,-0.0017,4650.0,1.0,0.0879,0.0458,20.0,20.0,1720.0,2968.0,-47728.0,-47728.0,0.024273333333333334,0.0
2023-11-09,13059.0,12861.0,0.0057,2932.0,1.0,0.1163,0.0908,20.0,20.0,1632.0,6570.0,-44796.0,-44796.0,0.0231125,0.0
2023-11-20,16728.0,16151.0,0.0123,8121.0,1.0,0.2554,0.1608,20.0,20.0,180.0,13972.0,-36675.0,-36675.0,0.022476470588235292,0.0
2023-11-21,12886.0,12371.0,0.0176,1869.0,1.0,0.1888,0.1632,16.0,24.0,0.0,17592.0,-34806.0,-34806.0,0.022205555555555555,0.0
2023-11-22,14338.0,13698.0,0.0182,-4273.0,0.0,0.2447,0.174,17.0,20.0,-663.0,13299.0,-39079.0,-39079.0,0.02199473684210526,0.0
2023-11-23,18119.0,16732.0,0.0306,-8362.0,0.0,0.176,0.1083,15.0,25.0,-3020.0,287.0,-47441.0,-47441.0,0.022425,0.0
2023-11-26,21180.0,20440.0,0.0131,-905.0,0.0,0.1383,0.1016,20.0,20.0,-1100.0,-3550.0,-22370.0,-48346.0,0.023105,1.0
2023-11-27,34551.0,34734.0,-0.0018,-5318.0,0.0,0.1335,0.1022,20.0,20.0,-6635.0,-16989.0,-21996.0,-53664.0,0.020395,1.0
2023-11-28,11011.0,10451.0,0.0158,-1818.0,0.0,0.1476,0.0752,16.0,23.0,-2425.0,-20676.0,-23581.0,-55482.0,0.019135000000000003,1.0
2023-11-29,9405.0,8895.0,0.0169,40.0,1.0,0.1587,0.1077,17.0,23.0,-850.0,-16363.0,-20111.0,-55442.0,0.018084999999999997,1.0
2023-11-30,14631.0,14652.0,-0.0005,-791.0,0.0,0.1064,0.0702,20.0,20.0,340.0,-8792.0,-15750.0,-56233.0,0.01626,1.0
2023-12-03,8987.0,8577.0,0.0171,208.0,1.0,0.1784,0.1356,17.0,23.0,3260.0,-7679.0,-14480.0,-56025.0,0.01592,1.0
2023-12-04,10991.0,10471.0,0.0151,-2168.0,0.0,0.1339,0.064,17.0,23.0,321.0,-4529.0,-12518.0,-58193.0,0.01607,1.0
2023-12-05,19583.0,19423.0,0.0028,-5031.0,0.0,0.2232,0.1186,20.0,20.0,-760.0,-7742.0,-12728.0,-63224.0,0.014275000000000001,1.0
2023-12-06,12544.0,12584.0,-0.0013,-2084.0,0.0,0.2044,0.1674,20.0,20.0,130.0,-9866.0,-13612.0,-65308.0,0.013489999999999999,1.0
2023-12-07,25446.0,24666.0,0.0126,14661.0,1.0,0.2602,0.1976,20.0,20.0,12250.0,5586.0,49.0,-50647.0,0.012920000000000001,0.0
2023-12-10,4440.0,4440.0,0.0,700.0,1.0,0.2119,0.1518,12.0,13.0,30.0,6078.0,1419.0,-49947.0,0.01181,0.0
2023-12-11,30303.0,30408.0,-0.0014,922.0,1.0,0.1548,0.1304,20.0,20.0,-13900.0,9168.0,1622.0,-49025.0,0.011644999999999999,0.0
2023-12-12,39460.0,39365.0,0.0009,6467.0,1.0,0.1345,0.0944,20.0,20.0,-542.0,20666.0,9840.0,-42558.0,0.010395,0.0
2023-12-13,37944.0,36917.0,0.0112,1243.0,1.0,0.152,0.1328,20.0,20.0,-1325.0,23993.0,11063.0,-41315.0,0.00916,0.0
2023-12-14,12459.0,11550.0,0.0249,-1189.0,0.0,0.2065,0.1317,13.0,26.0,-1245.0,8143.0,5224.0,-42504.0,0.01049,0.0
2023-12-17,18025.0,17262.0,0.0155,2730.0,1.0,0.0922,0.0764,20.0,20.0,-2490.0,10173.0,5022.0,-39774.0,0.01098,0.0
2023-12-18,27456.0,27862.0,-0.0046,11391.0,1.0,0.2175,0.1359,20.0,20.0,-2289.0,20642.0,8292.0,-28383.0,0.010135000000000002,0.0
2023-12-19,29056.0,28886.0,0.0023,-6513.0,0.0,0.1737,0.139,20.0,20.0,2700.0,7662.0,-90.0,-34896.0,0.00937,0.0
2023-12-20,44809.0,41879.0,0.029,-17950.0,0.0,0.3412,0.2443,20.0,20.0,-1358.0,-11531.0,-13767.0,-52846.0,0.00991,1.0
2023-12-21,49871.0,47602.0,0.0171,-31183.0,0.0,0.4443,0.2469,20.0,20.0,-1786.0,-41525.0,-36588.0,-84029.0,0.009235,1.0
2023-12-24,41904.0,39563.0,0.0182,-14152.0,0.0,0.1845,0.1225,20.0,20.0,-5564.0,-58407.0,-49835.0,-98181.0,0.00949,1.0
2023-12-27,33156.0,30694.0,0.0249,-13713.0,0.0,0.2759,0.1646,20.0,20.0,-1465.0,-83511.0,-58230.0,-111894.0,0.010825,1.0
2023-12-28,39822.0,37680.0,0.0207,3443.0,1.0,0.1762,0.1366,17.0,22.0,-2791.0,-73555.0,-52969.0,-108451.0,0.01107,1.0
2024-01-01,18991.0,17586.0,0.0181,-1502.0,0.0,0.2326,0.0827,17.0,22.0,-1071.0,-57107.0,-54511.0,-109953.0,0.011130000000000001,1.0
2024-01-02,44069.0,43388.0,0.0048,-25952.0,0.0,0.1879,0.0978,20.0,20.0,-1090.0,-51876.0,-79672.0,-135905.0,0.011394999999999999,1.0
2024-01-03,18234.0,16964.0,0.0182,-3114.0,0.0,0.2587,0.123,16.0,23.0,-1060.0,-40838.0,-82994.0,-139019.0,0.01145,1.0
