date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-05-22,250000.0,250000.0,0.0,550.0,1.0,0.8796,0.4615,11.0,22.0,-450.0,550.0,550.0,550.0,0.0,0.0
2025-05-25,6710.0,6710.0,0.0,-2410.0,0.0,0.58,0.3566,5.0,24.0,-1000.0,-1860.0,-1860.0,-1860.0,0.0,1.0
2025-05-26,249200.0,249200.0,0.0,-500.0,0.0,0.8682,0.4645,11.0,20.0,-600.0,-2360.0,-2360.0,-2360.0,0.0,1.0
2025-05-27,6200.0,6200.0,0.0,-2000.0,0.0,0.2107,0.1484,6.0,16.0,-500.0,-4360.0,-4360.0,-4360.0,0.0,1.0
2025-05-28,7300.0,7300.0,0.0,-400.0,0.0,0.6101,0.3373,6.0,14.0,-700.0,-4760.0,-4760.0,-4760.0,0.0,1.0
2025-06-02,235400.0,235400.0,0.0,9400.0,1.0,0.862,0.4631,10.0,17.0,-300.0,4090.0,4640.0,4640.0,0.0,0.0
2025-06-03,13400.0,13400.0,0.0,2300.0,1.0,0.2195,0.1812,8.0,18.0,-500.0,8800.0,6940.0,6940.0,0.0,0.0
2025-06-04,1300.0,1300.0,0.0,-400.0,0.0,0.4556,0.3077,3.0,9.0,-200.0,8900.0,6540.0,6540.0,0.0,0.0
2025-06-05,4450.0,4450.0,0.0,-100.0,0.0,0.2193,0.1237,6.0,9.0,-750.0,10800.0,6440.0,6440.0,0.0,0.0
2025-06-08,16500.0,16500.0,0.0,-8200.0,0.0,0.3054,0.1657,5.0,16.0,700.0,3000.0,-1760.0,-1760.0,0.0,0.0
2025-06-09,3100.0,3100.0,0.0,300.0,1.0,0.4943,0.3387,5.0,13.0,-300.0,-6100.0,-1460.0,-1460.0,0.0,1.0
2025-06-10,1800.0,1800.0,0.0,0.0,0.0,0.216,0.1579,6.0,11.0,-200.0,-8400.0,-1460.0,-1460.0,0.0,1.0
2025-06-11,2400.0,2400.0,0.0,-400.0,0.0,0.2582,0.1978,6.0,10.0,-200.0,-8400.0,-1860.0,-1860.0,0.0,1.0
2025-06-12,14100.0,14100.0,0.0,12200.0,1.0,0.7452,0.4261,5.0,14.0,-400.0,3900.0,10340.0,10340.0,0.0,0.0
2025-06-15,2800.0,2800.0,0.0,-300.0,0.0,0.2143,0.1129,5.0,12.0,-100.0,11800.0,10040.0,10040.0,0.0,0.0
2025-06-16,52800.0,52800.0,0.0,47300.0,1.0,0.8985,0.463,5.0,15.0,-1000.0,58800.0,57340.0,57340.0,0.0,0.0
2025-06-17,33250.0,33250.0,0.0,27450.0,1.0,0.7385,0.4265,6.0,9.0,-300.0,86250.0,84790.0,84790.0,0.0,0.0
2025-06-18,2400.0,2400.0,0.0,-400.0,0.0,0.2569,0.2083,6.0,10.0,-400.0,86250.0,84390.0,84390.0,0.0,0.0
