date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-07-05,0.702,0.7336,-0.0316,-0.0876,0.0,0.0999,0.1622,22.0,18.0,0.0471,-0.0876,-0.0876,-0.0876,-0.0316,1.0
2023-07-06,0.7614,0.8459,-0.0845,0.0658,1.0,0.0747,0.1241,29.0,11.0,0.1241,-0.0218,-0.0218,-0.0218,-0.058050000000000004,1.0
2023-07-09,0.3725,0.4031,-0.0306,-0.0927,0.0,0.0716,0.0526,20.0,20.0,-0.0324,-0.1145,-0.1145,-0.1145,-0.0489,1.0
2023-07-10,0.4065,0.4285,-0.022,-0.2285,0.0,0.1304,0.127,22.0,18.0,-0.1011,-0.343,-0.343,-0.343,-0.042175000000000004,1.0
2023-07-11,0.3839,0.3782,0.0057,-0.1298,0.0,0.1294,0.1136,20.0,20.0,-0.037,-0.4728,-0.4728,-0.4728,-0.032600000000000004,1.0
2023-07-12,0.4602,0.4565,0.0036,0.0228,1.0,0.1142,0.0973,20.0,20.0,-0.0525,-0.3624,-0.45,-0.45,-0.02656666666666667,1.0
2023-07-13,0.5446,0.5814,-0.0368,0.1256,1.0,0.0664,0.0613,20.0,20.0,0.0,-0.30260000000000004,-0.3244,-0.3244,-0.02802857142857143,1.0
2023-07-16,0.5273,0.5447,-0.0174,-0.2305,0.0,0.1343,0.163,20.0,20.0,-0.096,-0.4404,-0.5549000000000001,-0.5549000000000001,-0.0267,1.0
2023-07-17,0.4488,0.446,0.0028,-0.002,0.0,0.1614,0.1607,20.0,20.0,-0.1246,-0.2139,-0.5569000000000001,-0.5569000000000001,-0.023422222222222223,1.0
2023-07-18,0.4363,0.3855,0.0508,-0.0918,0.0,0.1871,0.1397,15.0,25.0,0.0035,-0.1759,-0.6487,-0.6487,-0.016,1.0
2023-07-19,0.4088,0.3948,0.014,0.0775,1.0,0.0934,0.081,20.0,20.0,-0.0216,-0.1212,-0.5712,-0.5712,-0.013272727272727275,1.0
2023-07-20,0.3936,0.3661,0.0275,-0.0132,0.0,0.0988,0.0838,18.0,22.0,-0.0337,-0.26,-0.5844,-0.5844,-0.009875,1.0
2023-07-23,0.4459,0.4497,-0.0038,-0.1305,0.0,0.094,0.0843,20.0,20.0,-0.1047,-0.15999999999999998,-0.7149000000000001,-0.7149000000000001,-0.009407692307692308,1.0
2023-07-24,0.3987,0.4191,-0.0205,-0.1449,0.0,0.0845,0.0597,20.0,20.0,-0.0173,-0.30289999999999995,-0.8598,-0.8598,-0.0102,1.0
2023-07-25,0.5717,0.5616,0.01,-0.3299,0.0,0.1028,0.0975,20.0,20.0,-0.0976,-0.541,-1.1897000000000002,-1.1897000000000002,-0.008853333333333333,1.0
2023-07-26,0.5979,0.5872,0.0108,-0.2139,0.0,0.1027,0.1271,20.0,20.0,0.0,-0.8324,-1.4036000000000002,-1.4036000000000002,-0.007625000000000001,1.0
2023-07-27,0.5672,0.5457,0.0214,0.0255,1.0,0.1128,0.1018,16.0,23.0,-0.109,-0.7937000000000001,-1.3781,-1.3781,-0.00591764705882353,1.0
2023-07-30,0.6478,0.6483,-0.0006,0.1119,1.0,0.1493,0.1918,20.0,20.0,-0.1035,-0.5513,-1.2662,-1.2662,-0.005622222222222223,1.0
2023-07-31,0.583,0.5897,-0.0067,0.054,1.0,0.162,0.2054,20.0,20.0,0.0326,-0.35240000000000005,-1.2122000000000002,-1.2122000000000002,-0.005678947368421053,1.0
2023-08-01,0.4007,0.4017,-0.001,0.0582,1.0,0.0902,0.0737,20.0,20.0,-0.0694,0.03569999999999999,-1.1540000000000001,-1.1540000000000001,-0.005445,0.0
2023-08-02,0.4951,0.4665,0.0286,0.1064,1.0,0.1313,0.1256,18.0,22.0,-0.0198,0.356,-0.9600000000000002,-1.0476,-0.0024350000000000005,0.0
2023-08-03,0.562,0.5813,-0.0193,-0.0392,0.0,0.111,0.1481,20.0,20.0,-0.0442,0.29129999999999995,-1.0650000000000002,-1.0868000000000002,0.0008249999999999999,0.0
