date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6850.0,6850.0,0.0,441.0,1.0,0.0956,0.0726,20.0,16.0,-1090.0,441.0,441.0,441.0,0.0,0.0
2023-01-24,6038.0,6038.0,0.0,4958.0,1.0,0.2003,0.1463,22.0,11.0,720.0,5399.0,5399.0,5399.0,0.0,0.0
2023-01-25,1645.0,1645.0,0.0,1255.0,1.0,0.1585,0.1025,12.0,16.0,380.0,6654.0,6654.0,6654.0,0.0,0.0
2023-01-26,3945.0,3945.0,0.0,1800.0,1.0,0.2986,0.2094,9.0,21.0,-545.0,8454.0,8454.0,8454.0,0.0,0.0
2023-01-29,1055.0,1055.0,0.0,-154.0,0.0,0.206,0.1256,13.0,17.0,10.0,8300.0,8300.0,8300.0,0.0,0.0
2023-01-30,2195.0,2195.0,0.0,-945.0,0.0,0.1212,0.073,15.0,15.0,-260.0,6914.0,7355.0,7355.0,0.0,0.0
2023-01-31,1630.0,1630.0,0.0,688.0,1.0,0.4037,0.2508,10.0,23.0,-60.0,2644.0,8043.0,8043.0,0.0,0.0
2023-02-01,722.0,722.0,0.0,425.0,1.0,0.2185,0.1617,9.0,13.0,30.0,1814.0,8468.0,8468.0,0.0,0.0
2023-02-02,745.0,745.0,0.0,360.0,1.0,0.2813,0.1581,6.0,15.0,20.0,374.0,8828.0,8828.0,0.0,0.0
2023-02-05,2613.0,2613.0,0.0,-1188.0,0.0,0.3745,0.2532,10.0,23.0,10.0,-660.0,7640.0,7640.0,0.0,1.0
2023-02-06,1183.0,1183.0,0.0,625.0,1.0,0.2262,0.1657,9.0,14.0,10.0,910.0,8265.0,8265.0,0.0,0.0
2023-02-07,1180.0,1180.0,0.0,10.0,1.0,0.3012,0.1961,12.0,20.0,30.0,232.0,8275.0,8275.0,0.0,0.0
2023-02-08,9125.0,9125.0,0.0,4970.0,1.0,0.4268,0.2567,6.0,22.0,-100.0,4777.0,13245.0,13245.0,0.0,0.0
2023-02-09,3297.0,3297.0,0.0,-2675.0,0.0,0.4934,0.3249,9.0,15.0,-20.0,1742.0,10570.0,10570.0,0.0,0.0
2023-02-12,3982.0,3982.0,0.0,1630.0,1.0,0.1799,0.1327,12.0,22.0,-30.0,4560.0,12200.0,12200.0,0.0,0.0
2023-02-14,1030.0,1030.0,0.0,-180.0,0.0,0.5558,0.3393,10.0,15.0,-210.0,3755.0,12020.0,12020.0,0.0,0.0
2023-02-15,779.0,779.0,0.0,429.0,1.0,0.1729,0.1158,10.0,17.0,-40.0,4174.0,12449.0,12449.0,0.0,0.0
2023-02-16,931.0,931.0,0.0,-9.0,0.0,0.2851,0.1868,8.0,18.0,30.0,-805.0,12440.0,12440.0,0.0,1.0
2023-02-20,420.0,420.0,0.0,-190.0,0.0,0.1116,0.0682,12.0,13.0,0.0,1680.0,12250.0,12250.0,0.0,0.0
2023-02-22,920.0,920.0,0.0,253.0,1.0,0.2059,0.0874,8.0,19.0,5.0,303.0,12503.0,12503.0,0.0,0.0
2023-02-23,1560.0,1560.0,0.0,240.0,1.0,0.1998,0.1397,11.0,19.0,-10.0,723.0,12302.0,12743.0,0.0,0.0
2023-02-26,370.0,370.0,0.0,130.0,1.0,0.157,0.098,9.0,15.0,-10.0,424.0,7474.0,12873.0,0.0,0.0
2023-02-27,2406.0,2406.0,0.0,916.0,1.0,0.4183,0.2753,12.0,12.0,20.0,1349.0,7135.0,13789.0,0.0,0.0
2023-02-28,510.0,510.0,0.0,0.0,0.0,0.2334,0.1667,9.0,14.0,20.0,1539.0,5335.0,13789.0,0.0,0.0
2023-03-01,655.0,655.0,0.0,205.0,1.0,0.1942,0.1316,10.0,12.0,20.0,1491.0,5694.0,13994.0,0.0,0.0
2023-03-02,527.0,527.0,0.0,37.0,1.0,0.2096,0.1248,9.0,14.0,-20.0,1288.0,6676.0,14031.0,0.0,0.0
2023-03-05,955.0,955.0,0.0,70.0,1.0,0.2726,0.1963,8.0,12.0,-20.0,1228.0,6058.0,14101.0,0.0,0.0
2023-03-07,475.0,475.0,0.0,155.0,1.0,0.1273,0.0794,12.0,11.0,60.0,467.0,5788.0,14256.0,0.0,0.0
2023-03-09,515.0,515.0,0.0,-180.0,0.0,0.1275,0.0736,12.0,17.0,-30.0,287.0,5248.0,14076.0,0.0,0.0
2023-03-12,1055.0,1055.0,0.0,50.0,1.0,0.3071,0.1968,7.0,14.0,-220.0,132.0,6486.0,14126.0,0.0,0.0
2023-03-13,1433.0,1433.0,0.0,740.0,1.0,0.1486,0.1124,11.0,13.0,0.0,835.0,6601.0,14866.0,0.0,0.0
2023-03-14,2185.0,2185.0,0.0,-490.0,0.0,0.4814,0.3326,7.0,14.0,0.0,275.0,6101.0,14376.0,0.0,0.0
2023-03-15,2060.0,2060.0,0.0,-1040.0,0.0,0.5399,0.344,12.0,9.0,90.0,-920.0,91.0,13336.0,0.0,1.0
2023-03-16,200.0,200.0,0.0,-30.0,0.0,0.215,0.1364,6.0,12.0,-50.0,-770.0,2736.0,13306.0,0.0,1.0
2023-03-19,1470.0,1470.0,0.0,770.0,1.0,0.3719,0.2756,12.0,16.0,-10.0,-50.0,1876.0,14076.0,0.0,1.0
2023-03-20,2722.0,2722.0,0.0,1334.0,1.0,0.4307,0.2904,10.0,17.0,-10.0,544.0,3390.0,15410.0,0.0,0.0
2023-03-22,1515.0,1515.0,0.0,675.0,1.0,0.2862,0.1547,7.0,15.0,-20.0,1709.0,3636.0,16085.0,0.0,0.0
2023-03-23,1100.0,1100.0,0.0,580.0,1.0,0.357,0.2563,8.0,15.0,60.0,3329.0,4225.0,16665.0,0.0,0.0
2023-03-26,710.0,710.0,0.0,270.0,1.0,0.2593,0.1948,9.0,18.0,-20.0,3629.0,4685.0,16935.0,0.0,0.0
2023-03-27,3200.0,3200.0,0.0,-570.0,0.0,0.1231,0.0888,15.0,12.0,90.0,2289.0,3862.0,16365.0,0.0,0.0
