date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7746,0.7746,0.0,-0.221,0.0,0.0826,0.1201,22.0,17.0,0.025,-0.221,-0.221,-0.221,0.0,1.0
2023-01-24,0.7662,0.7662,0.0,0.4015,1.0,0.1863,0.2861,19.0,15.0,0.0173,0.18050000000000002,0.18050000000000002,0.18050000000000002,0.0,0.0
2023-01-25,0.706,0.706,0.0,0.187,1.0,0.1384,0.1835,21.0,18.0,0.02,0.36750000000000005,0.36750000000000005,0.36750000000000005,0.0,0.0
2023-01-26,0.8895,0.8895,0.0,0.2467,1.0,0.0818,0.1427,24.0,11.0,0.0,0.6142000000000001,0.6142000000000001,0.6142000000000001,0.0,0.0
2023-01-29,0.6731,0.6731,0.0,-0.0144,0.0,0.1262,0.1951,21.0,12.0,-0.1084,0.5998,0.5998,0.5998,0.0,0.0
2023-01-30,0.6738,0.6738,0.0,-0.1099,0.0,0.0767,0.1014,25.0,11.0,0.006,0.7109,0.4899,0.4899,0.0,0.0
2023-01-31,0.6258,0.6258,0.0,0.2375,1.0,0.1207,0.1658,18.0,17.0,-0.0368,0.5469,0.7274,0.7274,0.0,0.0
2023-02-01,0.7845,0.7845,0.0,0.2634,1.0,0.0862,0.1172,23.0,7.0,0.0641,0.6233,0.9908,0.9908,0.0,0.0
2023-02-02,0.7581,0.7581,0.0,-0.0777,0.0,0.1374,0.1735,17.0,13.0,0.0307,0.2989,0.9131,0.9131,0.0,0.0
2023-02-05,0.7014,0.7014,0.0,-0.1709,0.0,0.1481,0.1965,16.0,15.0,-0.1203,0.14240000000000003,0.7422,0.7422,0.0,0.0
2023-02-06,0.9024,0.9024,0.0,0.0488,1.0,0.1003,0.1798,24.0,15.0,0.138,0.30110000000000003,0.791,0.791,0.0,0.0
