date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-04-13,0.6609,0.6609,0.0,-0.2087,0.0,0.2104,0.2609,11.0,10.0,0.0565,-0.2087,-0.2087,-0.2087,0.0,1.0
2023-04-16,0.898,0.898,0.0,-0.2041,0.0,0.4184,0.4286,4.0,20.0,-0.1224,-0.4128,-0.4128,-0.4128,0.0,1.0
2023-04-17,0.9361,0.9361,0.0,0.3834,1.0,0.7328,0.7987,6.0,21.0,-0.0958,-0.02939999999999998,-0.02939999999999998,-0.02939999999999998,0.0,1.0
2023-04-18,0.9526,0.9526,0.0,-0.3654,0.0,0.1815,0.2953,9.0,25.0,0.0687,-0.3948,-0.3948,-0.3948,0.0,1.0
2023-04-19,0.8833,0.8833,0.0,-0.1618,0.0,0.6387,0.6743,2.0,33.0,0.209,-0.5566,-0.5566,-0.5566,0.0,1.0
2023-04-20,0.8755,0.8755,0.0,0.348,1.0,0.9877,0.87,2.0,35.0,0.87,9.999999999998899e-05,-0.2086,-0.2086,0.0,0.0
2023-04-23,0.3961,0.3778,0.0184,0.0342,1.0,0.1711,0.1336,20.0,20.0,-0.0134,0.2384,-0.1744,-0.1744,0.0026285714285714285,0.0
2023-04-24,0.4971,0.5302,-0.0331,-0.122,0.0,0.072,0.0794,21.0,19.0,-0.1013,-0.267,-0.2964,-0.2964,-0.0018374999999999997,1.0
2023-04-25,0.5663,0.5371,0.0292,-0.0553,0.0,0.1131,0.1229,19.0,20.0,-0.1408,0.043099999999999986,-0.3517,-0.3517,0.0016111111111111113,0.0
2023-04-26,0.6321,0.5817,0.0504,-0.0921,0.0,0.2362,0.2318,17.0,23.0,-0.1393,0.11279999999999997,-0.4438,-0.4438,0.00649,0.0
2023-04-27,0.6126,0.6008,0.0119,0.0885,1.0,0.1308,0.1677,20.0,20.0,0.1677,-0.14670000000000002,-0.3553,-0.3553,0.006981818181818183,1.0
2023-04-30,0.7287,0.7443,-0.0157,-0.1192,0.0,0.0771,0.1088,20.0,20.0,-0.0602,-0.30010000000000003,-0.47450000000000003,-0.47450000000000003,0.005091666666666667,1.0
2023-05-02,0.7644,0.7348,0.0296,-0.5225,0.0,0.1583,0.231,19.0,21.0,-0.0895,-0.7006,-0.997,-0.997,0.006976923076923077,1.0
2023-05-03,0.6337,0.5957,0.038,-0.0826,0.0,0.1259,0.1315,19.0,21.0,-0.1595,-0.7279,-1.0796000000000001,-1.0796000000000001,0.009192857142857143,1.0
2023-05-04,0.6388,0.6073,0.0315,-0.1116,0.0,0.1246,0.121,19.0,20.0,-0.0877,-0.7474000000000001,-1.1912,-1.1912,0.01068,1.0
2023-05-07,0.6621,0.623,0.039,-0.0346,0.0,0.1152,0.1147,15.0,24.0,-0.1194,-0.8705,-1.2258,-1.2258,0.01245,1.0
