date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,16230.0,16160.0,0.0016,-2490.0,0.0,0.1596,0.1201,18.0,21.0,2920.0,-2490.0,-2490.0,-2490.0,0.0016,1.0
2023-01-24,11675.0,11595.0,0.0022,-1041.0,0.0,0.1326,0.0837,15.0,23.0,980.0,-3531.0,-3531.0,-3531.0,0.0019000000000000002,1.0
2023-01-25,4528.0,4498.0,0.0023,1532.0,1.0,0.1625,0.096,11.0,29.0,240.0,-1999.0,-1999.0,-1999.0,0.002033333333333333,1.0
2023-01-26,8155.0,8065.0,0.0045,-505.0,0.0,0.1953,0.1029,12.0,28.0,-270.0,-2504.0,-2504.0,-2504.0,0.00265,1.0
2023-01-29,14080.0,13890.0,0.0057,270.0,1.0,0.1914,0.135,14.0,26.0,4490.0,-2234.0,-2234.0,-2234.0,0.0032600000000000003,1.0
2023-01-30,16120.0,16190.0,-0.0019,-1549.0,0.0,0.1204,0.1132,20.0,20.0,-4450.0,-1293.0,-3783.0,-3783.0,0.0024,1.0
2023-01-31,12961.0,12901.0,0.002,4814.0,1.0,0.4274,0.2686,15.0,23.0,670.0,4562.0,1031.0,1031.0,0.002342857142857143,0.0
2023-02-01,7090.0,7070.0,0.0012,-1350.0,0.0,0.1052,0.0724,19.0,21.0,-3660.0,1680.0,-319.0,-319.0,0.0022,0.0
2023-02-02,8945.0,8885.0,0.002,-2230.0,0.0,0.1625,0.0784,20.0,20.0,460.0,-45.0,-2549.0,-2549.0,0.0021777777777777776,1.0
2023-02-05,3960.0,3940.0,0.002,995.0,1.0,0.235,0.1493,12.0,26.0,1030.0,680.0,-1554.0,-1554.0,0.00216,0.0
2023-02-06,2505.0,2505.0,0.0,-5.0,0.0,0.2033,0.1005,9.0,25.0,-135.0,2224.0,-1559.0,-1559.0,0.0019636363636363636,0.0
2023-02-07,21149.0,20939.0,0.0038,3471.0,1.0,0.1646,0.1286,19.0,21.0,585.0,881.0,1912.0,1912.0,0.0021166666666666664,0.0
2023-02-08,14692.0,14702.0,-0.0003,-38.0,0.0,0.1161,0.0955,20.0,20.0,1960.0,2193.0,1874.0,1874.0,0.001930769230769231,0.0
2023-02-09,6300.0,6260.0,0.0025,-500.0,0.0,0.1706,0.1038,14.0,25.0,-80.0,3923.0,1374.0,1374.0,0.0019714285714285715,0.0
2023-02-12,12505.0,12505.0,0.0,2954.0,1.0,0.3279,0.2157,17.0,22.0,590.0,5882.0,4328.0,4328.0,0.00184,0.0
2023-02-14,4290.0,4290.0,0.0,1550.0,1.0,0.3794,0.2299,9.0,28.0,2520.0,7437.0,5878.0,5878.0,0.001725,0.0
2023-02-15,7699.0,7699.0,0.0,-891.0,0.0,0.2004,0.1368,13.0,23.0,1176.0,3075.0,4987.0,4987.0,0.001623529411764706,0.0
