date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,47685.0,49746.0,-0.0136,-16801.0,0.0,0.0869,0.0525,22.0,16.0,1660.0,-16801.0,-16801.0,-16801.0,-0.0136,1.0
2023-01-24,74229.0,79366.0,-0.0259,-36265.0,0.0,0.1073,0.0829,26.0,14.0,7090.0,-53066.0,-53066.0,-53066.0,-0.01975,1.0
2023-01-25,79726.0,78017.0,0.0071,-29446.0,0.0,0.4146,0.2086,17.0,23.0,-1237.0,-82512.0,-82512.0,-82512.0,-0.010799999999999999,1.0
2023-01-26,47268.0,46254.0,0.0076,-21273.0,0.0,0.0854,0.0482,20.0,20.0,1395.0,-103785.0,-103785.0,-103785.0,-0.0062,1.0
2023-01-29,20883.0,21048.0,-0.0023,8171.0,1.0,0.0774,0.0502,20.0,20.0,1632.0,-95614.0,-95614.0,-95614.0,-0.0054199999999999995,1.0
2023-01-30,29435.0,29450.0,-0.0002,14792.0,1.0,0.0895,0.0614,20.0,20.0,592.0,-64021.0,-80822.0,-80822.0,-0.00455,1.0
2023-01-31,29472.0,28347.0,0.0135,-3062.0,0.0,0.0799,0.0549,19.0,20.0,-1587.0,-30818.0,-83884.0,-83884.0,-0.0019714285714285715,1.0
2023-02-01,14264.0,14264.0,0.0,-6992.0,0.0,0.1237,0.0876,20.0,19.0,-145.0,-8364.0,-90876.0,-90876.0,-0.001725,1.0
2023-02-02,31632.0,31972.0,-0.0043,-6614.0,0.0,0.1099,0.0905,24.0,16.0,3040.0,6295.0,-97490.0,-97490.0,-0.002011111111111111,0.0
2023-02-05,11793.0,11793.0,0.0,-7966.0,0.0,0.0885,0.0695,19.0,17.0,-877.0,-9842.0,-105456.0,-105456.0,-0.0018099999999999998,1.0
2023-02-06,10104.0,10104.0,0.0,-622.0,0.0,0.0947,0.0628,20.0,20.0,36.0,-25256.0,-106078.0,-106078.0,-0.0016454545454545452,1.0
2023-02-07,32762.0,32470.0,0.0029,6431.0,1.0,0.0872,0.0513,20.0,20.0,415.0,-15763.0,-99647.0,-99647.0,-0.0012666666666666666,1.0
2023-02-08,48436.0,48791.0,-0.0023,22323.0,1.0,0.0995,0.0572,20.0,20.0,-265.0,13552.0,-77324.0,-77324.0,-0.0013461538461538463,0.0
2023-02-09,30749.0,31089.0,-0.0046,11638.0,1.0,0.1019,0.0956,25.0,14.0,1210.0,31804.0,-65686.0,-65686.0,-0.0015785714285714287,0.0
2023-02-12,60539.0,63789.0,-0.0205,-20430.0,0.0,0.1269,0.1168,26.0,14.0,-5130.0,19340.0,-86116.0,-86116.0,-0.00284,0.0
2023-02-14,21341.0,22349.0,-0.0197,-11354.0,0.0,0.0829,0.0664,23.0,17.0,1075.0,8608.0,-97470.0,-97470.0,-0.0038937499999999996,0.0
2023-02-15,55463.0,57000.0,-0.012,-32321.0,0.0,0.0961,0.0957,27.0,13.0,1650.0,-30144.0,-129791.0,-129791.0,-0.004370588235294118,1.0
2023-02-16,29510.0,29965.0,-0.0065,-10346.0,0.0,0.1138,0.0948,21.0,18.0,100.0,-62813.0,-140137.0,-140137.0,-0.004488888888888889,1.0
