date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-03-22,0.7809,0.7809,0.0,0.2779,1.0,0.924,0.75,2.0,25.0,-0.1044,0.2779,0.2779,0.2779,0.0,0.0
2023-03-23,0.9224,0.9193,0.0032,0.2951,1.0,0.2752,0.3478,6.0,34.0,0.3478,0.573,0.573,0.573,0.0016,0.0
2023-03-26,0.8604,0.7654,0.095,-0.1579,0.0,0.4125,0.4485,3.0,37.0,0.3043,0.4150999999999999,0.4150999999999999,0.4150999999999999,0.03273333333333333,0.0
2023-03-27,0.441,0.4485,-0.0075,0.0092,1.0,0.0868,0.0639,20.0,20.0,-0.0184,0.42429999999999995,0.42429999999999995,0.42429999999999995,0.022675,0.0
2023-03-28,0.485,0.461,0.024,-0.2241,0.0,0.0819,0.0825,20.0,20.0,-0.026,0.20019999999999993,0.20019999999999993,0.20019999999999993,0.02294,0.0
2023-03-29,0.551,0.5414,0.0096,0.1027,1.0,0.1396,0.1777,20.0,20.0,-0.0387,0.024999999999999953,0.30289999999999995,0.30289999999999995,0.020716666666666664,0.0
2023-03-30,0.5686,0.5528,0.0158,0.0043,1.0,0.1329,0.1122,20.0,20.0,0.0691,-0.2658,0.3071999999999999,0.3071999999999999,0.020014285714285714,1.0
2023-04-02,0.692,0.6943,-0.0023,-0.1235,0.0,0.0908,0.132,20.0,20.0,-0.1072,-0.2314,0.18369999999999992,0.18369999999999992,0.017225,1.0
2023-04-03,0.5649,0.5682,-0.0033,-0.1642,0.0,0.1604,0.1824,20.0,20.0,-0.1142,-0.4048,0.019499999999999906,0.019499999999999906,0.014944444444444446,1.0
2023-04-04,0.7189,0.7046,0.0144,-0.1604,0.0,0.142,0.2148,19.0,20.0,-0.1929,-0.3411,-0.14090000000000008,-0.14090000000000008,0.01489,1.0
