date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-05-16,16151.0,14681.0,0.0404,7968.0,1.0,0.7965,0.3949,5.0,35.0,-1830.0,7968.0,7968.0,7968.0,0.0404,0.0
2023-05-17,28761.0,27731.0,0.0087,-912.0,0.0,0.0938,0.0484,20.0,20.0,-2604.0,7056.0,7056.0,7056.0,0.02455,0.0
2023-05-18,8512.0,8242.0,0.0078,-1430.0,0.0,0.156,0.0696,18.0,20.0,-1170.0,5626.0,5626.0,5626.0,0.018966666666666666,0.0
2023-05-21,11250.0,11290.0,-0.0012,-4720.0,0.0,0.0823,0.06,20.0,20.0,-5540.0,906.0,906.0,906.0,0.013925,0.0
2023-05-22,7729.0,7389.0,0.0154,340.0,1.0,0.2156,0.1446,15.0,25.0,-560.0,1246.0,1246.0,1246.0,0.01422,0.0
2023-05-23,17229.0,17169.0,0.0014,-287.0,0.0,0.1676,0.1195,20.0,20.0,-813.0,-7009.0,959.0,959.0,0.012083333333333333,1.0
2023-05-24,6344.0,6104.0,0.0086,-1481.0,0.0,0.0897,0.0386,17.0,23.0,860.0,-7578.0,-522.0,-522.0,0.011585714285714286,1.0
2023-05-28,21641.0,20941.0,0.0114,8675.0,1.0,0.2157,0.1186,15.0,24.0,-2470.0,2527.0,8153.0,8153.0,0.0115625,0.0
2023-05-30,8591.0,8251.0,0.0127,-161.0,0.0,0.2719,0.1461,14.0,26.0,-1460.0,7086.0,7992.0,7992.0,0.01168888888888889,0.0
2023-05-31,16320.0,15880.0,0.0106,5141.0,1.0,0.7712,0.3443,7.0,33.0,-1465.0,11887.0,13133.0,13133.0,0.01158,0.0
2023-06-01,4340.0,4240.0,0.0059,-1267.0,0.0,0.1358,0.0694,20.0,20.0,-650.0,10907.0,11866.0,11866.0,0.011063636363636364,0.0
2023-06-04,17280.0,17190.0,0.0019,-6198.0,0.0,0.1844,0.1162,18.0,22.0,-750.0,6190.0,5668.0,5668.0,0.0103,0.0
2023-06-05,8075.0,7815.0,0.0096,2307.0,1.0,0.1706,0.0839,9.0,31.0,620.0,-178.0,7975.0,7975.0,0.010246153846153846,1.0
2023-06-06,10418.0,9938.0,0.015,203.0,1.0,0.3287,0.17,14.0,26.0,-510.0,186.0,8178.0,8178.0,0.010585714285714285,0.0
2023-06-07,12754.0,12234.0,0.0121,-5233.0,0.0,0.1302,0.0696,17.0,23.0,1385.0,-10188.0,2945.0,2945.0,0.010686666666666667,1.0
2023-06-08,15648.0,15307.0,0.0075,-10422.0,0.0,0.1244,0.0777,15.0,25.0,1610.0,-19343.0,-7477.0,-7477.0,0.0104875,1.0
2023-06-11,20150.0,19605.0,0.0093,5950.0,1.0,0.2232,0.1375,16.0,24.0,3815.0,-7195.0,-1527.0,-1527.0,0.01041764705882353,1.0
2023-06-12,13526.0,13076.0,0.0107,4109.0,1.0,0.1969,0.1177,16.0,24.0,2622.0,-5393.0,2582.0,2582.0,0.010433333333333333,1.0
