date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,19068.0,18014.0,0.0209,-1435.0,0.0,0.2244,0.1253,13.0,27.0,-990.0,-1435.0,-1435.0,-1435.0,0.0209,1.0
2023-01-24,12647.0,12713.0,-0.0018,3462.0,1.0,0.1134,0.0849,21.0,19.0,-1195.0,2027.0,2027.0,2027.0,0.00955,0.0
2023-01-25,9316.0,9296.0,0.001,-1869.0,0.0,0.1133,0.0869,18.0,21.0,-530.0,158.0,158.0,158.0,0.0067,0.0
2023-01-26,15676.0,15676.0,0.0,-8852.0,0.0,0.06,0.0501,27.0,11.0,1055.0,-8694.0,-8694.0,-8694.0,0.005025,1.0
2023-01-29,6656.0,6656.0,0.0,3274.0,1.0,0.1801,0.1009,16.0,18.0,480.0,-5420.0,-5420.0,-5420.0,0.00402,1.0
2023-01-30,4346.0,4346.0,0.0,-1083.0,0.0,0.2316,0.1304,9.0,19.0,90.0,-5068.0,-6503.0,-6503.0,0.00335,1.0
2023-01-31,4720.0,4720.0,0.0,233.0,1.0,0.3464,0.2175,11.0,19.0,-1678.0,-8297.0,-6270.0,-6270.0,0.002871428571428571,1.0
2023-02-01,1080.0,1080.0,0.0,310.0,1.0,0.3957,0.2665,9.0,21.0,-220.0,-6118.0,-5960.0,-5960.0,0.0025125,1.0
2023-02-02,4793.0,4793.0,0.0,47.0,1.0,0.2623,0.1176,14.0,19.0,-8.0,2781.0,-5913.0,-5913.0,0.0022333333333333333,0.0
2023-02-05,2140.0,2140.0,0.0,630.0,1.0,0.1308,0.085,13.0,21.0,20.0,137.0,-5283.0,-5283.0,0.00201,0.0
2023-02-06,1951.0,1951.0,0.0,-154.0,0.0,0.2693,0.1907,8.0,23.0,96.0,1066.0,-5437.0,-5437.0,0.0018272727272727273,0.0
2023-02-07,8489.0,8489.0,0.0,1750.0,1.0,0.1578,0.1296,20.0,19.0,-130.0,2583.0,-3687.0,-3687.0,0.001675,0.0
2023-02-08,7921.0,7921.0,0.0,-190.0,0.0,0.1284,0.0991,20.0,17.0,1461.0,2083.0,-3877.0,-3877.0,0.0015461538461538462,0.0
2023-02-09,3880.0,3880.0,0.0,-1814.0,0.0,0.6131,0.3545,9.0,19.0,-84.0,222.0,-5691.0,-5691.0,0.0014357142857142856,0.0
2023-02-12,3523.0,3523.0,0.0,67.0,1.0,0.1576,0.1075,16.0,18.0,445.0,-341.0,-5624.0,-5624.0,0.00134,1.0
2023-02-14,2375.0,2375.0,0.0,345.0,1.0,0.2769,0.2164,13.0,18.0,1110.0,158.0,-5279.0,-5279.0,0.00125625,0.0
2023-02-15,1825.0,1825.0,0.0,-962.0,0.0,0.3205,0.196,14.0,15.0,-392.0,-2554.0,-6241.0,-6241.0,0.0011823529411764705,1.0
2023-02-16,2225.0,2225.0,0.0,-150.0,0.0,0.236,0.1454,15.0,14.0,-155.0,-2514.0,-6391.0,-6391.0,0.0011166666666666666,1.0
