date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.5767,0.5501,0.0266,-0.0117,0.0,0.1438,0.1788,20.0,20.0,-0.0149,-0.0117,-0.0117,-0.0117,0.0266,1.0
2023-01-24,0.6535,0.6549,-0.0014,0.0408,1.0,0.1111,0.1214,20.0,20.0,-0.1019,0.0291,0.0291,0.0291,0.0126,0.0
2023-01-25,0.5779,0.5787,-0.0008,0.0591,1.0,0.3173,0.3155,20.0,20.0,0.3155,0.0882,0.0882,0.0882,0.008133333333333333,0.0
2023-01-26,0.6822,0.6764,0.0058,-0.1387,0.0,0.255,0.3237,18.0,22.0,-0.0507,-0.05049999999999999,-0.05049999999999999,-0.05049999999999999,0.007549999999999999,1.0
2023-01-29,0.6725,0.6908,-0.0183,0.0398,1.0,0.206,0.2461,20.0,20.0,-0.0841,-0.010699999999999987,-0.010699999999999987,-0.010699999999999987,0.0023799999999999993,1.0
2023-01-30,0.5019,0.5376,-0.0357,0.0395,1.0,0.0822,0.0668,21.0,19.0,-0.0792,0.040500000000000015,0.028800000000000013,0.028800000000000013,-0.003966666666666668,0.0
2023-01-31,0.6848,0.676,0.0088,0.2889,1.0,0.1604,0.2373,20.0,20.0,-0.0173,0.2886,0.3177,0.3177,-0.0021428571428571434,0.0
2023-02-01,0.7213,0.7154,0.0059,-0.2714,0.0,0.2196,0.2197,17.0,23.0,-0.0033,-0.04189999999999994,0.04630000000000001,0.04630000000000001,-0.0011375000000000005,1.0
2023-02-02,0.815,0.8342,-0.0192,-0.3438,0.0,0.1009,0.1522,20.0,20.0,-0.1592,-0.24699999999999994,-0.2975,-0.2975,-0.0031444444444444445,1.0
2023-02-05,0.6042,0.6302,-0.026,-0.3381,0.0,0.085,0.099,27.0,13.0,0.0,-0.6249,-0.6355999999999999,-0.6355999999999999,-0.00543,1.0
2023-02-06,0.673,0.673,0.0,-0.1849,0.0,0.0939,0.1201,24.0,13.0,0.0018,-0.8492999999999999,-0.8205,-0.8205,-0.004936363636363636,1.0
2023-02-07,0.5849,0.6029,-0.018,-0.1512,0.0,0.101,0.1244,21.0,19.0,0.0206,-1.2893999999999999,-0.9717,-0.9717,-0.006025,1.0
2023-02-08,0.602,0.5904,0.0116,-0.1464,0.0,0.1304,0.1237,20.0,20.0,-0.0451,-1.1644,-1.1181,-1.1181,-0.004669230769230769,1.0
