date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9482,0.9482,0.0,0.5743,1.0,0.6943,0.7831,5.0,21.0,-0.0764,0.5743,0.5743,0.5743,0.0,0.0
2023-01-24,0.9648,0.9648,0.0,0.5889,1.0,0.5085,0.5455,2.0,18.0,-0.1085,1.1632,1.1632,1.1632,0.0,0.0
2023-01-25,0.6711,0.6711,0.0,-0.0822,0.0,0.586,0.4928,5.0,14.0,-0.2902,1.081,1.081,1.081,0.0,0.0
2023-01-26,0.9093,0.9093,0.0,0.8102,1.0,0.2339,0.2833,8.0,14.0,0.017,1.8912,1.8912,1.8912,0.0,0.0
2023-01-29,0.834,0.834,0.0,0.1405,1.0,0.4471,0.5402,8.0,12.0,0.0511,2.0317,2.0317,2.0317,0.0,0.0
2023-01-30,0.9601,0.9601,0.0,0.3293,1.0,0.112,0.2196,19.0,14.0,-0.002,1.7867,2.3609999999999998,2.3609999999999998,0.0,0.0
2023-01-31,0.8275,0.8275,0.0,0.3731,1.0,0.5135,0.5736,5.0,15.0,-0.2021,1.5709,2.7340999999999998,2.7340999999999998,0.0,0.0
2023-02-01,0.9259,0.9259,0.0,0.3704,1.0,0.3696,0.5185,6.0,7.0,0.0741,2.0235,3.1045,3.1045,0.0,0.0
2023-02-02,0.3231,0.3231,0.0,0.1535,1.0,0.1698,0.0848,8.0,12.0,0.0565,1.3668,3.258,3.258,0.0,0.0
2023-02-05,0.7407,0.7407,0.0,0.2306,1.0,0.1725,0.2037,7.0,14.0,-0.0926,1.4568999999999999,3.4886,3.4886,0.0,0.0
2023-02-06,0.974,0.974,0.0,0.6706,1.0,0.287,0.4661,12.0,11.0,0.0762,1.7982,4.1592,4.1592,0.0,0.0
2023-02-07,0.676,0.676,0.0,0.4293,1.0,0.5191,0.474,5.0,15.0,0.474,1.8544,4.5885,4.5885,0.0,0.0
2023-02-08,0.9892,0.9892,0.0,0.5572,1.0,0.4634,0.6333,8.0,13.0,-0.0043,2.0412,5.1457,5.1457,0.0,0.0
