date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-11-20,0.6345,0.5525,0.082,-0.305,0.0,0.1026,0.1153,15.0,25.0,-0.1734,-0.305,-0.305,-0.305,0.082,1.0
2023-11-21,0.4706,0.4191,0.0515,-0.1857,0.0,0.0907,0.08,20.0,20.0,-0.1011,-0.4907,-0.4907,-0.4907,0.06675,1.0
2023-11-22,0.5887,0.5719,0.0168,-0.3537,0.0,0.096,0.1041,20.0,20.0,-0.1663,-0.8444,-0.8444,-0.8444,0.0501,1.0
2023-11-23,0.6223,0.5798,0.0425,-0.1049,0.0,0.1023,0.1259,20.0,20.0,-0.1134,-0.9493,-0.9493,-0.9493,0.0482,1.0
2023-11-26,0.7665,0.7151,0.0514,-0.4093,0.0,0.112,0.1553,19.0,21.0,-0.1077,-1.3586,-1.3586,-1.3586,0.04884,1.0
2023-11-27,0.6943,0.609,0.0853,-0.04,0.0,0.1103,0.1389,20.0,20.0,-0.0268,-1.0936000000000001,-1.3986,-1.3986,0.05491666666666667,1.0
2023-11-28,0.8408,0.7476,0.0932,-0.0926,0.0,0.1813,0.277,18.0,22.0,-0.0632,-1.0005,-1.4912,-1.4912,0.060385714285714286,1.0
2023-11-29,0.881,0.8154,0.0656,-0.1188,0.0,0.2106,0.3128,15.0,25.0,-0.0762,-0.7656,-1.61,-1.61,0.0610375,1.0
2023-11-30,0.7992,0.7228,0.0763,-0.3174,0.0,0.1905,0.2385,12.0,28.0,-0.0715,-0.9781,-1.9274,-1.9274,0.06273333333333334,1.0
2023-12-03,0.7767,0.6884,0.0883,-0.3372,0.0,0.1522,0.1665,13.0,27.0,-0.1042,-0.906,-2.2646,-2.2646,0.06529,1.0
2023-12-04,0.8837,0.7876,0.0961,-0.0371,0.0,0.2568,0.3623,12.0,28.0,-0.0672,-0.9031,-2.3017,-2.3017,0.06809090909090909,1.0
2023-12-05,0.8205,0.7325,0.088,-0.3689,0.0,0.1777,0.2209,12.0,27.0,-0.0616,-1.1794,-2.6706000000000003,-2.6706000000000003,0.06974999999999999,1.0
2023-12-06,0.8409,0.7598,0.0811,-0.0536,0.0,0.274,0.3137,8.0,31.0,0.0153,-1.1142,-2.7242,-2.7242,0.07062307692307693,1.0
2023-12-07,0.7813,0.6945,0.0869,-0.0836,0.0,0.1355,0.207,15.0,24.0,-0.124,-0.8804000000000001,-2.8078000000000003,-2.8078000000000003,0.0717857142857143,1.0
2023-12-10,0.9817,0.9817,0.0,-0.4954,0.0,0.3587,0.4771,5.0,11.0,-0.0826,-1.0386,-3.3032,-3.3032,0.067,1.0
