date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,23047.0,23907.0,-0.0118,7177.0,1.0,0.1615,0.1127,21.0,19.0,0.0,7177.0,7177.0,7177.0,-0.0118,0.0
2023-01-24,11737.0,11614.0,0.0029,-754.0,0.0,0.1111,0.0669,20.0,20.0,-330.0,6423.0,6423.0,6423.0,-0.00445,0.0
2023-01-25,16702.0,16948.0,-0.0049,2549.0,1.0,0.1399,0.1008,22.0,18.0,2360.0,8972.0,8972.0,8972.0,-0.0046,0.0
2023-01-26,18747.0,18747.0,0.0,-9635.0,0.0,0.1219,0.0874,28.0,11.0,442.0,-663.0,-663.0,-663.0,-0.00345,1.0
2023-01-29,17634.0,17508.0,0.0026,8330.0,1.0,0.3554,0.2112,20.0,20.0,0.0,7667.0,7667.0,7667.0,-0.00224,0.0
2023-01-30,14004.0,14768.0,-0.0154,1487.0,1.0,0.0677,0.0326,25.0,15.0,627.0,1977.0,9154.0,9154.0,-0.004433333333333333,0.0
2023-01-31,16092.0,16002.0,0.0015,3248.0,1.0,0.1615,0.0692,20.0,20.0,-1443.0,5979.0,12402.0,12402.0,-0.003585714285714286,0.0
2023-02-01,17301.0,17733.0,-0.0087,-2823.0,0.0,0.2295,0.1557,20.0,20.0,-719.0,607.0,9579.0,9579.0,-0.004225,0.0
2023-02-02,17619.0,18075.0,-0.0096,-1547.0,0.0,0.1847,0.1381,21.0,19.0,-361.0,8695.0,8032.0,8032.0,-0.0048222222222222225,0.0
2023-02-05,11882.0,11970.0,-0.0022,42.0,1.0,0.1117,0.0746,20.0,20.0,-478.0,407.0,8074.0,8074.0,-0.00456,0.0
2023-02-06,9341.0,9408.0,-0.0024,348.0,1.0,0.1543,0.1074,21.0,18.0,387.0,-732.0,8422.0,8422.0,-0.004363636363636364,1.0
2023-02-07,22457.0,22665.0,-0.0026,2309.0,1.0,0.0762,0.0372,20.0,20.0,2258.0,-1671.0,10731.0,10731.0,-0.004216666666666666,1.0
2023-02-08,18371.0,18802.0,-0.007,-3682.0,0.0,0.1075,0.0661,20.0,20.0,-1911.0,-2530.0,7049.0,7049.0,-0.00443076923076923,1.0
2023-02-09,9216.0,9167.0,0.0016,-911.0,0.0,0.1359,0.0835,20.0,20.0,-2465.0,-1894.0,6138.0,6138.0,-0.004,1.0
2023-02-12,20843.0,21226.0,-0.0059,4433.0,1.0,0.2102,0.1379,20.0,20.0,1652.0,2497.0,10571.0,10571.0,-0.0041266666666666665,0.0
2023-02-14,16696.0,17212.0,-0.009,-1127.0,0.0,0.113,0.0765,22.0,17.0,0.0,1022.0,9444.0,9444.0,-0.004431249999999999,0.0
2023-02-15,13728.0,13708.0,0.0006,-5656.0,0.0,0.2165,0.1588,18.0,21.0,20.0,-6943.0,3788.0,3788.0,-0.004135294117647059,1.0
2023-02-16,18552.0,18662.0,-0.0021,-2098.0,0.0,0.2379,0.1565,20.0,20.0,-1198.0,-5359.0,1690.0,1690.0,-0.004022222222222222,1.0
2023-02-20,10515.0,11007.0,-0.0137,3901.0,1.0,0.0596,0.0318,24.0,15.0,292.0,-547.0,5591.0,5591.0,-0.004531578947368421,1.0
