date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-01-16,0.9365,0.9268,0.0097,-0.2974,0.0,0.2501,0.3322,10.0,30.0,-0.0751,-0.2974,-0.2974,-0.2974,0.0097,1.0
2025-01-19,0.8097,0.8036,0.0061,-0.3659,0.0,0.2626,0.3717,16.0,23.0,-0.0106,-0.6633,-0.6633,-0.6633,0.0079,1.0
2025-01-20,0.7366,0.7366,0.0,-0.1235,0.0,0.4697,0.4923,9.0,26.0,-0.0926,-0.7867999999999999,-0.7867999999999999,-0.7867999999999999,0.005266666666666667,1.0
2025-01-21,0.7692,0.7692,0.0,-0.5,0.0,0.7488,0.6615,5.0,23.0,-0.0231,-1.2868,-1.2868,-1.2868,0.00395,1.0
2025-01-22,0.9357,0.9357,0.0,0.0833,1.0,0.22,0.3027,13.0,21.0,-0.0148,-1.2035,-1.2035,-1.2035,0.0031600000000000005,1.0
2025-01-23,0.912,0.912,0.0,0.3318,1.0,0.187,0.3175,15.0,18.0,-0.0038,-0.5743,-0.8716999999999999,-0.8716999999999999,0.0026333333333333334,1.0
2025-01-26,0.9288,0.9272,0.0016,0.0905,1.0,0.3097,0.4534,20.0,20.0,0.003,-0.11789999999999998,-0.7812,-0.7812,0.002485714285714286,1.0
2025-01-27,0.9118,0.9118,0.0,0.2489,1.0,0.1753,0.242,13.0,17.0,-0.0031,0.25450000000000006,-0.5323,-0.5323,0.0021750000000000003,0.0
2025-01-28,0.7756,0.7743,0.0012,0.2783,1.0,0.1594,0.2151,20.0,20.0,-0.0524,1.0328,-0.254,-0.254,0.0020666666666666667,0.0
2025-02-02,0.7641,0.7641,0.0,0.1839,1.0,0.1093,0.1555,22.0,16.0,-0.0231,1.1334,-0.0701,-0.0701,0.00186,0.0
2025-02-03,0.9332,0.9332,0.0,0.3303,1.0,0.139,0.1861,13.0,20.0,0.1158,1.1319000000000001,0.2602,0.2602,0.001690909090909091,0.0
2025-02-04,0.8682,0.8682,0.0,0.0177,1.0,0.2393,0.3209,9.0,15.0,-0.0802,1.0591000000000002,0.2779,0.2779,0.0015500000000000002,0.0
2025-02-05,0.9746,0.9746,0.0,-0.0636,0.0,0.6525,0.7742,5.0,19.0,-0.0159,0.7466000000000002,0.2143,0.2143,0.001430769230769231,0.0
2025-02-06,1.0,1.0,0.0,-0.1486,0.0,0.4499,0.6453,8.0,18.0,-0.0464,0.3197000000000001,0.06569999999999998,0.06569999999999998,0.0013285714285714287,0.0
2025-02-09,0.9442,0.9442,0.0,0.4794,1.0,0.1169,0.1909,17.0,15.0,0.1042,0.6152000000000001,0.5450999999999999,0.5450999999999999,0.0012400000000000002,0.0
2025-02-10,0.8923,0.8923,0.0,-0.2021,0.0,0.1926,0.2972,12.0,13.0,0.0174,0.0828000000000001,0.34299999999999997,0.34299999999999997,0.0011625000000000001,0.0
2025-02-11,0.8058,0.8058,0.0,-0.6425,0.0,0.4295,0.4951,10.0,22.0,-0.0485,-0.5773999999999999,-0.2995,-0.2995,0.0010941176470588235,1.0
2025-02-12,0.785,0.785,0.0,-0.1308,0.0,0.3294,0.4187,8.0,13.0,0.0374,-0.6445999999999998,-0.4303,-0.4303,0.0010333333333333334,1.0
