date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7615,0.7615,0.0,-0.1479,0.0,0.1282,0.1684,18.0,18.0,-0.1246,-0.1479,-0.1479,-0.1479,0.0,1.0
2023-01-24,0.5058,0.5058,0.0,0.1529,1.0,0.1051,0.1104,17.0,18.0,0.0565,0.0050000000000000044,0.0050000000000000044,0.0050000000000000044,0.0,0.0
2023-01-25,0.5413,0.542,-0.0007,0.131,1.0,0.1487,0.1798,20.0,20.0,0.1798,0.136,0.136,0.136,-0.00023333333333333333,0.0
2023-01-26,0.8423,0.8423,0.0,0.2681,1.0,0.2297,0.3439,13.0,19.0,0.1335,0.4041,0.4041,0.4041,-0.000175,0.0
2023-01-29,0.6376,0.6376,0.0,-0.1173,0.0,0.3303,0.3537,18.0,16.0,-0.1059,0.2868,0.2868,0.2868,-0.00014,0.0
2023-01-30,0.557,0.557,0.0,0.1734,1.0,0.4485,0.3581,14.0,21.0,-0.2344,0.6081,0.4602,0.4602,-0.00011666666666666667,0.0
2023-01-31,0.7861,0.7861,0.0,0.0619,1.0,0.2144,0.2896,15.0,25.0,-0.0351,0.5171,0.5221,0.5221,-0.0001,0.0
2023-02-01,0.8358,0.8358,0.0,-0.2655,0.0,0.1396,0.2439,14.0,7.0,-0.1556,0.12059999999999998,0.2566,0.2566,-8.75e-05,0.0
2023-02-02,0.2925,0.2955,-0.003,-0.0857,0.0,0.1468,0.0975,24.0,16.0,0.0073,-0.23320000000000002,0.1709,0.1709,-0.0004111111111111111,1.0
2023-02-05,0.9271,0.9271,0.0,0.349,1.0,0.2395,0.3254,11.0,16.0,-0.0445,0.23309999999999997,0.5199,0.5199,-0.00037,0.0
2023-02-06,0.8358,0.8358,0.0,0.0308,1.0,0.2128,0.2683,10.0,14.0,-0.1109,0.09049999999999997,0.5507,0.5507,-0.0003363636363636364,0.0
2023-02-07,0.6188,0.6186,0.0003,-0.0517,0.0,0.1012,0.1223,19.0,20.0,0.1223,-0.023100000000000023,0.499,0.499,-0.00028333333333333335,1.0
2023-02-08,0.6835,0.6835,0.0,0.0283,1.0,0.0956,0.1313,22.0,13.0,0.0292,0.2707,0.5273,0.5273,-0.00026153846153846154,0.0
2023-02-09,0.8574,0.8574,0.0,0.3896,1.0,0.3166,0.461,13.0,13.0,0.0216,0.746,0.9169,0.9169,-0.00024285714285714289,0.0
2023-02-12,0.7137,0.7137,0.0,-0.1529,0.0,0.1824,0.2389,15.0,17.0,-0.2335,0.2441,0.764,0.764,-0.00022666666666666668,0.0
2023-02-14,0.8973,0.8973,0.0,-0.1468,0.0,0.2016,0.3118,13.0,6.0,0.0112,0.0665,0.6172,0.6172,-0.00021250000000000002,0.0
2023-02-15,0.6874,0.6874,0.0,0.029,1.0,0.1902,0.2288,13.0,12.0,-0.005,0.1472,0.6462,0.6462,-0.0002,0.0
2023-02-16,0.6155,0.6155,0.0,0.0443,1.0,0.1622,0.186,16.0,13.0,0.186,0.1632,0.6905,0.6905,-0.0001888888888888889,0.0
2023-02-20,0.6297,0.6297,0.0,0.1681,1.0,0.2014,0.1906,10.0,11.0,0.0019,-0.05829999999999999,0.8586,0.8586,-0.00017894736842105264,1.0
2023-02-22,0.8067,0.8067,0.0,-0.2479,0.0,0.2225,0.2479,8.0,11.0,0.0071,-0.1533,0.6107,0.6107,-0.00017,1.0
2023-02-23,0.7939,0.7939,0.0,-0.0182,0.0,0.1107,0.2068,17.0,14.0,-0.2791,-0.02469999999999998,0.7404,0.5924999999999999,-0.00017,1.0
2023-02-26,0.6421,0.6421,0.0,0.1123,1.0,0.1139,0.1449,16.0,18.0,0.0341,0.05860000000000001,0.6998,0.7048,-0.00017,0.0
2023-02-27,0.7432,0.7432,0.0,0.0141,1.0,0.1935,0.2355,16.0,10.0,0.0006,0.028400000000000022,0.5829,0.7189,-0.000135,0.0
2023-02-28,0.8684,0.8684,0.0,0.3987,1.0,0.1597,0.2426,10.0,10.0,0.0744,0.259,0.7134999999999999,1.1176,-0.000135,0.0
2023-03-01,0.9428,0.9428,0.0,0.5351,1.0,0.3016,0.4236,12.0,8.0,0.0,1.042,1.3659,1.6526999999999998,-0.000135,0.0
2023-03-02,1.0,1.0,0.0,0.3495,1.0,0.2481,0.3045,6.0,9.0,-0.1211,1.4097,1.5419999999999998,2.0021999999999998,-0.000135,0.0
2023-03-05,0.9096,0.9096,0.0,-0.1688,0.0,0.1994,0.2899,10.0,13.0,-0.1862,1.1286,1.3113000000000001,1.8334,-0.000135,0.0
2023-03-07,0.8774,0.8774,0.0,0.1698,1.0,0.238,0.3608,8.0,9.0,0.0606,1.2843000000000002,1.7466,2.0032,-0.000135,0.0
2023-03-09,0.5543,0.5543,0.0,0.0512,1.0,0.1379,0.1344,12.0,16.0,-0.0155,0.9368000000000001,1.8835,2.0544,1.4999999999999999e-05,0.0
2023-03-12,0.8317,0.8317,0.0,0.1279,1.0,0.0994,0.1419,19.0,16.0,0.088,0.5296,1.6624,2.1823,1.4999999999999999e-05,0.0
2023-03-13,0.9854,0.9854,0.0,-0.604,0.0,0.2497,0.3536,8.0,9.0,-0.0283,-0.4239,1.0275999999999998,1.5783,1.4999999999999999e-05,1.0
2023-03-14,0.9749,0.9749,0.0,0.0115,1.0,0.4008,0.5761,7.0,10.0,-0.1047,-0.24359999999999998,1.0908,1.5897999999999999,0.0,1.0
2023-03-15,0.9574,0.9574,0.0,-0.4082,0.0,0.223,0.3632,8.0,10.0,0.0668,-0.8216,0.6542999999999999,1.1816,0.0,1.0
2023-03-16,0.9437,0.9437,0.0,-0.4607,0.0,0.1778,0.2903,11.0,9.0,-0.0116,-1.3335,-0.19600000000000006,0.7208999999999999,0.0,1.0
2023-03-19,0.7422,0.7422,0.0,0.2159,1.0,0.224,0.2409,11.0,14.0,-0.0052,-1.2454999999999998,0.17279999999999995,0.9368,0.0,1.0
2023-03-20,0.9723,0.9723,0.0,0.224,1.0,0.2261,0.4124,17.0,8.0,0.0227,-0.41750000000000004,0.5436,1.1608,0.0,1.0
2023-03-22,0.7278,0.7278,0.0,-0.6438,0.0,0.2821,0.2528,8.0,10.0,-0.0079,-1.0728,-0.1292000000000001,0.5169999999999999,0.0,1.0
2023-03-23,0.9464,0.9464,0.0,0.2208,1.0,0.1604,0.2122,11.0,6.0,0.0,-0.4438000000000001,0.0472999999999999,0.7377999999999999,0.0,1.0
2023-03-26,0.9392,0.9392,0.0,-0.0785,0.0,0.3807,0.4803,8.0,9.0,-0.0064,-0.061600000000000085,-0.1993000000000001,0.6592999999999999,0.0,1.0
2023-03-27,0.8556,0.8556,0.0,0.184,1.0,0.1374,0.205,12.0,8.0,0.0535,-0.09350000000000008,0.23259999999999992,0.8432999999999999,0.0,1.0
2023-03-28,0.6874,0.6874,0.0,-0.1842,0.0,0.1601,0.1731,13.0,14.0,0.0529,-0.5017000000000001,0.06659999999999991,0.6590999999999999,0.0,1.0
2023-03-29,0.7746,0.7746,0.0,-0.2346,0.0,0.1615,0.21,8.0,6.0,0.0,-0.09250000000000008,-0.2803000000000001,0.4244999999999999,0.0,1.0
2023-03-30,0.9945,0.9945,0.0,-0.2037,0.0,0.2205,0.2808,7.0,5.0,0.0,-0.5170000000000001,-0.4981000000000001,0.22079999999999989,0.0,1.0
2023-04-02,0.9468,0.9468,0.0,-0.1321,0.0,0.328,0.5246,18.0,7.0,0.0394,-0.5706,-1.0289,0.08869999999999989,0.0,1.0
2023-04-03,0.896,0.896,0.0,0.5666,1.0,0.2266,0.3586,9.0,7.0,0.022,-0.18799999999999994,-0.9974000000000002,0.6552999999999999,0.0,1.0
2023-04-04,0.9424,0.9424,0.0,-0.2304,0.0,0.1464,0.2618,13.0,6.0,0.1047,-0.2342,-1.5773000000000001,0.4248999999999999,0.0,1.0
