date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-10-12,0.6743,0.5948,0.0795,-0.0089,0.0,0.1651,0.1982,14.0,26.0,0.1188,-0.0089,-0.0089,-0.0089,0.0795,1.0
2023-10-16,0.5878,0.5108,0.077,-0.2193,0.0,0.2011,0.2257,14.0,25.0,-0.0248,-0.2282,-0.2282,-0.2282,0.07825,1.0
2023-10-17,0.6326,0.5568,0.0758,-0.3988,0.0,0.1761,0.2067,11.0,29.0,-0.0474,-0.627,-0.627,-0.627,0.07743333333333334,1.0
2023-10-18,0.7848,0.7225,0.0622,-0.4632,0.0,0.1704,0.1871,14.0,26.0,-0.1867,-1.0901999999999998,-1.0901999999999998,-1.0901999999999998,0.073625,1.0
2023-10-19,0.8886,0.8531,0.0355,-0.5087,0.0,0.2208,0.3275,17.0,23.0,-0.0549,-1.5989,-1.5989,-1.5989,0.066,1.0
2023-10-29,0.9103,0.8585,0.0518,-0.5691,0.0,0.2085,0.2755,13.0,27.0,-0.0872,-2.1591,-2.168,-2.168,0.06363333333333333,1.0
2023-10-30,0.8656,0.7963,0.0693,-0.3572,0.0,0.3917,0.5163,10.0,28.0,-0.1153,-2.297,-2.5252,-2.5252,0.06444285714285715,1.0
2023-10-31,0.8697,0.8345,0.0353,-0.5332,0.0,0.2809,0.4057,13.0,27.0,-0.114,-2.4314,-3.0584,-3.0584,0.0608,1.0
2023-11-01,0.7307,0.6714,0.0593,-0.3402,0.0,0.1915,0.2179,11.0,28.0,-0.1353,-2.3084,-3.3986,-3.3986,0.06063333333333333,1.0
2023-11-02,0.8255,0.7444,0.0811,-0.2309,0.0,0.195,0.268,12.0,28.0,-0.0552,-2.0306,-3.6295,-3.6295,0.06268,1.0
2023-11-05,0.76,0.695,0.065,-0.25,0.0,0.1586,0.215,10.0,29.0,-0.085,-1.7114999999999998,-3.8795,-3.8795,0.0628909090909091,1.0
2023-11-06,0.7044,0.6261,0.0783,-0.269,0.0,0.2907,0.3178,9.0,31.0,-0.0754,-1.6233,-4.1485,-4.1485,0.064175,1.0
2023-11-07,0.5383,0.509,0.0293,0.0176,1.0,0.1929,0.1734,9.0,31.0,-0.0281,-1.0725,-4.1309000000000005,-4.1309000000000005,0.06149230769230769,1.0
2023-11-08,0.832,0.8221,0.01,0.0117,1.0,0.1275,0.1767,16.0,24.0,-0.0559,-0.7205999999999999,-4.1192,-4.1192,0.057814285714285714,1.0
2023-11-09,0.9239,0.9239,0.0,0.0571,1.0,0.2252,0.3342,11.0,27.0,-0.0489,-0.43260000000000004,-4.0621,-4.0621,0.05396,1.0
2023-11-20,0.6025,0.5574,0.0451,-0.2982,0.0,0.2896,0.2836,8.0,32.0,-0.1121,-0.48080000000000006,-4.3603000000000005,-4.3603000000000005,0.05340625,1.0
2023-11-21,0.8643,0.8469,0.0175,-0.3094,0.0,0.335,0.4419,7.0,33.0,-0.0267,-0.5212000000000001,-4.6697,-4.6697,0.05129411764705882,1.0
2023-11-22,0.8831,0.8494,0.0337,-0.4265,0.0,0.3566,0.5012,10.0,30.0,-0.0747,-0.9653,-5.0962,-5.0962,0.05031666666666666,1.0
2023-11-23,0.7672,0.7229,0.0443,-0.0936,0.0,0.1663,0.2114,16.0,23.0,-0.03,-1.0706,-5.1898,-5.1898,0.049999999999999996,1.0
2023-11-26,0.7158,0.6661,0.0497,-0.1388,0.0,0.5978,0.5458,6.0,34.0,-0.0444,-1.2665,-5.3286,-5.3286,0.049985,1.0
2023-11-27,0.793,0.7838,0.0092,0.1951,1.0,0.0862,0.111,19.0,21.0,-0.0269,-0.7731999999999999,-5.1246,-5.1335,0.04647,1.0
2023-11-28,0.8488,0.8511,-0.0023,0.266,1.0,0.2971,0.4451,20.0,20.0,-0.0137,-0.19779999999999998,-4.6392999999999995,-4.8675,0.042505,1.0
2023-11-29,0.8654,0.8467,0.0187,0.0103,1.0,0.1503,0.227,16.0,24.0,-0.0069,0.23900000000000002,-4.2302,-4.8572,0.03965,0.0
2023-11-30,0.9213,0.8784,0.0429,-0.1041,0.0,0.23,0.3487,7.0,33.0,-0.1502,0.2285,-3.8711,-4.9613,0.038685000000000004,0.0
2023-12-03,0.9078,0.8936,0.0142,-0.0827,0.0,0.1899,0.3109,12.0,28.0,-0.0142,0.2846000000000001,-3.4451,-5.0440000000000005,0.03762,0.0
2023-12-04,0.9337,0.8879,0.0459,-0.3178,0.0,0.322,0.3713,8.0,32.0,-0.0408,-0.22829999999999998,-3.1938,-5.3618,0.037325,1.0
2023-12-05,0.8531,0.8531,0.0,0.021,1.0,0.2676,0.3427,10.0,27.0,-0.021,-0.47329999999999994,-2.8156000000000003,-5.3408,0.03386,1.0
2023-12-06,0.8127,0.8127,0.0,0.3904,1.0,0.2645,0.3825,13.0,27.0,0.004,-0.0931999999999999,-1.892,-4.9504,0.032095,1.0
2023-12-07,0.8075,0.7736,0.034,0.4377,1.0,0.481,0.5415,7.0,33.0,-0.0509,0.44860000000000005,-1.1141,-4.5127,0.030830000000000003,0.0
2023-12-10,0.9865,0.9865,0.0,0.8726,1.0,0.8918,0.9305,3.0,14.0,-0.0135,1.4039000000000001,-0.010600000000000054,-3.6401,0.026775,0.0
2023-12-11,0.778,0.7647,0.0133,0.2571,1.0,0.1295,0.1702,18.0,22.0,-0.0222,1.9788000000000001,0.4965,-3.383,0.02419,0.0
2023-12-12,0.6921,0.6762,0.0158,-0.0605,0.0,0.3992,0.4269,20.0,20.0,-0.1561,1.8973,0.7050000000000001,-3.4435000000000002,0.021065,0.0
2023-12-13,0.9165,0.9082,0.0083,-0.0742,0.0,0.2011,0.364,19.0,21.0,0.0515,1.4327,0.6132,-3.5177,0.020014999999999998,0.0
2023-12-14,0.9088,0.8794,0.0294,-0.2615,0.0,0.4135,0.5707,16.0,24.0,-0.0311,0.7335,0.33999999999999997,-3.7792,0.020984999999999997,0.0
2023-12-17,0.6136,0.6145,-0.0008,-0.1944,0.0,0.0715,0.0733,20.0,20.0,0.0067,-0.3335,0.08850000000000005,-3.9736,0.020945,1.0
2023-12-18,0.822,0.7871,0.0349,-0.191,0.0,0.251,0.3738,18.0,21.0,-0.0321,-0.7816,0.19570000000000004,-4.1646,0.020435000000000002,1.0
2023-12-19,0.7869,0.7233,0.0636,0.346,1.0,0.2966,0.3664,9.0,31.0,-0.0384,-0.3751,0.8511000000000001,-3.8186,0.02274,1.0
2023-12-20,0.5462,0.5355,0.0107,-0.0332,0.0,0.1041,0.1073,20.0,20.0,-0.0327,-0.3341,1.2444000000000002,-3.8518,0.02159,1.0
2023-12-21,0.5493,0.5237,0.0256,-0.0378,0.0,0.1516,0.1765,17.0,23.0,0.0465,-0.1104,1.3002,-3.8896,0.020655,1.0
2023-12-24,0.52,0.512,0.008,0.1486,1.0,0.0911,0.083,20.0,20.0,-0.049,0.2326,1.5876000000000001,-3.741,0.01857,0.0
2023-12-27,0.5246,0.5193,0.0053,-0.1123,0.0,0.0931,0.1046,20.0,20.0,-0.0191,0.31129999999999997,1.2802,-3.8533,0.018375,0.0
2023-12-28,0.7493,0.8658,-0.1166,0.389,1.0,0.0753,0.1086,24.0,16.0,-0.0137,0.3543,1.4032,-3.4643,0.012660000000000001,0.0
2024-01-01,0.8179,0.772,0.0458,-0.2016,0.0,0.3946,0.4637,12.0,26.0,-0.1083,0.1859,1.1913,-3.6659,0.014015000000000003,0.0
2024-01-02,0.7169,0.6682,0.0486,0.1975,1.0,0.1616,0.2067,16.0,23.0,-0.0417,0.4212,1.4929000000000001,-3.4684,0.014300000000000002,0.0
2024-01-03,0.5428,0.5066,0.0363,0.0186,1.0,0.2991,0.2326,9.0,31.0,0.2326,0.2912,1.5942,-3.4498,0.015405000000000002,0.0
2024-01-04,0.6876,0.6693,0.0183,0.0327,1.0,0.1717,0.2496,20.0,20.0,0.0794,0.43620000000000003,1.9446999999999999,-3.4171,0.014025,0.0
2024-01-07,0.5414,0.5291,0.0123,0.0141,1.0,0.1594,0.1436,18.0,20.0,-0.0349,0.06130000000000001,1.9378,-3.403,0.01464,0.0
2024-01-08,0.5881,0.5789,0.0092,0.1617,1.0,0.1209,0.1357,20.0,20.0,0.0409,0.42460000000000003,1.7090999999999998,-3.2413,0.015100000000000002,0.0
2024-01-09,0.8394,0.8249,0.0145,-0.1749,0.0,0.4591,0.5535,17.0,21.0,-0.0159,0.052200000000000024,1.0965,-3.4162,0.014125000000000002,0.0
2024-01-10,0.8114,0.7475,0.064,0.33,1.0,0.1326,0.1818,15.0,25.0,0.0808,0.36360000000000003,0.5539,-3.0862,0.017325,0.0
2024-01-11,0.8675,0.8333,0.0341,-0.3621,0.0,0.8255,0.7874,9.0,31.0,-0.0763,-0.03119999999999995,-0.06530000000000002,-3.4482999999999997,0.018365,1.0
2024-01-14,0.8127,0.8054,0.0074,-0.1222,0.0,0.0949,0.1875,20.0,20.0,0.0131,-0.16749999999999995,-0.12700000000000003,-3.5705,0.017945,1.0
2024-01-16,0.8131,0.8027,0.0104,0.3069,1.0,0.0899,0.1354,19.0,21.0,-0.0161,-0.02229999999999993,0.2541,-3.2636,0.018050000000000004,1.0
2024-01-17,0.7684,0.7392,0.0292,-0.2208,0.0,0.1048,0.1873,20.0,20.0,-0.0715,-0.06819999999999996,0.29480000000000006,-3.4844,0.01804,1.0
2024-01-18,0.66,0.6361,0.0239,0.0939,1.0,0.0804,0.0875,20.0,20.0,-0.1056,-0.3043,0.5831,-3.3905,0.019275,1.0
2024-01-21,0.7691,0.7265,0.0427,-0.2,0.0,0.296,0.3901,17.0,22.0,-0.0552,-0.1422,0.5741,-3.5905,0.019665000000000002,1.0
2024-01-22,0.8489,0.7237,0.1252,-0.4556,0.0,0.8222,0.7682,7.0,33.0,-0.13,-0.4756,-0.22749999999999998,-4.0461,0.022744999999999998,1.0
2024-01-23,0.725,0.6501,0.0749,-0.2995,0.0,0.3119,0.3671,9.0,31.0,-0.0409,-1.0819999999999999,-0.49379999999999996,-4.3456,0.025955,1.0
2024-01-24,0.7381,0.6298,0.1083,-0.1417,0.0,0.1997,0.2342,11.0,28.0,-0.0151,-1.0029000000000001,-0.5976999999999999,-4.4873,0.03009,1.0
2024-01-25,0.5082,0.4572,0.051,-0.2296,0.0,0.4632,0.3267,9.0,31.0,-0.061,-1.3264,-0.9759,-4.7169,0.032240000000000005,1.0
2024-01-28,0.7732,0.6818,0.0913,-0.2318,0.0,0.8189,0.6989,11.0,29.0,-0.0652,-1.3582,-1.0954,-4.9398,0.03654,1.0
2024-01-29,0.6018,0.5763,0.0255,0.0714,1.0,0.1162,0.1297,20.0,20.0,0.0,-0.8311999999999999,-1.413,-4.6491,0.043645,1.0
2024-01-30,0.5634,0.5867,-0.0233,0.0958,1.0,0.2008,0.2343,20.0,20.0,0.0503,-0.4359,-1.1156,-4.1545000000000005,0.04019,1.0
2024-01-31,0.5547,0.5599,-0.0052,0.3856,1.0,0.1448,0.1521,20.0,20.0,0.1138,0.09139999999999998,-0.9275,-3.3057000000000003,0.03749999999999999,0.0
2024-02-01,0.6154,0.5893,0.0261,0.271,1.0,0.1425,0.167,15.0,25.0,-0.0014,0.592,-0.6750999999999999,-2.526,0.03699,0.0
2024-02-04,0.8474,0.7873,0.0601,0.0933,1.0,0.408,0.5207,10.0,28.0,-0.0978,0.9171,-0.6145,-1.8636,0.03908,0.0
2024-02-05,0.5954,0.5645,0.0309,0.259,1.0,0.1206,0.1093,14.0,26.0,0.0927,1.1047,-0.3696,-1.2473999999999998,0.04001,0.0
2024-02-06,0.8123,0.8136,-0.0013,0.2599,1.0,0.1091,0.1473,20.0,20.0,0.0044,1.2688000000000001,-0.2714,-0.4542999999999999,0.039485,0.0
2024-02-07,0.6791,0.668,0.0111,-0.4376,0.0,0.211,0.2798,17.0,22.0,-0.0119,0.44560000000000005,-0.5340999999999999,-0.5516999999999999,0.039315,0.0
2024-02-08,0.8421,0.8028,0.0392,-0.207,0.0,0.4278,0.5374,10.0,30.0,-0.179,-0.03239999999999996,-1.0711,-0.5277999999999999,0.038075,1.0
2024-02-11,0.5336,0.55,-0.0164,0.0464,1.0,0.082,0.0982,20.0,20.0,0.0234,-0.07929999999999995,-0.6626,-0.2313999999999999,0.03555,1.0
2024-02-12,0.7405,0.8123,-0.0717,0.407,1.0,0.0739,0.1018,23.0,17.0,0.0953,0.06870000000000004,-0.13339999999999996,0.4446000000000001,0.031595,0.0
2024-02-13,0.6346,0.6153,0.0193,0.0535,1.0,0.3807,0.3724,16.0,24.0,0.0,-0.1377,-0.38680000000000003,0.48050000000000004,0.03204,1.0
2024-02-14,0.8188,0.8052,0.0136,0.3062,1.0,0.1444,0.2357,17.0,22.0,-0.0163,0.6061000000000001,0.1402,0.7750000000000001,0.031259999999999996,0.0
2024-02-15,0.7776,0.7589,0.0187,-0.0183,0.0,0.2137,0.286,11.0,25.0,-0.1084,0.7948,0.027999999999999994,0.6996,0.031,0.0
2024-02-18,0.88,0.8683,0.0117,0.0545,1.0,0.1376,0.1995,17.0,22.0,0.0189,0.8029,0.28250000000000003,1.0523,0.029449999999999997,0.0
2024-02-20,0.8688,0.8292,0.0395,-0.302,0.0,0.1615,0.2239,12.0,26.0,-0.0403,0.0939000000000001,0.4361,1.0597000000000003,0.025165,0.0
2024-02-21,0.8551,0.8435,0.0116,-0.0551,0.0,0.5602,0.6275,14.0,25.0,-0.0043,-0.014699999999999908,0.6805,1.4311,0.022,1.0
