date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.9364,0.9364,0.0,-0.4855,0.0,0.3086,0.4145,6.0,9.0,0.0,-0.4855,-0.4855,-0.4855,0.0,1.0
2023-01-24,0.9944,0.9944,0.0,-0.5602,0.0,0.4205,0.6162,6.0,8.0,-0.1709,-1.0457,-1.0457,-1.0457,0.0,1.0
2023-01-25,1.0,1.0,0.0,-0.6449,0.0,0.4074,0.5463,6.0,11.0,-0.3035,-1.6906,-1.6906,-1.6906,0.0,1.0
2023-01-26,1.0,1.0,0.0,-0.15,0.0,0.355,0.5,4.0,5.0,-0.15,-1.8406,-1.8406,-1.8406,0.0,1.0
2023-01-29,1.0,1.0,0.0,0.2308,1.0,0.4806,0.641,3.0,3.0,0.2308,-1.6098000000000001,-1.6098000000000001,-1.6098000000000001,0.0,1.0
2023-01-30,0.9224,0.9224,0.0,0.3531,1.0,0.254,0.3795,7.0,8.0,0.0,-0.7712,-1.2567,-1.2567,0.0,1.0
2023-01-31,0.9469,0.9469,0.0,-0.5841,0.0,0.2943,0.4012,4.0,7.0,0.0,-0.7950999999999999,-1.8408,-1.8408,0.0,1.0
2023-02-01,1.0,1.0,0.0,0.0909,1.0,0.5902,0.7438,3.0,3.0,0.1736,-0.059299999999999894,-1.7499,-1.7499,0.0,1.0
2023-02-02,1.0,1.0,0.0,-0.241,0.0,0.4337,0.6265,5.0,5.0,0.0,-0.15029999999999988,-1.9909,-1.9909,0.0,1.0
2023-02-05,0.8521,0.8521,0.0,-0.2113,0.0,0.3566,0.3521,4.0,8.0,0.0,-0.5923999999999998,-2.2022,-2.2022,0.0,1.0
2023-02-06,1.0,1.0,0.0,-0.7556,0.0,0.3363,0.4481,4.0,9.0,0.0,-1.7010999999999998,-2.9577999999999998,-2.9577999999999998,0.0,1.0
2023-02-07,0.9263,0.9263,0.0,0.3157,1.0,0.2117,0.2739,8.0,11.0,-0.0996,-0.8013,-2.6421,-2.6421,0.0,1.0
2023-02-08,0.9448,0.9448,0.0,0.0552,1.0,0.3776,0.5525,7.0,7.0,0.0,-0.837,-2.5869,-2.5869,0.0,1.0
2023-02-09,1.0,1.0,0.0,-0.25,0.0,0.375,0.5,3.0,3.0,0.0,-0.846,-2.8369,-2.8369,0.0,1.0
2023-02-12,0.9545,0.9545,0.0,0.1441,1.0,0.2397,0.3791,8.0,8.0,0.0474,-0.49060000000000004,-2.6928,-2.6928,0.0,1.0
2023-02-14,0.9524,0.9524,0.0,-0.1254,0.0,0.2836,0.3937,6.0,9.0,-0.0429,0.1396,-2.8182,-2.8182,0.0,0.0
2023-02-15,1.0,1.0,0.0,0.7429,1.0,0.143,0.2571,9.0,4.0,0.0514,0.5668,-2.0753,-2.0753,0.0,0.0
2023-02-16,0.9167,0.9167,0.0,0.0833,1.0,0.4013,0.5278,4.0,5.0,0.0,0.5949000000000001,-1.992,-1.992,0.0,0.0
2023-02-20,0.9329,0.9329,0.0,0.0,0.0,0.5466,0.6711,4.0,5.0,0.0,0.8449000000000001,-1.992,-1.992,0.0,0.0
2023-02-22,0.6875,0.6875,0.0,0.2812,1.0,0.2149,0.2188,7.0,3.0,0.0938,0.982,-1.7107999999999999,-1.7107999999999999,0.0,0.0
2023-02-23,0.7782,0.7782,0.0,-0.1843,0.0,0.2941,0.4046,18.0,14.0,-0.0555,0.9231,-1.4096,-1.8951,0.0,0.0
2023-02-26,0.9596,0.9596,0.0,-0.1285,0.0,0.1024,0.1548,16.0,13.0,0.0606,0.05170000000000011,-0.9778999999999999,-2.0236,0.0,0.0
2023-02-27,0.8043,0.8043,0.0,0.0,0.0,0.1734,0.1957,10.0,6.0,0.1779,-0.03159999999999989,-0.33299999999999985,-2.0236,0.0,1.0
2023-02-28,1.0,1.0,0.0,-0.3588,0.0,0.3091,0.5117,7.0,7.0,0.0,-0.3903999999999999,-0.5417999999999998,-2.3824,0.0,1.0
2023-03-01,0.9545,0.9545,0.0,0.0455,1.0,0.2834,0.4545,8.0,3.0,0.0,-0.6261,-0.7270999999999999,-2.3369,0.0,1.0
2023-03-02,0.9113,0.9113,0.0,-0.4235,0.0,0.4838,0.5987,6.0,5.0,-0.3326,-0.8653,-1.5036999999999998,-2.7603999999999997,0.0,1.0
2023-03-05,1.0,1.0,0.0,0.0294,1.0,0.2578,0.3529,5.0,5.0,0.0,-0.7073999999999999,-0.8902,-2.731,0.0,1.0
2023-03-07,0.7189,0.7189,0.0,0.2644,1.0,0.3078,0.3481,7.0,7.0,0.0,-0.4429999999999999,-0.7166999999999999,-2.4666,0.0,1.0
2023-03-09,0.9275,0.9275,0.0,-0.2746,0.0,0.4913,0.6218,4.0,4.0,0.1503,-0.3587999999999999,-0.7503,-2.7412,0.0,1.0
2023-03-12,0.8193,0.8193,0.0,0.1393,1.0,0.2385,0.3034,7.0,9.0,0.0,-0.2649999999999999,-0.39969999999999994,-2.6019,0.0,1.0
2023-03-13,0.984,0.984,0.0,0.872,1.0,0.4453,0.6,4.0,4.0,0.0,1.0305,1.2279,-1.7299,0.0,0.0
2023-03-14,0.8108,0.8108,0.0,0.0541,1.0,0.1844,0.2432,8.0,4.0,0.1622,1.0552,0.9663000000000002,-1.6758,0.0,0.0
2023-03-15,0.9198,0.9198,0.0,0.1872,1.0,0.3338,0.4545,4.0,4.0,0.1872,0.978,1.0983,-1.4886,0.0,0.0
2023-03-16,0.8377,0.8377,0.0,-0.5707,0.0,0.4186,0.5236,9.0,5.0,0.0384,0.6819000000000002,0.7776000000000001,-2.0593,0.0,0.0
2023-03-19,0.8859,0.8859,0.0,0.1673,1.0,0.2824,0.3422,6.0,6.0,0.1521,0.7099000000000001,0.8008000000000001,-1.892,0.0,0.0
2023-03-20,0.9908,0.9908,0.0,0.1474,1.0,0.345,0.5495,12.0,3.0,0.0119,-0.014699999999999908,1.0736,-1.7446,0.0,1.0
