date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6700.0,6700.0,0.0,-3200.0,0.0,0.3878,0.25,3.0,7.0,0.0,-3200.0,-3200.0,-3200.0,0.0,1.0
2023-01-24,8980.0,8980.0,0.0,-4880.0,0.0,0.287,0.1971,5.0,6.0,-380.0,-8080.0,-8080.0,-8080.0,0.0,1.0
2023-01-25,7815.0,7815.0,0.0,-3985.0,0.0,0.2981,0.1893,5.0,14.0,-500.0,-12065.0,-12065.0,-12065.0,0.0,1.0
2023-01-26,2510.0,2510.0,0.0,1210.0,1.0,0.3749,0.2054,4.0,6.0,1360.0,-10855.0,-10855.0,-10855.0,0.0,1.0
2023-01-29,12480.0,12480.0,0.0,-3000.0,0.0,0.6701,0.3927,2.0,12.0,2600.0,-13855.0,-13855.0,-13855.0,0.0,1.0
2023-01-30,7975.0,7975.0,0.0,-2100.0,0.0,0.4212,0.2366,5.0,6.0,100.0,-12755.0,-15955.0,-15955.0,0.0,1.0
2023-01-31,650.0,650.0,0.0,-550.0,0.0,0.574,0.3462,2.0,4.0,-250.0,-8425.0,-16505.0,-16505.0,0.0,1.0
2023-02-01,6830.0,6830.0,0.0,-5490.0,0.0,0.5751,0.366,3.0,3.0,1190.0,-9930.0,-21995.0,-21995.0,0.0,1.0
2023-02-02,26650.0,26650.0,0.0,3900.0,1.0,0.4964,0.3311,3.0,3.0,4000.0,-7240.0,-18095.0,-18095.0,0.0,1.0
2023-02-05,7770.0,7770.0,0.0,-4250.0,0.0,0.4713,0.2574,3.0,3.0,0.0,-8490.0,-22345.0,-22345.0,0.0,1.0
2023-02-06,11700.0,11700.0,0.0,-10200.0,0.0,0.7692,0.4359,3.0,4.0,0.0,-16590.0,-32545.0,-32545.0,0.0,1.0
2023-02-07,56630.0,56630.0,0.0,9130.0,1.0,0.3158,0.2644,8.0,4.0,-200.0,-6910.0,-23415.0,-23415.0,0.0,1.0
2023-02-08,20390.0,20390.0,0.0,9405.0,1.0,0.2268,0.1018,7.0,6.0,-1600.0,7985.0,-14010.0,-14010.0,0.0,0.0
2023-02-09,4000.0,4000.0,0.0,-4000.0,0.0,0.9465,0.4863,2.0,1.0,-4000.0,85.0,-18010.0,-18010.0,0.0,0.0
2023-02-12,2800.0,2800.0,0.0,-100.0,0.0,0.7423,0.4286,4.0,5.0,-200.0,4235.0,-18110.0,-18110.0,0.0,0.0
2023-02-14,800.0,800.0,0.0,-300.0,0.0,0.625,0.375,2.0,3.0,-200.0,14135.0,-18410.0,-18410.0,0.0,0.0
2023-02-15,3640.0,3640.0,0.0,3440.0,1.0,0.5541,0.3087,3.0,3.0,0.0,8445.0,-14970.0,-14970.0,0.0,0.0
2023-02-16,3241.0,3241.0,0.0,1241.0,1.0,0.5337,0.3149,2.0,4.0,0.0,281.0,-13729.0,-13729.0,0.0,0.0
2023-02-20,3190.0,3190.0,0.0,500.0,1.0,0.4057,0.2278,3.0,4.0,-1090.0,4781.0,-13229.0,-13229.0,0.0,0.0
2023-02-22,3600.0,3600.0,0.0,3100.0,1.0,0.338,0.1625,3.0,7.0,1000.0,7981.0,-10129.0,-10129.0,0.0,0.0
2023-02-23,15539.0,15539.0,0.0,8839.0,1.0,0.5096,0.3443,7.0,5.0,10839.0,17120.0,1910.0,-1290.0,0.0,0.0
2023-02-26,9011.0,9011.0,0.0,9011.0,1.0,0.7507,0.427,2.0,2.0,1315.0,22691.0,15801.0,7721.0,0.0,0.0
2023-02-28,133.0,133.0,0.0,-133.0,0.0,1.0,0.5,1.0,1.0,0.0,21317.0,19653.0,7588.0,0.0,0.0
2023-03-01,720.0,720.0,0.0,-200.0,0.0,0.5988,0.3611,2.0,3.0,0.0,20617.0,18243.0,7388.0,0.0,0.0
2023-03-02,304.0,304.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,17517.0,21243.0,7388.0,0.0,0.0
2023-03-05,18726.0,18726.0,0.0,8326.0,1.0,0.9789,0.492,2.0,4.0,-200.0,17004.0,31669.0,15714.0,0.0,0.0
2023-03-07,5500.0,5500.0,0.0,-5000.0,0.0,0.8347,0.4545,2.0,2.0,0.0,2993.0,27219.0,10714.0,0.0,0.0
2023-03-09,710.0,710.0,0.0,710.0,1.0,0.5834,0.3521,2.0,3.0,210.0,3836.0,33419.0,11424.0,0.0,0.0
2023-03-12,200.0,200.0,0.0,-200.0,0.0,0.5,0.25,2.0,1.0,0.0,3836.0,29319.0,11224.0,0.0,0.0
2023-03-13,300.0,300.0,0.0,-300.0,0.0,1.0,0.5,1.0,1.0,0.0,3536.0,33269.0,10924.0,0.0,0.0
2023-03-14,1000.0,1000.0,0.0,1000.0,1.0,0.3936,0.249,3.0,1.0,350.0,-3790.0,44469.0,11924.0,0.0,1.0
2023-03-15,7500.0,7500.0,0.0,900.0,1.0,0.232,0.1667,7.0,7.0,100.0,2110.0,36239.0,12824.0,0.0,0.0
2023-03-16,2150.0,2150.0,0.0,0.0,0.0,0.5024,0.2674,2.0,3.0,0.0,1400.0,26834.0,12824.0,0.0,0.0
2023-03-19,2450.0,2450.0,0.0,100.0,1.0,0.4302,0.2941,5.0,4.0,0.0,1700.0,30934.0,12924.0,0.0,0.0
2023-03-20,10300.0,10300.0,0.0,2050.0,1.0,0.4227,0.2985,5.0,3.0,0.0,4050.0,33084.0,14974.0,0.0,0.0
2023-03-22,2426.0,2426.0,0.0,1426.0,1.0,0.2857,0.1979,4.0,1.0,0.0,4476.0,34810.0,16400.0,0.0,0.0
2023-03-23,10000.0,10000.0,0.0,10000.0,1.0,0.435,0.3,4.0,2.0,0.0,13576.0,41370.0,26400.0,0.0,0.0
2023-03-26,1150.0,1150.0,0.0,-350.0,0.0,0.5085,0.2826,2.0,2.0,0.0,13226.0,39779.0,26050.0,0.0,0.0
2023-03-27,10100.0,10100.0,0.0,4000.0,1.0,0.4632,0.2475,3.0,5.0,-400.0,17126.0,43279.0,30050.0,0.0,0.0
2023-03-28,300.0,300.0,0.0,300.0,1.0,1.0,0.5,1.0,1.0,0.0,15376.0,40479.0,30350.0,0.0,0.0
2023-03-29,1700.0,1700.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,-900.0,13950.0,31640.0,30350.0,0.0,0.0
2023-03-30,7174.0,7174.0,0.0,6174.0,1.0,0.8703,0.4652,2.0,4.0,0.0,10124.0,28803.0,36524.0,0.0,0.0
2023-04-02,4100.0,4100.0,0.0,2300.0,1.0,0.2528,0.1339,6.0,3.0,0.0,12774.0,31236.0,38824.0,0.0,0.0
2023-04-03,700.0,700.0,0.0,600.0,1.0,1.0,0.5,1.0,2.0,0.0,9374.0,32036.0,39424.0,0.0,0.0
2023-04-05,4800.0,4800.0,0.0,100.0,1.0,0.7118,0.4167,3.0,3.0,0.0,9174.0,32136.0,39524.0,0.0,0.0
2023-04-06,8300.0,8300.0,0.0,-7100.0,0.0,0.3349,0.178,6.0,4.0,0.0,2074.0,16710.0,32424.0,0.0,0.0
2023-04-09,200.0,200.0,0.0,100.0,1.0,0.5,0.0758,2.0,2.0,0.0,-4000.0,21810.0,32524.0,0.0,1.0
2023-04-10,4600.0,4600.0,0.0,-600.0,0.0,0.3724,0.2174,5.0,4.0,-1100.0,-6900.0,20500.0,31924.0,0.0,1.0
2023-04-11,5500.0,5500.0,0.0,500.0,1.0,0.4188,0.2636,4.0,3.0,0.0,-7000.0,21200.0,32424.0,0.0,1.0
2023-04-12,550.0,550.0,0.0,300.0,1.0,1.0,0.5,1.0,3.0,-100.0,-6800.0,21800.0,32724.0,0.0,1.0
2023-04-13,2000.0,2000.0,0.0,1385.0,1.0,0.3529,0.25,4.0,1.0,1000.0,1685.0,22185.0,34109.0,0.0,0.0
2023-04-16,1400.0,1400.0,0.0,115.0,1.0,0.5584,0.3571,3.0,2.0,0.0,1700.0,21400.0,34224.0,0.0,0.0
2023-04-17,12546.0,12546.0,0.0,100.0,1.0,0.6734,0.3833,3.0,2.0,0.0,2400.0,21500.0,34324.0,0.0,0.0
2023-04-19,500.0,500.0,0.0,500.0,1.0,0.4112,0.2333,3.0,1.0,100.0,2400.0,21900.0,34824.0,0.0,0.0
2023-04-20,5000.0,5000.0,0.0,-5000.0,0.0,1.0,0.5,1.0,1.0,0.0,-2900.0,14850.0,29824.0,0.0,1.0
2023-04-23,2880.0,2880.0,0.0,-1300.0,0.0,0.5047,0.2651,2.0,2.0,-1680.0,-5585.0,12124.0,28524.0,0.0,1.0
2023-04-24,11600.0,11600.0,0.0,-9600.0,0.0,0.3759,0.2414,4.0,2.0,-11500.0,-15300.0,-7476.0,18924.0,0.0,1.0
2023-04-26,225.0,225.0,0.0,0.0,0.0,0.5062,0.2778,2.0,2.0,0.0,-15400.0,-7126.0,18924.0,0.0,1.0
