date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,38380.0,37992.0,0.0025,-2658.0,0.0,0.096,0.049,20.0,20.0,-907.0,-2658.0,-2658.0,-2658.0,0.0025,1.0
2023-01-24,45769.0,47318.0,-0.0085,-1984.0,0.0,0.0888,0.044,22.0,18.0,-2262.0,-4642.0,-4642.0,-4642.0,-0.003,1.0
2023-01-25,29878.0,29580.0,0.0033,-4832.0,0.0,0.1399,0.0904,20.0,20.0,1325.0,-9474.0,-9474.0,-9474.0,-0.0009000000000000001,1.0
2023-01-26,15824.0,16190.0,-0.0078,1209.0,1.0,0.1011,0.0617,20.0,20.0,1673.0,-8265.0,-8265.0,-8265.0,-0.0026249999999999997,1.0
2023-01-29,26492.0,26337.0,0.0019,1365.0,1.0,0.114,0.0613,20.0,20.0,3486.0,-6900.0,-6900.0,-6900.0,-0.00172,1.0
2023-01-30,31720.0,31494.0,0.0025,3331.0,1.0,0.1116,0.076,20.0,20.0,6800.0,-911.0,-3569.0,-3569.0,-0.0010166666666666666,1.0
2023-01-31,51303.0,53278.0,-0.0142,17625.0,1.0,0.1089,0.0903,20.0,20.0,7320.0,18698.0,14056.0,14056.0,-0.0029,0.0
2023-02-01,43754.0,44223.0,-0.0011,-6594.0,0.0,0.2455,0.0468,20.0,20.0,-217.0,16936.0,7462.0,7462.0,-0.002675,0.0
2023-02-02,21055.0,21436.0,-0.0049,3921.0,1.0,0.1069,0.0608,20.0,20.0,-1086.0,19648.0,11383.0,11383.0,-0.0029222222222222223,0.0
2023-02-05,55693.0,54054.0,0.0087,-11043.0,0.0,0.3558,0.1243,13.0,27.0,-1278.0,7240.0,340.0,340.0,-0.00176,0.0
2023-02-06,46103.0,44395.0,0.0167,-10397.0,0.0,0.6463,0.3584,8.0,32.0,-518.0,-6488.0,-10057.0,-10057.0,-8.181818181818195e-05,1.0
2023-02-07,49933.0,43270.0,0.0537,16277.0,1.0,0.2989,0.1724,14.0,26.0,13296.0,-7836.0,6220.0,6220.0,0.0044,1.0
2023-02-08,102432.0,94890.0,0.0215,19907.0,1.0,0.3142,0.1535,15.0,25.0,53927.0,18665.0,26127.0,26127.0,0.005715384615384616,0.0
2023-02-09,46853.0,47605.0,-0.0058,19054.0,1.0,0.0939,0.0555,22.0,18.0,7138.0,33798.0,45181.0,45181.0,0.004892857142857143,0.0
2023-02-12,36117.0,35824.0,0.0022,17047.0,1.0,0.1128,0.0642,20.0,20.0,4072.0,61888.0,62228.0,62228.0,0.004713333333333333,0.0
2023-02-14,53655.0,53573.0,0.0007,-5306.0,0.0,0.2017,0.1688,20.0,20.0,5869.0,66979.0,56922.0,56922.0,0.0044625,0.0
2023-02-15,30442.0,30586.0,-0.0019,-1631.0,0.0,0.1043,0.0775,20.0,20.0,3030.0,49071.0,55291.0,55291.0,0.004088235294117647,0.0
2023-02-16,37207.0,38369.0,-0.0104,-20272.0,0.0,0.1125,0.0865,20.0,19.0,1667.0,8892.0,35019.0,35019.0,0.0032833333333333334,0.0
2023-02-20,32534.0,34171.0,-0.0173,13938.0,1.0,0.0775,0.053,22.0,17.0,1672.0,3776.0,48957.0,48957.0,0.0022,0.0
2023-02-22,24674.0,26840.0,-0.0241,7856.0,1.0,0.0734,0.0417,23.0,17.0,2939.0,-5415.0,56813.0,56813.0,0.000885,1.0
2023-02-23,64277.0,63820.0,0.0029,-5296.0,0.0,0.1608,0.1264,20.0,20.0,2066.0,-5405.0,54175.0,51517.0,0.0009049999999999999,1.0
2023-02-26,44567.0,45100.0,-0.0046,-7860.0,0.0,0.3119,0.2096,20.0,20.0,-3440.0,-11634.0,48299.0,43657.0,0.0010999999999999998,1.0
2023-02-27,22231.0,22829.0,-0.0089,3948.0,1.0,0.0898,0.0661,20.0,20.0,-2015.0,12586.0,57079.0,47605.0,0.00049,0.0
2023-02-28,14671.0,14908.0,-0.0056,-634.0,0.0,0.1751,0.1339,23.0,17.0,963.0,-1986.0,55236.0,46971.0,0.0006000000000000001,1.0
2023-03-01,34790.0,36465.0,-0.0191,-10554.0,0.0,0.0763,0.0568,27.0,13.0,-23307.0,-20396.0,43317.0,36417.0,-0.00045,1.0
2023-03-02,32952.0,34025.0,-0.0101,-3626.0,0.0,0.1101,0.0803,23.0,17.0,-13998.0,-18726.0,36360.0,32791.0,-0.00108,1.0
2023-03-05,24025.0,25063.0,-0.0138,-1676.0,0.0,0.0868,0.0431,22.0,18.0,-4478.0,-12542.0,17059.0,31115.0,-0.0010599999999999997,1.0
2023-03-07,26746.0,24934.0,0.022,673.0,1.0,0.4424,0.1798,12.0,28.0,9851.0,-15817.0,24326.0,31788.0,9.500000000000011e-05,1.0
2023-03-09,37565.0,34725.0,0.0315,-14399.0,0.0,0.324,0.2066,9.0,31.0,8588.0,-29582.0,6006.0,17389.0,0.001915,1.0
2023-03-12,33200.0,34591.0,-0.0134,-1742.0,0.0,0.1391,0.1004,21.0,19.0,4333.0,-20770.0,15307.0,15647.0,0.00081,1.0
2023-03-13,21318.0,21954.0,-0.0122,-5885.0,0.0,0.1303,0.1231,21.0,19.0,0.0,-23029.0,19819.0,9762.0,-0.0006349999999999999,1.0
2023-03-14,13705.0,14299.0,-0.0134,-5084.0,0.0,0.0862,0.0542,23.0,16.0,-332.0,-26437.0,-1542.0,4678.0,-0.00399,1.0
2023-03-15,14295.0,14822.0,-0.0107,-5007.0,0.0,0.0671,0.0306,22.0,18.0,-49.0,-32117.0,-26456.0,-329.0,-0.0056,1.0
2023-03-16,16038.0,15757.0,0.0047,2514.0,1.0,0.1497,0.0775,20.0,20.0,968.0,-15204.0,-42996.0,2185.0,-0.005075,1.0
2023-03-19,16865.0,18105.0,-0.0239,2815.0,1.0,0.0705,0.0464,24.0,16.0,2138.0,-10647.0,-57228.0,5000.0,-0.006379999999999999,1.0
2023-03-20,17905.0,18104.0,-0.0035,5878.0,1.0,0.1396,0.0914,21.0,19.0,-44.0,1116.0,-46044.0,10878.0,-0.00659,0.0
2023-03-22,17153.0,17483.0,-0.0069,2250.0,1.0,0.0829,0.0619,25.0,15.0,850.0,8450.0,-42163.0,13128.0,-0.006840000000000001,0.0
2023-03-23,26331.0,28077.0,-0.0246,-57.0,0.0,0.0617,0.0396,27.0,13.0,1438.0,13400.0,-21948.0,13071.0,-0.007549999999999999,0.0
2023-03-26,28319.0,29726.0,-0.0172,-4675.0,0.0,0.065,0.0414,26.0,14.0,-5584.0,6211.0,-40561.0,8396.0,-0.007544999999999999,0.0
2023-03-27,55920.0,57083.0,-0.0081,5624.0,1.0,0.0824,0.0536,20.0,20.0,5414.0,9020.0,-42793.0,14020.0,-0.006745000000000001,0.0
2023-03-28,21010.0,21238.0,-0.0043,9504.0,1.0,0.1302,0.0931,20.0,20.0,4976.0,12646.0,-27993.0,23524.0,-0.007105,0.0
2023-03-29,16879.0,17084.0,-0.0043,4816.0,1.0,0.0769,0.0627,30.0,10.0,-926.0,15212.0,-15317.0,28340.0,-0.007090000000000001,0.0
2023-03-30,16777.0,16822.0,-0.001,6090.0,1.0,0.2556,0.1825,23.0,17.0,-245.0,21359.0,-13175.0,34430.0,-0.006695000000000001,0.0
2023-04-02,18751.0,19180.0,-0.0081,-4541.0,0.0,0.0984,0.0846,22.0,18.0,-2425.0,21493.0,-17082.0,29889.0,-0.00682,0.0
