date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6597,0.66,-0.0002,-0.1279,0.0,0.3484,0.3739,20.0,20.0,-0.0553,-0.1279,-0.1279,-0.1279,-0.0002,1.0
2023-01-24,0.5808,0.5399,0.0408,0.1104,1.0,0.1511,0.1471,18.0,22.0,0.0771,-0.017500000000000016,-0.017500000000000016,-0.017500000000000016,0.020300000000000002,1.0
2023-01-25,0.5629,0.5722,-0.0093,0.014,1.0,0.0807,0.0796,20.0,20.0,-0.09,-0.0035000000000000153,-0.0035000000000000153,-0.0035000000000000153,0.010433333333333336,1.0
2023-01-26,0.619,0.6196,-0.0006,0.0886,1.0,0.0833,0.0893,22.0,18.0,-0.01,0.08509999999999998,0.08509999999999998,0.08509999999999998,0.007675000000000001,0.0
2023-01-29,0.6846,0.7291,-0.0445,-0.025,0.0,0.0677,0.0849,25.0,14.0,0.0392,0.06009999999999998,0.06009999999999998,0.06009999999999998,-0.0027599999999999986,0.0
2023-01-30,0.674,0.6812,-0.0072,-0.1219,0.0,0.0997,0.145,20.0,20.0,-0.1525,0.0661,-0.061800000000000015,-0.061800000000000015,-0.0034999999999999983,0.0
2023-01-31,0.5549,0.582,-0.0271,-0.1484,0.0,0.0804,0.1001,20.0,20.0,0.0,-0.19269999999999998,-0.21020000000000003,-0.21020000000000003,-0.00687142857142857,1.0
2023-02-01,0.6362,0.6362,0.0,-0.3057,0.0,0.1225,0.1462,18.0,19.0,-0.0501,-0.5124000000000001,-0.5159,-0.5159,-0.006012499999999999,1.0
2023-02-02,0.6897,0.6954,-0.0057,0.0904,1.0,0.1218,0.187,21.0,19.0,0.058,-0.5106,-0.4255000000000001,-0.4255000000000001,-0.005977777777777776,1.0
2023-02-05,0.5719,0.5731,-0.0012,-0.0199,0.0,0.1034,0.0956,20.0,20.0,-0.0719,-0.5055000000000001,-0.4454000000000001,-0.4454000000000001,-0.0055,1.0
2023-02-06,0.5607,0.5608,-0.0,-0.1273,0.0,0.1104,0.1131,20.0,20.0,-0.1539,-0.5109000000000001,-0.5727000000000001,-0.5727000000000001,-0.004999999999999999,1.0
2023-02-07,0.4245,0.4082,0.0163,0.0699,1.0,0.1553,0.1394,20.0,20.0,-0.0269,-0.2926000000000001,-0.5028000000000001,-0.5028000000000001,-0.003224999999999999,1.0
2023-02-08,0.4944,0.5065,-0.0122,-0.106,0.0,0.0631,0.0587,20.0,20.0,-0.0832,-0.09290000000000001,-0.6088000000000001,-0.6088000000000001,-0.003915384615384615,1.0
2023-02-09,0.611,0.6123,-0.0012,-0.1411,0.0,0.119,0.1249,20.0,20.0,0.0321,-0.3244,-0.7499000000000001,-0.7499000000000001,-0.003721428571428571,1.0
2023-02-12,0.6494,0.6512,-0.0018,-0.0297,0.0,0.0947,0.1384,20.0,20.0,0.0361,-0.3342,-0.7796000000000001,-0.7796000000000001,-0.0035933333333333325,1.0
2023-02-14,0.5752,0.5773,-0.0021,-0.4014,0.0,0.132,0.1621,22.0,18.0,-0.1097,-0.6083000000000001,-1.181,-1.181,-0.0034999999999999996,1.0
2023-02-15,0.6175,0.6218,-0.0043,-0.157,0.0,0.1003,0.1415,23.0,16.0,0.074,-0.8351999999999999,-1.338,-1.338,-0.0035470588235294114,1.0
2023-02-16,0.6817,0.6884,-0.0067,-0.1735,0.0,0.127,0.1938,23.0,17.0,0.0153,-0.9027,-1.5115,-1.5115,-0.003722222222222222,1.0
2023-02-20,0.7494,0.7356,0.0138,-0.3229,0.0,0.4581,0.5006,18.0,22.0,0.003,-1.0845,-1.8344,-1.8344,-0.0027999999999999995,1.0
2023-02-22,0.642,0.6533,-0.0113,-0.0639,0.0,0.0968,0.0939,20.0,20.0,-0.0509,-1.1187,-1.8983,-1.8983,-0.0032249999999999996,1.0
2023-02-23,0.8111,0.7986,0.0125,-0.0464,0.0,0.1168,0.1435,20.0,20.0,-0.0054,-0.7637,-1.8168,-1.9447,-0.0025899999999999994,1.0
2023-02-26,0.5831,0.5983,-0.0153,-0.0317,0.0,0.1253,0.1664,20.0,20.0,-0.0372,-0.6384000000000001,-1.9588999999999999,-1.9764,-0.005394999999999999,1.0
2023-02-27,0.5595,0.5744,-0.0149,-0.0412,0.0,0.1141,0.1403,22.0,18.0,0.0101,-0.5061000000000001,-2.0141,-2.0176,-0.005675,1.0
2023-02-28,0.5716,0.5716,0.0,-0.0634,0.0,0.1947,0.2057,15.0,16.0,-0.0784,-0.2466000000000001,-2.1661,-2.081,-0.005645,1.0
2023-03-01,0.7515,0.7515,0.0,0.2739,1.0,0.0833,0.128,23.0,11.0,0.0202,0.09119999999999989,-1.8672,-1.8071000000000002,-0.0034200000000000003,0.0
2023-03-02,0.608,0.6228,-0.0149,0.3179,1.0,0.0768,0.0967,22.0,17.0,0.0507,0.4554999999999999,-1.4274,-1.4892,-0.0038050000000000002,0.0
2023-03-05,0.5882,0.5882,0.0,0.1701,1.0,0.1134,0.1157,20.0,19.0,-0.0697,0.6572999999999999,-1.1089,-1.3191,-0.00245,0.0
