date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,101194.0,95923.0,0.0139,14157.0,1.0,0.301,0.1395,20.0,20.0,53059.0,14157.0,14157.0,14157.0,0.0139,0.0
2023-01-24,101702.0,99160.0,0.0061,-6236.0,0.0,0.1066,0.0436,20.0,20.0,18129.0,7921.0,7921.0,7921.0,0.01,0.0
2023-01-25,53498.0,50559.0,0.0155,-10609.0,0.0,0.0857,0.0415,20.0,20.0,0.0,-2688.0,-2688.0,-2688.0,0.011833333333333335,1.0
2023-01-26,61933.0,62369.0,-0.0022,-16195.0,0.0,0.0911,0.0457,20.0,20.0,2447.0,-18883.0,-18883.0,-18883.0,0.008325,1.0
2023-01-29,69663.0,72789.0,-0.01,-25036.0,0.0,0.116,0.0571,23.0,15.0,-14315.0,-43919.0,-43919.0,-43919.0,0.00466,1.0
2023-01-30,69006.0,73785.0,-0.0141,10154.0,1.0,0.0641,0.0274,20.0,20.0,0.0,-47922.0,-33765.0,-33765.0,0.0015333333333333334,1.0
2023-01-31,74406.0,73149.0,0.0036,12922.0,1.0,0.0903,0.0442,20.0,20.0,5050.0,-28764.0,-20843.0,-20843.0,0.0018285714285714283,1.0
2023-02-01,56281.0,58979.0,-0.0127,-17223.0,0.0,0.0909,0.0469,20.0,20.0,-1887.0,-35378.0,-38066.0,-38066.0,1.2499999999999924e-05,1.0
2023-02-02,49973.0,48275.0,0.0083,5123.0,1.0,0.1831,0.0925,19.0,21.0,-2878.0,-14060.0,-32943.0,-32943.0,0.0009333333333333333,1.0
2023-02-05,53079.0,51339.0,0.0082,-15569.0,0.0,0.1173,0.0675,20.0,20.0,-3763.0,-4593.0,-48512.0,-48512.0,0.00166,1.0
2023-02-06,47020.0,45916.0,0.0071,-9533.0,0.0,0.1069,0.0551,20.0,20.0,6903.0,-24280.0,-58045.0,-58045.0,0.0021545454545454546,1.0
2023-02-07,147400.0,138255.0,0.0141,-14649.0,0.0,0.1514,0.0642,20.0,20.0,15334.0,-51851.0,-72694.0,-72694.0,0.00315,1.0
2023-02-08,73816.0,74845.0,-0.0022,902.0,1.0,0.0849,0.0216,20.0,20.0,3727.0,-33726.0,-71792.0,-71792.0,0.0027384615384615386,1.0
2023-02-09,59407.0,57518.0,0.0061,13719.0,1.0,0.1077,0.039,17.0,23.0,-723.0,-25130.0,-58073.0,-58073.0,0.0029785714285714285,1.0
2023-02-12,134207.0,141339.0,-0.0107,-2588.0,0.0,0.0646,0.0251,20.0,20.0,-5098.0,-12149.0,-60661.0,-60661.0,0.0020666666666666667,1.0
2023-02-14,106088.0,108350.0,-0.0047,-20638.0,0.0,0.0992,0.0453,20.0,20.0,8414.0,-23254.0,-81299.0,-81299.0,0.00164375,1.0
2023-02-15,61116.0,61481.0,-0.0016,-4220.0,0.0,0.1371,0.077,20.0,20.0,10023.0,-12825.0,-85519.0,-85519.0,0.0014529411764705883,1.0
2023-02-16,64782.0,71937.0,-0.0281,1449.0,1.0,0.0812,0.0417,21.0,19.0,0.0,-12278.0,-84070.0,-84070.0,-0.0001888888888888889,1.0
2023-02-20,64159.0,65510.0,-0.0053,13733.0,1.0,0.0829,0.0402,20.0,20.0,-1884.0,-12264.0,-70337.0,-70337.0,-0.0004578947368421052,1.0
2023-02-22,78041.0,78334.0,-0.0011,37108.0,1.0,0.0943,0.0515,20.0,20.0,4390.0,27432.0,-33229.0,-33229.0,-0.00049,0.0
2023-02-23,76172.0,79812.0,-0.0124,-6033.0,0.0,0.1011,0.0575,20.0,20.0,-333.0,42037.0,-53419.0,-39262.0,-0.001805,0.0
2023-02-26,60787.0,61343.0,-0.0019,12984.0,1.0,0.0935,0.0398,20.0,20.0,1808.0,59241.0,-34199.0,-26278.0,-0.002205,0.0
2023-02-27,43007.0,43641.0,-0.0033,-18960.0,0.0,0.1007,0.0534,20.0,20.0,-3525.0,38832.0,-42550.0,-45238.0,-0.003145,0.0
2023-02-28,33408.0,32739.0,0.0062,690.0,1.0,0.1244,0.0829,20.0,20.0,3801.0,25789.0,-25665.0,-44548.0,-0.002725,0.0
2023-03-01,33949.0,35827.0,-0.0167,-15214.0,0.0,0.1312,0.0939,22.0,17.0,-8589.0,-26533.0,-15843.0,-59762.0,-0.00306,1.0
2023-03-02,28380.0,29298.0,-0.0095,1625.0,1.0,0.0973,0.0665,20.0,20.0,1454.0,-18875.0,-24372.0,-58137.0,-0.00283,1.0
2023-03-05,44535.0,43266.0,0.0087,-16574.0,0.0,0.139,0.0842,20.0,20.0,-2742.0,-48433.0,-53868.0,-74711.0,-0.002575,1.0
2023-03-07,41638.0,40675.0,0.0076,16237.0,1.0,0.0926,0.0613,20.0,20.0,2068.0,-13236.0,-20408.0,-58474.0,-0.00156,1.0
2023-03-09,41438.0,38141.0,0.0247,8298.0,1.0,0.0788,0.0428,20.0,20.0,3890.0,-5628.0,-17233.0,-50176.0,-0.00074,1.0
2023-03-12,51128.0,49349.0,0.0076,10254.0,1.0,0.1137,0.0479,20.0,20.0,1036.0,19840.0,8590.0,-39922.0,-0.0007700000000000001,0.0
2023-03-13,31182.0,32051.0,-0.0093,-6203.0,0.0,0.086,0.0672,20.0,20.0,-3713.0,12012.0,11920.0,-46125.0,-0.0015899999999999998,0.0
2023-03-14,35650.0,36514.0,-0.0074,14094.0,1.0,0.0725,0.0446,21.0,19.0,1661.0,42680.0,40663.0,-32031.0,-0.002665,0.0
2023-03-15,36998.0,37734.0,-0.0065,-7918.0,0.0,0.083,0.0535,20.0,20.0,-323.0,18525.0,31843.0,-39949.0,-0.0028799999999999997,0.0
2023-03-16,17746.0,16650.0,0.0174,3102.0,1.0,0.2234,0.1224,18.0,22.0,272.0,13329.0,21226.0,-36847.0,-0.0023150000000000002,0.0
2023-03-19,38511.0,34316.0,0.0397,-2673.0,0.0,0.235,0.1609,18.0,22.0,-2727.0,402.0,21141.0,-39520.0,0.00020499999999999997,0.0
2023-03-20,27929.0,27623.0,0.0029,-3006.0,0.0,0.078,0.038,20.0,20.0,456.0,3599.0,38773.0,-42526.0,0.0005849999999999999,0.0
2023-03-22,29173.0,29493.0,-0.0035,-11368.0,0.0,0.1656,0.1116,20.0,20.0,1652.0,-21863.0,31625.0,-53894.0,0.0004899999999999999,1.0
2023-03-23,27281.0,27910.0,-0.0068,2576.0,1.0,0.1101,0.067,20.0,20.0,-3564.0,-11369.0,32752.0,-51318.0,0.0015549999999999997,1.0
2023-03-26,28358.0,30313.0,-0.0183,4731.0,1.0,0.0731,0.0348,21.0,19.0,-198.0,-9740.0,23750.0,-46587.0,0.0009049999999999998,1.0
2023-03-27,31706.0,32166.0,-0.004,115.0,1.0,0.0813,0.0493,20.0,20.0,912.0,-6952.0,-13243.0,-46472.0,0.0007599999999999997,1.0
2023-03-28,42044.0,42854.0,-0.0045,-13017.0,0.0,0.0954,0.0515,20.0,20.0,1597.0,-16963.0,-20227.0,-59489.0,0.0011549999999999996,1.0
2023-03-29,28433.0,28433.0,0.0,17592.0,1.0,0.307,0.1914,17.0,20.0,1082.0,11997.0,-15619.0,-41897.0,0.0012499999999999998,0.0
2023-03-30,22501.0,22106.0,0.0057,-4415.0,0.0,0.2214,0.1273,17.0,23.0,12.0,5006.0,-1074.0,-46312.0,0.0016999999999999997,0.0
2023-04-02,33418.0,33544.0,-0.0012,-12770.0,0.0,0.0975,0.0666,20.0,20.0,4183.0,-12495.0,-14534.0,-59082.0,0.0013299999999999998,1.0
2023-04-03,36390.0,37103.0,-0.0058,-3051.0,0.0,0.108,0.0743,20.0,20.0,9175.0,-15661.0,-2371.0,-62133.0,0.0018749999999999995,1.0
2023-04-04,22047.0,22793.0,-0.0087,4881.0,1.0,0.0883,0.0441,22.0,18.0,0.0,2237.0,885.0,-57252.0,0.0019149999999999996,0.0
2023-04-05,16546.0,16631.0,-0.0016,-1811.0,0.0,0.0792,0.0498,24.0,16.0,800.0,-17166.0,15648.0,-59063.0,0.0013999999999999998,1.0
2023-04-06,28494.0,29662.0,-0.0135,6737.0,1.0,0.0826,0.0602,20.0,20.0,-2202.0,-6014.0,6148.0,-52326.0,0.0003449999999999997,1.0
2023-04-09,41013.0,39123.0,0.0145,22181.0,1.0,0.4497,0.2082,20.0,20.0,90.0,28937.0,20031.0,-30145.0,-0.00016500000000000013,0.0
2023-04-10,17061.0,16969.0,0.0017,572.0,1.0,0.0762,0.0403,20.0,20.0,159.0,32560.0,10349.0,-29573.0,-0.0004600000000000002,0.0
2023-04-11,21170.0,20856.0,0.0049,-4595.0,0.0,0.0968,0.0648,20.0,20.0,-845.0,23084.0,11957.0,-34168.0,0.0002499999999999998,0.0
2023-04-12,36565.0,37751.0,-0.0063,-1604.0,0.0,0.106,0.051,20.0,20.0,2868.0,23291.0,-3741.0,-35772.0,0.0003049999999999998,0.0
2023-04-13,32196.0,31564.0,0.0048,17719.0,1.0,0.0761,0.0292,20.0,20.0,3594.0,34273.0,21896.0,-18053.0,0.0008699999999999998,0.0
2023-04-16,18566.0,18443.0,0.0019,1257.0,1.0,0.1178,0.0758,20.0,20.0,-2770.0,13349.0,20051.0,-16796.0,9.499999999999987e-05,0.0
2023-04-17,24926.0,25004.0,-0.0011,-8548.0,0.0,0.1031,0.0567,20.0,20.0,-2444.0,4229.0,14176.0,-25344.0,-0.001945,0.0
2023-04-18,26867.0,27178.0,-0.0041,64.0,1.0,0.0922,0.0597,22.0,17.0,-9631.0,8888.0,17246.0,-25280.0,-0.002295,0.0
