date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,1.0,1.0,0.0,0.0,0.0,0.3519,0.4082,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,0.9725,0.9725,0.0,-0.5769,0.0,0.2213,0.3091,8.0,7.0,0.0,-0.5769,-0.5769,-0.5769,0.0,1.0
2023-01-25,0.9016,0.9016,0.0,0.3375,1.0,0.1972,0.2893,9.0,7.0,-0.0039,-0.23939999999999995,-0.23939999999999995,-0.23939999999999995,0.0,1.0
2023-01-26,0.9711,0.9711,0.0,0.6069,1.0,0.5846,0.711,4.0,9.0,0.711,0.36750000000000005,0.36750000000000005,0.36750000000000005,0.0,0.0
2023-01-29,0.9859,0.9859,0.0,-0.7845,0.0,0.5352,0.6961,5.0,11.0,-0.1343,-0.4169999999999999,-0.4169999999999999,-0.4169999999999999,0.0,1.0
2023-01-30,0.9845,0.9845,0.0,-0.34,0.0,0.2042,0.3333,11.0,14.0,-0.0078,-0.7569999999999999,-0.7569999999999999,-0.7569999999999999,0.0,1.0
2023-01-31,0.9395,0.9395,0.0,-0.6916,0.0,0.4148,0.5764,5.0,11.0,-0.0202,-0.8716999999999999,-1.4485999999999999,-1.4485999999999999,0.0,1.0
2023-02-01,0.901,0.901,0.0,-0.2822,0.0,0.1496,0.198,10.0,5.0,0.0941,-1.4914,-1.7308,-1.7308,0.0,1.0
2023-02-02,0.9794,0.9794,0.0,-0.4639,0.0,0.3833,0.5464,6.0,9.0,0.0,-2.5622,-2.1947,-2.1947,0.0,1.0
2023-02-05,0.992,0.992,0.0,-0.685,0.0,0.2439,0.3306,5.0,9.0,-0.1244,-2.4627,-2.8796999999999997,-2.8796999999999997,0.0,1.0
