date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,2225.0,2225.0,0.0,-1300.0,0.0,0.4304,0.2317,4.0,15.0,-400.0,-1300.0,-1300.0,-1300.0,0.0,1.0
2023-01-24,8046.0,8046.0,0.0,580.0,1.0,0.3347,0.1932,6.0,13.0,-800.0,-720.0,-720.0,-720.0,0.0,1.0
2023-01-25,2400.0,2400.0,0.0,900.0,1.0,0.3368,0.1098,3.0,12.0,-200.0,180.0,180.0,180.0,0.0,0.0
2023-01-26,6000.0,6000.0,0.0,-950.0,0.0,0.4043,0.1964,3.0,16.0,2750.0,-770.0,-770.0,-770.0,0.0,1.0
2023-01-29,2600.0,2600.0,0.0,-1500.0,0.0,0.429,0.1935,4.0,14.0,-200.0,-2270.0,-2270.0,-2270.0,0.0,1.0
2023-01-30,4150.0,4150.0,0.0,700.0,1.0,0.305,0.165,5.0,13.0,450.0,-270.0,-1570.0,-1570.0,0.0,1.0
2023-01-31,11100.0,11100.0,0.0,8600.0,1.0,0.7533,0.4279,2.0,14.0,-500.0,7750.0,7030.0,7030.0,0.0,0.0
2023-02-01,5675.0,5675.0,0.0,3875.0,1.0,0.7219,0.393,3.0,18.0,-400.0,10725.0,10905.0,10905.0,0.0,0.0
2023-02-02,800.0,800.0,0.0,300.0,1.0,0.4375,0.25,4.0,7.0,100.0,11975.0,11205.0,11205.0,0.0,0.0
2023-02-05,2950.0,2950.0,0.0,-1850.0,0.0,0.2669,0.1338,4.0,9.0,-1050.0,11625.0,9355.0,9355.0,0.0,0.0
2023-02-06,2900.0,2900.0,0.0,800.0,1.0,0.5244,0.3226,3.0,9.0,400.0,11725.0,10155.0,10155.0,0.0,0.0
2023-02-07,2100.0,2100.0,0.0,-1100.0,0.0,0.7415,0.3913,4.0,10.0,-900.0,2025.0,9055.0,9055.0,0.0,0.0
2023-02-08,9450.0,9450.0,0.0,-4550.0,0.0,0.9688,0.4769,2.0,14.0,-3950.0,-6400.0,4505.0,4505.0,0.0,1.0
2023-02-09,2720.0,2720.0,0.0,-420.0,0.0,0.7983,0.4449,3.0,4.0,-320.0,-7120.0,4085.0,4085.0,0.0,1.0
2023-02-12,2200.0,2200.0,0.0,-500.0,0.0,0.624,0.3542,3.0,11.0,-400.0,-5770.0,3585.0,3585.0,0.0,1.0
2023-02-14,1510.0,1510.0,0.0,-1010.0,0.0,1.0,0.4171,1.0,10.0,-10.0,-7580.0,2575.0,2575.0,0.0,1.0
2023-02-15,11300.0,11300.0,0.0,-7300.0,0.0,0.61,0.3294,2.0,11.0,-5000.0,-13780.0,-4725.0,-4725.0,0.0,1.0
2023-02-16,2300.0,2300.0,0.0,-800.0,0.0,0.69,0.413,5.0,11.0,-100.0,-10030.0,-5525.0,-5525.0,0.0,1.0
2023-02-20,1950.0,1950.0,0.0,-150.0,0.0,0.453,0.1939,3.0,10.0,-500.0,-9760.0,-5675.0,-5675.0,0.0,1.0
2023-02-22,1900.0,1900.0,0.0,600.0,1.0,0.4127,0.1541,3.0,11.0,900.0,-8660.0,-5075.0,-5075.0,0.0,1.0
2023-02-23,1800.0,1800.0,0.0,700.0,1.0,0.3395,0.2105,4.0,9.0,-100.0,-6950.0,-3075.0,-4375.0,0.0,1.0
2023-02-26,1050.0,1050.0,0.0,150.0,1.0,0.3016,0.1852,5.0,6.0,500.0,500.0,-3505.0,-4225.0,0.0,0.0
2023-02-27,2700.0,2700.0,0.0,-1800.0,0.0,0.3525,0.1964,3.0,13.0,-400.0,-500.0,-6205.0,-6025.0,0.0,1.0
