date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2024-02-11,0.8493,0.8493,0.0,0.3218,1.0,0.4021,0.3768,4.0,4.0,0.0203,0.3218,0.3218,0.3218,0.0,0.0
2024-02-12,0.8748,0.8748,0.0,-0.3155,0.0,0.2229,0.3246,9.0,25.0,-0.2556,0.006299999999999972,0.006299999999999972,0.006299999999999972,0.0,0.0
2024-02-13,0.7314,0.7314,0.0,-0.2838,0.0,0.3069,0.3397,7.0,26.0,-0.1599,-0.2775,-0.2775,-0.2775,0.0,1.0
2024-02-14,0.9408,0.9408,0.0,0.6551,1.0,0.5608,0.6969,9.0,20.0,-0.0418,0.3776,0.3776,0.3776,0.0,0.0
2024-02-15,0.5786,0.5786,0.0,-0.3648,0.0,0.1699,0.1761,12.0,17.0,-0.1258,0.012799999999999978,0.012799999999999978,0.012799999999999978,0.0,0.0
2024-02-18,0.7949,0.7949,0.0,0.2889,1.0,0.1907,0.235,8.0,21.0,-0.0254,-0.020100000000000007,0.30169999999999997,0.30169999999999997,0.0,1.0
2024-02-20,0.6136,0.6136,0.0,-0.2727,0.0,0.1715,0.1818,10.0,14.0,0.0227,0.022699999999999998,0.02899999999999997,0.02899999999999997,0.0,0.0
2024-02-21,0.7959,0.7959,0.0,0.0292,1.0,0.3546,0.3586,4.0,15.0,0.0,0.3357,0.058199999999999974,0.058199999999999974,0.0,0.0
2024-02-22,0.6986,0.6986,0.0,-0.411,0.0,0.351,0.3562,5.0,13.0,-0.0274,-0.7303999999999999,-0.3528,-0.3528,0.0,1.0
2024-02-25,0.7881,0.7881,0.0,-0.3072,0.0,0.5817,0.5932,6.0,18.0,0.0424,-0.6728,-0.6599999999999999,-0.6599999999999999,0.0,1.0
2024-02-26,0.9333,0.9333,0.0,0.4333,1.0,0.6888,0.7667,4.0,11.0,-0.1333,-0.5284,-0.22669999999999996,-0.22669999999999996,0.0,1.0
2024-02-27,0.9642,0.9642,0.0,0.2388,1.0,0.2258,0.3433,10.0,21.0,0.0,-0.016899999999999915,0.012100000000000055,0.012100000000000055,0.0,1.0
2024-02-28,0.8288,0.8288,0.0,-0.2397,0.0,0.194,0.274,7.0,10.0,-0.274,-0.28579999999999994,-0.22759999999999994,-0.22759999999999994,0.0,1.0
2024-02-29,0.8246,0.8246,0.0,0.1404,1.0,0.4839,0.5263,3.0,7.0,-0.0877,0.26560000000000006,-0.08719999999999994,-0.08719999999999994,0.0,0.0
2024-03-03,0.6973,0.6973,0.0,-0.2811,0.0,0.3784,0.3892,5.0,16.0,-0.0216,0.29169999999999996,-0.36829999999999996,-0.36829999999999996,0.0,0.0
2024-03-05,0.8439,0.8439,0.0,-0.5463,0.0,0.8709,0.7854,2.0,21.0,-0.0585,-0.6879,-0.9146,-0.9146,0.0,1.0
2024-03-06,0.8696,0.8696,0.0,-0.3478,0.0,0.3406,0.4203,4.0,7.0,-0.1159,-1.2745,-1.2624,-1.2624,0.0,1.0
2024-03-07,0.827,0.827,0.0,0.2464,1.0,0.4799,0.5072,5.0,16.0,-0.0315,-0.7884,-1.016,-1.016,0.0,1.0
2024-03-10,0.913,0.913,0.0,-0.3478,0.0,0.1519,0.2174,9.0,10.0,-0.2609,-1.2766,-1.3638,-1.3638,0.0,1.0
2024-03-12,0.8,0.8,0.0,-0.3478,0.0,0.3136,0.3739,6.0,17.0,-0.313,-1.3433,-1.7116,-1.7116,0.0,1.0
2024-03-13,0.9545,0.9545,0.0,-0.0455,0.0,0.3515,0.4091,3.0,13.0,-0.1364,-0.8424999999999999,-2.0789,-1.7570999999999999,0.0,1.0
2024-03-14,1.0,1.0,0.0,-0.4194,0.0,0.334,0.3548,3.0,11.0,-0.0968,-0.9140999999999999,-2.1828,-2.1765,0.0,1.0
2024-03-17,0.9623,0.9623,0.0,-0.0829,0.0,0.5585,0.6986,4.0,12.0,-0.0452,-1.2433999999999998,-1.9818999999999998,-2.2594,0.0,1.0
2024-03-18,0.9272,0.9272,0.0,-0.6604,0.0,0.2645,0.3788,7.0,12.0,-0.0305,-1.556,-3.2973999999999997,-2.9198,0.0,1.0
2024-03-19,0.3929,0.3929,0.0,-0.125,0.0,0.1983,0.125,7.0,11.0,-0.0536,-1.3331999999999997,-3.0576,-3.0448,0.0,1.0
2024-03-20,0.7326,0.7326,0.0,0.0112,1.0,0.5295,0.5087,4.0,10.0,-0.4478,-1.2765,-3.3352999999999997,-3.0336,0.0,1.0
