date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,6704.0,6803.0,-0.0048,-341.0,0.0,0.0779,0.0566,26.0,14.0,30.0,-341.0,-341.0,-341.0,-0.0048,1.0
2023-01-24,9790.0,9790.0,0.0,2294.0,1.0,0.1098,0.1026,25.0,12.0,-303.0,1953.0,1953.0,1953.0,-0.0024,0.0
2023-01-25,9498.0,9498.0,0.0,-1816.0,0.0,0.109,0.0943,20.0,17.0,-374.0,137.0,137.0,137.0,-0.0015999999999999999,0.0
2023-01-26,13917.0,13917.0,0.0,-57.0,0.0,0.085,0.076,27.0,13.0,2651.0,80.0,80.0,80.0,-0.0012,0.0
2023-01-29,23512.0,23577.0,-0.0011,-11200.0,0.0,0.1025,0.0814,22.0,18.0,1983.0,-11120.0,-11120.0,-11120.0,-0.00118,1.0
2023-01-30,15029.0,15009.0,0.0005,38.0,1.0,0.1565,0.119,20.0,20.0,-150.0,-10741.0,-11082.0,-11082.0,-0.0008999999999999999,1.0
2023-01-31,9481.0,9481.0,0.0,436.0,1.0,0.1385,0.0834,16.0,23.0,-1075.0,-12599.0,-10646.0,-10646.0,-0.0007714285714285713,1.0
2023-02-01,8620.0,8620.0,0.0,3091.0,1.0,0.1475,0.0981,14.0,16.0,-109.0,-7692.0,-7555.0,-7555.0,-0.0006749999999999999,1.0
2023-02-02,20706.0,21230.0,-0.0109,-4741.0,0.0,0.122,0.1191,24.0,16.0,235.0,-12376.0,-12296.0,-12296.0,-0.001811111111111111,1.0
2023-02-05,14052.0,14052.0,0.0,58.0,1.0,0.1566,0.1116,15.0,18.0,1110.0,-1118.0,-12238.0,-12238.0,-0.00163,1.0
2023-02-06,5991.0,5991.0,0.0,-3584.0,0.0,0.1654,0.1223,20.0,10.0,-60.0,-4740.0,-15822.0,-15822.0,-0.0014818181818181816,1.0
2023-02-07,16282.0,16197.0,0.0022,3023.0,1.0,0.1709,0.152,20.0,20.0,545.0,-2153.0,-12799.0,-12799.0,-0.0011749999999999998,1.0
2023-02-08,14321.0,14146.0,0.0041,2229.0,1.0,0.1777,0.0973,16.0,24.0,372.0,-3015.0,-10570.0,-10570.0,-0.0007692307692307691,1.0
2023-02-09,6389.0,6389.0,0.0,187.0,1.0,0.1626,0.0684,14.0,26.0,-329.0,1913.0,-10383.0,-10383.0,-0.0007142857142857142,0.0
2023-02-12,34586.0,32053.0,0.0243,9556.0,1.0,0.269,0.1441,9.0,31.0,15025.0,11411.0,-827.0,-827.0,0.0009533333333333334,0.0
2023-02-14,45592.0,42321.0,0.0212,16004.0,1.0,0.2311,0.1289,20.0,20.0,19934.0,30999.0,15177.0,15177.0,0.0022187500000000002,0.0
2023-02-15,16452.0,16354.0,0.0018,299.0,1.0,0.1245,0.0795,20.0,20.0,-365.0,28275.0,15476.0,15476.0,0.0021941176470588234,0.0
2023-02-16,8865.0,8824.0,0.0012,3064.0,1.0,0.175,0.0878,19.0,21.0,470.0,29110.0,18540.0,18540.0,0.002138888888888889,0.0
2023-02-20,11680.0,11680.0,0.0,4672.0,1.0,0.1083,0.0671,21.0,18.0,1576.0,33595.0,23212.0,23212.0,0.0020263157894736842,0.0
2023-02-22,11404.0,11404.0,0.0,-2839.0,0.0,0.1474,0.098,16.0,22.0,-245.0,21200.0,20373.0,20373.0,0.001925,0.0
2023-02-23,24251.0,26966.0,-0.0356,-20514.0,0.0,0.0566,0.0281,26.0,13.0,-7370.0,-15318.0,200.0,-141.0,0.0003849999999999999,1.0
2023-02-26,19921.0,19850.0,0.0014,3854.0,1.0,0.12,0.083,20.0,20.0,-1158.0,-11763.0,1760.0,3713.0,0.00045499999999999995,1.0
2023-02-27,18206.0,18326.0,-0.0022,8510.0,1.0,0.1158,0.0792,23.0,17.0,661.0,-6317.0,12086.0,12223.0,0.00034499999999999993,1.0
2023-02-28,7816.0,7816.0,0.0,-3406.0,0.0,0.2175,0.1311,19.0,13.0,-1617.0,-14395.0,8737.0,8817.0,0.00034499999999999993,1.0
2023-03-01,14215.0,14215.0,0.0,152.0,1.0,0.1689,0.1345,23.0,14.0,14.0,-11404.0,20089.0,8969.0,0.0003999999999999999,1.0
2023-03-02,16288.0,16288.0,0.0,4713.0,1.0,0.1503,0.116,27.0,11.0,360.0,13823.0,24764.0,13682.0,0.00037499999999999995,0.0
2023-03-05,14616.0,14616.0,0.0,1076.0,1.0,0.1065,0.0727,23.0,14.0,2464.0,11045.0,25404.0,14758.0,0.00037499999999999995,0.0
2023-03-07,2681.0,2681.0,0.0,726.0,1.0,0.1663,0.0849,14.0,20.0,600.0,3261.0,23039.0,15484.0,0.00037499999999999995,0.0
2023-03-09,13771.0,13771.0,0.0,7610.0,1.0,0.2878,0.1461,14.0,24.0,4673.0,14277.0,35390.0,23094.0,0.00092,0.0
2023-03-12,16813.0,17252.0,-0.0082,-5262.0,0.0,0.0845,0.046,21.0,18.0,-1430.0,8863.0,30070.0,17832.0,0.0005099999999999999,0.0
2023-03-13,7916.0,7916.0,0.0,-694.0,0.0,0.111,0.0902,22.0,12.0,-117.0,3456.0,32960.0,17138.0,0.0005099999999999999,0.0
2023-03-14,9569.0,9569.0,0.0,841.0,1.0,0.1296,0.0927,17.0,16.0,-290.0,3221.0,30778.0,17979.0,0.0003999999999999999,0.0
2023-03-15,9784.0,9784.0,0.0,-3046.0,0.0,0.2387,0.1723,15.0,16.0,460.0,-551.0,25503.0,14933.0,0.00019499999999999994,1.0
2023-03-16,3286.0,3286.0,0.0,173.0,1.0,0.1632,0.0864,14.0,14.0,100.0,-7988.0,25489.0,15106.0,0.00019499999999999994,1.0
2023-03-19,6968.0,6968.0,0.0,-1355.0,0.0,0.1576,0.1113,19.0,16.0,-182.0,-4081.0,14578.0,13751.0,-0.00102,1.0
2023-03-20,7208.0,7208.0,0.0,-3317.0,0.0,0.141,0.1118,16.0,22.0,-1364.0,-6704.0,-4743.0,10434.0,-0.00208,1.0
2023-03-22,4850.0,4850.0,0.0,1316.0,1.0,0.1376,0.0649,14.0,17.0,-313.0,-6229.0,-3726.0,11750.0,-0.00217,1.0
