date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7481,0.7872,-0.0391,-0.0391,0.0,0.089,0.1432,21.0,19.0,0.1432,-0.0391,-0.0391,-0.0391,-0.0391,1.0
2023-01-24,0.7424,0.7344,0.008,-0.107,0.0,0.1197,0.1849,20.0,20.0,-0.0145,-0.1461,-0.1461,-0.1461,-0.015550000000000001,1.0
2023-01-25,0.8348,0.8159,0.0189,0.3536,1.0,0.3761,0.4848,12.0,28.0,0.4848,0.20750000000000002,0.20750000000000002,0.20750000000000002,-0.004066666666666667,0.0
2023-01-26,0.6536,0.6507,0.0029,-0.0816,0.0,0.1825,0.2398,20.0,20.0,-0.0322,0.1259,0.1259,0.1259,-0.0023250000000000007,0.0
2023-01-29,0.7263,0.7398,-0.0134,-0.2458,0.0,0.0863,0.094,20.0,19.0,-0.095,-0.11989999999999998,-0.11989999999999998,-0.11989999999999998,-0.004540000000000001,1.0
2023-01-30,0.7841,0.7793,0.0048,0.0566,1.0,0.2227,0.3206,20.0,20.0,0.3206,-0.024199999999999985,-0.06329999999999998,-0.06329999999999998,-0.002983333333333334,1.0
2023-01-31,0.7981,0.775,0.0231,0.26,1.0,0.2613,0.3838,20.0,20.0,0.3838,0.34280000000000005,0.19670000000000004,0.19670000000000004,0.0007428571428571423,0.0
2023-02-01,0.7537,0.7479,0.0058,0.2212,1.0,0.1202,0.1862,19.0,20.0,0.0823,0.21040000000000003,0.41790000000000005,0.41790000000000005,0.0013749999999999995,0.0
2023-02-02,0.6994,0.7097,-0.0103,0.2066,1.0,0.1295,0.2095,20.0,18.0,0.2095,0.49860000000000004,0.6245,0.6245,7.777777777777731e-05,0.0
2023-02-05,0.8308,0.8037,0.027,0.1884,1.0,0.3815,0.4734,14.0,25.0,0.0187,0.9328000000000001,0.8129000000000001,0.8129000000000001,0.0027699999999999995,0.0
2023-02-06,0.9482,0.9153,0.0329,0.6625,1.0,0.5924,0.7179,8.0,32.0,0.106,1.5387,1.4754,1.4754,0.005509090909090909,0.0
2023-02-07,0.6416,0.6164,0.0252,0.2024,1.0,0.1908,0.2491,16.0,23.0,-0.0599,1.4811,1.6778,1.6778,0.007149999999999999,0.0
2023-02-08,0.7467,0.7545,-0.0078,-0.1847,0.0,0.0815,0.1002,21.0,19.0,-0.3111,1.0752,1.4931,1.4931,0.006,0.0
2023-02-09,0.7339,0.7273,0.0066,0.0929,1.0,0.0956,0.1302,20.0,20.0,-0.0263,0.9615,1.586,1.586,0.006042857142857142,0.0
2023-02-12,0.6785,0.6785,0.0,-0.0839,0.0,0.1698,0.2347,21.0,18.0,0.007,0.6891999999999999,1.5021,1.5021,0.00564,0.0
2023-02-14,0.7709,0.7999,-0.029,-0.2885,0.0,0.0811,0.1431,22.0,18.0,0.0184,-0.2618,1.2136,1.2136,0.003475,1.0
2023-02-15,0.7422,0.7372,0.005,0.3602,1.0,0.1834,0.2641,17.0,22.0,-0.0126,-0.10399999999999993,1.5738,1.5738,0.0035647058823529408,1.0
2023-02-16,0.6912,0.6831,0.0081,0.3827,1.0,0.1509,0.1936,18.0,22.0,0.0,0.46340000000000003,1.9565000000000001,1.9565000000000001,0.0038166666666666666,0.0
2023-02-20,0.6501,0.6422,0.0079,-0.0849,0.0,0.1287,0.137,16.0,23.0,0.0675,0.2856000000000001,1.8716000000000002,1.8716000000000002,0.004031578947368421,0.0
2023-02-22,0.7328,0.7562,-0.0234,0.0527,1.0,0.0793,0.1387,25.0,15.0,0.012,0.4222,1.9243000000000001,1.9243000000000001,0.00266,0.0
2023-02-23,0.5318,0.5592,-0.0274,-0.2853,0.0,0.1197,0.1376,22.0,18.0,-0.2652,0.4254,1.6781,1.639,0.003244999999999999,0.0
2023-02-26,0.5312,0.5234,0.0078,-0.0714,0.0,0.0994,0.0891,20.0,20.0,0.0891,-0.006200000000000025,1.7137,1.5676,0.0032349999999999996,1.0
2023-02-27,0.7035,0.6903,0.0132,0.2037,1.0,0.1355,0.1844,18.0,20.0,0.0702,-0.18520000000000003,1.5638,1.7713,0.00295,1.0
2023-02-28,0.7993,0.795,0.0044,-0.5656,0.0,0.1446,0.2397,20.0,20.0,-0.4728,-0.6659,1.0797999999999999,1.2057,0.003025,1.0
2023-03-01,0.7603,0.8288,-0.0684,-0.5031,0.0,0.0746,0.122,31.0,8.0,-0.1602,-1.2217,0.8224999999999999,0.7026,0.00027499999999999953,1.0
2023-03-02,0.5926,0.5926,0.0,-0.0092,0.0,0.0913,0.1087,23.0,17.0,0.0086,-0.9456,0.7567,0.6934,3.4999999999999834e-05,1.0
2023-03-05,0.8073,0.8256,-0.0183,0.0281,1.0,0.1608,0.2862,20.0,19.0,0.2862,-0.8461,0.5247999999999999,0.7215,-0.002035,1.0
2023-03-07,0.6704,0.6618,0.0087,-0.1047,0.0,0.104,0.1459,20.0,20.0,-0.0385,-1.1544999999999999,0.19889999999999997,0.6168,-0.00189,1.0
2023-03-09,0.7342,0.7342,0.0,-0.3203,0.0,0.1098,0.1299,20.0,19.0,-0.1846,-0.9092,-0.328,0.29650000000000004,-0.0013750000000000001,1.0
2023-03-12,0.6437,0.6533,-0.0095,-0.1157,0.0,0.0783,0.101,21.0,17.0,-0.2865,-0.5217999999999999,-0.6321,0.18080000000000004,-0.0032,1.0
2023-03-13,0.8993,0.8993,0.0,-0.7379,0.0,0.1794,0.2474,22.0,13.0,-0.0079,-1.2505,-2.0324999999999998,-0.5570999999999999,-0.004845,1.0
2023-03-14,0.9308,0.929,0.0018,-0.0655,0.0,0.2974,0.4769,18.0,22.0,0.0142,-1.3441,-2.3004,-0.6225999999999999,-0.006015,1.0
2023-03-15,0.6404,0.6738,-0.0335,0.2988,1.0,0.1167,0.1746,28.0,11.0,-0.0096,-0.9405999999999999,-1.8169,-0.3237999999999999,-0.007300000000000001,1.0
2023-03-16,0.7787,0.7761,0.0026,-0.3804,0.0,0.1526,0.2151,20.0,20.0,-0.2886,-1.0007,-2.2902,-0.7041999999999999,-0.0075,1.0
2023-03-19,0.868,0.868,0.0,0.4256,1.0,0.4002,0.5279,24.0,15.0,-0.1175,-0.45940000000000003,-1.7807000000000002,-0.27859999999999996,-0.0075,1.0
2023-03-20,0.7785,0.7785,0.0,-0.316,0.0,0.2071,0.2682,11.0,22.0,-0.175,-0.03750000000000003,-1.8082000000000003,-0.5946,-0.00605,1.0
2023-03-22,0.8232,0.8232,0.0,0.1919,1.0,0.3526,0.4746,18.0,18.0,-0.1041,0.21989999999999996,-1.9765000000000001,-0.40269999999999995,-0.0063,0.0
2023-03-23,0.7728,0.7728,0.0,-0.0455,0.0,0.2498,0.3441,20.0,15.0,0.0117,-0.12440000000000005,-2.4047000000000005,-0.4482,-0.006705,1.0
2023-03-26,0.8401,0.8346,0.0055,0.3516,1.0,0.4677,0.5661,16.0,23.0,-0.1075,0.6075999999999999,-1.9682000000000002,-0.09659999999999996,-0.006825,0.0
2023-03-27,0.5751,0.5751,0.0,-0.0502,0.0,0.1257,0.123,18.0,19.0,0.0185,0.1318,-2.0711,-0.14679999999999996,-0.005655,0.0
2023-03-28,0.7563,0.7478,0.0085,-0.2352,0.0,0.156,0.1969,16.0,22.0,-0.0794,0.21259999999999998,-2.0210000000000004,-0.38199999999999995,-0.00386,0.0
2023-03-29,0.8023,0.8023,0.0,-0.1194,0.0,0.155,0.2028,12.0,21.0,-0.0259,-0.09869999999999995,-2.069,-0.5014,-0.00425,1.0
2023-03-30,0.7156,0.7156,0.0,-0.0507,0.0,0.174,0.2602,17.0,23.0,-0.1704,-0.10389999999999996,-2.3234,-0.5520999999999999,-0.0049099999999999994,1.0
2023-04-02,0.8594,0.8594,0.0,-0.5448,0.0,0.127,0.1686,22.0,17.0,-0.03,-1.0003,-2.3026,-1.0968999999999998,-0.00513,1.0
2023-04-03,0.8868,0.8868,0.0,-0.4163,0.0,0.2693,0.4333,17.0,21.0,0.0111,-1.3664,-2.2158,-1.5131999999999999,-0.0017099999999999997,1.0
2023-04-04,0.8677,0.8677,0.0,-0.1105,0.0,0.3244,0.4749,13.0,25.0,-0.0525,-1.2417,-2.3171,-1.6237,-0.0017099999999999997,1.0
2023-04-05,0.8302,0.8302,0.0,-0.279,0.0,0.2016,0.2802,11.0,21.0,-0.1258,-1.4013,-2.6242,-1.9026999999999998,-0.0007949999999999999,1.0
2023-04-06,0.7238,0.7238,0.0,-0.0164,0.0,0.0893,0.1304,22.0,16.0,0.0302,-1.367,-2.5359,-1.9190999999999998,-0.0012299999999999998,1.0
2023-04-09,0.8134,0.8108,0.0027,-0.2013,0.0,0.2387,0.3533,18.0,22.0,0.0185,-1.0235,-2.4169000000000005,-2.1204,-0.0010949999999999998,1.0
2023-04-10,0.8295,0.8295,0.0,-0.1084,0.0,0.2522,0.341,12.0,23.0,0.0053,-0.7156,-2.4096,-2.2287999999999997,-0.0006199999999999999,1.0
2023-04-11,0.4685,0.4685,0.0,-0.0117,0.0,0.1857,0.1625,10.0,24.0,0.0309,-0.6168,-1.6834000000000002,-2.2405,-0.0006199999999999999,1.0
