date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.8335,0.8335,0.0,0.1379,1.0,0.264,0.3488,8.0,18.0,-0.0103,0.1379,0.1379,0.1379,0.0,0.0
2023-01-24,0.7261,0.7261,0.0,-0.2631,0.0,0.392,0.3495,6.0,13.0,-0.0901,-0.1252,-0.1252,-0.1252,0.0,1.0
2023-01-25,0.9279,0.9279,0.0,0.0577,1.0,0.2899,0.3846,4.0,14.0,0.0,-0.0675,-0.0675,-0.0675,0.0,1.0
2023-01-26,0.963,0.963,0.0,-0.1481,0.0,0.5525,0.6852,3.0,12.0,-0.0556,-0.2156,-0.2156,-0.2156,0.0,1.0
2023-01-29,0.9946,0.9946,0.0,-0.9838,0.0,0.199,0.2696,9.0,10.0,-0.0027,-1.1994,-1.1994,-1.1994,0.0,1.0
2023-01-30,0.8095,0.8095,0.0,-0.0317,0.0,0.2072,0.254,7.0,11.0,-0.0063,-1.369,-1.2311,-1.2311,0.0,1.0
2023-01-31,0.9962,0.9962,0.0,-0.8426,0.0,0.4182,0.569,3.0,14.0,-0.0417,-1.9485000000000001,-2.0737,-2.0737,0.0,1.0
2023-02-01,0.8321,0.8321,0.0,-0.495,0.0,0.2557,0.3484,8.0,12.0,0.0013,-2.5012,-2.5686999999999998,-2.5686999999999998,0.0,1.0
2023-02-02,0.9637,0.9637,0.0,0.6732,1.0,0.4662,0.643,7.0,6.0,0.0,-1.6799000000000002,-1.8955,-1.8955,0.0,1.0
2023-02-05,0.8699,0.8699,0.0,0.0753,1.0,0.7055,0.726,5.0,10.0,-0.0548,-0.6207999999999999,-1.8202,-1.8202,0.0,1.0
2023-02-06,1.0,1.0,0.0,0.4255,1.0,0.225,0.3191,6.0,10.0,-0.3404,-0.16359999999999997,-1.3946999999999998,-1.3946999999999998,0.0,1.0
2023-02-07,0.996,0.996,0.0,-0.7336,0.0,0.6378,0.7832,5.0,13.0,0.0225,-0.05459999999999998,-2.1283,-2.1283,0.0,1.0
2023-02-08,0.83,0.83,0.0,-0.58,0.0,0.3468,0.4,5.0,6.0,0.01,-0.13959999999999995,-2.7083,-2.7083,0.0,1.0
2023-02-09,0.9796,0.9796,0.0,-0.648,0.0,0.3141,0.4082,4.0,10.0,-0.0102,-1.4607999999999999,-3.3563,-3.3563,0.0,1.0
2023-02-12,0.9581,0.9581,0.0,0.2622,1.0,0.5042,0.6154,5.0,12.0,-0.11,-1.2738999999999998,-3.0941,-3.0941,0.0,1.0
2023-02-14,0.7812,0.7812,0.0,0.25,1.0,0.3536,0.3438,3.0,7.0,-0.2812,-1.4493999999999998,-2.8441,-2.8441,0.0,1.0
2023-02-15,0.9216,0.9216,0.0,-0.4118,0.0,0.2866,0.2941,4.0,8.0,-0.1373,-1.1276,-3.2559,-3.2559,0.0,1.0
2023-02-16,0.9881,0.9881,0.0,0.0589,1.0,0.2512,0.4277,10.0,6.0,-0.006,-0.4887,-3.197,-3.197,0.0,1.0
2023-02-20,0.9676,0.9676,0.0,-0.338,0.0,0.2255,0.3611,8.0,9.0,-0.0741,-0.17870000000000003,-3.535,-3.535,0.0,1.0
2023-02-22,0.7231,0.7231,0.0,0.5407,1.0,0.3538,0.3846,6.0,9.0,-0.0176,0.09979999999999994,-2.9943,-2.9943,0.0,0.0
2023-02-23,0.7627,0.7627,0.0,0.4672,1.0,0.4511,0.4758,5.0,11.0,0.0105,0.31699999999999995,-2.665,-2.5271,0.0,0.0
2023-02-26,0.7826,0.7826,0.0,0.5543,1.0,0.2517,0.2957,7.0,8.0,0.0,1.2831,-1.8476,-1.9727999999999999,0.0,0.0
2023-02-27,0.8654,0.8654,0.0,0.381,1.0,0.336,0.4182,5.0,12.0,0.0,1.6052,-1.5243,-1.5917999999999999,0.0,0.0
2023-02-28,0.9913,0.9913,0.0,0.6528,1.0,0.5397,0.6962,4.0,8.0,-0.0694,2.596,-0.7233999999999998,-0.9389999999999998,0.0,0.0
2023-03-01,0.8261,0.8261,0.0,-0.3913,0.0,0.5346,0.5217,2.0,6.0,-0.087,1.664,-0.1308999999999998,-1.3302999999999998,0.0,0.0
2023-03-02,0.8189,0.8189,0.0,0.1172,1.0,0.2127,0.2037,5.0,8.0,0.0928,1.314,0.01800000000000021,-1.2130999999999998,0.0,0.0
2023-03-05,0.655,0.655,0.0,-0.2765,0.0,0.159,0.155,8.0,8.0,-0.0039,0.4832000000000001,0.5841000000000003,-1.4895999999999998,0.0,0.0
2023-03-07,0.9782,0.9782,0.0,0.0639,1.0,0.5742,0.7257,5.0,5.0,-0.0508,0.16610000000000008,1.1430000000000002,-1.4256999999999997,0.0,0.0
2023-03-09,0.941,0.941,0.0,-0.6896,0.0,0.5933,0.7155,8.0,11.0,-0.0035,-1.1763,-0.21979999999999977,-2.1153,0.0,1.0
2023-03-12,0.9962,0.9962,0.0,-0.3692,0.0,0.4061,0.5687,8.0,7.0,0.0,-1.1542,-0.6642999999999998,-2.4844999999999997,0.0,1.0
2023-03-13,1.0,1.0,0.0,0.1,1.0,0.375,0.5,3.0,8.0,0.25,-1.1713999999999998,-0.9897999999999999,-2.3844999999999996,0.0,1.0
2023-03-14,0.9681,0.9681,0.0,0.1064,1.0,0.3658,0.532,5.0,11.0,0.0,-0.7884999999999999,-0.14979999999999974,-2.2781,0.0,1.0
2023-03-15,0.7302,0.7302,0.0,0.3858,1.0,0.4354,0.3885,6.0,8.0,0.0,-0.4665999999999999,0.8160000000000003,-1.8922999999999999,0.0,1.0
2023-03-16,0.9913,0.9913,0.0,0.9739,1.0,0.467,0.6166,3.0,7.0,0.2527,1.1969,2.4379000000000004,-0.9183999999999999,0.0,0.0
2023-03-19,1.0,1.0,0.0,0.0,0.0,0.3198,0.3846,5.0,5.0,-0.4308,1.5661,2.1757000000000004,-0.9183999999999999,0.0,0.0
2023-03-20,0.003,0.003,0.0,-0.0019,0.0,0.5736,0.0022,4.0,3.0,-0.0023,1.4642,1.9238000000000004,-0.9202999999999999,0.0,0.0
2023-03-22,0.8954,0.8954,0.0,-0.7489,0.0,0.2486,0.3737,7.0,7.0,-0.5755,0.6089000000000001,1.5867000000000004,-1.6692,0.0,0.0
2023-03-23,0.8619,0.8619,0.0,-0.3237,0.0,0.6844,0.7061,4.0,7.0,-0.0425,-0.10059999999999991,1.2041000000000004,-1.9929,0.0,1.0
2023-03-26,0.8778,0.8778,0.0,0.1444,1.0,0.2072,0.2778,7.0,8.0,-0.0667,-0.9301,1.6865000000000003,-1.8484999999999998,0.0,1.0
2023-03-27,0.9545,0.9545,0.0,0.1818,1.0,0.424,0.5909,5.0,6.0,-0.4545,-0.7483,1.3276000000000003,-1.6666999999999998,0.0,1.0
2023-03-28,0.9052,0.9052,0.0,0.3802,1.0,0.5197,0.6285,7.0,14.0,0.6285,-0.3661999999999999,1.2406000000000001,-1.2865,0.0,1.0
2023-03-29,0.9188,0.9188,0.0,0.1118,1.0,0.2545,0.4061,11.0,7.0,0.0337,0.4945000000000001,0.7981000000000001,-1.1746999999999999,0.0,0.0
2023-03-30,0.7425,0.7425,0.0,0.6695,1.0,0.9657,0.7296,4.0,8.0,-0.0258,1.4877,1.0866000000000002,-0.5052,0.0,0.0
2023-04-02,1.0,1.0,0.0,0.1391,1.0,0.249,0.287,5.0,7.0,-0.3478,1.4824000000000002,0.5729000000000001,-0.3661,0.0,0.0
2023-04-03,0.8,0.8,0.0,-0.072,0.0,0.3953,0.452,5.0,8.0,-0.072,1.2286000000000001,0.8922000000000001,-0.4381,0.0,0.0
2023-04-04,0.9557,0.9557,0.0,0.497,1.0,0.5581,0.6407,2.0,8.0,-0.115,1.3454000000000002,1.272,0.05890000000000001,0.0,0.0
2023-04-05,1.0,1.0,0.0,-0.0235,0.0,0.4795,0.6711,6.0,13.0,-0.0336,1.2101000000000002,1.5250000000000001,0.03540000000000001,0.0,0.0
2023-04-06,1.0,1.0,0.0,-0.6299,0.0,0.3784,0.4616,3.0,5.0,-0.2261,-0.08929999999999993,0.8311999999999999,-0.5945,0.0,1.0
2023-04-09,0.8641,0.8641,0.0,0.5534,1.0,0.5338,0.6108,7.0,9.0,0.0022,0.32500000000000007,2.0742,-0.041100000000000025,0.0,0.0
2023-04-10,1.0,1.0,0.0,0.2424,1.0,0.4362,0.6061,4.0,7.0,-0.2121,0.6394000000000001,2.6858,0.20129999999999998,0.0,0.0
2023-04-11,1.0,1.0,0.0,-0.0286,0.0,0.4457,0.5714,5.0,9.0,0.0,0.11380000000000008,2.5572,0.17269999999999996,0.0,0.0
2023-04-12,0.9281,0.9281,0.0,-0.3091,0.0,0.4106,0.5751,8.0,9.0,0.0,-0.1717999999999999,2.1417,-0.13640000000000002,0.0,1.0
2023-04-13,1.0,1.0,0.0,-0.3159,0.0,0.2971,0.4628,6.0,8.0,-0.0282,0.1422000000000001,1.44,-0.45230000000000004,0.0,0.0
2023-04-16,0.9286,0.9286,0.0,-0.6071,0.0,0.3402,0.3929,5.0,7.0,-0.2857,-1.0183,-0.1409999999999999,-1.0594000000000001,0.0,1.0
2023-04-17,0.9667,0.9667,0.0,-0.87,0.0,0.3059,0.33,5.0,6.0,-0.0067,-2.1307,-1.011,-1.9294,0.0,1.0
2023-04-18,0.9688,0.9688,0.0,-0.375,0.0,0.2862,0.375,6.0,7.0,-0.0625,-2.4771,-1.3840999999999999,-2.3044000000000002,0.0,1.0
2023-04-19,0.9818,0.9818,0.0,0.0545,1.0,0.511,0.5636,2.0,8.0,-0.1818,-2.1134999999999997,-0.5806999999999999,-2.2499,0.0,1.0
2023-04-20,0.8045,0.8045,0.0,0.0,0.0,0.5467,0.5251,2.0,3.0,0.0,-1.7975999999999999,-0.2569999999999999,-2.2499,0.0,1.0
