date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.3873,0.3995,-0.0123,-0.1333,0.0,0.085,0.0637,20.0,20.0,-0.178,-0.1333,-0.1333,-0.1333,-0.0123,1.0
2023-01-24,0.443,0.4404,0.0026,0.1259,1.0,0.1009,0.0809,20.0,20.0,-0.1248,-0.00739999999999999,-0.00739999999999999,-0.00739999999999999,-0.00485,1.0
2023-01-25,0.4246,0.3824,0.0422,0.2435,1.0,0.3131,0.2252,15.0,25.0,-0.0594,0.2361,0.2361,0.2361,0.010833333333333334,0.0
2023-01-26,0.6065,0.6081,-0.0015,-0.1068,0.0,0.1126,0.1426,20.0,20.0,-0.2185,0.1293,0.1293,0.1293,0.00775,0.0
2023-01-29,0.4769,0.4721,0.0048,-0.0852,0.0,0.0719,0.0621,20.0,20.0,-0.1065,0.0441,0.0441,0.0441,0.00716,0.0
2023-01-30,0.3946,0.4342,-0.0396,-0.1403,0.0,0.0783,0.0745,21.0,19.0,-0.1201,0.037099999999999994,-0.09620000000000001,-0.09620000000000001,-0.0006333333333333342,0.0
2023-01-31,0.382,0.4015,-0.0196,-0.0594,0.0,0.1086,0.0873,21.0,19.0,0.0275,-0.14820000000000003,-0.15560000000000002,-0.15560000000000002,-0.0033428571428571435,1.0
2023-02-01,0.5203,0.524,-0.0036,-0.0101,0.0,0.1071,0.0975,20.0,20.0,0.0975,-0.40180000000000005,-0.16570000000000001,-0.16570000000000001,-0.0033750000000000004,1.0
2023-02-02,0.5638,0.5949,-0.0311,0.1011,1.0,0.0763,0.1029,20.0,20.0,-0.1031,-0.19390000000000004,-0.06460000000000002,-0.06460000000000002,-0.0064555555555555555,1.0
2023-02-05,0.4876,0.4608,0.0268,-0.0076,0.0,0.0929,0.0791,20.0,20.0,0.0,-0.11630000000000001,-0.07220000000000001,-0.07220000000000001,-0.00313,1.0
2023-02-06,0.6283,0.6164,0.0119,-0.1036,0.0,0.2605,0.3049,20.0,20.0,0.0,-0.0796,-0.1758,-0.1758,-0.0017636363636363637,1.0
2023-02-07,0.4442,0.4219,0.0224,0.0712,1.0,0.109,0.0929,20.0,20.0,-0.0288,0.051,-0.10460000000000001,-0.10460000000000001,0.00024999999999999995,0.0
2023-02-08,0.4815,0.4845,-0.0029,-0.1169,0.0,0.1282,0.1335,20.0,20.0,-0.1068,-0.05580000000000001,-0.22150000000000003,-0.22150000000000003,7.692307692307646e-06,1.0
2023-02-09,0.5206,0.522,-0.0015,-0.301,0.0,0.2685,0.2604,20.0,20.0,-0.0951,-0.4579,-0.5225,-0.5225,-0.00010000000000000005,1.0
2023-02-12,0.37,0.4003,-0.0303,-0.0304,0.0,0.0627,0.0378,23.0,17.0,-0.0396,-0.4807,-0.5529000000000001,-0.5529000000000001,-0.0021133333333333334,1.0
2023-02-14,0.4995,0.5344,-0.0349,0.1429,1.0,0.0778,0.0773,20.0,20.0,0.0332,-0.23420000000000002,-0.41000000000000003,-0.41000000000000003,-0.0041624999999999995,1.0
2023-02-15,0.5272,0.5275,-0.0003,0.0092,1.0,0.135,0.1629,20.0,20.0,0.0661,-0.2962000000000001,-0.40080000000000005,-0.40080000000000005,-0.0039352941176470585,1.0
2023-02-16,0.4381,0.4374,0.0007,0.1197,1.0,0.1086,0.0939,20.0,20.0,0.026,-0.059600000000000056,-0.2811,-0.2811,-0.0036777777777777776,1.0
2023-02-20,0.4751,0.4433,0.0318,-0.0231,0.0,0.1267,0.0943,20.0,20.0,-0.038,0.21829999999999994,-0.3042,-0.3042,-0.0018105263157894736,0.0
2023-02-22,0.6091,0.5815,0.0276,0.2264,1.0,0.1873,0.2391,20.0,20.0,0.2391,0.47509999999999997,-0.07780000000000004,-0.07780000000000004,-0.00034,0.0
2023-02-23,0.5798,0.5474,0.0323,0.0797,1.0,0.1614,0.1709,18.0,22.0,0.1041,0.41189999999999993,0.13519999999999996,0.0018999999999999573,0.00189,0.0
2023-02-26,0.4987,0.4887,0.01,-0.062,0.0,0.1268,0.1369,20.0,20.0,0.0334,0.3406999999999999,-0.05270000000000005,-0.06010000000000004,0.0022600000000000003,0.0
2023-02-27,0.4807,0.4679,0.0128,-0.0346,0.0,0.1295,0.1265,20.0,20.0,0.1265,0.18639999999999995,-0.33080000000000004,-0.09470000000000003,0.0007900000000000001,0.0
2023-02-28,0.5661,0.5151,0.051,0.2414,1.0,0.1402,0.1631,15.0,25.0,0.1631,0.45089999999999997,0.01739999999999997,0.14669999999999997,0.003415,0.0
2023-03-01,0.6997,0.6988,0.0009,0.278,1.0,0.098,0.1496,20.0,20.0,-0.0185,0.5025,0.3806,0.42469999999999997,0.0032199999999999998,0.0
2023-03-02,0.5281,0.5763,-0.0482,0.021,1.0,0.0772,0.0788,22.0,18.0,-0.1643,0.44380000000000003,0.5419,0.4457,0.0027900000000000004,0.0
2023-03-05,0.5904,0.6399,-0.0495,-0.002,0.0,0.0814,0.1005,20.0,20.0,-0.0195,0.5038,0.5993,0.4437,0.0012949999999999997,0.0
2023-03-07,0.4749,0.4676,0.0073,0.1086,1.0,0.0986,0.0997,20.0,20.0,0.0223,0.647,0.7180000000000001,0.5523,0.00184,0.0
2023-03-09,0.5269,0.4583,0.0686,-0.057,0.0,0.1396,0.1279,15.0,25.0,0.0227,0.3486,0.5599,0.49529999999999996,0.006825,0.0
2023-03-12,0.6083,0.5982,0.0101,0.1399,1.0,0.274,0.3044,20.0,20.0,0.3044,0.2105,0.7074,0.6352,0.00599,0.0
2023-03-13,0.6335,0.612,0.0215,0.0584,1.0,0.1469,0.1841,20.0,20.0,0.0272,0.2479,0.8694000000000001,0.6936,0.006469999999999999,0.0
2023-03-14,0.5584,0.5543,0.0041,0.329,1.0,0.1306,0.1662,20.0,20.0,0.0559,0.5789,1.1272,1.0226,0.005554999999999999,0.0
2023-03-15,0.7146,0.649,0.0656,-0.2502,0.0,0.2272,0.2996,16.0,24.0,-0.0203,0.22010000000000002,0.9939,0.7724,0.008979999999999998,0.0
2023-03-16,0.6232,0.5959,0.0272,0.1863,1.0,0.1078,0.1302,17.0,23.0,0.1302,0.46340000000000003,1.4811999999999999,0.9587,0.010414999999999999,0.0
2023-03-19,0.5498,0.5351,0.0147,-0.1195,0.0,0.1259,0.1315,20.0,20.0,-0.0477,0.20400000000000004,1.3921,0.8392,0.012665,0.0
2023-03-20,0.5786,0.5654,0.0132,0.1076,1.0,0.097,0.1118,20.0,20.0,0.0155,0.25320000000000004,1.3568000000000002,0.9468,0.01507,0.0
2023-03-22,0.5712,0.5724,-0.0012,-0.2548,0.0,0.0713,0.0787,20.0,20.0,-0.2042,-0.3306,1.0928,0.692,0.015025,1.0
2023-03-23,0.605,0.6006,0.0044,-0.2203,0.0,0.1075,0.1262,20.0,20.0,-0.0123,-0.3007,0.7527999999999999,0.47169999999999995,0.015209999999999998,1.0
