date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-07-15,255.0,255.0,0.0,155.0,1.0,0.7555,0.0002,3.0,6.0,-50.0,155.0,155.0,155.0,0.0,0.0
2025-07-16,200.0,200.0,0.0,25.0,1.0,0.625,0.2143,2.0,3.0,-125.0,180.0,180.0,180.0,0.0,0.0
2025-07-17,50.0,50.0,0.0,30.0,1.0,0.28,0.2,4.0,2.0,20.0,210.0,210.0,210.0,0.0,0.0
2025-07-20,335.0,335.0,0.0,-105.0,0.0,0.3397,0.2361,4.0,6.0,0.0,105.0,105.0,105.0,0.0,0.0
2025-07-21,100.0,100.0,0.0,25.0,1.0,1.0,0.5,1.0,3.0,-50.0,130.0,130.0,130.0,0.0,0.0
2025-07-22,405.0,405.0,0.0,360.0,1.0,1.0,0.4709,1.0,5.0,-45.0,335.0,490.0,490.0,0.0,0.0
2025-07-23,125.0,125.0,0.0,50.0,1.0,0.36,0.2,3.0,2.0,0.0,360.0,540.0,540.0,0.0,0.0
2025-07-24,30.0,30.0,0.0,30.0,1.0,1.0,0.5,1.0,1.0,0.0,360.0,570.0,570.0,0.0,0.0
2025-07-27,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,570.0,570.0,0.0,0.0
2025-07-28,175.0,175.0,0.0,125.0,1.0,1.0,0.4375,1.0,4.0,-25.0,565.0,695.0,695.0,0.0,0.0
2025-07-29,150.0,150.0,0.0,100.0,1.0,1.0,0.5,1.0,4.0,0.0,305.0,795.0,795.0,0.0,0.0
2025-07-30,150.0,150.0,0.0,75.0,1.0,1.0,0.5,1.0,5.0,0.0,330.0,870.0,870.0,0.0,0.0
2025-07-31,75.0,75.0,0.0,0.0,0.0,1.0,0.5,1.0,3.0,-25.0,300.0,870.0,870.0,0.0,0.0
