date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,11324.0,11423.0,-0.0035,276.0,1.0,0.1765,0.1153,20.0,20.0,460.0,276.0,276.0,276.0,-0.0035,0.0
2023-01-24,7479.0,7479.0,0.0,2893.0,1.0,0.1969,0.1359,16.0,22.0,74.0,3169.0,3169.0,3169.0,-0.00175,0.0
2023-01-25,13296.0,12637.0,0.0174,5953.0,1.0,0.3763,0.1965,11.0,29.0,7451.0,9122.0,9122.0,9122.0,0.004633333333333333,0.0
2023-01-26,17681.0,17287.0,0.008,860.0,1.0,0.3244,0.1806,14.0,26.0,-697.0,9982.0,9982.0,9982.0,0.005475,0.0
2023-01-29,6303.0,6199.0,0.0064,1415.0,1.0,0.1614,0.1098,18.0,21.0,130.0,11397.0,11397.0,11397.0,0.00566,0.0
2023-01-30,13266.0,13266.0,0.0,5007.0,1.0,0.162,0.0919,20.0,19.0,-66.0,16128.0,16404.0,16404.0,0.004716666666666667,0.0
2023-01-31,4323.0,4323.0,0.0,375.0,1.0,0.0946,0.0389,15.0,18.0,-293.0,13610.0,16779.0,16779.0,0.004042857142857142,0.0
2023-02-01,6502.0,6502.0,0.0,-2065.0,0.0,0.1342,0.0877,21.0,18.0,-70.0,5592.0,14714.0,14714.0,0.0035375,0.0
2023-02-02,6079.0,6079.0,0.0,1750.0,1.0,0.1739,0.1288,16.0,22.0,228.0,6482.0,16464.0,16464.0,0.0031444444444444445,0.0
2023-02-05,9320.0,9320.0,0.0,3980.0,1.0,0.1508,0.1252,16.0,19.0,81.0,9047.0,20444.0,20444.0,0.00283,0.0
2023-02-06,6381.0,6381.0,0.0,830.0,1.0,0.1552,0.1167,12.0,19.0,-195.0,4870.0,21274.0,21274.0,0.0025727272727272725,0.0
