date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-02-23,0.5451,0.5492,-0.0041,0.1045,1.0,0.0935,0.1059,20.0,20.0,0.0171,0.1045,0.1045,0.1045,-0.0041,0.0
2023-02-26,0.6637,0.7385,-0.0748,-0.1734,0.0,0.0833,0.1148,27.0,13.0,0.0266,-0.0689,-0.0689,-0.0689,-0.039450000000000006,1.0
2023-02-27,0.618,0.6178,0.0002,-0.2638,0.0,0.0753,0.0881,20.0,20.0,-0.0046,-0.3327,-0.3327,-0.3327,-0.026233333333333334,1.0
2023-02-28,0.4824,0.5209,-0.0385,-0.1758,0.0,0.0848,0.0989,20.0,19.0,-0.0586,-0.5085,-0.5085,-0.5085,-0.029300000000000003,1.0
2023-03-01,0.6214,0.5889,0.0325,-0.2466,0.0,0.1256,0.1159,16.0,24.0,-0.0234,-0.7551,-0.7551,-0.7551,-0.016940000000000004,1.0
2023-03-02,0.5474,0.5426,0.0048,0.0789,1.0,0.1082,0.1091,20.0,20.0,-0.0806,-0.7807000000000001,-0.6762,-0.6762,-0.01331666666666667,1.0
2023-03-05,0.6325,0.6243,0.0082,-0.1279,0.0,0.3005,0.3326,20.0,20.0,-0.039,-0.7352,-0.8041,-0.8041,-0.010242857142857146,1.0
2023-03-07,0.5741,0.5928,-0.0187,0.049,1.0,0.0748,0.0885,20.0,20.0,-0.0701,-0.42240000000000005,-0.7551,-0.7551,-0.011300000000000001,1.0
2023-03-09,0.6662,0.6373,0.0289,0.1206,1.0,0.133,0.1645,20.0,20.0,0.0101,-0.12600000000000003,-0.6345000000000001,-0.6345000000000001,-0.0068333333333333345,1.0
2023-03-12,0.6715,0.7047,-0.0332,-0.1666,0.0,0.0686,0.1006,25.0,15.0,0.0359,-0.04600000000000001,-0.8011,-0.8011,-0.009470000000000001,1.0
2023-03-13,0.7,0.7298,-0.0298,-0.0947,0.0,0.1514,0.2449,21.0,19.0,0.0415,-0.21960000000000002,-0.8958,-0.8958,-0.01131818181818182,1.0
2023-03-14,0.7143,0.7646,-0.0503,0.0782,1.0,0.0793,0.1331,24.0,16.0,0.0,-0.013499999999999998,-0.8176,-0.8176,-0.014566666666666667,1.0
2023-03-15,0.7147,0.7717,-0.057,0.3892,1.0,0.0755,0.1005,20.0,20.0,0.0348,0.3267,-0.42840000000000006,-0.42840000000000006,-0.01783076923076923,0.0
2023-03-16,0.6798,0.681,-0.0012,-0.0896,0.0,0.169,0.2243,20.0,20.0,0.0194,0.1165,-0.518,-0.518,-0.016642857142857143,0.0
2023-03-19,0.6362,0.6796,-0.0434,-0.2135,0.0,0.0705,0.0819,21.0,19.0,-0.0048,0.06959999999999997,-0.7315,-0.7315,-0.018426666666666668,0.0
2023-03-20,0.6885,0.7187,-0.0302,-0.2364,0.0,0.0728,0.0876,20.0,20.0,-0.0578,-0.07210000000000003,-0.9679,-0.9679,-0.019162500000000002,1.0
2023-03-22,0.6249,0.6272,-0.0023,-0.0268,0.0,0.1006,0.1353,20.0,20.0,0.0357,-0.17710000000000004,-0.9947,-0.9947,-0.01817058823529412,1.0
2023-03-23,0.4814,0.5062,-0.0248,0.1878,1.0,0.0694,0.0581,21.0,19.0,-0.0822,-0.37850000000000006,-0.8069000000000001,-0.8069000000000001,-0.01853888888888889,1.0
2023-03-26,0.6788,0.7665,-0.0876,-0.3268,0.0,0.0558,0.0716,29.0,11.0,-0.1778,-0.6157,-1.1337000000000002,-1.1337000000000002,-0.022173684210526318,1.0
2023-03-27,0.6746,0.6506,0.024,0.1763,1.0,0.1769,0.2199,20.0,20.0,-0.0348,-0.22590000000000005,-0.9574,-0.9574,-0.019865,1.0
2023-03-28,0.582,0.5864,-0.0044,-0.1651,0.0,0.1774,0.2209,20.0,20.0,-0.0337,-0.15460000000000004,-1.227,-1.1225,-0.019880000000000002,1.0
2023-03-29,0.6198,0.6639,-0.0442,-0.4435,0.0,0.1234,0.1486,23.0,17.0,0.017,-0.5713,-1.4971,-1.566,-0.018349999999999998,1.0
2023-03-30,0.7371,0.7483,-0.0112,-0.1673,0.0,0.1383,0.1795,20.0,20.0,-0.019,-0.9264,-1.4006,-1.7333,-0.01892,1.0
2023-04-02,0.5796,0.6177,-0.0381,-0.3175,0.0,0.0846,0.0962,21.0,19.0,0.0104,-0.9171,-1.5423,-2.0508,-0.0189,1.0
2023-04-03,0.5524,0.58,-0.0276,-0.061,0.0,0.1215,0.1225,23.0,17.0,0.0115,-1.1543999999999999,-1.3567,-2.1118,-0.021905,1.0
2023-04-04,0.618,0.6625,-0.0445,0.1718,1.0,0.0797,0.0903,23.0,17.0,0.0,-0.8175,-1.2637999999999998,-1.94,-0.02437,1.0
2023-04-05,0.4258,0.4085,0.0174,0.0368,1.0,0.1023,0.0842,20.0,20.0,0.0077,-0.3372,-1.0991,-1.9032,-0.02391,1.0
2023-04-06,0.6541,0.7188,-0.0647,-0.3326,0.0,0.0815,0.1183,22.0,18.0,0.0,-0.5025,-1.4807,-2.2358000000000002,-0.02621,1.0
2023-04-09,0.4966,0.5309,-0.0343,-0.0627,0.0,0.0811,0.0932,21.0,19.0,-0.006,-0.2477,-1.664,-2.2985,-0.02937,1.0
2023-04-10,0.5684,0.578,-0.0096,0.0033,1.0,0.1175,0.1477,20.0,20.0,0.0094,-0.1834,-1.4941,-2.2952,-0.02819,1.0
2023-04-11,0.7362,0.774,-0.0378,-0.396,0.0,0.1162,0.1857,25.0,15.0,0.0171,-0.7512000000000001,-1.7953999999999999,-2.6912000000000003,-0.028589999999999997,1.0
2023-04-12,0.5755,0.5616,0.0139,-0.2499,0.0,0.0968,0.1,19.0,21.0,0.0544,-1.0379,-2.1235,-2.9411,-0.025380000000000003,1.0
2023-04-13,0.563,0.6236,-0.0606,-0.1604,0.0,0.106,0.1315,25.0,15.0,0.0149,-0.8656999999999999,-2.6731000000000003,-3.1015,-0.02556,1.0
2023-04-16,0.6536,0.6797,-0.0262,0.024,1.0,0.0819,0.0858,22.0,18.0,0.0646,-0.779,-2.5595,-3.0775,-0.02681,1.0
