date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,7369.0,7369.0,0.0,1574.0,1.0,0.1216,0.077,13.0,20.0,590.0,1574.0,1574.0,1574.0,0.0,0.0
2023-01-24,11043.0,11043.0,0.0,2716.0,1.0,0.2139,0.1259,13.0,26.0,985.0,4290.0,4290.0,4290.0,0.0,0.0
2023-01-25,5946.0,5946.0,0.0,2124.0,1.0,0.2206,0.0969,13.0,22.0,700.0,6414.0,6414.0,6414.0,0.0,0.0
2023-01-26,12612.0,12612.0,0.0,-4493.0,0.0,0.3026,0.2037,12.0,24.0,-321.0,1921.0,1921.0,1921.0,0.0,0.0
2023-01-29,10388.0,10388.0,0.0,-3902.0,0.0,0.3362,0.2022,13.0,22.0,835.0,-1981.0,-1981.0,-1981.0,0.0,1.0
2023-01-30,8929.0,8929.0,0.0,2688.0,1.0,0.1214,0.0784,19.0,15.0,2345.0,-867.0,707.0,707.0,0.0,1.0
2023-01-31,9048.0,9048.0,0.0,6344.0,1.0,0.1164,0.0863,20.0,14.0,1362.0,2761.0,7051.0,7051.0,0.0,0.0
2023-02-01,6615.0,6615.0,0.0,-1451.0,0.0,0.3176,0.2422,13.0,18.0,450.0,-814.0,5600.0,5600.0,0.0,1.0
2023-02-02,6671.0,6671.0,0.0,2418.0,1.0,0.1543,0.1037,16.0,17.0,1013.0,6097.0,8018.0,8018.0,0.0,0.0
2023-02-05,3876.0,3876.0,0.0,2316.0,1.0,0.2306,0.1394,10.0,17.0,330.0,12315.0,10334.0,10334.0,0.0,0.0
2023-02-06,4967.0,4967.0,0.0,2846.0,1.0,0.2343,0.1993,8.0,14.0,-500.0,12473.0,13180.0,13180.0,0.0,0.0
2023-02-07,6210.0,6210.0,0.0,161.0,1.0,0.1297,0.1108,16.0,16.0,-261.0,6290.0,13341.0,13341.0,0.0,0.0
2023-02-08,8250.0,8250.0,0.0,-1458.0,0.0,0.1402,0.1088,13.0,17.0,-1021.0,6283.0,11883.0,11883.0,0.0,0.0
2023-02-09,3695.0,3695.0,0.0,679.0,1.0,0.2614,0.1418,11.0,16.0,-355.0,4544.0,12562.0,12562.0,0.0,0.0
2023-02-12,5264.0,5264.0,0.0,400.0,1.0,0.1205,0.058,13.0,18.0,829.0,2628.0,12962.0,12962.0,0.0,0.0
2023-02-14,6345.0,6345.0,0.0,1890.0,1.0,0.2045,0.1508,16.0,19.0,1245.0,1672.0,14852.0,14852.0,0.0,0.0
2023-02-15,2257.0,2257.0,0.0,443.0,1.0,0.2461,0.1198,10.0,18.0,-60.0,1954.0,15295.0,15295.0,0.0,0.0
2023-02-16,4310.0,4310.0,0.0,1476.0,1.0,0.5091,0.2553,7.0,16.0,15.0,4888.0,16771.0,16771.0,0.0,0.0
2023-02-20,3017.0,3017.0,0.0,-395.0,0.0,0.2116,0.155,15.0,17.0,382.0,3814.0,16376.0,16376.0,0.0,0.0
2023-02-22,4468.0,4468.0,0.0,1939.0,1.0,0.2054,0.1356,12.0,15.0,400.0,5353.0,18315.0,18315.0,0.0,0.0
2023-02-23,13729.0,13729.0,0.0,1959.0,1.0,0.0926,0.0712,20.0,14.0,1560.0,5422.0,18700.0,20274.0,0.0,0.0
2023-02-26,8654.0,8654.0,0.0,4093.0,1.0,0.1487,0.1302,16.0,17.0,601.0,9072.0,20077.0,24367.0,0.0,0.0
2023-02-27,10776.0,10776.0,0.0,1828.0,1.0,0.15,0.1184,13.0,16.0,870.0,9424.0,19781.0,26195.0,0.0,0.0
2023-02-28,4998.0,4998.0,0.0,-503.0,0.0,0.2351,0.1393,11.0,11.0,-992.0,9316.0,23771.0,25692.0,0.0,0.0
2023-03-01,7321.0,7321.0,0.0,2170.0,1.0,0.3073,0.1257,10.0,13.0,-1150.0,9547.0,29843.0,27862.0,0.0,0.0
2023-03-02,4204.0,4204.0,0.0,2219.0,1.0,0.2364,0.173,10.0,12.0,0.0,9807.0,29374.0,30081.0,0.0,0.0
2023-03-05,5689.0,5689.0,0.0,3228.0,1.0,0.196,0.1564,11.0,10.0,2108.0,8942.0,26258.0,33309.0,0.0,0.0
2023-03-07,21058.0,21058.0,0.0,16798.0,1.0,0.5145,0.3506,16.0,9.0,14900.0,23912.0,44507.0,50107.0,0.0,0.0
2023-03-09,3458.0,3458.0,0.0,2191.0,1.0,0.2621,0.1288,10.0,14.0,10.0,26606.0,44280.0,52298.0,0.0,0.0
2023-03-12,14874.0,14874.0,0.0,1735.0,1.0,0.1095,0.0793,25.0,12.0,2460.0,26171.0,43699.0,54033.0,0.0,0.0
2023-03-13,12414.0,12414.0,0.0,6977.0,1.0,0.1277,0.1267,25.0,5.0,1086.0,30929.0,47830.0,61010.0,0.0,0.0
2023-03-14,10820.0,10820.0,0.0,3957.0,1.0,0.4447,0.3016,12.0,10.0,7000.0,31658.0,51626.0,64967.0,0.0,0.0
2023-03-15,4529.0,4529.0,0.0,893.0,1.0,0.3119,0.2178,12.0,8.0,2286.0,15753.0,53977.0,65860.0,0.0,0.0
2023-03-16,11250.0,11250.0,0.0,-3252.0,0.0,0.1667,0.112,17.0,14.0,2810.0,10310.0,50046.0,62608.0,0.0,0.0
2023-03-19,6058.0,6058.0,0.0,-367.0,0.0,0.1739,0.1239,13.0,19.0,-310.0,8208.0,49279.0,62241.0,0.0,0.0
2023-03-20,4210.0,4210.0,0.0,-954.0,0.0,0.2105,0.1749,11.0,16.0,-2080.0,277.0,46435.0,61287.0,0.0,0.0
2023-03-22,1312.0,1312.0,0.0,-482.0,0.0,0.208,0.1627,13.0,15.0,10.0,-4162.0,45510.0,60805.0,0.0,1.0
2023-03-23,2403.0,2403.0,0.0,-112.0,0.0,0.1008,0.0685,16.0,5.0,250.0,-5167.0,43922.0,60693.0,0.0,1.0
2023-03-26,7402.0,7402.0,0.0,-125.0,0.0,0.4173,0.2578,18.0,18.0,-15.0,-2040.0,44192.0,60568.0,0.0,1.0
2023-03-27,1996.0,1996.0,0.0,1210.0,1.0,0.1961,0.1145,11.0,10.0,10.0,-463.0,43463.0,61778.0,0.0,1.0
2023-03-28,6900.0,6900.0,0.0,-3508.0,0.0,0.1682,0.1298,17.0,16.0,-500.0,-3017.0,37996.0,58270.0,0.0,1.0
2023-03-29,6172.0,6172.0,0.0,228.0,1.0,0.549,0.3134,15.0,7.0,190.0,-2307.0,34131.0,58498.0,0.0,1.0
2023-03-30,4652.0,4652.0,0.0,-901.0,0.0,0.21,0.1579,12.0,13.0,-57.0,-3096.0,31402.0,57597.0,0.0,1.0
2023-04-02,3010.0,3010.0,0.0,-1932.0,0.0,0.1473,0.0924,14.0,12.0,50.0,-4903.0,29973.0,55665.0,0.0,1.0
2023-04-03,4248.0,4248.0,0.0,3701.0,1.0,0.1637,0.1456,15.0,8.0,112.0,-2412.0,31504.0,59366.0,0.0,1.0
2023-04-04,597.0,597.0,0.0,70.0,1.0,0.4794,0.2918,7.0,8.0,0.0,1166.0,29355.0,59436.0,0.0,0.0
2023-04-05,6924.0,6924.0,0.0,-2442.0,0.0,0.2265,0.1674,12.0,17.0,970.0,-1504.0,23685.0,56994.0,0.0,1.0
2023-04-06,1378.0,1378.0,0.0,-49.0,0.0,0.3664,0.2009,6.0,9.0,0.0,-652.0,6838.0,56945.0,0.0,1.0
2023-04-09,4010.0,4010.0,0.0,2673.0,1.0,0.5399,0.3121,10.0,13.0,-25.0,3953.0,7320.0,59618.0,0.0,0.0
2023-04-10,2721.0,2721.0,0.0,304.0,1.0,0.3231,0.203,5.0,13.0,-77.0,556.0,5889.0,59922.0,0.0,0.0
2023-04-11,2745.0,2745.0,0.0,533.0,1.0,0.1992,0.1449,9.0,8.0,40.0,1019.0,-555.0,60455.0,0.0,0.0
2023-04-12,10115.0,10115.0,0.0,-1810.0,0.0,0.3786,0.1343,14.0,11.0,6061.0,1651.0,-6322.0,58645.0,0.0,0.0
2023-04-13,8181.0,8181.0,0.0,-1467.0,0.0,0.1544,0.0865,18.0,15.0,2271.0,233.0,-8682.0,57178.0,0.0,0.0
2023-04-16,3226.0,3226.0,0.0,785.0,1.0,0.2983,0.1884,8.0,14.0,0.0,-1655.0,-4645.0,57963.0,0.0,1.0
2023-04-17,12481.0,12481.0,0.0,102.0,1.0,0.4708,0.3217,15.0,12.0,0.0,-1857.0,-4176.0,58065.0,0.0,1.0
2023-04-18,4497.0,4497.0,0.0,901.0,1.0,0.1922,0.1576,16.0,9.0,299.0,-1489.0,-2321.0,58966.0,0.0,1.0
2023-04-19,3235.0,3235.0,0.0,-593.0,0.0,0.217,0.1112,9.0,15.0,27.0,-272.0,-2432.0,58373.0,0.0,1.0
