date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.666,0.666,0.0,0.1677,1.0,0.2009,0.2171,11.0,10.0,0.1638,0.1677,0.1677,0.1677,0.0,0.0
2023-01-24,0.9131,0.9131,0.0,-0.5835,0.0,0.1325,0.2515,15.0,15.0,0.0259,-0.41580000000000006,-0.41580000000000006,-0.41580000000000006,0.0,1.0
2023-01-25,0.9028,0.9028,0.0,-0.3401,0.0,0.4778,0.6019,7.0,21.0,-0.1333,-0.7559,-0.7559,-0.7559,0.0,1.0
2023-01-26,0.9383,0.9383,0.0,-0.2671,0.0,0.3143,0.4736,10.0,11.0,0.0047,-1.0230000000000001,-1.0230000000000001,-1.0230000000000001,0.0,1.0
2023-01-29,0.5612,0.5612,0.0,-0.0581,0.0,0.2711,0.201,11.0,16.0,0.0,-1.0811000000000002,-1.0811000000000002,-1.0811000000000002,0.0,1.0
2023-01-30,0.9601,0.9601,0.0,0.2302,1.0,0.0675,0.1089,27.0,10.0,0.0181,-1.0186000000000002,-0.8509000000000001,-0.8509000000000001,0.0,1.0
2023-01-31,0.8333,0.8333,0.0,-0.0356,0.0,0.1996,0.3206,14.0,10.0,-0.0167,-0.47070000000000006,-0.8865000000000001,-0.8865000000000001,0.0,1.0
2023-02-01,0.9764,0.9764,0.0,-0.5533,0.0,0.4107,0.5203,7.0,11.0,-0.1631,-0.6839000000000001,-1.4398,-1.4398,0.0,1.0
2023-02-02,0.719,0.719,0.0,0.0662,1.0,0.1706,0.2187,11.0,6.0,-0.4302,-0.3506000000000001,-1.3736000000000002,-1.3736000000000002,0.0,1.0
2023-02-05,0.8739,0.8739,0.0,-0.6189,0.0,0.3349,0.3725,4.0,5.0,-0.1433,-0.9114000000000001,-1.9925000000000002,-1.9925000000000002,0.0,1.0
2023-02-06,0.9573,0.9573,0.0,-0.4907,0.0,0.8367,0.872,3.0,10.0,0.0,-1.6322999999999999,-2.4832,-2.4832,0.0,1.0
2023-02-07,0.9359,0.9359,0.0,-0.5556,0.0,0.5642,0.69,9.0,20.0,0.0,-2.1523000000000003,-3.0388,-3.0388,0.0,1.0
2023-02-08,0.9253,0.9253,0.0,0.5119,1.0,0.3371,0.4593,7.0,17.0,-0.117,-1.0871,-2.5269,-2.5269,0.0,1.0
