date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,146.0,146.0,0.0,-21.0,0.0,0.5248,0.3425,3.0,4.0,0.0,-21.0,-21.0,-21.0,0.0,1.0
2023-01-25,13059.0,14178.0,-0.0232,-6181.0,0.0,0.1055,0.0573,23.0,17.0,-594.0,-6202.0,-6202.0,-6202.0,-0.0116,1.0
2023-01-26,4637.0,4738.0,-0.0074,674.0,1.0,0.0808,0.0656,26.0,14.0,-1717.0,-5528.0,-5528.0,-5528.0,-0.010199999999999999,1.0
2023-01-29,4772.0,5108.0,-0.0203,-819.0,0.0,0.062,0.0297,23.0,17.0,-2470.0,-6347.0,-6347.0,-6347.0,-0.012725,1.0
2023-01-30,2629.0,2786.0,-0.0149,-278.0,0.0,0.072,0.0346,24.0,16.0,-248.0,-6625.0,-6625.0,-6625.0,-0.01316,1.0
2023-01-31,2502.0,2474.0,0.0034,472.0,1.0,0.1645,0.0971,19.0,21.0,-70.0,-6132.0,-6153.0,-6153.0,-0.0104,1.0
2023-02-01,1616.0,1616.0,0.0,-140.0,0.0,0.0796,0.0769,26.0,9.0,50.0,-91.0,-6293.0,-6293.0,-0.008914285714285713,1.0
2023-02-02,2696.0,2696.0,0.0,-39.0,0.0,0.068,0.0506,25.0,14.0,185.0,-804.0,-6332.0,-6332.0,-0.0078,1.0
2023-02-05,2580.0,2580.0,0.0,-1451.0,0.0,0.2581,0.1767,21.0,19.0,-88.0,-1436.0,-7783.0,-7783.0,-0.006933333333333333,1.0
2023-02-06,1610.0,1610.0,0.0,810.0,1.0,0.1118,0.1012,20.0,14.0,36.0,-348.0,-6973.0,-6973.0,-0.00624,1.0
2023-02-07,1785.0,1766.0,0.0035,386.0,1.0,0.1057,0.0604,19.0,21.0,-164.0,-434.0,-6587.0,-6587.0,-0.005354545454545454,1.0
2023-02-08,2783.0,2791.0,-0.0011,-448.0,0.0,0.2111,0.1617,21.0,18.0,48.0,-742.0,-7035.0,-7035.0,-0.005,1.0
2023-02-09,1105.0,1105.0,0.0,-234.0,0.0,0.1337,0.0973,17.0,15.0,-135.0,-937.0,-7269.0,-7269.0,-0.004615384615384615,1.0
2023-02-12,1901.0,1901.0,0.0,-165.0,0.0,0.0825,0.037,24.0,14.0,-417.0,349.0,-7434.0,-7434.0,-0.004285714285714286,0.0
2023-02-14,1523.0,1523.0,0.0,-140.0,0.0,0.1065,0.1057,24.0,10.0,-60.0,-601.0,-7574.0,-7574.0,-0.004,1.0
2023-02-15,1265.0,1265.0,0.0,136.0,1.0,0.0923,0.0632,23.0,15.0,-48.0,-851.0,-7438.0,-7438.0,-0.00375,1.0
2023-02-16,2513.0,2513.0,0.0,-371.0,0.0,0.2146,0.1559,23.0,16.0,-971.0,-774.0,-7809.0,-7809.0,-0.003529411764705882,1.0
2023-02-20,2418.0,2452.0,-0.0053,117.0,1.0,0.0834,0.0563,25.0,15.0,170.0,-423.0,-7692.0,-7692.0,-0.0036277777777777775,1.0
