date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-04-08,0.8571,0.8571,0.0,0.2381,1.0,0.4877,0.5714,4.0,12.0,0.5714,0.2381,0.2381,0.2381,0.0,0.0
2025-04-09,0.8824,0.8824,0.0,0.3529,1.0,0.8756,0.8235,2.0,11.0,-0.2353,0.591,0.591,0.591,0.0,0.0
2025-04-10,0.8195,0.8195,0.0,-0.361,0.0,0.785,0.722,3.0,19.0,-0.0722,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.0,0.0
2025-04-13,0.8571,0.8571,0.0,0.2857,1.0,0.5741,0.619,3.0,13.0,-0.0952,0.5157,0.5157,0.5157,0.0,0.0
2025-04-15,0.913,0.913,0.0,0.6087,1.0,0.6689,0.7391,4.0,17.0,0.0435,1.1244,1.1244,1.1244,0.0,0.0
2025-04-16,0.9394,0.9394,0.0,-0.303,0.0,0.5442,0.6364,3.0,17.0,-0.2424,0.5833000000000002,0.8214000000000001,0.8214000000000001,0.0,0.0
2025-04-17,0.973,0.973,0.0,-0.5405,0.0,0.7948,0.8649,4.0,23.0,-0.1892,-0.3100999999999998,0.28090000000000015,0.28090000000000015,0.0,1.0
2025-04-20,1.0,1.0,0.0,0.3636,1.0,1.0,1.0,1.0,23.0,-0.2727,0.41450000000000015,0.6445000000000001,0.6445000000000001,0.0,0.0
2025-04-21,0.9811,0.9811,0.0,0.434,1.0,0.9623,0.9623,2.0,24.0,-0.0943,0.5628000000000002,1.0785,1.0785,0.0,0.0
2025-04-22,0.9322,0.9322,0.0,0.4068,1.0,0.8631,0.8644,3.0,30.0,-0.1186,0.3609000000000001,1.4853,1.4853,0.0,0.0
2025-04-23,1.0,1.0,0.0,-0.3846,0.0,0.6691,0.8,4.0,27.0,-0.1385,0.27930000000000016,1.1007000000000002,1.1007000000000002,0.0,0.0
2025-04-24,0.9811,0.9811,0.0,-0.4717,0.0,0.3861,0.5472,6.0,24.0,-0.0755,0.3481000000000001,0.6290000000000001,0.6290000000000001,0.0,0.0
2025-04-27,0.9681,0.9681,0.0,-0.5319,0.0,1.0,0.9681,1.0,36.0,-0.1383,-0.5473999999999999,0.09710000000000008,0.09710000000000008,0.0,1.0
2025-04-28,0.8,0.8,0.0,0.3412,1.0,1.0,0.8,1.0,33.0,0.8,-0.6401999999999999,0.4383000000000001,0.4383000000000001,0.0,1.0
2025-04-29,0.9167,0.9167,0.0,0.4286,1.0,0.9491,0.8929,3.0,34.0,-0.0952,-0.6183999999999998,0.8669,0.8669,0.0,1.0
2025-04-30,0.8642,0.8519,0.0123,0.4691,1.0,0.891,0.8148,3.0,36.0,-0.0864,0.23530000000000012,1.336,1.336,0.00076875,0.0
2025-05-04,0.9716,0.9007,0.0709,-0.5319,0.0,0.5643,0.7092,5.0,33.0,-0.1489,0.17510000000000003,0.8041,0.8041,0.004894117647058824,0.0
2025-05-05,0.9799,0.8523,0.1275,-0.4966,0.0,0.8458,0.8993,4.0,36.0,-0.1208,0.2104000000000001,0.30750000000000005,0.30750000000000005,0.011705555555555556,0.0
2025-05-06,0.8312,0.7792,0.0519,0.4351,1.0,0.5255,0.5195,3.0,35.0,-0.013,0.30430000000000007,0.7426,0.7426,0.013821052631578947,0.0
2025-05-07,0.8492,0.6136,0.2355,0.4793,1.0,0.8035,0.7562,5.0,33.0,0.7562,0.3550000000000001,1.2219,1.2219,0.024905,0.0
2025-05-08,0.8839,0.6107,0.2731,0.1678,1.0,0.5172,0.5316,3.0,37.0,0.5316,0.05370000000000008,1.1516000000000002,1.3897,0.03856,0.0
2025-05-11,0.5473,0.47,0.0773,-0.1004,0.0,0.0996,0.091,20.0,20.0,-0.0808,0.48520000000000013,0.6983,1.2893000000000001,0.042425000000000004,0.0
2025-05-13,0.2796,0.377,-0.0973,-0.2247,0.0,0.0541,0.0228,20.0,20.0,-0.1995,0.7571000000000001,0.8346,1.0646,0.037559999999999996,0.0
2025-05-14,0.365,0.4162,-0.0512,-0.267,0.0,0.1459,0.124,20.0,20.0,-0.1936,0.055000000000000104,0.2819000000000001,0.7976000000000001,0.034999999999999996,0.0
2025-05-15,0.3839,0.4225,-0.0386,-0.1848,0.0,0.0719,0.0589,20.0,20.0,-0.1475,-0.6090999999999999,-0.5115999999999999,0.6128,0.03307,1.0
2025-05-18,0.4199,0.4367,-0.0169,-0.0448,0.0,0.079,0.0784,20.0,20.0,-0.0769,-0.8217,-0.2533999999999999,0.5680000000000001,0.032225,1.0
2025-05-19,0.4502,0.4304,0.0198,-0.1717,0.0,0.1255,0.1318,20.0,20.0,-0.0778,-0.8929999999999999,0.11540000000000006,0.39630000000000004,0.033215,1.0
