date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2024-05-19,1.0,1.0,0.0,-0.0949,0.0,0.8948,0.9456,6.0,9.0,0.0,-0.0949,-0.0949,-0.0949,0.0,1.0
2024-05-20,1.0,1.0,0.0,0.4343,1.0,0.4226,0.5906,7.0,20.0,-0.0651,0.33940000000000003,0.33940000000000003,0.33940000000000003,0.0,0.0
2024-05-21,0.917,0.917,0.0,0.53,1.0,0.4899,0.5076,3.0,34.0,0.5076,0.8694000000000001,0.8694000000000001,0.8694000000000001,0.0,0.0
2024-05-22,0.499,0.5398,-0.0409,0.0667,1.0,0.0793,0.0911,20.0,20.0,0.0,0.9361,0.9361,0.9361,-0.010225,0.0
2024-05-26,0.545,0.6495,-0.1045,-0.193,0.0,0.0601,0.0668,20.0,20.0,-0.3923,0.7431000000000001,0.7431000000000001,0.7431000000000001,-0.02908,0.0
2024-05-27,0.6494,0.6586,-0.0092,0.0986,1.0,0.0791,0.0907,20.0,20.0,0.0773,0.9366,0.8417,0.8417,-0.025766666666666663,0.0
2024-05-29,0.6134,0.692,-0.0786,0.0814,1.0,0.0747,0.0894,20.0,20.0,-0.0077,0.5837,0.9231,0.9231,-0.03331428571428571,0.0
2024-05-30,0.6248,0.6645,-0.0397,0.0891,1.0,0.0781,0.0883,20.0,20.0,-0.0217,0.14279999999999998,1.0122,1.0122,-0.0341125,0.0
2024-06-02,0.6686,0.6903,-0.0217,-0.0458,0.0,0.0813,0.0992,20.0,20.0,-0.0281,0.030299999999999973,0.9664,0.9664,-0.03273333333333333,0.0
2024-06-03,0.7614,0.6953,0.0661,-0.0326,0.0,0.1114,0.1978,20.0,20.0,0.0231,0.19069999999999998,0.9338000000000001,0.9338000000000001,-0.02285,0.0
2024-06-04,0.6825,0.6745,0.008,-0.2311,0.0,0.0812,0.0985,20.0,20.0,-0.0202,-0.139,0.7027000000000001,0.7027000000000001,-0.020045454545454543,1.0
2024-06-05,0.7184,0.6855,0.0329,-0.0433,0.0,0.109,0.1391,20.0,20.0,-0.0212,-0.2637,0.6594000000000001,0.6594000000000001,-0.015633333333333332,1.0
2024-06-06,0.5742,0.6681,-0.0938,0.1233,1.0,0.075,0.0773,20.0,20.0,0.0773,-0.2295,0.7827000000000001,0.7827000000000001,-0.021646153846153846,1.0
2024-06-09,0.663,0.6493,0.0137,-0.0519,0.0,0.0846,0.1142,20.0,20.0,-0.0075,-0.2356,0.7308000000000001,0.7308000000000001,-0.01912142857142857,1.0
2024-06-10,0.7472,0.7238,0.0234,0.1382,1.0,0.0822,0.1138,20.0,20.0,0.0758,-0.06480000000000002,0.869,0.869,-0.016286666666666665,1.0
2024-06-11,0.7144,0.7849,-0.0706,0.0457,1.0,0.073,0.1097,21.0,19.0,0.0135,0.212,0.9147000000000001,0.9147000000000001,-0.019681249999999997,0.0
2024-06-12,0.6389,0.6608,-0.0218,0.0515,1.0,0.072,0.0761,20.0,20.0,0.0236,0.30679999999999996,0.9662000000000001,0.9662000000000001,-0.019805882352941177,0.0
2024-06-13,0.5892,0.6576,-0.0684,0.1727,1.0,0.0593,0.0559,20.0,20.0,0.018,0.35619999999999996,1.1389,1.1389,-0.022505555555555556,0.0
2024-06-16,0.7156,0.8806,-0.165,-0.1436,0.0,0.0635,0.0841,28.0,12.0,-0.0208,0.26449999999999996,0.9953000000000001,0.9953000000000001,-0.03000526315789474,0.0
2024-06-18,0.7353,0.7654,-0.0301,-0.0879,0.0,0.0762,0.1045,20.0,20.0,0.1045,0.03839999999999999,0.9074,0.9074,-0.03001,0.0
2024-06-19,0.8643,0.8533,0.011,-0.0266,0.0,0.1515,0.2689,20.0,20.0,0.1481,-0.033900000000000007,0.9757,0.8808,-0.029459999999999997,1.0
2024-06-20,0.8021,0.8274,-0.0253,-0.141,0.0,0.0773,0.1026,20.0,20.0,0.0875,-0.2264,0.4004,0.7398,-0.030725000000000002,1.0
2024-06-23,0.8571,0.8154,0.0417,0.0471,1.0,0.1477,0.2682,20.0,20.0,0.1028,-0.352,-0.08250000000000005,0.7869,-0.02864,1.0
2024-06-24,0.6998,0.7125,-0.0127,-0.3364,0.0,0.135,0.1896,20.0,20.0,0.1142,-0.5448,-0.48560000000000003,0.4505,-0.027229999999999997,1.0
2024-06-25,0.6887,0.6673,0.0214,-0.2723,0.0,0.217,0.2882,18.0,21.0,-0.0256,-0.7292,-0.5649,0.17820000000000003,-0.020935000000000002,1.0
2024-06-26,0.8222,0.878,-0.0558,-0.0958,0.0,0.0723,0.1252,20.0,20.0,0.0,-0.7983999999999999,-0.7593000000000001,0.08240000000000003,-0.023265,1.0
2024-06-27,0.6874,0.6923,-0.0049,0.0064,1.0,0.1028,0.1249,20.0,20.0,-0.0059,-0.651,-0.8342999999999999,0.08880000000000003,-0.019579999999999997,1.0
2024-06-30,0.7306,0.7511,-0.0205,0.1286,1.0,0.1074,0.1592,22.0,18.0,-0.0346,-0.5694999999999999,-0.7948000000000001,0.21740000000000004,-0.01862,1.0
2024-07-01,0.8772,0.8806,-0.0033,0.0121,1.0,0.1113,0.194,20.0,20.0,-0.0182,-0.221,-0.7369,0.22950000000000004,-0.0177,1.0
2024-07-02,0.7298,0.8358,-0.106,0.1103,1.0,0.0784,0.1164,22.0,17.0,0.0124,0.16159999999999997,-0.594,0.33980000000000005,-0.026305000000000002,0.0
2024-07-03,0.8882,0.879,0.0092,0.1799,1.0,0.1235,0.1836,20.0,20.0,-0.0474,0.43729999999999997,-0.18300000000000005,0.5197,-0.026245,0.0
2024-07-04,0.7657,0.745,0.0206,0.0676,1.0,0.2016,0.2391,20.0,20.0,0.0058,0.49849999999999994,-0.07210000000000005,0.5873,-0.026859999999999995,0.0
2024-07-07,0.6951,0.7004,-0.0053,-0.2627,0.0,0.1286,0.196,20.0,20.0,-0.0777,0.10720000000000002,-0.45810000000000006,0.32460000000000006,-0.022435,0.0
2024-07-08,0.7385,0.7027,0.0358,-0.1889,0.0,0.295,0.3725,20.0,20.0,-0.0396,-0.09380000000000002,-0.5951000000000001,0.13570000000000004,-0.02133,1.0
2024-07-09,0.7339,0.7361,-0.0022,-0.1687,0.0,0.1893,0.2851,20.0,20.0,0.0,-0.3728,-0.902,-0.032999999999999946,-0.02261,1.0
2024-07-10,0.6695,0.6805,-0.011,0.2644,1.0,0.1984,0.2814,20.0,20.0,0.0086,-0.2882999999999999,-0.6833,0.23140000000000008,-0.01963,1.0
2024-07-11,0.7189,0.7881,-0.0691,-0.0666,0.0,0.0791,0.1325,20.0,20.0,-0.0912,-0.42249999999999993,-0.8014,0.16480000000000006,-0.021994999999999997,1.0
2024-07-14,0.7534,0.7499,0.0036,-0.1804,0.0,0.0833,0.1231,20.0,20.0,0.0,-0.34019999999999995,-1.1545,-0.015599999999999947,-0.018394999999999998,1.0
2024-07-15,0.7252,0.6862,0.0391,0.1254,1.0,0.0785,0.1351,20.0,20.0,0.0,-0.025899999999999923,-0.8855,0.10980000000000006,-0.00819,1.0
2024-07-16,0.7097,0.6673,0.0424,-0.0319,0.0,0.2449,0.332,20.0,20.0,0.0,0.11090000000000007,-0.8295,0.07790000000000007,-0.004565,0.0
2024-07-17,0.8122,0.7517,0.0605,0.0412,1.0,0.1289,0.2151,20.0,20.0,0.016,-0.11229999999999997,-0.7616999999999999,0.11910000000000007,-0.002089999999999999,1.0
2024-07-18,0.6551,0.5421,0.113,0.0579,1.0,0.1273,0.1557,20.0,20.0,0.0535,0.012200000000000037,-0.5628000000000001,0.17700000000000007,0.004825000000000001,0.0
2024-07-21,0.6214,0.6038,0.0176,0.2221,1.0,0.1233,0.17,20.0,20.0,0.0432,0.41470000000000007,-0.3878,0.39910000000000007,0.003620000000000001,0.0
2024-07-22,0.5706,0.4909,0.0797,0.3848,1.0,0.1757,0.1922,19.0,21.0,0.0134,0.6740999999999999,0.3333999999999999,0.7839,0.00824,0.0
2024-07-23,0.6204,0.5649,0.0555,-0.0477,0.0,0.0825,0.1229,20.0,20.0,0.0,0.6583,0.5579999999999999,0.7362000000000001,0.009945,0.0
2024-07-24,0.5586,0.5188,0.0398,0.0156,1.0,0.0717,0.0797,20.0,20.0,0.0153,0.6327,0.6693999999999999,0.7518,0.014725000000000002,0.0
2024-07-25,0.5465,0.5675,-0.0211,0.0094,1.0,0.0696,0.0785,20.0,20.0,-0.0649,0.5841999999999999,0.6723999999999999,0.7612,0.013915,0.0
2024-07-28,0.5469,0.5629,-0.016,0.0489,1.0,0.0722,0.0735,20.0,20.0,0.0,0.411,0.5926999999999999,0.8101,0.01414,0.0
2024-07-29,0.6061,0.5031,0.1029,0.2712,1.0,0.1784,0.2167,20.0,20.0,0.0412,0.2974,0.8517999999999999,1.0813000000000001,0.019450000000000002,0.0
2024-07-30,0.6156,0.5652,0.0504,0.1083,1.0,0.1196,0.173,20.0,20.0,-0.0142,0.4534,0.8497999999999999,1.1896,0.02727,0.0
2024-07-31,0.5912,0.5696,0.0216,0.225,1.0,0.0928,0.1283,20.0,20.0,0.07,0.6628000000000001,0.8949,1.4146,0.027890000000000005,0.0
2024-08-01,0.6073,0.5598,0.0474,0.097,1.0,0.1273,0.1846,20.0,20.0,-0.019,0.7504000000000001,0.9242999999999999,1.5116,0.02923,0.0
2024-08-05,0.6161,0.5893,0.0268,-0.0135,0.0,0.1435,0.2017,20.0,20.0,-0.0092,0.688,1.1734999999999998,1.4981,0.030835,0.0
2024-08-06,0.6082,0.5418,0.0664,0.0716,1.0,0.0729,0.0799,20.0,20.0,0.0071,0.4884,1.434,1.5697,0.032365,0.0
2024-08-07,0.704,0.6106,0.0934,0.1766,1.0,0.1101,0.1744,20.0,20.0,0.0338,0.5567,1.7792999999999999,1.7463,0.037145,0.0
2024-08-08,0.6065,0.6522,-0.0457,-0.0647,0.0,0.0937,0.1166,20.0,20.0,-0.0445,0.267,1.4502,1.6816,0.03541,0.0
2024-08-11,0.5891,0.5996,-0.0105,0.1575,1.0,0.1395,0.1959,20.0,20.0,0.0164,0.3275,1.6743,1.8391,0.03834,0.0
2024-08-12,0.4653,0.544,-0.0786,-0.0301,0.0,0.0706,0.0718,20.0,20.0,0.0718,0.3109,1.8245999999999998,1.809,0.03423,0.0
2024-08-13,0.5801,0.6515,-0.0713,-0.2034,0.0,0.0714,0.0892,20.0,20.0,0.0892,0.035900000000000015,1.4958,1.6056,0.028709999999999996,0.0
2024-08-14,0.6306,0.7389,-0.1084,0.001,1.0,0.0778,0.1094,20.0,20.0,0.0135,-0.13970000000000002,1.5287,1.6066,0.02117,1.0
2024-08-15,0.5925,0.6452,-0.0527,0.0194,1.0,0.1271,0.1763,20.0,20.0,0.0093,-0.055600000000000024,1.5069,1.7209,0.015510000000000001,1.0
2024-08-18,0.4996,0.5153,-0.0158,-0.0558,0.0,0.0965,0.0901,20.0,20.0,0.0294,-0.26890000000000003,1.3931999999999998,1.2308,0.00907,1.0
2024-08-21,0.5945,0.635,-0.0406,-0.1088,0.0,0.0753,0.0828,20.0,20.0,0.023,-0.3476,1.0622999999999998,0.592,0.0061600000000000005,1.0
2024-08-22,0.5077,0.4968,0.0109,0.0755,1.0,0.1084,0.1155,20.0,20.0,0.0321,-0.06870000000000005,0.7529999999999999,0.6008,0.002720000000000001,1.0
2024-08-25,0.5336,0.5344,-0.0009,0.0005,1.0,0.0783,0.0832,20.0,20.0,0.0832,-0.06920000000000005,0.8011999999999998,0.7943,-9.999999999999914e-05,1.0
2024-08-27,0.5333,0.5218,0.0115,0.0844,1.0,0.1117,0.1392,20.0,20.0,0.0404,-0.004200000000000051,0.8699999999999999,0.7801,-0.0015149999999999992,1.0
