date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.5103,0.5337,-0.0234,-0.2075,0.0,0.0615,0.0535,20.0,19.0,-0.2002,-0.2075,-0.2075,-0.2075,-0.0234,1.0
2023-01-24,0.6408,0.6135,0.0274,0.4407,1.0,0.4759,0.4344,19.0,20.0,0.4344,0.2332,0.2332,0.2332,0.002,0.0
2023-01-25,0.7729,0.7795,-0.0066,0.075,1.0,0.296,0.4014,20.0,20.0,-0.5462,0.3082,0.3082,0.3082,-0.0008666666666666666,0.0
2023-01-26,0.8645,0.8896,-0.0251,-0.0547,0.0,0.2555,0.3883,22.0,18.0,-0.7903,0.2535,0.2535,0.2535,-0.006925000000000001,0.0
2023-01-29,0.5863,0.6001,-0.0138,0.0483,1.0,0.1006,0.1126,20.0,20.0,-0.2064,0.3018,0.3018,0.3018,-0.008299999999999998,0.0
2023-01-30,0.5383,0.5486,-0.0103,-0.0431,0.0,0.093,0.0848,20.0,20.0,-0.061,0.46619999999999995,0.2587,0.2587,-0.008633333333333333,0.0
2023-01-31,0.5354,0.5184,0.017,0.0808,1.0,0.1106,0.1038,20.0,20.0,0.0715,0.10629999999999998,0.3395,0.3395,-0.004971428571428571,0.0
2023-02-01,0.6146,0.5846,0.03,0.1009,1.0,0.4294,0.3975,20.0,20.0,0.3975,0.13219999999999998,0.4404,0.4404,-0.0005999999999999998,0.0
2023-02-02,0.6251,0.6164,0.0087,-0.0249,0.0,0.119,0.141,20.0,20.0,-0.0161,0.16199999999999998,0.4155,0.4155,0.0004333333333333334,0.0
2023-02-05,0.4773,0.4845,-0.0072,0.1043,1.0,0.1076,0.1059,22.0,18.0,0.0165,0.21799999999999997,0.5198,0.5198,-0.0003299999999999999,0.0
2023-02-06,0.7305,0.7012,0.0293,0.0122,1.0,0.1998,0.2738,15.0,25.0,0.1002,0.2733,0.532,0.532,0.0023636363636363638,0.0
2023-02-07,0.4418,0.4196,0.0222,0.0429,1.0,0.1683,0.1126,18.0,22.0,0.1126,0.2354,0.5749,0.5749,0.0040166666666666675,0.0
2023-02-08,0.5155,0.5224,-0.0069,-0.0919,0.0,0.0877,0.0861,20.0,20.0,-0.3002,0.0426,0.483,0.483,0.003176923076923077,0.0
2023-02-09,0.4557,0.5435,-0.0878,-0.0377,0.0,0.0568,0.0402,22.0,18.0,0.0206,0.02979999999999998,0.44530000000000003,0.44530000000000003,-0.0033214285714285715,0.0
2023-02-12,0.5144,0.5217,-0.0073,-0.1604,0.0,0.0806,0.0862,20.0,20.0,-0.0789,-0.2349,0.28490000000000004,0.28490000000000004,-0.003586666666666667,1.0
2023-02-14,0.4976,0.5237,-0.0261,-0.0972,0.0,0.0717,0.0655,20.0,20.0,-0.1048,-0.3443,0.18770000000000003,0.18770000000000003,-0.00499375,1.0
2023-02-15,0.6239,0.6464,-0.0225,0.1174,1.0,0.0847,0.094,20.0,20.0,0.0873,-0.2698,0.30510000000000004,0.30510000000000004,-0.006023529411764706,1.0
2023-02-16,0.6696,0.6891,-0.0194,-0.1841,0.0,0.0736,0.097,20.0,20.0,0.0792,-0.362,0.12100000000000005,0.12100000000000005,-0.006766666666666667,1.0
2023-02-20,0.5722,0.5995,-0.0274,-0.0282,0.0,0.1223,0.1441,20.0,20.0,0.1039,-0.3525,0.09280000000000005,0.09280000000000005,-0.007852631578947368,1.0
2023-02-22,0.7059,0.6995,0.0064,0.1047,1.0,0.1271,0.1876,20.0,20.0,-0.0612,-0.08739999999999999,0.19750000000000006,0.19750000000000006,-0.0071400000000000005,1.0
