date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-08-06,40011.0,40315.0,-0.0026,-5600.0,0.0,0.0871,0.0447,20.0,20.0,493.0,-5600.0,-5600.0,-5600.0,-0.0026,1.0
2023-08-07,119444.0,130592.0,-0.0223,-18887.0,0.0,0.0712,0.0324,20.0,18.0,-1784.0,-24487.0,-24487.0,-24487.0,-0.01245,1.0
2023-08-08,27563.0,25542.0,0.0187,-10914.0,0.0,0.2375,0.0904,15.0,24.0,-5114.0,-35401.0,-35401.0,-35401.0,-0.002066666666666666,1.0
2023-08-09,91445.0,93971.0,-0.006,-41492.0,0.0,0.0903,0.0479,20.0,20.0,-24784.0,-76893.0,-76893.0,-76893.0,-0.0030499999999999993,1.0
2023-08-10,49735.0,49683.0,0.0002,-6211.0,0.0,0.0708,0.0274,20.0,20.0,-5325.0,-83104.0,-83104.0,-83104.0,-0.0023999999999999994,1.0
2023-08-13,46398.0,45793.0,0.003,-4194.0,0.0,0.0809,0.0346,20.0,20.0,-4264.0,-81698.0,-87298.0,-87298.0,-0.0014999999999999996,1.0
2023-08-14,27772.0,27023.0,0.005,1727.0,1.0,0.0973,0.0322,20.0,20.0,-6810.0,-61084.0,-85571.0,-85571.0,-0.0005714285714285709,1.0
2023-08-15,20259.0,21026.0,-0.0099,-4214.0,0.0,0.1153,0.0619,20.0,20.0,-5259.0,-54384.0,-89785.0,-89785.0,-0.0017374999999999997,1.0
2023-08-16,22932.0,24398.0,-0.0184,-2832.0,0.0,0.0849,0.0529,20.0,20.0,-5275.0,-15724.0,-92617.0,-92617.0,-0.0035888888888888884,1.0
2023-08-17,22762.0,22854.0,-0.0011,-2915.0,0.0,0.1199,0.0669,20.0,20.0,-1685.0,-12428.0,-95532.0,-95532.0,-0.0033399999999999992,1.0
2023-08-20,17496.0,17143.0,0.0047,-4792.0,0.0,0.0668,0.024,20.0,20.0,-2743.0,-13026.0,-100324.0,-100324.0,-0.0026090909090909086,1.0
2023-08-21,13863.0,14891.0,-0.0174,-780.0,0.0,0.0659,0.0273,20.0,20.0,-1268.0,-15533.0,-101104.0,-101104.0,-0.0038416666666666664,1.0
2023-08-22,21556.0,21136.0,0.0057,3694.0,1.0,0.1024,0.0694,20.0,20.0,-520.0,-7625.0,-97410.0,-97410.0,-0.003107692307692307,1.0
2023-08-23,21290.0,20741.0,0.0083,-7303.0,0.0,0.0995,0.0463,19.0,21.0,-2979.0,-12096.0,-104713.0,-104713.0,-0.0022928571428571425,1.0
2023-08-24,32079.0,36426.0,-0.0415,2071.0,1.0,0.0802,0.0481,26.0,14.0,-1665.0,-7110.0,-102642.0,-102642.0,-0.004906666666666667,1.0
2023-08-27,23569.0,23296.0,0.0035,-2564.0,0.0,0.112,0.0506,20.0,20.0,-2104.0,-4882.0,-105206.0,-105206.0,-0.00438125,1.0
