date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,29456.0,29136.0,0.0034,6805.0,1.0,0.0872,0.048,20.0,20.0,70.0,6805.0,6805.0,6805.0,0.0034,0.0
2023-01-24,15460.0,15430.0,0.0007,-5898.0,0.0,0.1058,0.0798,20.0,20.0,-836.0,907.0,907.0,907.0,0.0020499999999999997,0.0
2023-01-25,14290.0,14113.0,0.0043,7010.0,1.0,0.2553,0.163,14.0,24.0,-494.0,7917.0,7917.0,7917.0,0.0028,0.0
2023-01-26,16052.0,16005.0,0.0009,-3213.0,0.0,0.1626,0.0804,13.0,27.0,-2291.0,4704.0,4704.0,4704.0,0.002325,0.0
2023-01-29,8386.0,8386.0,0.0,1806.0,1.0,0.1758,0.1422,20.0,19.0,30.0,6510.0,6510.0,6510.0,0.0018599999999999999,0.0
2023-01-30,11894.0,11864.0,0.0007,-2926.0,0.0,0.1443,0.0693,19.0,21.0,-865.0,-3221.0,3584.0,3584.0,0.0016666666666666668,1.0
2023-01-31,6606.0,6546.0,0.0033,-2127.0,0.0,0.1369,0.0879,14.0,24.0,760.0,550.0,1457.0,1457.0,0.0019,0.0
2023-02-01,7478.0,7478.0,0.0,-2364.0,0.0,0.1868,0.1567,14.0,24.0,416.0,-8824.0,-907.0,-907.0,0.0016625,1.0
2023-02-02,7419.0,7419.0,0.0,293.0,1.0,0.1742,0.1353,10.0,29.0,1160.0,-5318.0,-614.0,-614.0,0.0014777777777777777,1.0
2023-02-05,3088.0,3088.0,0.0,-613.0,0.0,0.2175,0.1441,11.0,26.0,843.0,-7737.0,-1227.0,-1227.0,0.00133,1.0
2023-02-06,8469.0,8469.0,0.0,2572.0,1.0,0.1798,0.1111,14.0,20.0,2062.0,-2239.0,1345.0,1345.0,0.001209090909090909,1.0
2023-02-07,11803.0,11733.0,0.0023,4636.0,1.0,0.1103,0.0614,20.0,20.0,1720.0,4524.0,5981.0,5981.0,0.0013,0.0
2023-02-08,13743.0,13733.0,0.0003,-2936.0,0.0,0.0803,0.0501,20.0,20.0,233.0,3952.0,3045.0,3045.0,0.001223076923076923,0.0
2023-02-09,5210.0,5210.0,0.0,1354.0,1.0,0.3881,0.1939,11.0,26.0,-120.0,5013.0,4399.0,4399.0,0.0011357142857142857,0.0
2023-02-12,11148.0,11148.0,0.0,-1337.0,0.0,0.0991,0.0644,25.0,15.0,830.0,4289.0,3062.0,3062.0,0.00106,0.0
2023-02-14,3641.0,3641.0,0.0,-323.0,0.0,0.1417,0.071,11.0,23.0,230.0,1394.0,2739.0,2739.0,0.00099375,0.0
2023-02-15,5073.0,5073.0,0.0,1661.0,1.0,0.1171,0.0832,17.0,20.0,-40.0,-1581.0,4400.0,4400.0,0.0009352941176470589,1.0
2023-02-16,7486.0,7466.0,0.0011,-2575.0,0.0,0.2657,0.2001,14.0,24.0,734.0,-1220.0,1825.0,1825.0,0.0009444444444444444,1.0
2023-02-20,2225.0,2225.0,0.0,661.0,1.0,0.2487,0.1685,13.0,21.0,-460.0,-1913.0,2486.0,2486.0,0.000894736842105263,1.0
2023-02-22,2810.0,2790.0,0.0033,-248.0,0.0,0.1882,0.1653,14.0,25.0,-30.0,-824.0,2238.0,2238.0,0.0010149999999999998,1.0
2023-02-23,4426.0,4426.0,0.0,-410.0,0.0,0.1393,0.1085,17.0,20.0,-245.0,-911.0,-4977.0,1828.0,0.0008449999999999999,1.0
2023-02-26,5493.0,5493.0,0.0,-668.0,0.0,0.1133,0.075,23.0,16.0,-710.0,-3240.0,253.0,1160.0,0.00081,1.0
2023-02-27,2784.0,2784.0,0.0,720.0,1.0,0.1617,0.0996,15.0,23.0,760.0,55.0,-6037.0,1880.0,0.000595,0.0
2023-02-28,2780.0,2780.0,0.0,1915.0,1.0,0.3777,0.2484,12.0,16.0,-10.0,1309.0,-909.0,3795.0,0.0005499999999999999,0.0
2023-03-01,3576.0,3576.0,0.0,-200.0,0.0,0.1362,0.1323,19.0,12.0,1010.0,1357.0,-2915.0,3595.0,0.0005499999999999999,0.0
2023-03-02,3310.0,3310.0,0.0,728.0,1.0,0.1962,0.1594,13.0,19.0,50.0,2495.0,739.0,4323.0,0.000515,0.0
2023-03-05,4932.0,4932.0,0.0,-1142.0,0.0,0.1153,0.0976,19.0,13.0,-22.0,2021.0,1724.0,3181.0,0.00035,0.0
2023-03-07,4486.0,4486.0,0.0,1428.0,1.0,0.2337,0.15,10.0,26.0,930.0,2729.0,5516.0,4609.0,0.00035,0.0
2023-03-09,3133.0,3133.0,0.0,15.0,1.0,0.1748,0.1014,15.0,23.0,-335.0,829.0,5238.0,4624.0,0.00035,0.0
2023-03-12,4055.0,4055.0,0.0,404.0,1.0,0.1535,0.0858,18.0,17.0,990.0,1433.0,6255.0,5028.0,0.00035,0.0
2023-03-13,2633.0,2633.0,0.0,478.0,1.0,0.1538,0.1277,17.0,15.0,192.0,1183.0,4161.0,5506.0,0.00035,0.0
2023-03-14,3138.0,3138.0,0.0,-1035.0,0.0,0.2233,0.1436,16.0,19.0,-1280.0,1290.0,-1510.0,4471.0,0.00023500000000000002,0.0
2023-03-15,4867.0,4867.0,0.0,2063.0,1.0,0.0953,0.0549,17.0,15.0,500.0,1925.0,3489.0,6534.0,0.00022,0.0
2023-03-16,2872.0,2872.0,0.0,-706.0,0.0,0.2043,0.115,12.0,21.0,1090.0,1204.0,1429.0,5828.0,0.00022,0.0
2023-03-19,3618.0,3618.0,0.0,1249.0,1.0,0.1875,0.1362,16.0,19.0,276.0,2049.0,4015.0,7077.0,0.00022,0.0
2023-03-20,2355.0,2355.0,0.0,601.0,1.0,0.3492,0.1712,10.0,25.0,-80.0,2172.0,4939.0,7678.0,0.00022,0.0
2023-03-22,2300.0,2300.0,0.0,405.0,1.0,0.1568,0.0971,14.0,18.0,460.0,3612.0,3683.0,8083.0,0.00022,0.0
2023-03-23,3081.0,3081.0,0.0,170.0,1.0,0.1524,0.1438,18.0,13.0,118.0,1719.0,6428.0,8253.0,0.000165,0.0
2023-03-26,1111.0,1111.0,0.0,422.0,1.0,0.1448,0.0857,17.0,19.0,10.0,2847.0,6189.0,8675.0,0.000165,0.0
2023-03-27,4828.0,4828.0,0.0,-1257.0,0.0,0.1395,0.0565,13.0,26.0,-29.0,341.0,5180.0,7418.0,0.0,0.0
2023-03-28,3207.0,3207.0,0.0,1224.0,1.0,0.1571,0.0908,17.0,21.0,670.0,964.0,6814.0,8642.0,0.0,0.0
2023-03-29,5045.0,5045.0,0.0,2139.0,1.0,0.181,0.104,21.0,11.0,210.0,2698.0,9621.0,10781.0,0.0,0.0
2023-03-30,1545.0,1545.0,0.0,835.0,1.0,0.1569,0.1085,11.0,17.0,251.0,3363.0,9736.0,11616.0,0.0,0.0
2023-04-02,1075.0,1075.0,0.0,311.0,1.0,0.1233,0.0628,13.0,18.0,90.0,3252.0,8132.0,11927.0,0.0,0.0
2023-04-03,7328.0,7388.0,-0.0026,-421.0,0.0,0.1022,0.0487,22.0,18.0,-10.0,4088.0,7911.0,11506.0,-0.00013,0.0
2023-04-04,3971.0,3961.0,0.0007,438.0,1.0,0.1475,0.0586,12.0,26.0,570.0,3302.0,7621.0,11944.0,-9.499999999999999e-05,0.0
2023-04-05,2845.0,2845.0,0.0,-969.0,0.0,0.279,0.1492,13.0,15.0,-1300.0,194.0,7794.0,10975.0,-9.499999999999999e-05,0.0
2023-04-06,3711.0,3711.0,0.0,1249.0,1.0,0.294,0.213,15.0,19.0,970.0,608.0,7615.0,12224.0,-9.499999999999999e-05,0.0
2023-04-09,4726.0,4726.0,0.0,1691.0,1.0,0.2759,0.1398,10.0,23.0,-90.0,1988.0,9291.0,13915.0,-9.499999999999999e-05,0.0
2023-04-10,4293.0,4293.0,0.0,-1937.0,0.0,0.273,0.1923,15.0,19.0,-520.0,472.0,6950.0,11978.0,-9.499999999999999e-05,0.0
2023-04-11,2584.0,2584.0,0.0,483.0,1.0,0.1438,0.0817,17.0,23.0,30.0,517.0,6955.0,12461.0,-9.499999999999999e-05,0.0
2023-04-12,5425.0,5343.0,0.006,803.0,1.0,0.342,0.2164,10.0,29.0,96.0,2289.0,8793.0,13264.0,0.00020500000000000002,0.0
2023-04-13,5139.0,5139.0,0.0,586.0,1.0,0.1343,0.0645,13.0,22.0,-340.0,1626.0,7316.0,13850.0,0.00020500000000000002,0.0
2023-04-16,1466.0,1466.0,0.0,303.0,1.0,0.357,0.2016,6.0,22.0,-19.0,238.0,8325.0,14153.0,0.00020500000000000002,0.0
2023-04-17,2672.0,2672.0,0.0,781.0,1.0,0.2058,0.1171,12.0,19.0,50.0,2956.0,7857.0,14934.0,0.00020500000000000002,0.0
2023-04-18,3181.0,3181.0,0.0,301.0,1.0,0.2769,0.2279,11.0,17.0,30.0,2774.0,7557.0,15235.0,0.00020500000000000002,0.0
