date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2026-03-17,32000.0,32000.0,0.0,10870.0,1.0,0.2715,0.1651,14.0,25.0,8620.0,10870.0,10870.0,10870.0,0.0,0.0
2026-03-19,22520.0,22520.0,0.0,-16350.0,0.0,0.1256,0.0818,12.0,15.0,-17650.0,-5480.0,-5480.0,-5480.0,0.0,1.0
2026-03-22,25020.0,25020.0,0.0,-8310.0,0.0,0.294,0.1794,12.0,27.0,-11720.0,-13790.0,-13790.0,-13790.0,0.0,1.0
2026-03-23,35700.0,35700.0,0.0,2800.0,1.0,0.2378,0.1486,8.0,25.0,-6400.0,-10990.0,-10990.0,-10990.0,0.0,1.0
2026-03-24,16384.0,16384.0,0.0,-8684.0,0.0,0.3588,0.1927,8.0,23.0,-4384.0,-19674.0,-19674.0,-19674.0,0.0,1.0
2026-03-25,15380.0,15380.0,0.0,-2100.0,0.0,0.3279,0.2076,11.0,21.0,-6880.0,-32644.0,-21774.0,-21774.0,0.0,1.0
2026-03-26,4135.0,4135.0,0.0,665.0,1.0,0.2678,0.1187,8.0,13.0,-2535.0,-15629.0,-21109.0,-21109.0,0.0,1.0
2026-03-29,17340.0,17340.0,0.0,-5700.0,0.0,0.4269,0.2277,7.0,28.0,-7440.0,-13019.0,-26809.0,-26809.0,0.0,1.0
2026-03-30,11530.0,11530.0,0.0,-1100.0,0.0,0.1847,0.1419,11.0,21.0,-6200.0,-16919.0,-27909.0,-27909.0,0.0,1.0
2026-03-31,16700.0,16700.0,0.0,750.0,1.0,0.1456,0.124,14.0,20.0,-1250.0,-7485.0,-27159.0,-27159.0,0.0,1.0
2026-04-01,22400.0,22400.0,0.0,3800.0,1.0,0.4312,0.2782,6.0,17.0,-2300.0,-1585.0,-23359.0,-23359.0,0.0,1.0
2026-04-02,4000.0,4000.0,0.0,-1800.0,0.0,0.1988,0.0909,8.0,11.0,-1900.0,-4050.0,-25159.0,-25159.0,0.0,1.0
2026-04-05,17900.0,17900.0,0.0,8700.0,1.0,0.4285,0.2689,10.0,14.0,-3700.0,10350.0,-16459.0,-16459.0,0.0,0.0
2026-04-06,18300.0,18300.0,0.0,13300.0,1.0,0.4323,0.2579,10.0,18.0,-1700.0,24750.0,-3159.0,-3159.0,0.0,0.0
2026-04-07,15400.0,15400.0,0.0,-14200.0,0.0,0.4523,0.2914,5.0,15.0,-6900.0,9800.0,-17359.0,-17359.0,0.0,0.0
2026-04-08,4200.0,4200.0,0.0,-2000.0,0.0,0.2188,0.1204,7.0,13.0,-300.0,4000.0,-19359.0,-19359.0,0.0,0.0
2026-04-09,7400.0,7400.0,0.0,-2500.0,0.0,0.5128,0.1884,6.0,27.0,-3000.0,3300.0,-21859.0,-21859.0,0.0,0.0
2026-04-10,6530.0,6530.0,0.0,-2800.0,0.0,0.4152,0.2835,5.0,17.0,-3300.0,-8200.0,-24659.0,-24659.0,0.0,1.0
2026-04-13,14700.0,14700.0,0.0,-1200.0,0.0,0.3704,0.2321,7.0,21.0,-6200.0,-22700.0,-25859.0,-25859.0,0.0,1.0
2026-04-15,20700.0,20700.0,0.0,-3500.0,0.0,0.3887,0.2329,9.0,27.0,-1700.0,-12000.0,-29359.0,-29359.0,0.0,1.0
2026-04-16,4000.0,4000.0,0.0,-1700.0,0.0,0.4038,0.2292,5.0,20.0,-800.0,-11700.0,-41929.0,-31059.0,0.0,1.0
2026-04-17,3800.0,3800.0,0.0,-1200.0,0.0,0.3144,0.1562,5.0,15.0,400.0,-10400.0,-26779.0,-32259.0,0.0,1.0
2026-04-20,12200.0,12200.0,0.0,-2700.0,0.0,0.4012,0.2626,5.0,17.0,-4200.0,-10300.0,-21169.0,-34959.0,0.0,1.0
2026-04-21,14030.0,14030.0,0.0,-4800.0,0.0,0.2524,0.2079,13.0,18.0,-5130.0,-13900.0,-28769.0,-39759.0,0.0,1.0
2026-04-22,5400.0,5400.0,0.0,-2700.0,0.0,0.13,0.0682,10.0,11.0,-3900.0,-13100.0,-22785.0,-42459.0,0.0,1.0
2026-04-23,5400.0,5400.0,0.0,-2600.0,0.0,0.1852,0.0964,7.0,17.0,-1900.0,-14000.0,-23285.0,-45059.0,0.0,1.0
2026-04-24,4800.0,4800.0,0.0,-3200.0,0.0,0.3264,0.2653,10.0,15.0,-2000.0,-16000.0,-27150.0,-48259.0,0.0,1.0
2026-04-27,12000.0,12000.0,0.0,300.0,1.0,0.6158,0.3583,5.0,29.0,-1200.0,-13000.0,-21150.0,-47959.0,0.0,1.0
2026-04-28,12400.0,12400.0,0.0,-9500.0,0.0,0.2469,0.1617,6.0,19.0,-2200.0,-17700.0,-29550.0,-57459.0,0.0,1.0
2026-04-29,15000.0,15000.0,0.0,-5300.0,0.0,0.4638,0.2608,5.0,27.0,-2000.0,-20300.0,-35600.0,-62759.0,0.0,1.0
2026-04-30,4450.0,4450.0,0.0,50.0,1.0,0.3046,0.1963,8.0,18.0,-2550.0,-17650.0,-39350.0,-62709.0,0.0,1.0
2026-05-04,7900.0,7900.0,0.0,-500.0,0.0,0.4398,0.2914,8.0,22.0,-4200.0,-14950.0,-38050.0,-63209.0,0.0,1.0
2026-05-05,10900.0,10900.0,0.0,3000.0,1.0,0.2689,0.0376,6.0,23.0,-2700.0,-12250.0,-43750.0,-60209.0,0.0,1.0
2026-05-06,13300.0,13300.0,0.0,8500.0,1.0,0.6567,0.3587,3.0,19.0,10500.0,5750.0,-48550.0,-51709.0,0.0,0.0
2026-05-07,3750.0,3750.0,0.0,50.0,1.0,0.3067,0.1314,6.0,13.0,1800.0,11100.0,-34300.0,-51659.0,0.0,0.0
