date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.6663,0.7111,-0.0448,-0.1926,0.0,0.1494,0.1996,23.0,17.0,-0.318,-0.1926,-0.1926,-0.1926,-0.0448,1.0
2023-01-24,0.8711,0.8634,0.0077,0.0578,1.0,0.8716,0.8128,17.0,23.0,-0.7393,-0.1348,-0.1348,-0.1348,-0.01855,1.0
2023-01-25,0.8181,0.9035,-0.0854,-0.2445,0.0,0.1345,0.2647,28.0,11.0,-0.5908,-0.37929999999999997,-0.37929999999999997,-0.37929999999999997,-0.04083333333333333,1.0
2023-01-26,0.6597,0.714,-0.0543,-0.3523,0.0,0.0831,0.1266,24.0,16.0,-0.333,-0.7316,-0.7316,-0.7316,-0.0442,1.0
2023-01-29,0.6096,0.6331,-0.0234,-0.1907,0.0,0.2104,0.2542,24.0,16.0,-0.104,-0.9223,-0.9223,-0.9223,-0.04004,1.0
2023-01-30,0.6691,0.7184,-0.0493,-0.1011,0.0,0.1181,0.1766,27.0,13.0,-0.3241,-0.8308,-1.0234,-1.0234,-0.04158333333333333,1.0
2023-01-31,0.5796,0.6283,-0.0486,-0.2817,0.0,0.0793,0.0889,25.0,15.0,0.0,-1.1703000000000001,-1.3051,-1.3051,-0.04258571428571428,1.0
2023-02-01,0.7388,0.7818,-0.043,-0.3576,0.0,0.1139,0.1911,24.0,16.0,-0.4802,-1.2834,-1.6627,-1.6627,-0.0426375,1.0
2023-02-02,0.6438,0.6687,-0.0249,-0.0538,0.0,0.1481,0.1832,24.0,16.0,0.0,-0.9849,-1.7165,-1.7165,-0.04066666666666666,1.0
2023-02-05,0.7439,0.7933,-0.0494,-0.3132,0.0,0.2171,0.3253,24.0,16.0,0.0284,-1.1074,-2.0297,-2.0297,-0.04154,1.0
2023-02-06,0.7994,0.8297,-0.0303,-0.1149,0.0,0.1556,0.2775,27.0,13.0,0.0136,-1.1212,-2.1446,-2.1446,-0.040518181818181814,1.0
2023-02-07,0.5808,0.6179,-0.0371,0.1653,1.0,0.0722,0.0765,24.0,16.0,0.0118,-0.6741999999999999,-1.9793,-1.9793,-0.040233333333333336,1.0
2023-02-08,0.5642,0.6172,-0.053,0.0586,1.0,0.1143,0.1472,27.0,13.0,-0.1555,-0.258,-1.9207,-1.9207,-0.04121538461538461,1.0
2023-02-09,0.667,0.672,-0.005,-0.1657,0.0,0.0936,0.1055,20.0,20.0,-0.018,-0.36989999999999995,-2.0864,-2.0864,-0.03862857142857142,1.0
2023-02-12,0.5045,0.5903,-0.0858,0.0658,1.0,0.0633,0.0741,27.0,13.0,0.0263,0.009100000000000025,-2.0206,-2.0206,-0.041773333333333336,0.0
2023-02-14,0.4838,0.5187,-0.0349,-0.0074,0.0,0.0757,0.0849,20.0,20.0,0.0366,0.11660000000000002,-2.028,-2.028,-0.04134375,0.0
2023-02-15,0.6213,0.6709,-0.0496,-0.0632,0.0,0.077,0.0999,22.0,17.0,-0.2878,-0.11189999999999999,-2.0912,-2.0912,-0.04182941176470588,1.0
2023-02-16,0.5836,0.5849,-0.0014,-0.0023,0.0,0.1046,0.1302,20.0,20.0,0.0833,-0.17279999999999998,-2.0935,-2.0935,-0.03958333333333333,1.0
2023-02-20,0.5608,0.5454,0.0154,-0.1216,0.0,0.126,0.1255,20.0,20.0,-0.0038,-0.12869999999999998,-2.2151,-2.2151,-0.03668947368421052,1.0
2023-02-22,0.7696,0.7901,-0.0205,-0.3747,0.0,0.1105,0.1656,20.0,20.0,-0.0053,-0.5691999999999999,-2.5898,-2.5898,-0.03588,1.0
2023-02-23,0.6611,0.6978,-0.0367,-0.3295,0.0,0.0917,0.1377,28.0,12.0,0.0146,-0.8913,-2.7267,-2.9193,-0.035475,1.0
2023-02-26,0.6072,0.623,-0.0158,0.1248,1.0,0.1719,0.224,20.0,20.0,0.224,-0.7033,-2.6597000000000004,-2.7945,-0.03665,1.0
2023-02-27,0.6495,0.6689,-0.0194,0.2724,1.0,0.1294,0.1897,20.0,20.0,0.0836,-0.4286000000000001,-2.1428,-2.5221,-0.03335,1.0
2023-02-28,0.7012,0.7023,-0.0012,-0.2026,0.0,0.2048,0.2849,20.0,20.0,-0.089,-0.5096,-1.9931,-2.7247,-0.030695,1.0
2023-03-01,0.6993,0.7325,-0.0332,-0.3531,0.0,0.1092,0.1708,26.0,13.0,-0.0033,-0.4880000000000001,-2.1555,-3.0778,-0.031184999999999997,1.0
2023-03-02,0.5923,0.587,0.0052,0.2403,1.0,0.1322,0.164,20.0,20.0,0.05,0.08179999999999993,-1.8141000000000003,-2.8375,-0.028460000000000003,0.0
2023-03-05,0.5576,0.5518,0.0058,-0.028,0.0,0.0913,0.0825,20.0,20.0,0.028,-0.07100000000000006,-1.5603999999999998,-2.8655,-0.025739999999999996,1.0
2023-03-07,0.666,0.6768,-0.0108,-0.121,0.0,0.1044,0.1357,20.0,20.0,-0.1707,-0.46440000000000003,-1.3237999999999999,-2.9865,-0.02413,1.0
2023-03-09,0.6589,0.6727,-0.0138,-0.0486,0.0,0.1057,0.1606,20.0,20.0,-0.0009,-0.3104,-1.3186,-3.0351,-0.023575000000000002,1.0
2023-03-12,0.528,0.5373,-0.0093,0.1492,1.0,0.0912,0.1007,20.0,20.0,0.028,0.1919,-0.8562,-2.8859,-0.02157,0.0
2023-03-13,0.6213,0.6364,-0.0151,-0.0603,0.0,0.1391,0.2009,26.0,14.0,0.0041,-0.10870000000000002,-0.8016000000000001,-2.9462,-0.020810000000000002,1.0
