date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7292,0.7335,-0.0043,-0.1678,0.0,0.1262,0.201,20.0,20.0,-0.0092,-0.1678,-0.1678,-0.1678,-0.0043,1.0
2023-01-24,0.6421,0.6448,-0.0027,-0.0163,0.0,0.2231,0.2568,20.0,19.0,-0.0253,-0.1841,-0.1841,-0.1841,-0.0035,1.0
2023-01-25,0.6933,0.7002,-0.0068,0.0628,1.0,0.0832,0.0996,24.0,16.0,0.0056,-0.1213,-0.1213,-0.1213,-0.0046,1.0
2023-01-26,0.7234,0.7234,0.0,0.1474,1.0,0.072,0.0709,20.0,10.0,-0.0027,0.026099999999999998,0.026099999999999998,0.026099999999999998,-0.00345,0.0
2023-01-29,0.7451,0.7451,0.0,0.2665,1.0,0.3446,0.4143,18.0,19.0,0.0458,0.2926,0.2926,0.2926,-0.00276,0.0
2023-01-30,0.7214,0.7214,0.0,-0.1752,0.0,0.1802,0.266,20.0,18.0,0.0049,0.2852,0.11740000000000003,0.11740000000000003,-0.0023,0.0
2023-01-31,0.6113,0.6159,-0.0046,0.0223,1.0,0.0753,0.0899,26.0,14.0,-0.002,0.32380000000000003,0.13970000000000005,0.13970000000000005,-0.0026285714285714285,0.0
2023-02-01,0.841,0.841,0.0,-0.3255,0.0,0.1296,0.1725,16.0,14.0,-0.0121,-0.06449999999999995,-0.18579999999999997,-0.18579999999999997,-0.0023,1.0
2023-02-02,0.6109,0.6109,0.0,0.0032,1.0,0.0908,0.1051,21.0,18.0,-0.0476,-0.20869999999999997,-0.18259999999999996,-0.18259999999999996,-0.0020444444444444442,1.0
2023-02-05,0.7855,0.7855,0.0,0.1051,1.0,0.074,0.136,25.0,9.0,0.026,-0.3701,-0.07749999999999997,-0.07749999999999997,-0.00184,1.0
2023-02-06,0.7288,0.7288,0.0,-0.3179,0.0,0.1289,0.1381,19.0,13.0,0.1015,-0.5128,-0.3954,-0.3954,-0.0016727272727272728,1.0
2023-02-07,0.7773,0.7713,0.006,-0.0828,0.0,0.2036,0.2568,18.0,22.0,0.0168,-0.6179000000000001,-0.47819999999999996,-0.47819999999999996,-0.0010333333333333334,1.0
