date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2025-05-04,150.0,150.0,0.0,-80.0,0.0,0.4133,0.25,3.0,11.0,-30.0,-80.0,-80.0,-80.0,0.0,1.0
2025-05-05,70.0,70.0,0.0,30.0,1.0,0.1837,0.125,6.0,6.0,-10.0,-50.0,-50.0,-50.0,0.0,1.0
2025-05-06,90.0,90.0,0.0,60.0,1.0,0.5062,0.25,3.0,8.0,10.0,10.0,10.0,10.0,0.0,0.0
2025-05-07,120.0,120.0,0.0,-30.0,0.0,0.5972,0.3,3.0,10.0,-30.0,-20.0,-20.0,-20.0,0.0,1.0
2025-05-08,130.0,130.0,0.0,-70.0,0.0,0.858,0.3158,2.0,11.0,-30.0,-90.0,-90.0,-90.0,0.0,1.0
2025-05-11,190.0,190.0,0.0,50.0,1.0,1.0,0.4318,1.0,13.0,-30.0,40.0,-40.0,-40.0,0.0,0.0
2025-05-13,240.0,240.0,0.0,-90.0,0.0,0.7222,0.3333,2.0,16.0,-40.0,-80.0,-130.0,-130.0,0.0,1.0
2025-05-14,380.0,380.0,0.0,-210.0,0.0,0.759,0.4231,5.0,23.0,-50.0,-350.0,-340.0,-340.0,0.0,1.0
2025-05-15,450.0,450.0,0.0,-230.0,0.0,0.8331,0.4457,4.0,26.0,-90.0,-550.0,-570.0,-570.0,0.0,1.0
2025-05-18,430.0,430.0,0.0,170.0,1.0,0.9113,0.4457,2.0,20.0,-80.0,-310.0,-400.0,-400.0,0.0,1.0
2025-05-19,340.0,340.0,0.0,150.0,1.0,0.9429,0.4714,2.0,25.0,-30.0,-210.0,-250.0,-250.0,0.0,1.0
2025-05-20,380.0,380.0,0.0,-200.0,0.0,0.8518,0.4167,3.0,21.0,-50.0,-320.0,-450.0,-450.0,0.0,1.0
2025-05-21,570.0,570.0,0.0,240.0,1.0,0.9655,0.4746,2.0,31.0,-60.0,130.0,-210.0,-210.0,0.0,0.0
2025-05-22,1210.0,1130.0,0.0331,-600.0,0.0,0.5115,0.2975,3.0,35.0,-170.0,-240.0,-810.0,-810.0,0.002364285714285714,1.0
2025-05-25,1050.0,1010.0,0.0179,580.0,1.0,1.0,0.4688,1.0,38.0,-130.0,170.0,-230.0,-230.0,0.0034,0.0
2025-05-26,930.0,900.0,0.016,-360.0,0.0,0.2524,0.1497,5.0,35.0,-90.0,-340.0,-590.0,-590.0,0.0041875,1.0
2025-05-27,1150.0,1030.0,0.0536,-610.0,0.0,0.7561,0.442,4.0,34.0,-110.0,-750.0,-1200.0,-1200.0,0.007094117647058824,1.0
2025-05-28,4014.0,3734.0,0.0348,3084.0,1.0,0.6059,0.366,4.0,36.0,-265.0,2094.0,1884.0,1884.0,0.008633333333333333,0.0
2025-06-02,4330.0,3400.0,0.1191,-2140.0,0.0,0.9954,0.5531,2.0,37.0,-650.0,554.0,-256.0,-256.0,0.01444736842105263,0.0
2025-06-03,43023.0,43912.0,-0.0037,-22549.0,0.0,0.0747,0.0217,20.0,20.0,-13225.0,-22575.0,-22805.0,-22805.0,0.01354,1.0
2025-06-04,20760.0,18590.0,0.024,-10200.0,0.0,0.0838,0.0337,20.0,20.0,-3780.0,-32415.0,-32925.0,-33005.0,0.01474,1.0
2025-06-05,25436.0,29267.0,-0.0288,-18316.0,0.0,0.0652,0.0243,20.0,20.0,-10229.0,-50121.0,-51271.0,-51321.0,0.013300000000000001,1.0
2025-06-08,18420.0,22480.0,-0.0385,-11830.0,0.0,0.0718,0.0308,20.0,20.0,-9580.0,-65035.0,-63161.0,-63151.0,0.011375,1.0
2025-06-09,22640.0,22420.0,0.0024,-10900.0,0.0,0.078,0.0381,20.0,20.0,-7180.0,-73795.0,-74031.0,-74051.0,0.011495,1.0
2025-06-10,14399.0,16896.0,-0.0372,4983.0,1.0,0.0622,0.0246,20.0,20.0,-1273.0,-46263.0,-68978.0,-69068.0,0.009635,1.0
2025-06-11,16254.0,18238.0,-0.0258,-370.0,0.0,0.0553,0.0158,20.0,20.0,-3428.0,-36433.0,-69398.0,-69438.0,0.008345,1.0
2025-06-12,15948.0,13547.0,0.0405,1389.0,1.0,0.0756,0.04,20.0,20.0,-510.0,-16728.0,-67919.0,-68049.0,0.01037,1.0
