date,bk_net_accumulation,bk_net_distribution,bk_accumulation_ratio,bk_big_net,bk_big_buy_flag,bk_concentration,bk_top_buyer_net_share,bk_num_net_buyers,bk_num_net_sellers,bk_dominant_broker_net,bk_big_net_5d,bk_big_net_20d,bk_big_net_60d,bk_accum_trend_20d,bk_distribution_flag
2023-01-23,0.7513,0.7264,0.0249,-0.1895,0.0,0.2066,0.2614,20.0,20.0,0.0193,-0.1895,-0.1895,-0.1895,0.0249,1.0
2023-01-24,0.7166,0.6808,0.0358,0.0922,1.0,0.2281,0.2758,15.0,25.0,-0.0503,-0.0973,-0.0973,-0.0973,0.03035,1.0
2023-01-25,0.8007,0.8171,-0.0163,0.3505,1.0,0.0934,0.1323,20.0,20.0,-0.0502,0.2532,0.2532,0.2532,0.014799999999999999,0.0
2023-01-26,0.6712,0.6735,-0.0023,0.2819,1.0,0.1818,0.2542,20.0,20.0,0.0108,0.5350999999999999,0.5350999999999999,0.5350999999999999,0.010525,0.0
2023-01-29,0.7077,0.6949,0.0128,0.0783,1.0,0.3668,0.4195,20.0,20.0,0.0308,0.6134,0.6134,0.6134,0.01098,0.0
2023-01-30,0.7326,0.7516,-0.019,0.0343,1.0,0.1877,0.2875,21.0,19.0,0.0193,0.8371999999999999,0.6476999999999999,0.6476999999999999,0.0059833333333333336,0.0
2023-01-31,0.6688,0.6599,0.0089,0.0828,1.0,0.2375,0.2522,20.0,20.0,0.0007,0.8277999999999999,0.7304999999999999,0.7304999999999999,0.0064,0.0
2023-02-01,0.694,0.6989,-0.0049,0.0568,1.0,0.1233,0.1663,20.0,20.0,0.0202,0.5341,0.7873,0.7873,0.004987500000000001,0.0
2023-02-02,0.6061,0.6242,-0.0181,0.2363,1.0,0.1031,0.1198,23.0,17.0,-0.0356,0.4885,1.0236,1.0236,0.0024222222222222223,0.0
2023-02-05,0.7058,0.7509,-0.045,0.2406,1.0,0.095,0.1427,21.0,19.0,0.0253,0.6508,1.2642,1.2642,-0.00232,0.0
2023-02-06,0.6316,0.6321,-0.0005,-0.0333,0.0,0.1279,0.1632,20.0,20.0,0.0,0.5832,1.2308999999999999,1.2308999999999999,-0.0021545454545454546,0.0
2023-02-07,0.6661,0.653,0.0131,0.0421,1.0,0.1301,0.1817,20.0,20.0,-0.0725,0.5425,1.273,1.273,-0.0008833333333333332,0.0
2023-02-08,0.7336,0.774,-0.0403,-0.0236,0.0,0.0692,0.0928,28.0,12.0,-0.0323,0.4621,1.2494,1.2494,-0.003915384615384616,0.0
2023-02-09,0.7752,0.8293,-0.0541,-0.0468,0.0,0.0846,0.1543,27.0,13.0,0.0117,0.179,1.2026,1.2026,-0.007500000000000001,0.0
2023-02-12,0.5907,0.6207,-0.0299,-0.085,0.0,0.149,0.1945,24.0,16.0,-0.0795,-0.1466,1.1176,1.1176,-0.008993333333333332,1.0
2023-02-14,0.7419,0.7547,-0.0128,0.2775,1.0,0.2922,0.39,24.0,16.0,-0.0388,0.1642,1.3951,1.3951,-0.00923125,0.0
2023-02-15,0.7492,0.7711,-0.0219,0.2953,1.0,0.2326,0.3164,23.0,17.0,0.0065,0.4174,1.6904,1.6904,-0.009976470588235295,0.0
2023-02-16,0.6795,0.6862,-0.0067,0.3342,1.0,0.129,0.1733,20.0,20.0,0.0542,0.7752,2.0246,2.0246,-0.009794444444444446,0.0
2023-02-20,0.6462,0.6899,-0.0437,0.1843,1.0,0.1164,0.172,23.0,17.0,-0.0392,1.0063,2.2089,2.2089,-0.011578947368421053,0.0
2023-02-22,0.7306,0.71,0.0206,0.2733,1.0,0.2364,0.312,20.0,20.0,0.0043,1.3645999999999998,2.4821999999999997,2.4821999999999997,-0.00997,0.0
2023-02-23,0.8868,0.929,-0.0422,-0.3016,0.0,0.2679,0.4412,25.0,14.0,0.0,0.7855000000000001,2.3701,2.1806,-0.013325,0.0
2023-02-26,0.5678,0.5729,-0.0051,0.0004,1.0,0.0919,0.0985,20.0,20.0,-0.0521,0.4906,2.2783,2.181,-0.01537,0.0
